,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:48.0,,Z. Pachulia misses 2-pt jump shot from 16 ft,0,0
1,1,11:46.0,Defensive rebound by J. Butler,,0,0
2,1,11:32.0,Turnover by P. Gasol (bad pass; steal by G. Antetokounmpo),,0,0
3,1,11:26.0,,M. Carter-Williams misses 2-pt jump shot from 4 ft,0,0
4,1,11:25.0,Defensive rebound by J. Noah,,0,0
5,1,11:09.0,D. Rose makes 3-pt jump shot from 25 ft (assist by M. Dunleavy),,3,0
6,1,10:50.0,,M. Carter-Williams misses 2-pt layup at rim,3,0
7,1,10:49.0,Defensive rebound by P. Gasol,,3,0
8,1,10:36.0,Turnover by J. Noah (lost ball; steal by M. Carter-Williams),,3,0
9,1,10:29.0,,E. İlyasova makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),3,2
10,1,10:06.0,P. Gasol misses 2-pt jump shot from 17 ft,,3,2
11,1,10:05.0,,Defensive rebound by G. Antetokounmpo,3,2
12,1,9:59.0,,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),3,4
13,1,9:31.0,D. Rose misses 2-pt hook shot from 5 ft,,3,4
14,1,9:31.0,Offensive rebound by Team,,3,4
15,1,9:23.0,Turnover by D. Rose (bad pass),,3,4
16,1,9:03.0,,M. Carter-Williams misses 2-pt jump shot from 12 ft,3,4
17,1,9:02.0,,Offensive rebound by G. Antetokounmpo,3,4
18,1,9:02.0,,G. Antetokounmpo misses 2-pt tip-in at rim,3,4
19,1,9:02.0,,Offensive rebound by Team,3,4
20,1,9:02.0,Loose ball foul by M. Dunleavy (drawn by G. Antetokounmpo),,3,4
21,1,8:54.0,,K. Middleton misses 3-pt jump shot from 26 ft,3,4
22,1,8:52.0,Defensive rebound by J. Butler,,3,4
23,1,8:45.0,Personal foul by M. Carter-Williams (drawn by P. Gasol),,3,4
24,1,8:38.0,Turnover by D. Rose (bad pass; steal by Z. Pachulia),,3,4
25,1,8:29.0,,Shooting foul by J. Noah (drawn by G. Antetokounmpo),3,4
26,1,8:29.0,,G. Antetokounmpo makes free throw 1 of 2,3,5
27,1,8:29.0,,G. Antetokounmpo makes free throw 2 of 2,3,6
28,1,8:14.0,Turnover by D. Rose (lost ball; steal by E. İlyasova),,3,6
29,1,8:11.0,,M. Carter-Williams makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),3,8
30,1,8:06.0,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Rose),,6,8
31,1,7:47.0,,Turnover by G. Antetokounmpo (lost ball; steal by M. Dunleavy),6,8
32,1,7:38.0,M. Dunleavy makes 3-pt jump shot from 27 ft (assist by J. Noah),,9,8
33,1,7:28.0,,K. Middleton misses 2-pt jump shot from 18 ft (block by P. Gasol),9,8
34,1,7:27.0,Defensive rebound by D. Rose,,9,8
35,1,7:18.0,J. Butler misses 3-pt jump shot from 26 ft,,9,8
36,1,7:17.0,,Defensive rebound by Z. Pachulia,9,8
37,1,6:58.0,,E. İlyasova makes 3-pt jump shot from 27 ft,9,11
38,1,6:43.0,Personal foul by E. İlyasova (drawn by J. Noah),,9,11
39,1,6:36.0,M. Dunleavy makes 2-pt layup from 1 ft (assist by D. Rose),,11,11
40,1,6:16.0,,E. İlyasova misses 2-pt jump shot from 13 ft,11,11
41,1,6:16.0,Defensive rebound by M. Dunleavy,,11,11
42,1,6:16.0,,Loose ball foul by G. Antetokounmpo (drawn by M. Dunleavy),11,11
43,1,6:16.0,,Technical foul by M. Carter-Williams,11,11
44,1,6:16.0,Technical foul by M. Dunleavy,,11,11
45,1,5:59.0,Turnover by J. Butler (bad pass; steal by Z. Pachulia),,11,11
46,1,5:47.0,,E. İlyasova misses 2-pt jump shot from 4 ft,11,11
47,1,5:45.0,Defensive rebound by Team,,11,11
48,1,5:45.0,,Loose ball foul by Z. Pachulia (drawn by P. Gasol),11,11
49,1,5:45.0,,Milwaukee full timeout,11,11
50,1,5:45.0,,J. Henson enters the game for Z. Pachulia,11,11
51,1,5:22.0,J. Butler misses 2-pt jump shot from 17 ft,,11,11
52,1,5:20.0,,Defensive rebound by E. İlyasova,11,11
53,1,5:07.0,,E. İlyasova misses 3-pt jump shot from 28 ft,11,11
54,1,5:07.0,,Offensive rebound by Team,11,11
55,1,5:07.0,T. Gibson enters the game for J. Noah,,11,11
56,1,4:59.0,,M. Carter-Williams misses 2-pt layup from 3 ft,11,11
57,1,4:58.0,Defensive rebound by P. Gasol,,11,11
58,1,4:56.0,Turnover by P. Gasol (bad pass; steal by J. Henson),,11,11
59,1,4:52.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Carter-Williams),11,13
60,1,4:26.0,J. Butler makes 2-pt layup at rim,,13,13
61,1,4:15.0,,Turnover by E. İlyasova (bad pass; steal by J. Butler),13,13
62,1,4:12.0,J. Butler makes 2-pt dunk at rim,,15,13
63,1,3:52.0,,M. Carter-Williams makes 2-pt layup from 1 ft,15,15
64,1,3:42.0,D. Rose misses 2-pt layup from 1 ft,,15,15
65,1,3:40.0,Offensive rebound by T. Gibson,,15,15
66,1,3:39.0,T. Gibson misses 2-pt layup from 2 ft,,15,15
67,1,3:38.0,Offensive rebound by P. Gasol,,15,15
68,1,3:36.0,P. Gasol misses 2-pt layup from 1 ft,,15,15
69,1,3:35.0,,Defensive rebound by G. Antetokounmpo,15,15
70,1,3:28.0,,E. İlyasova misses 3-pt jump shot from 26 ft,15,15
71,1,3:27.0,Defensive rebound by M. Dunleavy,,15,15
72,1,3:17.0,P. Gasol makes 2-pt layup from 1 ft (assist by T. Gibson),,17,15
73,1,3:02.0,,K. Middleton misses 2-pt jump shot from 15 ft,17,15
74,1,3:01.0,Defensive rebound by D. Rose,,17,15
75,1,2:44.0,Turnover by T. Gibson (lost ball; steal by E. İlyasova),,17,15
76,1,2:39.0,,M. Carter-Williams makes 2-pt layup at rim (assist by K. Middleton),17,17
77,1,2:21.0,J. Butler makes 2-pt jump shot from 15 ft (assist by P. Gasol),,19,17
78,1,2:02.0,,G. Antetokounmpo misses 2-pt jump shot from 11 ft,19,17
79,1,2:01.0,Defensive rebound by P. Gasol,,19,17
80,1,1:47.0,M. Dunleavy makes 2-pt layup at rim,,21,17
81,1,1:39.0,,Milwaukee full timeout,21,17
82,1,1:39.0,Chicago full timeout,,21,17
83,1,1:39.0,N. Mirotić enters the game for M. Dunleavy,,21,17
84,1,1:39.0,,O. Mayo enters the game for E. İlyasova,21,17
85,1,1:39.0,,J. Dudley enters the game for K. Middleton,21,17
86,1,1:32.0,,M. Carter-Williams misses 2-pt jump shot from 17 ft,21,17
87,1,1:31.0,,Offensive rebound by Team,21,17
88,1,1:20.0,,M. Carter-Williams misses 2-pt layup at rim (block by T. Gibson),21,17
89,1,1:17.0,Defensive rebound by T. Gibson,,21,17
90,1,1:12.0,Shooting foul by O. Mayo (drawn by D. Rose),,21,17
91,1,1:12.0,D. Rose makes free throw 1 of 2,,22,17
92,1,1:12.0,,J. Bayless enters the game for M. Carter-Williams,22,17
93,1,1:12.0,D. Rose makes free throw 2 of 2,,23,17
94,1,1:02.0,A. Brooks enters the game for D. Rose,,23,17
95,1,0:49.0,,O. Mayo makes 2-pt jump shot from 17 ft,23,19
96,1,0:33.0,Turnover by J. Butler (back court),,23,19
97,1,0:25.0,,J. Bayless misses 2-pt jump shot from 4 ft,23,19
98,1,0:24.0,Defensive rebound by N. Mirotić,,23,19
