,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
0,1,11:43.0,,T. Harris misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by R. Rubio,,0,0
2,1,11:31.0,N. Peković makes 2-pt layup from 1 ft (assist by A. Wiggins),,2,0
3,1,11:17.0,,E. Fournier makes 2-pt layup from 2 ft,2,2
4,1,10:59.0,T. Young misses 2-pt jump shot from 14 ft,,2,2
5,1,10:58.0,,Defensive rebound by N. Vučević,2,2
6,1,10:47.0,,C. Frye misses 2-pt jump shot from 14 ft,2,2
7,1,10:45.0,Defensive rebound by A. Wiggins,,2,2
8,1,10:29.0,N. Peković makes 2-pt hook shot from 6 ft,,4,2
9,1,10:09.0,,Turnover by T. Harris (lost ball),4,2
10,1,9:54.0,R. Rubio makes 2-pt jump shot from 20 ft,,6,2
11,1,9:37.0,,Turnover by E. Payton (bad pass; steal by A. Wiggins),6,2
12,1,9:30.0,T. Young misses 2-pt jump shot from 19 ft,,6,2
13,1,9:29.0,,Defensive rebound by C. Frye,6,2
14,1,9:15.0,,N. Vučević misses 2-pt hook shot from 7 ft,6,2
15,1,9:14.0,Defensive rebound by T. Young,,6,2
16,1,9:06.0,R. Rubio makes 2-pt jump shot from 17 ft,,8,2
17,1,8:44.0,,T. Harris misses 2-pt jump shot from 2 ft,8,2
18,1,8:43.0,,Offensive rebound by T. Harris,8,2
19,1,8:43.0,,T. Harris makes 2-pt layup from 2 ft,8,4
20,1,8:24.0,A. Wiggins misses 2-pt layup from 2 ft,,8,4
21,1,8:22.0,Offensive rebound by A. Wiggins,,8,4
22,1,8:22.0,A. Wiggins misses 2-pt tip-in from 1 ft,,8,4
23,1,8:20.0,,Defensive rebound by C. Frye,8,4
24,1,8:09.0,,E. Payton misses 2-pt jump shot from 8 ft,8,4
25,1,8:06.0,Defensive rebound by N. Peković,,8,4
26,1,8:06.0,Turnover by R. Rubio (bad pass),,8,4
27,1,7:48.0,,E. Fournier misses 2-pt jump shot from 7 ft,8,4
28,1,7:47.0,Defensive rebound by R. Rubio,,8,4
29,1,7:40.0,T. Young makes 2-pt layup from 1 ft (assist by R. Rubio),,10,4
30,1,7:33.0,,E. Fournier makes 2-pt dunk at rim (assist by E. Payton),10,6
31,1,7:11.0,Personal foul by E. Fournier (drawn by R. Rubio),,10,6
32,1,7:00.0,T. Young misses 2-pt jump shot from 19 ft,,10,6
33,1,6:59.0,,Defensive rebound by E. Payton,10,6
34,1,6:49.0,,E. Payton misses 2-pt layup from 2 ft,10,6
35,1,6:47.0,,Offensive rebound by T. Harris,10,6
36,1,6:47.0,,T. Harris makes 2-pt tip-in from 1 ft,10,8
37,1,6:33.0,K. Martin makes 2-pt jump shot from 17 ft (assist by R. Rubio),,12,8
38,1,6:28.0,,Orlando full timeout,12,8
39,1,6:19.0,,T. Harris misses 2-pt jump shot from 18 ft,12,8
40,1,6:17.0,Defensive rebound by K. Martin,,12,8
41,1,6:05.0,K. Martin misses 3-pt jump shot from 25 ft,,12,8
42,1,6:03.0,,Defensive rebound by E. Payton,12,8
43,1,5:52.0,,E. Fournier makes 2-pt layup from 2 ft,12,10
44,1,5:52.0,,Shooting foul by N. Peković (drawn by E. Fournier),12,10
45,1,5:52.0,,M. Harkless enters the game for C. Frye,12,10
46,1,5:52.0,,E. Fournier misses free throw 1 of 1,12,10
47,1,5:51.0,,Offensive rebound by M. Harkless,12,10
