,QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),0,3
1,1,11:29.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,2,3
2,1,11:22.0,,S. Curry makes 3-pt jump shot from 27 ft,2,6
3,1,10:59.0,A. Johnson makes 2-pt hook shot from 8 ft (assist by L. Fields),,4,6
4,1,10:48.0,,M. Speights misses 2-pt jump shot from 17 ft,4,6
5,1,10:46.0,Defensive rebound by L. Fields,,4,6
6,1,10:36.0,K. Lowry makes 2-pt layup from 1 ft (assist by J. Valančiūnas),,6,6
7,1,10:18.0,,K. Thompson makes 2-pt layup from 1 ft,6,8
8,1,10:01.0,T. Ross misses 3-pt jump shot from 24 ft,,6,8
9,1,10:00.0,,Defensive rebound by H. Barnes,6,8
10,1,9:50.0,,M. Speights makes 2-pt jump shot from 19 ft (assist by D. Green),6,10
11,1,9:32.0,K. Lowry misses 2-pt jump shot from 17 ft,,6,10
12,1,9:31.0,,Defensive rebound by M. Speights,6,10
13,1,9:27.0,,Shooting foul by K. Lowry (drawn by S. Curry),6,10
14,1,9:27.0,,S. Curry makes free throw 1 of 2,6,11
15,1,9:27.0,,S. Curry makes free throw 2 of 2,6,12
16,1,9:06.0,K. Lowry makes 2-pt jump shot from 14 ft (assist by T. Ross),,8,12
17,1,8:47.0,,H. Barnes misses 2-pt jump shot from 16 ft,8,12
18,1,8:46.0,Defensive rebound by A. Johnson,,8,12
19,1,8:39.0,J. Valančiūnas makes 2-pt hook shot from 1 ft (assist by K. Lowry),,10,12
20,1,8:27.0,,M. Speights makes 2-pt jump shot from 12 ft (assist by S. Curry),10,14
21,1,8:03.0,T. Ross misses 2-pt jump shot from 21 ft,,10,14
22,1,8:02.0,,Defensive rebound by S. Curry,10,14
23,1,7:56.0,,S. Curry misses 2-pt layup from 2 ft,10,14
24,1,7:56.0,Defensive rebound by K. Lowry,,10,14
25,1,7:48.0,Shooting foul by S. Curry (drawn by J. Valančiūnas),,10,14
26,1,7:48.0,J. Valančiūnas makes free throw 1 of 2,,11,14
27,1,7:48.0,J. Valančiūnas makes free throw 2 of 2,,12,14
28,1,7:38.0,,K. Thompson misses 2-pt jump shot from 13 ft,12,14
29,1,7:38.0,Defensive rebound by A. Johnson,,12,14
30,1,7:31.0,Shooting foul by K. Thompson (drawn by K. Lowry),,12,14
31,1,7:31.0,K. Lowry misses free throw 1 of 2,,12,14
32,1,7:31.0,Offensive rebound by Team,,12,14
33,1,7:31.0,K. Lowry makes free throw 2 of 2,,13,14
34,1,7:15.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by D. Green),13,16
35,1,6:58.0,Turnover by J. Valančiūnas (bad pass; steal by K. Thompson),,13,16
36,1,6:53.0,,S. Curry makes 2-pt layup at rim (assist by K. Thompson),13,18
37,1,6:46.0,Toronto full timeout,,13,18
38,1,6:36.0,J. Valančiūnas makes 2-pt hook shot from 12 ft (assist by K. Lowry),,15,18
39,1,6:15.0,,M. Speights makes 2-pt jump shot from 17 ft (assist by D. Green),15,20
40,1,5:50.0,T. Ross makes 2-pt jump shot from 12 ft,,17,20
41,1,5:38.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),17,22
42,1,5:11.0,J. Valančiūnas misses 2-pt jump shot from 15 ft,,17,22
43,1,5:09.0,Offensive rebound by L. Fields,,17,22
44,1,5:09.0,L. Fields misses 2-pt tip-in from 1 ft,,17,22
45,1,5:07.0,,Defensive rebound by M. Speights,17,22
46,1,5:01.0,,K. Thompson makes 2-pt jump shot from 17 ft,17,24
47,1,4:45.0,T. Ross makes 3-pt jump shot from 23 ft (assist by K. Lowry),,20,24
48,1,4:34.0,,Turnover by K. Thompson (bad pass; steal by T. Ross),20,24
49,1,4:14.0,T. Ross misses 3-pt jump shot from 25 ft,,20,24
50,1,4:13.0,,Defensive rebound by S. Curry,20,24
51,1,4:04.0,,D. Green makes 3-pt jump shot from 25 ft (assist by H. Barnes),20,27
52,1,3:46.0,Offensive foul by J. Valančiūnas (drawn by M. Speights),,20,27
53,1,3:46.0,Turnover by J. Valančiūnas (offensive foul),,20,27
54,1,3:46.0,,A. Iguodala enters the game for H. Barnes,20,27
55,1,3:46.0,P. Patterson enters the game for J. Valančiūnas,,20,27
56,1,3:46.0,T. Hansbrough enters the game for A. Johnson,,20,27
57,1,3:22.0,,M. Speights makes 2-pt jump shot from 16 ft (assist by S. Curry),20,29
58,1,3:05.0,Turnover by K. Lowry (traveling),,20,29
59,1,3:05.0,,D. Lee enters the game for M. Speights,20,29
60,1,2:52.0,,D. Green misses 3-pt jump shot from 25 ft,20,29
61,1,2:51.0,,Offensive rebound by A. Iguodala,20,29
62,1,2:47.0,,A. Iguodala misses 2-pt layup from 1 ft,20,29
63,1,2:46.0,Defensive rebound by T. Hansbrough,,20,29
64,1,2:41.0,K. Lowry makes 3-pt jump shot from 26 ft,,23,29
65,1,2:29.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),23,32
66,1,2:13.0,Shooting foul by K. Thompson (drawn by K. Lowry),,23,32
67,1,2:13.0,,Golden State full timeout,23,32
68,1,2:13.0,L. Williams enters the game for L. Fields,,23,32
69,1,2:13.0,,J. Holiday enters the game for K. Thompson,23,32
70,1,2:13.0,K. Lowry makes free throw 1 of 3,,24,32
71,1,2:13.0,K. Lowry makes free throw 2 of 3,,25,32
