,QUARTER,TIME_REMAINING,DENVER_ACTION,TORONTO_ACTION,DENVER_SCORE,TORONTO_SCORE
0,1,11:43.0,A. Afflalo makes 2-pt jump shot from 19 ft (assist by T. Lawson),,2,0
1,1,11:21.0,,K. Lowry misses 2-pt jump shot from 21 ft,2,0
2,1,11:20.0,Defensive rebound by Team,,2,0
3,1,11:07.0,Turnover by A. Afflalo (lost ball; steal by T. Ross),,2,0
4,1,10:55.0,,G. Vásquez misses 3-pt jump shot from 26 ft,2,0
5,1,10:54.0,Defensive rebound by T. Lawson,,2,0
6,1,10:40.0,A. Afflalo misses 3-pt jump shot from 22 ft,,2,0
7,1,10:39.0,,Defensive rebound by G. Vásquez,2,0
8,1,10:26.0,,Shooting foul by J. Hickson (drawn by J. Valančiūnas),2,0
9,1,10:26.0,,J. Valančiūnas makes free throw 1 of 2,2,1
10,1,10:26.0,,J. Valančiūnas makes free throw 2 of 2,2,2
11,1,10:14.0,J. Hickson makes 2-pt layup from 3 ft (assist by T. Lawson),,4,2
12,1,10:14.0,Shooting block foul by A. Johnson (drawn by J. Hickson),,4,2
13,1,10:14.0,J. Hickson makes free throw 1 of 1,,5,2
14,1,9:59.0,,Shooting block foul by T. Mozgov (drawn by T. Ross),5,2
15,1,9:59.0,,T. Ross makes free throw 1 of 2,5,3
16,1,9:59.0,,T. Ross misses free throw 2 of 2,5,3
17,1,9:58.0,Defensive rebound by T. Mozgov,,5,3
18,1,9:51.0,,Offensive charge foul by T. Lawson (drawn by A. Johnson),5,3
19,1,9:51.0,Turnover by T. Lawson (offensive foul),,5,3
20,1,9:34.0,,T. Ross makes 2-pt jump shot from 15 ft,5,5
21,1,9:19.0,Turnover by W. Chandler (bad pass; steal by G. Vásquez),,5,5
22,1,9:13.0,,A. Johnson makes 2-pt dunk at rim (assist by K. Lowry),5,7
23,1,9:00.0,T. Lawson makes 2-pt jump shot from 20 ft,,7,7
24,1,8:41.0,,J. Valančiūnas makes 2-pt hook shot from 10 ft,7,9
25,1,8:19.0,W. Chandler misses 2-pt hook shot from 6 ft,,7,9
26,1,8:18.0,,Defensive rebound by J. Valančiūnas,7,9
27,1,8:11.0,,G. Vásquez makes 2-pt layup from 2 ft,7,11
28,1,8:01.0,Shooting foul by K. Lowry (drawn by T. Lawson),,7,11
29,1,8:01.0,T. Lawson makes free throw 1 of 2,,8,11
30,1,8:01.0,T. Lawson misses free throw 2 of 2,,8,11
31,1,7:59.0,,Defensive rebound by J. Valančiūnas,8,11
32,1,7:43.0,,T. Ross makes 2-pt hook shot from 6 ft,8,13
33,1,7:26.0,A. Afflalo makes 2-pt jump shot from 7 ft (assist by T. Lawson),,10,13
34,1,7:07.0,,A. Johnson makes 2-pt hook shot from 5 ft,10,15
35,1,6:50.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by T. Lawson),,13,15
36,1,6:33.0,,J. Valančiūnas misses 2-pt jump shot from 16 ft,13,15
37,1,6:32.0,Defensive rebound by A. Afflalo,,13,15
38,1,6:22.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),,16,15
39,1,6:00.0,,G. Vásquez makes 2-pt jump shot from 4 ft (assist by K. Lowry),16,17
40,1,5:43.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by T. Lawson),,19,17
41,1,5:35.0,,Toronto full timeout,19,17
42,1,5:26.0,,Shooting foul by T. Lawson (drawn by K. Lowry),19,17
43,1,5:26.0,,K. Lowry makes free throw 1 of 2,19,18
44,1,5:26.0,,K. Lowry makes free throw 2 of 2,19,19
45,1,5:06.0,J. Hickson misses 2-pt layup from 2 ft,,19,19
46,1,5:04.0,Offensive rebound by J. Hickson,,19,19
47,1,5:03.0,J. Hickson misses 2-pt tip-in from 1 ft,,19,19
48,1,5:02.0,,Defensive rebound by A. Johnson,19,19
49,1,4:49.0,,K. Lowry makes 2-pt jump shot from 21 ft,19,21
50,1,4:30.0,T. Lawson makes 2-pt layup from 2 ft,,21,21
51,1,4:21.0,,K. Lowry makes 2-pt jump shot from 20 ft,21,23
52,1,4:03.0,T. Lawson makes 3-pt jump shot from 26 ft,,24,23
53,1,3:50.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by K. Lowry),24,25
54,1,3:43.0,T. Lawson misses 3-pt jump shot from 25 ft,,24,25
55,1,3:42.0,,Defensive rebound by J. Valančiūnas,24,25
56,1,3:29.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by A. Johnson),24,27
