,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:42.0,,D. Rose makes 2-pt jump shot from 20 ft,0,2
1,1,11:20.0,J. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),,2,2
2,1,11:04.0,,J. Butler makes 2-pt jump shot from 8 ft (assist by P. Gasol),2,4
3,1,10:40.0,A. Johnson misses 2-pt hook shot from 8 ft,,2,4
4,1,10:39.0,,Defensive rebound by P. Gasol,2,4
5,1,10:21.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by J. Noah),2,7
6,1,10:02.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,4,7
7,1,9:51.0,,Shooting foul by J. Valančiūnas (drawn by P. Gasol),4,7
8,1,9:51.0,,P. Gasol makes free throw 1 of 2,4,8
9,1,9:51.0,,P. Gasol makes free throw 2 of 2,4,9
10,1,9:35.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by T. Ross),,7,9
11,1,9:25.0,,D. Rose misses 2-pt layup from 1 ft,7,9
12,1,9:24.0,Defensive rebound by A. Johnson,,7,9
13,1,9:20.0,Shooting foul by J. Noah (drawn by J. Johnson),,7,9
14,1,9:20.0,J. Johnson makes free throw 1 of 2,,8,9
15,1,9:20.0,J. Johnson makes free throw 2 of 2,,9,9
16,1,9:08.0,,D. Rose makes 2-pt jump shot from 19 ft,9,11
17,1,8:59.0,K. Lowry misses 2-pt layup from 2 ft,,9,11
18,1,8:58.0,Offensive rebound by J. Valančiūnas,,9,11
19,1,8:58.0,J. Valančiūnas misses 2-pt tip-in from 1 ft,,9,11
20,1,8:57.0,,Defensive rebound by J. Noah,9,11
21,1,8:49.0,,Turnover by P. Gasol (bad pass; steal by K. Lowry),9,11
22,1,8:35.0,J. Valančiūnas makes 2-pt dunk at rim,,11,11
23,1,8:21.0,,P. Gasol misses 2-pt layup from 2 ft,11,11
24,1,8:20.0,Defensive rebound by K. Lowry,,11,11
25,1,8:06.0,J. Valančiūnas misses 2-pt jump shot from 13 ft,,11,11
26,1,8:05.0,Offensive rebound by J. Johnson,,11,11
27,1,8:05.0,J. Johnson makes 2-pt layup from 2 ft,,13,11
28,1,7:50.0,,D. Rose misses 3-pt jump shot from 24 ft,13,11
29,1,7:49.0,Defensive rebound by K. Lowry,,13,11
30,1,7:46.0,A. Johnson misses 2-pt layup from 2 ft (block by M. Dunleavy),,13,11
31,1,7:46.0,Offensive rebound by Team,,13,11
32,1,7:38.0,J. Valančiūnas misses 2-pt layup from 1 ft (block by J. Butler),,13,11
33,1,7:38.0,Offensive rebound by Team,,13,11
34,1,7:31.0,T. Ross makes 3-pt jump shot from 23 ft,,16,11
35,1,7:17.0,,J. Butler misses 2-pt jump shot from 15 ft,16,11
36,1,7:16.0,Defensive rebound by J. Valančiūnas,,16,11
37,1,7:07.0,T. Ross makes 3-pt jump shot from 25 ft,,19,11
38,1,6:58.0,,P. Gasol makes 2-pt layup from 1 ft (assist by D. Rose),19,13
39,1,6:41.0,J. Valančiūnas makes 2-pt jump shot from 10 ft,,21,13
40,1,6:28.0,,Shooting foul by J. Johnson (drawn by J. Noah),21,13
41,1,6:28.0,,J. Noah misses free throw 1 of 2,21,13
42,1,6:28.0,,Offensive rebound by Team,21,13
43,1,6:28.0,,J. Noah makes free throw 2 of 2,21,14
44,1,6:10.0,J. Valančiūnas makes 2-pt hook shot from 4 ft,,23,14
45,1,5:55.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by J. Noah),23,17
46,1,5:35.0,J. Valančiūnas misses 2-pt layup from 1 ft (block by P. Gasol),,23,17
47,1,5:35.0,,Defensive rebound by Team,23,17
48,1,5:35.0,,Chicago full timeout,23,17
49,1,5:35.0,L. Williams enters the game for J. Johnson,,23,17
50,1,5:21.0,,Shooting foul by K. Lowry (drawn by D. Rose),23,17
51,1,5:21.0,,D. Rose makes free throw 1 of 2,23,18
52,1,5:21.0,,D. Rose makes free throw 2 of 2,23,19
53,1,5:02.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,25,19
54,1,4:37.0,,Turnover by Team (shot clock),25,19
55,1,4:37.0,,T. Gibson enters the game for J. Noah,25,19
56,1,4:13.0,K. Lowry misses 2-pt jump shot from 16 ft,,25,19
57,1,4:12.0,,Defensive rebound by T. Gibson,25,19
58,1,4:08.0,,D. Rose makes 2-pt layup from 3 ft (assist by T. Gibson),25,21
59,1,3:52.0,L. Williams misses 3-pt jump shot from 25 ft,,25,21
60,1,3:52.0,Offensive rebound by Team,,25,21
61,1,3:52.0,,Loose ball foul by J. Butler (drawn by J. Valančiūnas),25,21
62,1,3:52.0,,K. Hinrich enters the game for D. Rose,25,21
63,1,3:52.0,P. Patterson enters the game for A. Johnson,,25,21
64,1,3:37.0,K. Lowry misses 2-pt jump shot from 22 ft,,25,21
65,1,3:35.0,,Defensive rebound by P. Gasol,25,21
66,1,3:30.0,,T. Gibson makes 2-pt layup at rim (assist by J. Butler),25,23
67,1,3:09.0,J. Valančiūnas misses 2-pt jump shot from 4 ft (block by P. Gasol),,25,23
68,1,3:07.0,,Defensive rebound by K. Hinrich,25,23
69,1,2:54.0,,T. Gibson misses 2-pt layup from 2 ft,25,23
70,1,2:53.0,Defensive rebound by J. Valančiūnas,,25,23
71,1,2:41.0,T. Ross makes 3-pt jump shot from 24 ft (assist by L. Williams),,28,23
72,1,2:27.0,,J. Butler makes 2-pt jump shot from 16 ft,28,25
73,1,2:16.0,Toronto full timeout,,28,25
74,1,2:16.0,G. Vásquez enters the game for K. Lowry,,28,25
75,1,2:16.0,,A. Brooks enters the game for M. Dunleavy,28,25
76,1,2:02.0,Turnover by Team (shot clock),,28,25
77,1,1:47.0,,Shooting foul by P. Patterson (drawn by J. Butler),28,25
78,1,1:47.0,,J. Butler makes free throw 1 of 2,28,26
79,1,1:47.0,,J. Butler makes free throw 2 of 2,28,27
80,1,1:36.0,P. Patterson makes 2-pt jump shot from 10 ft (assist by G. Vásquez),,30,27
81,1,1:27.0,,Personal foul by T. Ross (drawn by J. Butler),30,27
82,1,1:27.0,,J. Butler makes free throw 1 of 2,30,28
83,1,1:27.0,J. Johnson enters the game for T. Ross,,30,28
84,1,1:27.0,,J. Butler makes free throw 2 of 2,30,29
85,1,1:18.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by P. Gasol),,30,29
86,1,1:16.0,Offensive rebound by J. Valančiūnas,,30,29
87,1,1:14.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by T. Gibson),,30,29
88,1,1:13.0,,Defensive rebound by J. Butler,30,29
89,1,1:06.0,,Turnover by P. Gasol (bad pass; steal by P. Patterson),30,29
90,1,1:00.0,G. Vásquez misses 3-pt jump shot from 24 ft,,30,29
91,1,1:00.0,,Defensive rebound by J. Butler,30,29
92,1,0:52.0,,P. Gasol misses 2-pt layup from 2 ft,30,29
93,1,0:51.0,,Offensive rebound by P. Gasol,30,29
94,1,0:51.0,,P. Gasol misses 2-pt tip-in at rim,30,29
95,1,0:50.0,,Offensive rebound by P. Gasol,30,29
96,1,0:50.0,,P. Gasol misses 2-pt tip-in at rim,30,29
97,1,0:50.0,,Offensive rebound by T. Gibson,30,29
98,1,0:50.0,,T. Gibson makes 2-pt layup from 2 ft,30,31
99,1,0:37.0,G. Vásquez makes 2-pt jump shot from 6 ft,,32,31
100,1,0:33.0,,A. Brooks makes 2-pt layup from 1 ft,32,33
101,1,0:11.0,Shooting foul by P. Gasol (drawn by J. Valančiūnas),,32,33
102,1,0:11.0,J. Valančiūnas makes free throw 1 of 2,,33,33
103,1,0:11.0,J. Valančiūnas misses free throw 2 of 2,,33,33
104,1,0:11.0,Offensive rebound by P. Patterson,,33,33
105,1,0:01.0,G. Vásquez misses 3-pt jump shot from 26 ft (block by T. Gibson),,33,33
106,1,0:00.0,Offensive rebound by P. Patterson,,33,33
107,2,11:43.0,Turnover by G. Vásquez (bad pass; steal by T. Gibson),,33,33
108,2,11:38.0,,J. Butler misses 2-pt layup from 3 ft,33,33
109,2,11:37.0,Defensive rebound by P. Patterson,,33,33
110,2,11:22.0,G. Vásquez misses 3-pt jump shot from 23 ft,,33,33
111,2,11:22.0,Offensive rebound by Team,,33,33
112,2,11:19.0,L. Williams makes 2-pt jump shot from 15 ft (assist by G. Vásquez),,35,33
113,2,10:51.0,,J. Butler misses 2-pt layup from 1 ft,35,33
114,2,10:50.0,,Offensive rebound by J. Butler,35,33
115,2,10:38.0,,T. Gibson misses 2-pt jump shot from 13 ft,35,33
116,2,10:38.0,,Offensive rebound by Team,35,33
117,2,10:38.0,Loose ball foul by T. Hansbrough (drawn by N. Mirotić),,35,33
118,2,10:30.0,,T. Gibson misses 2-pt layup from 2 ft,35,33
119,2,10:28.0,Defensive rebound by T. Hansbrough,,35,33
120,2,10:18.0,J. Johnson makes 2-pt layup from 2 ft,,37,33
121,2,10:04.0,,A. Brooks makes 2-pt layup from 2 ft,37,35
122,2,9:59.0,Shooting foul by A. Brooks (drawn by L. Williams),,37,35
123,2,9:59.0,L. Williams makes free throw 1 of 2,,38,35
124,2,9:59.0,L. Williams makes free throw 2 of 2,,39,35
125,2,9:48.0,,Turnover by A. Brooks (lost ball; steal by L. Williams),39,35
126,2,9:41.0,Shooting foul by A. Brooks (drawn by L. Williams),,39,35
127,2,9:41.0,L. Williams makes free throw 1 of 2,,40,35
128,2,9:41.0,,M. Dunleavy enters the game for J. Butler,40,35
129,2,9:41.0,L. Williams makes free throw 2 of 2,,41,35
130,2,9:26.0,,Turnover by K. Hinrich (bad pass; steal by J. Johnson),41,35
131,2,9:19.0,Shooting foul by M. Dunleavy (drawn by T. Hansbrough),,41,35
132,2,9:19.0,T. Hansbrough makes free throw 1 of 2,,42,35
133,2,9:19.0,T. Hansbrough makes free throw 2 of 2,,43,35
134,2,9:12.0,,Shooting foul by L. Williams (drawn by A. Brooks),43,35
135,2,9:12.0,,A. Brooks makes free throw 1 of 2,43,36
136,2,9:12.0,,A. Brooks makes free throw 2 of 2,43,37
137,2,8:56.0,J. Johnson makes 2-pt layup from 2 ft,,45,37
138,2,8:42.0,,Turnover by K. Hinrich (bad pass; steal by J. Johnson),45,37
139,2,8:38.0,Shooting foul by N. Mirotić (drawn by T. Hansbrough),,45,37
140,2,8:38.0,Toronto full timeout,,45,37
141,2,8:38.0,T. Hansbrough misses free throw 1 of 2,,45,37
142,2,8:38.0,Offensive rebound by Team,,45,37
143,2,8:38.0,T. Hansbrough makes free throw 2 of 2,,46,37
144,2,8:24.0,,Personal foul by L. Williams (drawn by N. Mirotić),46,37
145,2,8:24.0,K. Lowry enters the game for L. Williams,,46,37
146,2,8:24.0,T. Ross enters the game for J. Johnson,,46,37
147,2,8:14.0,,T. Gibson makes 2-pt hook shot from 2 ft,46,39
148,2,7:50.0,G. Vásquez misses 2-pt jump shot from 21 ft,,46,39
149,2,7:49.0,,Defensive rebound by M. Dunleavy,46,39
150,2,7:42.0,Violation by P. Patterson (kicked ball),,46,39
151,2,7:30.0,,K. Hinrich misses 3-pt jump shot from 22 ft,46,39
152,2,7:29.0,,Offensive rebound by N. Mirotić,46,39
153,2,7:29.0,,N. Mirotić makes 2-pt layup from 2 ft,46,41
154,2,7:10.0,Personal foul by K. Hinrich (drawn by P. Patterson),,46,41
155,2,7:10.0,P. Patterson makes free throw 1 of 2,,47,41
156,2,7:10.0,,D. Rose enters the game for A. Brooks,47,41
157,2,7:10.0,P. Patterson misses free throw 2 of 2,,47,41
158,2,7:07.0,Offensive rebound by P. Patterson,,47,41
159,2,7:06.0,Turnover by T. Ross (step out of bounds),,47,41
160,2,6:59.0,,Personal foul by G. Vásquez (drawn by K. Hinrich),47,41
161,2,6:54.0,,Turnover by K. Hinrich (bad pass),47,41
162,2,6:44.0,P. Patterson makes 2-pt layup from 2 ft (assist by G. Vásquez),,49,41
163,2,6:37.0,,Chicago full timeout,49,41
164,2,6:37.0,J. Valančiūnas enters the game for T. Hansbrough,,49,41
165,2,6:37.0,,J. Noah enters the game for T. Gibson,49,41
166,2,6:32.0,,Turnover by M. Dunleavy (step out of bounds),49,41
167,2,6:22.0,Def 3 sec tech foul by J. Noah,,49,41
168,2,6:22.0,K. Lowry makes technical free throw,,50,41
169,2,6:08.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,52,41
170,2,5:55.0,,J. Butler enters the game for M. Dunleavy,52,41
171,2,5:50.0,,K. Hinrich makes 3-pt jump shot from 24 ft (assist by J. Butler),52,44
172,2,5:24.0,T. Ross makes 3-pt jump shot from 22 ft (assist by K. Lowry),,55,44
173,2,5:13.0,,Shooting foul by P. Patterson (drawn by N. Mirotić),55,44
174,2,5:13.0,,N. Mirotić makes free throw 1 of 2,55,45
175,2,5:13.0,A. Johnson enters the game for P. Patterson,,55,45
176,2,5:13.0,J. Johnson enters the game for G. Vásquez,,55,45
177,2,5:13.0,,N. Mirotić makes free throw 2 of 2,55,46
178,2,4:59.0,T. Ross misses 2-pt jump shot from 18 ft,,55,46
179,2,4:59.0,Offensive rebound by Team,,55,46
180,2,4:59.0,,P. Gasol enters the game for N. Mirotić,55,46
181,2,4:52.0,K. Lowry misses 3-pt jump shot from 25 ft,,55,46
182,2,4:51.0,,Defensive rebound by J. Butler,55,46
183,2,4:38.0,,Personal foul by A. Johnson (drawn by P. Gasol),55,46
184,2,4:38.0,,P. Gasol makes free throw 1 of 2,55,47
185,2,4:38.0,,P. Gasol makes free throw 2 of 2,55,48
186,2,4:20.0,K. Lowry misses 2-pt jump shot from 21 ft,,55,48
187,2,4:19.0,,Defensive rebound by K. Hinrich,55,48
188,2,4:11.0,,D. Rose misses 3-pt jump shot from 24 ft,55,48
189,2,4:10.0,Defensive rebound by J. Johnson,,55,48
190,2,4:03.0,J. Johnson makes 2-pt layup from 2 ft,,57,48
191,2,3:47.0,Violation by J. Valančiūnas (def goaltending),,57,48
192,2,3:47.0,,D. Rose makes 2-pt layup from 2 ft (assist by P. Gasol),57,50
193,2,3:31.0,T. Ross misses 2-pt jump shot from 22 ft,,57,50
194,2,3:29.0,,Defensive rebound by J. Butler,57,50
195,2,3:25.0,,J. Butler misses 2-pt jump shot from 12 ft,57,50
196,2,3:23.0,Defensive rebound by T. Ross,,57,50
197,2,3:14.0,A. Johnson misses 2-pt layup from 2 ft,,57,50
