,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),0,2
1,1,11:27.0,D. Green makes 3-pt jump shot from 25 ft (assist by H. Barnes),,3,2
2,1,11:14.0,,J. Redick misses 2-pt jump shot from 13 ft,3,2
3,1,11:13.0,Defensive rebound by H. Barnes,,3,2
4,1,11:04.0,Turnover by H. Barnes (lost ball; steal by M. Barnes),,3,2
5,1,10:58.0,,Turnover by M. Barnes (lost ball; steal by S. Curry),3,2
6,1,10:52.0,S. Curry makes 2-pt jump shot from 16 ft,,5,2
7,1,10:46.0,,M. Barnes misses 3-pt jump shot from 23 ft,5,2
8,1,10:45.0,Defensive rebound by S. Curry,,5,2
9,1,10:38.0,S. Curry makes 3-pt jump shot from 26 ft,,8,2
10,1,10:23.0,,C. Paul misses 3-pt jump shot from 24 ft,8,2
11,1,10:22.0,,Offensive rebound by B. Griffin,8,2
12,1,10:18.0,,C. Paul misses 3-pt jump shot from 23 ft,8,2
13,1,10:16.0,Defensive rebound by D. Green,,8,2
14,1,10:10.0,S. Curry misses 3-pt jump shot from 25 ft,,8,2
15,1,10:09.0,,Defensive rebound by D. Jordan,8,2
16,1,9:57.0,,B. Griffin misses 2-pt jump shot from 19 ft,8,2
17,1,9:56.0,Defensive rebound by S. Curry,,8,2
18,1,9:49.0,K. Thompson makes 2-pt jump shot from 9 ft (assist by S. Curry),,10,2
19,1,9:31.0,,C. Paul misses 2-pt jump shot from 21 ft,10,2
20,1,9:30.0,Defensive rebound by H. Barnes,,10,2
21,1,9:24.0,Turnover by S. Curry (bad pass),,10,2
22,1,8:59.0,,B. Griffin misses 3-pt jump shot from 26 ft,10,2
23,1,8:58.0,Defensive rebound by K. Thompson,,10,2
24,1,8:47.0,M. Speights misses 2-pt jump shot from 17 ft,,10,2
25,1,8:46.0,,Defensive rebound by D. Jordan,10,2
26,1,8:37.0,,D. Jordan misses 2-pt layup at rim,10,2
27,1,8:36.0,,Offensive rebound by D. Jordan,10,2
28,1,8:36.0,,Shooting foul by H. Barnes (drawn by D. Jordan),10,2
29,1,8:36.0,,D. Jordan makes free throw 1 of 2,10,3
30,1,8:36.0,,D. Jordan makes free throw 2 of 2,10,4
31,1,8:14.0,M. Speights makes 2-pt dunk at rim (assist by S. Curry),,12,4
32,1,8:01.0,,B. Griffin misses 2-pt hook shot from 3 ft (block by D. Green),12,4
33,1,8:00.0,,Offensive rebound by Team,12,4
34,1,7:49.0,,M. Barnes misses 3-pt jump shot from 25 ft,12,4
35,1,7:48.0,Defensive rebound by S. Curry,,12,4
36,1,7:36.0,H. Barnes misses 3-pt jump shot from 26 ft,,12,4
37,1,7:35.0,,Defensive rebound by J. Redick,12,4
38,1,7:28.0,,Turnover by J. Redick (lost ball; steal by H. Barnes),12,4
39,1,7:22.0,K. Thompson misses 3-pt jump shot from 26 ft,,12,4
40,1,7:20.0,,Defensive rebound by M. Barnes,12,4
41,1,7:09.0,,Shooting foul by S. Curry (drawn by C. Paul),12,4
42,1,7:09.0,,C. Paul makes free throw 1 of 2,12,5
43,1,7:09.0,,C. Paul makes free throw 2 of 2,12,6
44,1,6:50.0,M. Speights misses 2-pt jump shot from 13 ft,,12,6
45,1,6:49.0,,Defensive rebound by D. Jordan,12,6
46,1,6:34.0,,M. Barnes misses 2-pt jump shot from 9 ft,12,6
47,1,6:34.0,Defensive rebound by Team,,12,6
48,1,6:34.0,,Loose ball foul by D. Jordan (drawn by M. Speights),12,6
49,1,6:13.0,H. Barnes misses 3-pt jump shot from 22 ft,,12,6
50,1,6:12.0,Offensive rebound by Team,,12,6
51,1,6:12.0,,Loose ball foul by M. Barnes (drawn by M. Speights),12,6
52,1,6:08.0,H. Barnes makes 2-pt layup from 2 ft (assist by D. Green),,14,6
53,1,5:53.0,,J. Redick misses 3-pt jump shot from 27 ft,14,6
54,1,5:52.0,,Offensive rebound by Team,14,6
55,1,5:52.0,Loose ball foul by M. Speights (drawn by D. Jordan),,14,6
56,1,5:52.0,,LA Clippers full timeout,14,6
57,1,5:52.0,A. Iguodala enters the game for H. Barnes,,14,6
58,1,5:47.0,,B. Griffin misses 2-pt layup from 1 ft (block by D. Green),14,6
59,1,5:45.0,Defensive rebound by S. Curry,,14,6
60,1,5:27.0,Turnover by M. Speights (bad pass; steal by B. Griffin),,14,6
61,1,5:09.0,,Shooting foul by M. Speights (drawn by B. Griffin),14,6
62,1,5:09.0,,B. Griffin misses free throw 1 of 2,14,6
63,1,5:09.0,,Offensive rebound by Team,14,6
64,1,5:09.0,D. Lee enters the game for M. Speights,,14,6
65,1,5:09.0,,B. Griffin misses free throw 2 of 2,14,6
66,1,5:08.0,,Offensive rebound by Team,14,6
67,1,5:07.0,,Turnover by D. Jordan (bad pass; steal by K. Thompson),14,6
68,1,5:01.0,K. Thompson misses 3-pt jump shot from 26 ft,,14,6
69,1,4:59.0,,Defensive rebound by M. Barnes,14,6
70,1,4:41.0,,B. Griffin misses 2-pt hook shot from 5 ft,14,6
71,1,4:39.0,Defensive rebound by D. Lee,,14,6
72,1,4:30.0,,J. Crawford enters the game for M. Barnes,14,6
73,1,4:27.0,K. Thompson misses 3-pt jump shot from 22 ft,,14,6
74,1,4:26.0,,Defensive rebound by B. Griffin,14,6
75,1,4:19.0,,C. Paul misses 2-pt jump shot from 17 ft,14,6
76,1,4:18.0,Defensive rebound by D. Green,,14,6
77,1,4:08.0,D. Green misses 3-pt jump shot from 25 ft,,14,6
78,1,4:06.0,Offensive rebound by A. Iguodala,,14,6
79,1,4:00.0,D. Lee makes 2-pt dunk at rim (assist by K. Thompson),,16,6
80,1,3:40.0,,J. Crawford misses 2-pt jump shot from 18 ft,16,6
81,1,3:38.0,Defensive rebound by A. Iguodala,,16,6
82,1,3:28.0,Turnover by D. Lee (bad pass),,16,6
83,1,3:28.0,S. Livingston enters the game for K. Thompson,,16,6
84,1,3:18.0,,J. Crawford makes 2-pt jump shot from 14 ft (assist by B. Griffin),16,8
85,1,2:56.0,Golden State full timeout,,16,8
86,1,2:56.0,H. Barnes enters the game for D. Green,,16,8
87,1,2:54.0,H. Barnes misses 2-pt layup from 2 ft,,16,8
88,1,2:52.0,,Defensive rebound by D. Jordan,16,8
89,1,2:41.0,,Shooting foul by S. Livingston (drawn by J. Crawford),16,8
90,1,2:41.0,,J. Crawford makes free throw 1 of 2,16,9
91,1,2:41.0,,J. Farmar enters the game for J. Redick,16,9
