,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:46.0,,B. McLemore misses 3-pt jump shot from 24 ft,0,0
1,1,11:45.0,Defensive rebound by Team,,0,0
2,1,11:34.0,Turnover by T. Mozgov (lost ball; steal by D. Cousins),,0,0
3,1,11:22.0,,B. McLemore misses 2-pt layup from 4 ft (block by T. Mozgov),0,0
4,1,11:21.0,,Offensive rebound by Team,0,0
5,1,11:19.0,,Turnover by R. Gay (bad pass; steal by T. Lawson),0,0
6,1,11:15.0,K. Faried misses 2-pt layup from 2 ft,,0,0
7,1,11:13.0,,Defensive rebound by J. Thompson,0,0
8,1,11:09.0,,R. Gay makes 2-pt dunk at rim (assist by D. Collison),0,2
9,1,10:50.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),,3,2
10,1,10:45.0,,Shooting foul by A. Afflalo (drawn by B. McLemore),3,2
11,1,10:45.0,,B. McLemore makes free throw 1 of 2,3,3
12,1,10:45.0,,B. McLemore makes free throw 2 of 2,3,4
13,1,10:22.0,W. Chandler misses 2-pt jump shot from 5 ft,,3,4
14,1,10:20.0,,Defensive rebound by D. Cousins,3,4
15,1,10:11.0,,B. McLemore makes 2-pt jump shot from 11 ft,3,6
16,1,10:00.0,Turnover by T. Mozgov (3 sec),,3,6
17,1,9:45.0,,D. Cousins makes 2-pt layup from 2 ft,3,8
18,1,9:40.0,Personal foul by J. Thompson (drawn by K. Faried),,3,8
19,1,9:33.0,W. Chandler makes 2-pt jump shot from 13 ft (assist by K. Faried),,5,8
20,1,9:15.0,,D. Cousins makes 2-pt jump shot from 15 ft,5,10
21,1,9:08.0,T. Mozgov makes 2-pt dunk at rim (assist by T. Lawson),,7,10
22,1,9:08.0,Shooting foul by R. Gay (drawn by T. Mozgov),,7,10
23,1,9:08.0,T. Mozgov makes free throw 1 of 1,,8,10
24,1,8:49.0,,D. Cousins makes 2-pt layup from 2 ft,8,12
25,1,8:36.0,T. Mozgov makes 2-pt jump shot from 13 ft (assist by T. Lawson),,10,12
26,1,8:23.0,,R. Gay makes 2-pt jump shot from 8 ft,10,14
27,1,8:11.0,T. Lawson misses 2-pt jump shot from 13 ft,,10,14
28,1,8:11.0,,Defensive rebound by Team,10,14
29,1,8:11.0,Loose ball foul by K. Faried (drawn by J. Thompson),,10,14
30,1,7:59.0,,D. Cousins makes 2-pt jump shot from 15 ft (assist by D. Collison),10,16
