,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHARLOTTE_ACTION,NEW ORLEANS_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,C. Zeller misses 2-pt jump shot from 7 ft,0,0
1,1,11:40.0,Defensive rebound by A. Davis,,0,0
2,1,11:24.0,E. Gordon misses 3-pt jump shot from 26 ft,,0,0
3,1,11:23.0,,Defensive rebound by B. Biyombo,0,0
4,1,11:12.0,,G. Henderson misses 2-pt jump shot from 15 ft,0,0
5,1,11:11.0,Defensive rebound by T. Evans,,0,0
6,1,10:59.0,A. Davis makes 2-pt jump shot from 13 ft,,2,0
7,1,10:39.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,2,0
8,1,10:38.0,,Offensive rebound by M. Kidd-Gilchrist,2,0
9,1,10:32.0,,Turnover by K. Walker (bad pass; steal by J. Holiday),2,0
10,1,10:21.0,Ö. Aşık misses 2-pt layup from 1 ft,,2,0
11,1,10:21.0,Offensive rebound by Ö. Aşık,,2,0
12,1,10:21.0,Shooting foul by G. Henderson (drawn by Ö. Aşık),,2,0
13,1,10:21.0,Ö. Aşık makes free throw 1 of 2,,3,0
14,1,10:21.0,Ö. Aşık makes free throw 2 of 2,,4,0
15,1,9:58.0,,G. Henderson misses 2-pt jump shot from 9 ft,4,0
16,1,9:57.0,Defensive rebound by A. Davis,,4,0
17,1,9:50.0,E. Gordon makes 2-pt jump shot from 18 ft (assist by J. Holiday),,6,0
18,1,9:33.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by G. Henderson),6,3
19,1,9:23.0,Turnover by J. Holiday (step out of bounds),,6,3
20,1,9:07.0,,Turnover by C. Zeller (traveling),6,3
21,1,8:50.0,A. Davis misses 2-pt jump shot from 20 ft,,6,3
22,1,8:48.0,,Defensive rebound by B. Biyombo,6,3
23,1,8:38.0,,K. Walker misses 2-pt jump shot from 6 ft,6,3
24,1,8:37.0,Defensive rebound by Ö. Aşık,,6,3
