,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,K. Faried misses 2-pt hook shot from 5 ft,,0,0
1,1,11:42.0,Offensive rebound by K. Faried,,0,0
2,1,11:35.0,W. Chandler makes 3-pt jump shot from 26 ft,,3,0
3,1,11:19.0,,K. Thompson misses 2-pt jump shot from 17 ft,3,0
4,1,11:18.0,Defensive rebound by K. Faried,,3,0
5,1,10:55.0,A. Afflalo misses 2-pt jump shot from 6 ft,,3,0
6,1,10:54.0,,Defensive rebound by A. Bogut,3,0
7,1,10:44.0,Violation by T. Lawson (kicked ball),,3,0
8,1,10:35.0,,S. Curry misses 2-pt layup from 2 ft (block by J. Nurkić),3,0
9,1,10:33.0,Defensive rebound by J. Nurkić,,3,0
10,1,10:17.0,W. Chandler misses 2-pt jump shot from 8 ft,,3,0
11,1,10:16.0,,Defensive rebound by A. Bogut,3,0
12,1,10:10.0,,H. Barnes misses 3-pt jump shot from 25 ft,3,0
13,1,10:09.0,Defensive rebound by K. Faried,,3,0
14,1,9:45.0,K. Faried misses 2-pt hook shot from 11 ft,,3,0
15,1,9:44.0,,Defensive rebound by H. Barnes,3,0
16,1,9:33.0,,K. Thompson misses 3-pt jump shot from 26 ft,3,0
17,1,9:32.0,Defensive rebound by T. Lawson,,3,0
18,1,9:15.0,A. Afflalo misses 2-pt jump shot from 19 ft,,3,0
19,1,9:14.0,,Defensive rebound by D. Green,3,0
20,1,9:03.0,,H. Barnes misses 2-pt jump shot from 9 ft,3,0
21,1,9:02.0,Defensive rebound by K. Faried,,3,0
22,1,8:58.0,Turnover by K. Faried (lost ball),,3,0
23,1,8:41.0,,H. Barnes misses 2-pt layup from 2 ft,3,0
24,1,8:37.0,,Offensive rebound by D. Green,3,0
25,1,8:28.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by H. Barnes),3,3
26,1,8:11.0,,Violation by D. Green (kicked ball),3,3
27,1,8:07.0,J. Nurkić misses 2-pt jump shot from 18 ft,,3,3
28,1,8:05.0,,Defensive rebound by H. Barnes,3,3
29,1,7:52.0,,H. Barnes misses 3-pt jump shot from 26 ft,3,3
30,1,7:51.0,Defensive rebound by J. Nurkić,,3,3
31,1,7:39.0,T. Lawson misses 2-pt jump shot from 13 ft,,3,3
32,1,7:38.0,,Defensive rebound by A. Bogut,3,3
33,1,7:33.0,,S. Curry makes 2-pt jump shot from 13 ft (assist by A. Bogut),3,5
34,1,7:07.0,Turnover by K. Faried (lost ball),,3,5
35,1,7:03.0,,Shooting foul by J. Nurkić (drawn by A. Bogut),3,5
36,1,7:03.0,,A. Bogut misses free throw 1 of 2,3,5
37,1,7:03.0,,Offensive rebound by Team,3,5
38,1,7:03.0,,A. Bogut makes free throw 2 of 2,3,6
39,1,6:59.0,Denver full timeout,,3,6
40,1,6:47.0,W. Chandler makes 2-pt layup from 1 ft (assist by T. Lawson),,5,6
41,1,6:40.0,,Shooting foul by J. Nurkić (drawn by K. Thompson),5,6
42,1,6:40.0,,K. Thompson makes free throw 1 of 2,5,7
43,1,6:40.0,,K. Thompson makes free throw 2 of 2,5,8
44,1,6:19.0,A. Afflalo misses 2-pt jump shot from 12 ft,,5,8
45,1,6:18.0,,Defensive rebound by Team,5,8
46,1,6:07.0,,D. Green misses 3-pt jump shot from 27 ft,5,8
47,1,6:07.0,Defensive rebound by W. Chandler,,5,8
48,1,5:56.0,K. Faried makes 2-pt hook shot from 5 ft (assist by T. Lawson),,7,8
49,1,5:49.0,,Golden State full timeout,7,8
50,1,5:42.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),7,10
51,1,5:22.0,W. Chandler misses 3-pt jump shot from 25 ft,,7,10
52,1,5:21.0,,Defensive rebound by K. Thompson,7,10
53,1,5:11.0,,K. Thompson makes 2-pt jump shot from 7 ft,7,12
54,1,4:58.0,T. Lawson misses 2-pt jump shot from 8 ft,,7,12
55,1,4:57.0,,Defensive rebound by A. Bogut,7,12
56,1,4:41.0,,A. Bogut makes 2-pt hook shot from 6 ft (assist by S. Curry),7,14
57,1,4:30.0,Turnover by T. Lawson (bad pass; steal by K. Thompson),,7,14
58,1,4:26.0,,S. Curry misses 3-pt jump shot from 25 ft,7,14
59,1,4:25.0,,Offensive rebound by H. Barnes,7,14
60,1,4:20.0,,K. Thompson makes 2-pt layup from 1 ft (assist by H. Barnes),7,16
61,1,3:56.0,A. Afflalo misses 2-pt jump shot from 6 ft,,7,16
62,1,3:55.0,,Defensive rebound by D. Green,7,16
63,1,3:46.0,,K. Thompson misses 3-pt jump shot from 26 ft,7,16
64,1,3:45.0,Defensive rebound by J. Nurkić,,7,16
65,1,3:35.0,J. Nurkić makes 2-pt jump shot from 17 ft (assist by T. Lawson),,9,16
66,1,3:16.0,,S. Curry makes 2-pt jump shot from 14 ft,9,18
