,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
0,1,11:43.0,T. Snell misses 2-pt jump shot from 8 ft,,0,0
1,1,11:42.0,,Defensive rebound by C. Parsons,0,0
2,1,11:26.0,,M. Ellis misses 2-pt layup at rim,0,0
3,1,11:25.0,Defensive rebound by P. Gasol,,0,0
4,1,11:14.0,T. Snell makes 3-pt jump shot from 24 ft (assist by P. Gasol),,3,0
5,1,11:00.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by M. Ellis),3,2
6,1,10:44.0,J. Butler misses 2-pt jump shot from 16 ft,,3,2
7,1,10:43.0,,Defensive rebound by D. Nowitzki,3,2
8,1,10:32.0,,R. Rondo misses 2-pt layup from 1 ft,3,2
9,1,10:30.0,Defensive rebound by P. Gasol,,3,2
10,1,10:13.0,J. Butler misses 2-pt jump shot from 11 ft,,3,2
11,1,10:12.0,,Defensive rebound by T. Chandler,3,2
12,1,10:07.0,,M. Ellis misses 2-pt layup from 1 ft,3,2
13,1,10:06.0,Defensive rebound by P. Gasol,,3,2
14,1,9:54.0,J. Noah makes 2-pt layup from 1 ft (assist by J. Butler),,5,2
15,1,9:39.0,,Offensive foul by T. Chandler (drawn by T. Snell),5,2
16,1,9:39.0,,Turnover by T. Chandler (offensive foul),5,2
17,1,9:17.0,D. Rose makes 3-pt jump shot from 25 ft (assist by J. Butler),,8,2
18,1,9:08.0,,R. Rondo misses 2-pt jump shot from 7 ft (block by D. Rose),8,2
19,1,9:08.0,,Offensive rebound by R. Rondo,8,2
20,1,9:08.0,,Turnover by R. Rondo (step out of bounds),8,2
21,1,8:58.0,Shooting foul by M. Ellis (drawn by J. Butler),,8,2
22,1,8:58.0,J. Butler makes free throw 1 of 2,,9,2
23,1,8:58.0,J. Butler makes free throw 2 of 2,,10,2
24,1,8:45.0,,R. Rondo makes 2-pt layup from 1 ft,10,4
25,1,8:32.0,P. Gasol makes 2-pt dunk at rim (assist by J. Butler),,12,4
26,1,8:15.0,,C. Parsons makes 2-pt layup at rim,12,6
27,1,7:48.0,J. Butler makes 2-pt jump shot from 17 ft,,14,6
28,1,7:35.0,,Personal foul by T. Snell (drawn by D. Nowitzki),14,6
29,1,7:26.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by R. Rondo),14,8
30,1,7:04.0,D. Rose makes 2-pt jump shot from 18 ft,,16,8
31,1,7:02.0,,Dallas full timeout,16,8
32,1,6:41.0,,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),16,10
33,1,6:19.0,J. Noah misses 2-pt jump shot from 5 ft,,16,10
34,1,6:17.0,Offensive rebound by J. Butler,,16,10
35,1,6:17.0,J. Butler misses 2-pt layup from 1 ft,,16,10
36,1,6:16.0,,Defensive rebound by D. Nowitzki,16,10
37,1,6:01.0,,Turnover by M. Ellis (bad pass; steal by D. Rose),16,10
38,1,5:59.0,Personal block foul by R. Rondo (drawn by D. Rose),,16,10
39,1,5:59.0,,D. Harris enters the game for R. Rondo,16,10
40,1,5:59.0,,D. Powell enters the game for D. Nowitzki,16,10
41,1,5:47.0,Offensive foul by J. Noah (drawn by D. Harris),,16,10
42,1,5:47.0,Turnover by J. Noah (offensive foul),,16,10
43,1,5:47.0,T. Gibson enters the game for J. Noah,,16,10
44,1,5:35.0,,T. Chandler misses 2-pt layup from 1 ft (block by P. Gasol),16,10
45,1,5:34.0,,Offensive rebound by M. Ellis,16,10
46,1,5:30.0,,C. Parsons makes 2-pt layup at rim,16,12
47,1,5:04.0,D. Rose makes 3-pt jump shot from 24 ft (assist by T. Gibson),,19,12
48,1,4:51.0,,M. Ellis misses 2-pt jump shot from 20 ft,19,12
49,1,4:50.0,Defensive rebound by P. Gasol,,19,12
50,1,4:44.0,D. Rose makes 3-pt jump shot from 24 ft (assist by P. Gasol),,22,12
51,1,4:17.0,,D. Harris misses 3-pt jump shot from 24 ft,22,12
52,1,4:16.0,,Offensive rebound by T. Chandler,22,12
53,1,4:13.0,,D. Harris makes 3-pt jump shot from 23 ft (assist by T. Chandler),22,15
54,1,3:51.0,Turnover by J. Butler (bad pass; steal by C. Parsons),,22,15
55,1,3:47.0,,C. Parsons misses 2-pt layup from 2 ft,22,15
56,1,3:45.0,Defensive rebound by T. Snell,,22,15
57,1,3:38.0,Turnover by J. Butler (bad pass; steal by D. Powell),,22,15
58,1,3:18.0,,D. Harris misses 2-pt jump shot from 18 ft,22,15
59,1,3:17.0,Defensive rebound by T. Gibson,,22,15
60,1,3:07.0,D. Rose misses 2-pt layup from 1 ft (block by D. Powell),,22,15
61,1,3:05.0,Offensive rebound by D. Rose,,22,15
62,1,3:04.0,D. Rose makes 2-pt jump shot from 3 ft,,24,15
63,1,2:54.0,,D. Powell misses 2-pt jump shot from 19 ft,24,15
64,1,2:53.0,Defensive rebound by T. Snell,,24,15
65,1,2:50.0,Personal foul by D. Powell (drawn by T. Gibson),,24,15
66,1,2:50.0,Chicago full timeout,,24,15
67,1,2:50.0,,D. Nowitzki enters the game for T. Chandler,24,15
68,1,2:50.0,K. Hinrich enters the game for D. Rose,,24,15
69,1,2:46.0,Personal foul by D. Powell (drawn by P. Gasol),,24,15
70,1,2:30.0,T. Snell misses 3-pt jump shot from 24 ft,,24,15
71,1,2:28.0,,Defensive rebound by D. Nowitzki,24,15
72,1,2:16.0,,M. Ellis misses 2-pt jump shot from 19 ft,24,15
73,1,2:15.0,Defensive rebound by P. Gasol,,24,15
74,1,2:08.0,Turnover by T. Snell (bad pass),,24,15
75,1,1:59.0,,C. Parsons makes 2-pt layup at rim,24,17
76,1,1:35.0,J. Butler makes 2-pt jump shot from 18 ft,,26,17
77,1,1:27.0,,M. Ellis makes 2-pt layup from 3 ft,26,19
78,1,1:07.0,T. Snell makes 2-pt dunk at rim,,28,19
79,1,0:48.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by D. Harris),28,21
80,1,0:33.0,T. Gibson makes 2-pt jump shot from 8 ft,,30,21
81,1,0:27.0,,M. Ellis misses 3-pt jump shot from 23 ft,30,21
82,1,0:26.0,Defensive rebound by P. Gasol,,30,21
83,1,0:05.0,J. Butler misses 2-pt jump shot from 16 ft,,30,21
84,1,0:04.0,,Defensive rebound by Team,30,21
85,1,0:04.0,,R. Jefferson enters the game for C. Parsons,30,21
86,1,0:04.0,,R. Rondo enters the game for M. Ellis,30,21
87,1,0:04.0,A. Brooks enters the game for T. Snell,,30,21
88,2,11:49.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by R. Rondo),30,23
89,2,11:23.0,A. Brooks misses 3-pt jump shot from 28 ft,,30,23
90,2,11:22.0,,Defensive rebound by R. Jefferson,30,23
91,2,11:02.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,30,23
92,2,11:01.0,Defensive rebound by A. Brooks,,30,23
93,2,10:45.0,Turnover by T. Gibson (lost ball; steal by D. Harris),,30,23
94,2,10:39.0,,D. Harris misses 3-pt jump shot from 24 ft,30,23
95,2,10:38.0,Defensive rebound by Team,,30,23
96,2,10:38.0,,J. Barea enters the game for R. Jefferson,30,23
97,2,10:20.0,K. Hinrich misses 2-pt jump shot from 6 ft,,30,23
98,2,10:19.0,Offensive rebound by J. Noah,,30,23
99,2,10:15.0,T. Gibson misses 2-pt layup from 2 ft,,30,23
100,2,10:14.0,Offensive rebound by J. Noah,,30,23
101,2,10:13.0,Turnover by J. Noah (lost ball; steal by R. Rondo),,30,23
102,2,10:10.0,,Shooting foul by K. Hinrich (drawn by D. Powell),30,23
103,2,10:10.0,,D. Powell makes free throw 1 of 2,30,24
104,2,10:10.0,,D. Powell makes free throw 2 of 2,30,25
105,2,9:52.0,E. Moore makes 3-pt jump shot from 24 ft (assist by A. Brooks),,33,25
106,2,9:40.0,N. Mirotić enters the game for J. Noah,,33,25
107,2,9:31.0,,Turnover by D. Nowitzki (lost ball; steal by T. Gibson),33,25
108,2,9:27.0,Offensive foul by T. Gibson (drawn by D. Harris),,33,25
109,2,9:27.0,Turnover by T. Gibson (offensive foul),,33,25
110,2,9:10.0,,J. Barea makes 3-pt jump shot from 24 ft,33,28
111,2,8:54.0,Offensive foul by N. Mirotić (drawn by J. Barea),,33,28
112,2,8:54.0,Turnover by N. Mirotić (offensive foul),,33,28
113,2,8:54.0,Official timeout,,33,28
114,2,8:35.0,,J. Barea misses 3-pt jump shot from 24 ft,33,28
115,2,8:33.0,Defensive rebound by N. Mirotić,,33,28
116,2,8:17.0,N. Mirotić makes 3-pt jump shot from 22 ft (assist by A. Brooks),,36,28
117,2,8:04.0,,J. Barea makes 2-pt jump shot from 3 ft,36,30
118,2,7:45.0,A. Brooks misses 2-pt jump shot from 4 ft,,36,30
119,2,7:44.0,,Defensive rebound by D. Harris,36,30
120,2,7:39.0,,Shooting block foul by A. Brooks (drawn by D. Harris),36,30
121,2,7:39.0,,D. Harris makes free throw 1 of 2,36,31
122,2,7:39.0,,T. Chandler enters the game for D. Nowitzki,36,31
123,2,7:39.0,D. Rose enters the game for E. Moore,,36,31
124,2,7:39.0,P. Gasol enters the game for N. Mirotić,,36,31
125,2,7:39.0,,D. Harris makes free throw 2 of 2,36,32
126,2,7:28.0,Shooting foul by D. Harris (drawn by K. Hinrich),,36,32
127,2,7:28.0,K. Hinrich makes free throw 1 of 2,,37,32
128,2,7:28.0,K. Hinrich makes free throw 2 of 2,,38,32
129,2,7:16.0,,Turnover by D. Harris (traveling),38,32
130,2,7:00.0,T. Gibson makes 2-pt jump shot from 13 ft (assist by K. Hinrich),,40,32
131,2,6:49.0,,R. Rondo misses 2-pt jump shot from 6 ft,40,32
132,2,6:48.0,Defensive rebound by P. Gasol,,40,32
133,2,6:42.0,K. Hinrich makes 3-pt jump shot from 22 ft (assist by D. Rose),,43,32
134,2,6:42.0,,Dallas full timeout,43,32
135,2,6:42.0,,M. Ellis enters the game for R. Rondo,43,32
136,2,6:42.0,,R. Jefferson enters the game for D. Harris,43,32
137,2,6:42.0,,C. Parsons enters the game for D. Powell,43,32
138,2,6:42.0,J. Butler enters the game for A. Brooks,,43,32
139,2,6:36.0,,Personal foul by K. Hinrich (drawn by C. Parsons),43,32
140,2,6:25.0,,J. Barea misses 2-pt jump shot from 10 ft,43,32
141,2,6:24.0,Defensive rebound by T. Gibson,,43,32
142,2,6:15.0,Turnover by D. Rose (lost ball; steal by M. Ellis),,43,32
143,2,6:08.0,,C. Parsons makes 2-pt jump shot from 11 ft (assist by R. Jefferson),43,34
144,2,5:48.0,P. Gasol misses 2-pt jump shot from 16 ft,,43,34
145,2,5:48.0,Offensive rebound by T. Gibson,,43,34
146,2,5:46.0,Shooting foul by R. Jefferson (drawn by T. Gibson),,43,34
147,2,5:46.0,T. Gibson makes free throw 1 of 2,,44,34
148,2,5:46.0,T. Gibson makes free throw 2 of 2,,45,34
149,2,5:26.0,,Shooting foul by K. Hinrich (drawn by C. Parsons),45,34
150,2,5:26.0,,C. Parsons makes free throw 1 of 2,45,35
151,2,5:26.0,T. Snell enters the game for K. Hinrich,,45,35
152,2,5:26.0,,C. Parsons makes free throw 2 of 2,45,36
153,2,5:10.0,T. Snell misses 3-pt jump shot from 24 ft,,45,36
154,2,5:09.0,Offensive rebound by J. Butler,,45,36
155,2,4:58.0,T. Gibson makes 2-pt hook shot from 3 ft (assist by T. Snell),,47,36
156,2,4:46.0,,T. Chandler misses 2-pt jump shot from 18 ft,47,36
157,2,4:45.0,Defensive rebound by T. Gibson,,47,36
158,2,4:34.0,Turnover by D. Rose (bad pass; steal by J. Barea),,47,36
159,2,4:30.0,,J. Barea makes 2-pt layup at rim,47,38
160,2,4:07.0,P. Gasol misses 2-pt hook shot from 6 ft,,47,38
161,2,4:06.0,,Defensive rebound by T. Chandler,47,38
162,2,3:49.0,,J. Barea makes 2-pt jump shot from 11 ft,47,40
163,2,3:33.0,Turnover by P. Gasol (bad pass; steal by M. Ellis),,47,40
164,2,3:29.0,,M. Ellis makes 2-pt dunk at rim,47,42
165,2,3:22.0,Chicago full timeout,,47,42
166,2,3:22.0,,D. Nowitzki enters the game for R. Jefferson,47,42
167,2,3:22.0,J. Noah enters the game for T. Gibson,,47,42
168,2,3:03.0,D. Rose makes 2-pt jump shot from 15 ft,,49,42
169,2,3:03.0,Shooting foul by M. Ellis (drawn by D. Rose),,49,42
170,2,3:03.0,D. Rose makes free throw 1 of 1,,50,42
171,2,2:45.0,,J. Barea misses 3-pt jump shot from 24 ft,50,42
172,2,2:44.0,,Offensive rebound by T. Chandler,50,42
173,2,2:34.0,,C. Parsons misses 2-pt jump shot from 8 ft,50,42
174,2,2:33.0,,Offensive rebound by Team,50,42
175,2,2:33.0,,R. Rondo enters the game for J. Barea,50,42
176,2,2:26.0,,D. Nowitzki makes 2-pt jump shot from 23 ft (assist by C. Parsons),50,44
177,2,2:09.0,D. Rose misses 2-pt layup at rim,,50,44
178,2,2:07.0,Offensive rebound by P. Gasol,,50,44
179,2,2:07.0,P. Gasol makes 2-pt tip-in at rim,,52,44
180,2,1:58.0,,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),52,46
181,2,1:40.0,J. Noah misses 2-pt layup from 2 ft (block by T. Chandler),,52,46
182,2,1:38.0,,Defensive rebound by T. Chandler,52,46
183,2,1:31.0,,Turnover by D. Nowitzki (lost ball; steal by T. Snell),52,46
184,2,1:19.0,Turnover by P. Gasol (lost ball; steal by T. Chandler),,52,46
185,2,1:13.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Ellis),52,49
186,2,0:49.0,J. Butler misses 2-pt jump shot from 18 ft,,52,49
187,2,0:47.0,Offensive rebound by P. Gasol,,52,49
188,2,0:45.0,Turnover by Team (shot clock),,52,49
189,2,0:29.0,,M. Ellis makes 2-pt jump shot from 5 ft,52,51
190,2,0:11.0,Shooting foul by R. Rondo (drawn by D. Rose),,52,51
191,2,0:11.0,D. Rose makes free throw 1 of 2,,53,51
192,2,0:11.0,T. Gibson enters the game for P. Gasol,,53,51
193,2,0:11.0,D. Rose makes free throw 2 of 2,,54,51
194,2,0:00.0,,M. Ellis misses 2-pt jump shot from 20 ft,54,51
195,2,0:00.0,,Offensive rebound by Team,54,51
196,3,11:44.0,,M. Ellis misses 2-pt layup at rim (block by J. Noah),54,51
197,3,11:43.0,Defensive rebound by P. Gasol,,54,51
198,3,11:28.0,D. Rose misses 2-pt jump shot from 19 ft,,54,51
199,3,11:27.0,Offensive rebound by J. Noah,,54,51
200,3,11:27.0,Turnover by J. Noah (lost ball),,54,51
201,3,11:08.0,,R. Rondo misses 2-pt jump shot from 20 ft,54,51
202,3,11:06.0,Defensive rebound by D. Rose,,54,51
203,3,10:56.0,T. Snell makes 2-pt jump shot from 16 ft (assist by J. Butler),,56,51
204,3,10:40.0,,C. Parsons makes 2-pt jump shot from 18 ft,56,53
205,3,10:18.0,J. Noah misses 2-pt jump shot from 4 ft (block by T. Chandler),,56,53
206,3,10:18.0,Offensive rebound by Team,,56,53
207,3,10:15.0,Shooting foul by T. Chandler (drawn by P. Gasol),,56,53
208,3,10:15.0,P. Gasol makes free throw 1 of 2,,57,53
209,3,10:15.0,Turnover by J. Noah (lane violation.),,57,53
210,3,10:01.0,,M. Ellis makes 2-pt jump shot from 19 ft,57,55
211,3,9:39.0,J. Butler misses 2-pt jump shot from 5 ft (block by T. Chandler),,57,55
212,3,9:39.0,Offensive rebound by Team,,57,55
213,3,9:23.0,,M. Ellis misses 2-pt layup at rim,57,55
214,3,9:21.0,,Offensive rebound by R. Rondo,57,55
215,3,9:21.0,,R. Rondo makes 2-pt layup at rim,57,57
216,3,9:00.0,T. Snell makes 3-pt jump shot from 22 ft (assist by J. Butler),,60,57
217,3,8:46.0,,Turnover by R. Rondo (bad pass; steal by P. Gasol),60,57
218,3,8:41.0,Turnover by D. Rose (lost ball; steal by M. Ellis),,60,57
219,3,8:36.0,,C. Parsons misses 3-pt jump shot from 24 ft,60,57
220,3,8:35.0,Defensive rebound by P. Gasol,,60,57
221,3,8:15.0,J. Butler misses 3-pt jump shot from 24 ft,,60,57
222,3,8:14.0,,Defensive rebound by D. Nowitzki,60,57
223,3,8:04.0,,C. Parsons makes 2-pt layup at rim,60,59
224,3,7:43.0,J. Noah makes 2-pt layup at rim (assist by T. Snell),,62,59
225,3,7:35.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Rondo),62,62
226,3,7:11.0,J. Butler makes 2-pt jump shot from 18 ft,,64,62
227,3,6:56.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,64,62
228,3,6:55.0,Defensive rebound by J. Butler,,64,62
229,3,6:50.0,Personal foul by R. Rondo (drawn by D. Rose),,64,62
230,3,6:50.0,,D. Harris enters the game for R. Rondo,64,62
231,3,6:44.0,D. Rose misses 2-pt jump shot from 9 ft,,64,62
232,3,6:43.0,Offensive rebound by J. Noah,,64,62
233,3,6:43.0,J. Noah misses 2-pt tip-in at rim,,64,62
