,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:32.0,M. Ellis misses 2-pt jump shot from 20 ft,,0,0
1,1,11:31.0,,Defensive rebound by M. Conley,0,0
2,1,11:09.0,,M. Conley misses 3-pt jump shot from 25 ft,0,0
3,1,11:09.0,Defensive rebound by C. Parsons,,0,0
4,1,11:04.0,Shooting foul by C. Lee (drawn by J. Nelson),,0,0
5,1,11:04.0,J. Nelson makes free throw 1 of 2,,1,0
6,1,11:04.0,J. Nelson makes free throw 2 of 2,,2,0
7,1,10:48.0,,Technical foul by Team,2,0
8,1,10:48.0,D. Nowitzki makes technical free throw,,3,0
9,1,10:41.0,,Z. Randolph misses 2-pt jump shot from 17 ft,3,0
10,1,10:40.0,Defensive rebound by M. Ellis,,3,0
11,1,10:30.0,C. Parsons makes 3-pt jump shot from 26 ft (assist by D. Nowitzki),,6,0
12,1,10:18.0,,M. Conley makes 3-pt jump shot from 24 ft,6,3
13,1,9:52.0,J. Nelson makes 3-pt jump shot from 25 ft,,9,3
14,1,9:30.0,,Shooting foul by M. Ellis (drawn by M. Gasol),9,3
15,1,9:30.0,,M. Gasol makes free throw 1 of 2,9,4
16,1,9:30.0,,M. Gasol misses free throw 2 of 2,9,4
17,1,9:30.0,Defensive rebound by C. Parsons,,9,4
18,1,9:18.0,Turnover by T. Chandler (offensive goaltending),,9,4
19,1,9:04.0,,Shooting foul by D. Nowitzki (drawn by M. Gasol),9,4
20,1,9:04.0,,M. Gasol makes free throw 1 of 2,9,5
21,1,9:04.0,,M. Gasol makes free throw 2 of 2,9,6
22,1,8:54.0,M. Ellis misses 3-pt jump shot from 23 ft,,9,6
23,1,8:53.0,Offensive rebound by C. Parsons,,9,6
24,1,8:50.0,M. Ellis makes 2-pt layup from 2 ft (assist by C. Parsons),,11,6
25,1,8:32.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by C. Lee),11,8
26,1,8:15.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,11,8
27,1,8:14.0,,Defensive rebound by M. Conley,11,8
28,1,8:05.0,,Shooting foul by J. Nelson (drawn by M. Gasol),11,8
29,1,8:05.0,,M. Gasol makes free throw 1 of 2,11,9
30,1,8:05.0,,M. Gasol makes free throw 2 of 2,11,10
31,1,7:51.0,C. Parsons makes 2-pt jump shot from 7 ft,,13,10
32,1,7:38.0,,Z. Randolph misses 2-pt layup from 2 ft,13,10
33,1,7:36.0,Defensive rebound by D. Nowitzki,,13,10
34,1,7:17.0,C. Parsons makes 3-pt jump shot from 25 ft,,16,10
35,1,7:03.0,,Z. Randolph misses 2-pt jump shot from 3 ft (block by C. Parsons),16,10
36,1,7:01.0,,Offensive rebound by Z. Randolph,16,10
37,1,6:59.0,,Z. Randolph makes 2-pt layup from 1 ft,16,12
38,1,6:51.0,Personal foul by Z. Randolph (drawn by D. Nowitzki),,16,12
39,1,6:51.0,B. Wright enters the game for D. Nowitzki,,16,12
40,1,6:41.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by M. Ellis),,19,12
41,1,6:22.0,,M. Conley makes 2-pt jump shot from 12 ft,19,14
42,1,6:00.0,Turnover by M. Ellis (lost ball; steal by C. Lee),,19,14
43,1,5:57.0,Violation by C. Parsons (def goaltending),,19,14
44,1,5:57.0,,T. Allen makes 2-pt layup from 2 ft (assist by C. Lee),19,16
45,1,5:45.0,J. Nelson makes 2-pt jump shot from 22 ft,,21,16
46,1,5:29.0,,M. Gasol makes 2-pt layup from 1 ft,21,18
47,1,5:29.0,,Shooting foul by B. Wright (drawn by M. Gasol),21,18
48,1,5:29.0,,Memphis full timeout,21,18
49,1,5:29.0,,M. Gasol makes free throw 1 of 1,21,19
50,1,5:19.0,J. Nelson makes 3-pt jump shot from 27 ft,,24,19
51,1,5:00.0,,C. Lee misses 2-pt jump shot from 18 ft,24,19
52,1,5:00.0,Defensive rebound by C. Parsons,,24,19
53,1,4:50.0,C. Parsons misses 2-pt layup from 4 ft,,24,19
54,1,4:49.0,Offensive rebound by B. Wright,,24,19
55,1,4:49.0,B. Wright makes 2-pt layup from 1 ft,,26,19
56,1,4:31.0,,M. Conley makes 2-pt jump shot from 19 ft (assist by M. Gasol),26,21
57,1,4:17.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by B. Wright),,29,21
58,1,3:58.0,,M. Conley misses 3-pt jump shot from 25 ft,29,21
59,1,3:57.0,Defensive rebound by B. Wright,,29,21
60,1,3:46.0,B. Wright makes 2-pt layup from 1 ft (assist by J. Nelson),,31,21
61,1,3:31.0,,C. Lee makes 2-pt jump shot from 12 ft,31,23
62,1,3:16.0,Turnover by J. Nelson (bad pass; steal by M. Gasol),,31,23
63,1,3:11.0,,C. Lee makes 2-pt layup at rim (assist by T. Allen),31,25
64,1,3:10.0,Dallas full timeout,,31,25
65,1,3:10.0,,T. Prince enters the game for C. Lee,31,25
66,1,3:10.0,D. Harris enters the game for T. Chandler,,31,25
67,1,3:10.0,D. Nowitzki enters the game for M. Ellis,,31,25
68,1,2:52.0,Shooting foul by T. Allen (drawn by B. Wright),,31,25
69,1,2:52.0,B. Wright misses free throw 1 of 2,,31,25
70,1,2:52.0,Offensive rebound by Team,,31,25
71,1,2:52.0,J. Crowder enters the game for C. Parsons,,31,25
72,1,2:52.0,B. Wright makes free throw 2 of 2,,32,25
73,1,2:40.0,,M. Gasol misses 2-pt layup from 1 ft (block by J. Crowder),32,25
74,1,2:38.0,,Offensive rebound by Z. Randolph,32,25
75,1,2:33.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by T. Prince),32,27
76,1,2:17.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Nelson),,35,27
77,1,2:05.0,,Turnover by M. Conley (bad pass; steal by J. Crowder),35,27
78,1,2:05.0,,Loose ball foul by Z. Randolph (drawn by J. Crowder),35,27
79,1,2:05.0,,J. Leuer enters the game for Z. Randolph,35,27
80,1,1:56.0,J. Nelson misses 3-pt jump shot from 24 ft,,35,27
81,1,1:56.0,,Defensive rebound by J. Leuer,35,27
82,1,1:47.0,,M. Conley makes 2-pt layup from 2 ft,35,29
83,1,1:26.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,37,29
84,1,1:15.0,,T. Prince misses 2-pt jump shot from 22 ft,37,29
85,1,1:13.0,Defensive rebound by J. Nelson,,37,29
86,1,0:58.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,37,29
87,1,0:55.0,,Defensive rebound by J. Leuer,37,29
88,1,0:37.0,,T. Allen makes 2-pt jump shot from 7 ft (assist by M. Conley),37,31
89,1,0:37.0,,Shooting foul by D. Harris (drawn by T. Allen),37,31
90,1,0:37.0,J. Barea enters the game for J. Nelson,,37,31
91,1,0:37.0,,B. Udrih enters the game for M. Conley,37,31
92,1,0:37.0,,T. Allen makes free throw 1 of 1,37,32
93,1,0:29.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,37,32
94,1,0:29.0,,Defensive rebound by T. Prince,37,32
95,1,0:08.0,,M. Gasol makes 2-pt dunk at rim (assist by T. Allen),37,34
96,1,0:00.0,J. Barea misses 3-pt jump shot from 27 ft,,37,34
97,1,0:00.0,Offensive rebound by Team,,37,34
98,2,11:46.0,,M. Gasol makes 2-pt dunk at rim (assist by B. Udrih),37,36
99,2,11:28.0,D. Harris misses 3-pt jump shot from 24 ft,,37,36
100,2,11:26.0,,Defensive rebound by M. Gasol,37,36
101,2,11:21.0,,Turnover by M. Gasol (bad pass),37,36
