,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,A. Varejão makes 2-pt layup from 2 ft (assist by K. Love),,2,0
1,1,11:20.0,,J. Holiday makes 2-pt jump shot from 9 ft,2,2
2,1,11:00.0,Shooting foul by J. Holiday (drawn by A. Varejão),,2,2
3,1,11:00.0,A. Varejão makes free throw 1 of 2,,3,2
4,1,11:00.0,A. Varejão misses free throw 2 of 2,,3,2
5,1,10:59.0,,Defensive rebound by L. Babbitt,3,2
6,1,10:46.0,,A. Davis makes 2-pt jump shot from 14 ft (assist by T. Evans),3,4
7,1,10:46.0,,Shooting foul by A. Varejão (drawn by A. Davis),3,4
8,1,10:46.0,,A. Davis misses free throw 1 of 1,3,4
9,1,10:45.0,Defensive rebound by A. Varejão,,3,4
10,1,10:30.0,L. James makes 2-pt dunk at rim (assist by S. Marion),,5,4
11,1,10:18.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),5,6
12,1,9:57.0,L. James makes 2-pt layup from 2 ft,,7,6
13,1,9:45.0,,A. Davis makes 2-pt jump shot from 16 ft,7,8
14,1,9:45.0,,Shooting foul by A. Varejão (drawn by A. Davis),7,8
15,1,9:45.0,T. Thompson enters the game for A. Varejão,,7,8
16,1,9:45.0,,A. Davis misses free throw 1 of 1,7,8
17,1,9:44.0,Defensive rebound by K. Love,,7,8
18,1,9:30.0,L. James misses 2-pt jump shot from 13 ft,,7,8
19,1,9:29.0,,Defensive rebound by A. Davis,7,8
20,1,9:14.0,,T. Evans makes 3-pt jump shot from 25 ft (assist by J. Holiday),7,11
21,1,8:58.0,Shooting foul by J. Holiday (drawn by K. Love),,7,11
22,1,8:58.0,K. Love makes free throw 1 of 3,,8,11
23,1,8:58.0,K. Love makes free throw 2 of 3,,9,11
24,1,8:58.0,,A. Rivers enters the game for J. Holiday,9,11
25,1,8:58.0,K. Love makes free throw 3 of 3,,10,11
26,1,8:41.0,,A. Rivers makes 2-pt layup from 1 ft (assist by T. Evans),10,13
27,1,8:27.0,K. Love makes 2-pt jump shot from 15 ft (assist by K. Irving),,12,13
28,1,8:07.0,,Ö. Aşık misses 2-pt layup from 1 ft (block by T. Thompson),12,13
29,1,8:05.0,Defensive rebound by T. Thompson,,12,13
30,1,8:02.0,L. James makes 2-pt layup from 2 ft,,14,13
31,1,8:02.0,Shooting foul by L. Babbitt (drawn by L. James),,14,13
32,1,8:02.0,L. James makes free throw 1 of 1,,15,13
33,1,7:48.0,,T. Evans misses 2-pt layup from 1 ft,15,13
34,1,7:45.0,Defensive rebound by T. Thompson,,15,13
35,1,7:33.0,T. Thompson misses 2-pt layup from 2 ft,,15,13
36,1,7:32.0,,Defensive rebound by Ö. Aşık,15,13
37,1,7:25.0,,Shooting foul by K. Irving (drawn by A. Rivers),15,13
38,1,7:25.0,,A. Rivers makes free throw 1 of 2,15,14
39,1,7:25.0,,A. Rivers makes free throw 2 of 2,15,15
40,1,7:15.0,L. James makes 2-pt jump shot from 14 ft,,17,15
41,1,6:52.0,,A. Davis makes 2-pt jump shot from 6 ft,17,17
42,1,6:37.0,S. Marion misses 3-pt jump shot from 23 ft,,17,17
43,1,6:36.0,,Defensive rebound by Ö. Aşık,17,17
44,1,6:11.0,,A. Rivers misses 2-pt jump shot from 13 ft,17,17
45,1,6:10.0,Defensive rebound by S. Marion,,17,17
46,1,6:04.0,K. Irving misses 2-pt layup from 3 ft,,17,17
47,1,6:02.0,,Defensive rebound by Ö. Aşık,17,17
48,1,5:50.0,,T. Evans misses 2-pt layup from 2 ft (block by K. Love),17,17
49,1,5:47.0,Defensive rebound by T. Thompson,,17,17
50,1,5:44.0,K. Irving misses 3-pt jump shot from 25 ft,,17,17
51,1,5:44.0,Offensive rebound by Team,,17,17
52,1,5:44.0,,Loose ball foul by Ö. Aşık (drawn by S. Marion),17,17
53,1,5:44.0,,New Orleans full timeout,17,17
54,1,5:30.0,Def 3 sec tech foul by T. Evans,,17,17
55,1,5:30.0,K. Love makes technical free throw,,18,17
56,1,5:30.0,,R. Anderson enters the game for A. Davis,18,17
57,1,5:17.0,L. James misses 2-pt jump shot from 16 ft,,18,17
58,1,5:16.0,,Defensive rebound by A. Rivers,18,17
59,1,5:06.0,,L. Babbitt misses 2-pt jump shot from 18 ft,18,17
60,1,5:05.0,,Offensive rebound by Ö. Aşık,18,17
61,1,5:04.0,,Shooting foul by T. Thompson (drawn by Ö. Aşık),18,17
62,1,5:04.0,,Ö. Aşık makes free throw 1 of 2,18,18
63,1,5:04.0,,D. Cunningham enters the game for L. Babbitt,18,18
64,1,5:04.0,D. Waiters enters the game for S. Marion,,18,18
65,1,5:04.0,,Ö. Aşık makes free throw 2 of 2,18,19
66,1,4:52.0,L. James makes 2-pt jump shot from 19 ft,,20,19
67,1,4:31.0,,D. Cunningham makes 2-pt layup from 2 ft (assist by T. Evans),20,21
68,1,4:08.0,D. Waiters misses 2-pt jump shot from 18 ft,,20,21
69,1,4:07.0,Offensive rebound by K. Love,,20,21
70,1,4:03.0,L. James makes 2-pt dunk at rim,,22,21
71,1,3:49.0,M. Dellavedova enters the game for K. Irving,,22,21
72,1,3:39.0,,T. Evans makes 2-pt layup from 3 ft,22,23
73,1,3:39.0,,Shooting block foul by K. Love (drawn by T. Evans),22,23
