,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,B. Lopez makes 2-pt layup from 2 ft,0,2
1,1,11:18.0,Turnover by J. Valančiūnas (traveling),,0,2
2,1,11:00.0,,J. Johnson makes 2-pt jump shot from 14 ft,0,4
3,1,10:37.0,G. Vásquez misses 3-pt jump shot from 22 ft,,0,4
4,1,10:36.0,,Defensive rebound by M. Brown,0,4
5,1,10:26.0,,B. Lopez misses 2-pt jump shot from 19 ft,0,4
6,1,10:25.0,Defensive rebound by G. Vásquez,,0,4
7,1,10:10.0,Turnover by T. Ross (lost ball; steal by M. Brown),,0,4
8,1,9:58.0,,M. Brown misses 2-pt hook shot from 5 ft,0,4
9,1,9:57.0,Defensive rebound by J. Valančiūnas,,0,4
10,1,9:50.0,Personal foul by M. Brown (drawn by D. DeRozan),,0,4
11,1,9:42.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by G. Vásquez),,2,4
12,1,9:29.0,,Turnover by D. Williams (bad pass; steal by D. DeRozan),2,4
13,1,9:25.0,T. Ross makes 2-pt dunk at rim (assist by D. DeRozan),,4,4
14,1,9:08.0,,Shooting foul by T. Ross (drawn by D. Williams),4,4
15,1,9:08.0,,D. Williams makes free throw 1 of 2,4,5
16,1,9:08.0,,D. Williams makes free throw 2 of 2,4,6
17,1,8:42.0,G. Vásquez makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,6,6
18,1,8:26.0,,J. Johnson misses 2-pt jump shot from 7 ft,6,6
19,1,8:25.0,,Offensive rebound by B. Lopez,6,6
20,1,8:24.0,,B. Lopez misses 2-pt layup from 1 ft,6,6
21,1,8:23.0,Defensive rebound by J. Valančiūnas,,6,6
22,1,8:13.0,Turnover by T. Ross (bad pass; steal by T. Young),,6,6
23,1,8:10.0,,Shooting foul by T. Ross (drawn by T. Young),6,6
24,1,8:10.0,,T. Young makes free throw 1 of 2,6,7
25,1,8:10.0,L. Williams enters the game for T. Ross,,6,7
26,1,8:10.0,,T. Young makes free throw 2 of 2,6,8
27,1,7:58.0,Shooting foul by T. Young (drawn by A. Johnson),,6,8
28,1,7:58.0,A. Johnson makes 2-pt jump shot from 8 ft,,8,8
29,1,7:58.0,A. Johnson makes free throw 1 of 1,,9,8
30,1,7:47.0,,B. Lopez misses 2-pt hook shot from 9 ft,9,8
31,1,7:46.0,,Offensive rebound by B. Lopez,9,8
32,1,7:44.0,,B. Lopez makes 2-pt layup from 2 ft,9,10
33,1,7:23.0,A. Johnson makes 2-pt hook shot from 10 ft (assist by L. Williams),,11,10
34,1,7:11.0,,T. Young misses 3-pt jump shot from 24 ft,11,10
35,1,7:10.0,Defensive rebound by D. DeRozan,,11,10
36,1,7:00.0,G. Vásquez misses 3-pt jump shot from 24 ft,,11,10
37,1,6:59.0,Offensive rebound by A. Johnson,,11,10
38,1,6:54.0,Turnover by D. DeRozan (bad pass),,11,10
39,1,6:47.0,,D. Williams makes 2-pt jump shot from 8 ft,11,12
40,1,6:32.0,G. Vásquez misses 2-pt jump shot from 5 ft,,11,12
41,1,6:31.0,,Defensive rebound by B. Lopez,11,12
42,1,6:09.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Williams),11,14
43,1,6:09.0,,Shooting foul by A. Johnson (drawn by T. Young),11,14
44,1,6:09.0,,T. Young makes free throw 1 of 1,11,15
45,1,5:55.0,J. Valančiūnas makes 2-pt jump shot from 4 ft (assist by D. DeRozan),,13,15
46,1,5:45.0,,D. Williams misses 2-pt jump shot from 7 ft,13,15
47,1,5:44.0,,Offensive rebound by M. Brown,13,15
48,1,5:41.0,,M. Brown misses 2-pt layup from 2 ft,13,15
49,1,5:40.0,,Offensive rebound by T. Young,13,15
50,1,5:39.0,,T. Young makes 2-pt layup from 1 ft,13,17
51,1,5:32.0,Toronto full timeout,,13,17
52,1,5:22.0,D. DeRozan makes 2-pt jump shot from 17 ft,,15,17
53,1,5:01.0,,B. Lopez makes 2-pt hook shot from 7 ft (assist by D. Williams),15,19
54,1,4:48.0,A. Johnson makes 2-pt hook shot from 4 ft (assist by D. DeRozan),,17,19
55,1,4:40.0,,T. Young makes 2-pt jump shot from 5 ft (assist by D. Williams),17,21
56,1,4:27.0,Personal block foul by M. Brown (drawn by L. Williams),,17,21
57,1,4:12.0,A. Johnson misses 3-pt jump shot from 23 ft,,17,21
58,1,4:11.0,,Defensive rebound by B. Lopez,17,21
59,1,4:00.0,,J. Johnson makes 2-pt jump shot from 8 ft,17,23
60,1,3:50.0,L. Williams misses 2-pt layup from 2 ft,,17,23
61,1,3:49.0,,Defensive rebound by B. Lopez,17,23
62,1,3:42.0,,D. Williams makes 2-pt layup from 2 ft,17,25
63,1,3:34.0,Toronto full timeout,,17,25
64,1,3:34.0,J. Johnson enters the game for G. Vásquez,,17,25
65,1,3:34.0,P. Patterson enters the game for J. Valančiūnas,,17,25
66,1,3:34.0,,A. Anderson enters the game for M. Brown,17,25
67,1,3:27.0,D. DeRozan misses 2-pt jump shot from 5 ft,,17,25
68,1,3:26.0,Offensive rebound by A. Johnson,,17,25
69,1,3:25.0,A. Johnson makes 2-pt tip-in from 1 ft,,19,25
70,1,3:15.0,,D. Williams misses 2-pt layup from 2 ft,19,25
71,1,3:14.0,,Offensive rebound by B. Lopez,19,25
72,1,3:13.0,,B. Lopez makes 2-pt tip-in from 1 ft,19,27
73,1,2:58.0,Offensive foul by A. Johnson (drawn by J. Johnson),,19,27
74,1,2:58.0,Turnover by A. Johnson (offensive foul),,19,27
75,1,2:58.0,,Brooklyn full timeout,19,27
76,1,2:58.0,T. Hansbrough enters the game for A. Johnson,,19,27
77,1,2:58.0,,E. Clark enters the game for T. Young,19,27
78,1,2:40.0,,J. Johnson misses 2-pt jump shot from 17 ft,19,27
79,1,2:39.0,Defensive rebound by L. Williams,,19,27
80,1,2:26.0,L. Williams makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,22,27
81,1,2:07.0,,D. Williams makes 3-pt jump shot from 24 ft,22,30
82,1,1:41.0,T. Hansbrough misses 2-pt hook shot from 3 ft,,22,30
83,1,1:40.0,,Defensive rebound by E. Clark,22,30
84,1,1:27.0,,D. Williams makes 2-pt layup from 2 ft,22,32
85,1,1:03.0,P. Patterson makes 2-pt jump shot from 15 ft,,24,32
86,1,0:50.0,,A. Anderson makes 2-pt layup from 2 ft (assist by J. Johnson),24,34
87,1,0:28.0,D. DeRozan misses 2-pt jump shot from 15 ft,,24,34
88,1,0:26.0,Offensive rebound by T. Hansbrough,,24,34
89,1,0:25.0,T. Hansbrough misses 2-pt layup from 1 ft,,24,34
90,1,0:24.0,Offensive rebound by D. DeRozan,,24,34
91,1,0:10.0,Personal foul by A. Anderson (drawn by D. DeRozan),,24,34
92,1,0:10.0,,M. Plumlee enters the game for B. Lopez,24,34
93,1,0:01.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,27,34
94,2,11:41.0,T. Ross makes 2-pt jump shot from 16 ft (assist by P. Patterson),,29,34
95,2,11:25.0,,E. Clark misses 3-pt jump shot from 24 ft,29,34
96,2,11:24.0,Defensive rebound by J. Johnson,,29,34
97,2,11:11.0,L. Williams misses 2-pt jump shot from 6 ft,,29,34
98,2,11:10.0,,Defensive rebound by M. Plumlee,29,34
99,2,10:59.0,,J. Jack misses 2-pt jump shot from 12 ft,29,34
100,2,10:58.0,Defensive rebound by J. Johnson,,29,34
101,2,10:51.0,T. Ross misses 3-pt jump shot from 23 ft,,29,34
102,2,10:50.0,,Defensive rebound by Team,29,34
103,2,10:50.0,Loose ball foul by T. Hansbrough (drawn by M. Plumlee),,29,34
104,2,10:43.0,,Turnover by J. Jack (bad pass; steal by L. Williams),29,34
105,2,10:30.0,J. Johnson misses 2-pt layup from 2 ft,,29,34
106,2,10:29.0,,Defensive rebound by B. Bogdanović,29,34
107,2,10:14.0,,A. Anderson makes 2-pt jump shot from 18 ft,29,36
108,2,10:01.0,L. Williams makes 2-pt jump shot from 7 ft,,31,36
109,2,9:47.0,,E. Clark misses 2-pt layup from 1 ft,31,36
110,2,9:46.0,Defensive rebound by P. Patterson,,31,36
111,2,9:38.0,Turnover by P. Patterson (bad pass; steal by E. Clark),,31,36
112,2,9:32.0,,Personal foul by T. Ross (drawn by J. Jack),31,36
113,2,9:32.0,G. Vásquez enters the game for T. Ross,,31,36
114,2,9:20.0,,M. Plumlee misses 2-pt layup from 2 ft,31,36
115,2,9:19.0,Defensive rebound by T. Hansbrough,,31,36
116,2,9:10.0,T. Hansbrough makes 2-pt dunk at rim (assist by P. Patterson),,33,36
117,2,8:49.0,,M. Plumlee makes 2-pt dunk at rim (assist by A. Anderson),33,38
118,2,8:23.0,L. Williams misses 2-pt jump shot from 8 ft,,33,38
119,2,8:22.0,Offensive rebound by T. Hansbrough,,33,38
120,2,8:19.0,L. Williams misses 3-pt jump shot from 23 ft,,33,38
121,2,8:18.0,Offensive rebound by P. Patterson,,33,38
122,2,8:17.0,Shooting foul by M. Plumlee (drawn by P. Patterson),,33,38
123,2,8:17.0,Official timeout,,33,38
124,2,8:17.0,,T. Young enters the game for E. Clark,33,38
125,2,8:17.0,D. DeRozan enters the game for L. Williams,,33,38
126,2,8:17.0,P. Patterson makes free throw 1 of 2,,34,38
127,2,8:17.0,P. Patterson misses free throw 2 of 2,,34,38
128,2,8:16.0,,Defensive rebound by M. Plumlee,34,38
