,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,T. Prince misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by J. Sullinger,,0,0
2,1,11:22.0,J. Sullinger misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,,Defensive rebound by T. Prince,0,0
4,1,11:06.0,,Z. Randolph misses 2-pt jump shot from 20 ft,0,0
5,1,11:05.0,Defensive rebound by R. Rondo,,0,0
6,1,10:48.0,K. Olynyk misses 2-pt jump shot from 6 ft,,0,0
7,1,10:47.0,,Defensive rebound by M. Gasol,0,0
8,1,10:32.0,,M. Conley makes 3-pt jump shot from 24 ft (assist by C. Lee),0,3
9,1,10:14.0,J. Green misses 2-pt jump shot from 21 ft,,0,3
10,1,10:12.0,,Defensive rebound by Z. Randolph,0,3
11,1,9:57.0,,Z. Randolph makes 2-pt jump shot from 8 ft (assist by M. Conley),0,5
12,1,9:45.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by J. Green),,3,5
13,1,9:32.0,,Offensive foul by M. Gasol (drawn by R. Rondo),3,5
14,1,9:32.0,,Turnover by M. Gasol (offensive foul),3,5
15,1,9:24.0,A. Bradley makes 2-pt jump shot from 21 ft (assist by J. Sullinger),,5,5
16,1,9:08.0,,Turnover by M. Gasol (lost ball; steal by J. Green),5,5
17,1,8:59.0,A. Bradley misses 2-pt jump shot from 20 ft,,5,5
18,1,8:57.0,,Defensive rebound by Z. Randolph,5,5
19,1,8:44.0,,M. Gasol makes 2-pt layup from 2 ft,5,7
20,1,8:33.0,J. Sullinger makes 2-pt jump shot from 18 ft (assist by R. Rondo),,7,7
21,1,8:09.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by C. Lee),7,9
22,1,7:53.0,Turnover by R. Rondo (bad pass),,7,9
23,1,7:42.0,,Z. Randolph makes 2-pt hook shot from 7 ft (assist by T. Prince),7,11
24,1,7:20.0,K. Olynyk misses 3-pt jump shot from 27 ft,,7,11
25,1,7:19.0,,Defensive rebound by Z. Randolph,7,11
26,1,7:07.0,,M. Gasol misses 2-pt jump shot from 18 ft,7,11
27,1,7:06.0,Defensive rebound by R. Rondo,,7,11
28,1,6:58.0,K. Olynyk misses 3-pt jump shot from 22 ft,,7,11
29,1,6:57.0,,Defensive rebound by Z. Randolph,7,11
30,1,6:48.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),7,13
31,1,6:23.0,K. Olynyk misses 2-pt layup from 2 ft,,7,13
32,1,6:21.0,,Defensive rebound by M. Gasol,7,13
33,1,6:19.0,,Turnover by M. Gasol (bad pass; steal by K. Olynyk),7,13
34,1,6:14.0,K. Olynyk misses 2-pt layup from 2 ft,,7,13
35,1,6:12.0,Offensive rebound by K. Olynyk,,7,13
36,1,6:11.0,K. Olynyk misses 2-pt layup from 1 ft (block by M. Gasol),,7,13
37,1,6:09.0,,Defensive rebound by M. Conley,7,13
38,1,6:09.0,,M. Gasol makes 2-pt layup at rim (assist by M. Conley),7,15
39,1,6:09.0,,Shooting foul by J. Green (drawn by M. Gasol),7,15
40,1,6:09.0,,M. Gasol makes free throw 1 of 1,7,16
41,1,5:57.0,Turnover by J. Green (traveling),,7,16
42,1,5:57.0,,Memphis full timeout,7,16
43,1,5:42.0,,T. Prince misses 2-pt layup from 1 ft (block by J. Green),7,16
44,1,5:40.0,Defensive rebound by K. Olynyk,,7,16
45,1,5:17.0,J. Sullinger makes 3-pt jump shot from 26 ft (assist by R. Rondo),,10,16
46,1,5:02.0,E. Turner enters the game for A. Bradley,,10,16
47,1,5:02.0,T. Zeller enters the game for K. Olynyk,,10,16
48,1,4:55.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by Z. Randolph),10,19
49,1,4:34.0,J. Green makes 2-pt jump shot from 21 ft (assist by T. Zeller),,12,19
50,1,4:21.0,,M. Conley makes 2-pt jump shot from 6 ft,12,21
51,1,4:03.0,Violation by E. Turner (kicked ball),,12,21
52,1,3:55.0,T. Zeller makes 2-pt layup from 2 ft (assist by E. Turner),,14,21
53,1,3:36.0,,M. Gasol misses 2-pt hook shot from 5 ft,14,21
54,1,3:32.0,Defensive rebound by R. Rondo,,14,21
55,1,3:23.0,Offensive foul by J. Sullinger (drawn by M. Conley),,14,21
56,1,3:23.0,Turnover by J. Sullinger (offensive foul),,14,21
57,1,3:23.0,,K. Koufos enters the game for Z. Randolph,14,21
58,1,3:18.0,B. Bass enters the game for J. Sullinger,,14,21
