,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,K. Leonard makes 2-pt jump shot from 4 ft (assist by T. Parker),0,2
1,1,11:25.0,M. Conley misses 2-pt jump shot from 4 ft,,0,2
2,1,11:24.0,,Defensive rebound by T. Duncan,0,2
3,1,11:02.0,,T. Splitter makes 2-pt jump shot from 7 ft (assist by D. Green),0,4
4,1,10:44.0,Z. Randolph makes 2-pt hook shot from 7 ft,,2,4
5,1,10:28.0,,K. Leonard misses 2-pt jump shot from 6 ft,2,4
6,1,10:27.0,,Offensive rebound by T. Splitter,2,4
7,1,10:11.0,,T. Duncan makes 2-pt jump shot from 17 ft (assist by D. Green),2,6
8,1,9:59.0,C. Lee misses 2-pt jump shot from 11 ft,,2,6
9,1,9:58.0,,Defensive rebound by T. Splitter,2,6
10,1,9:51.0,,D. Green makes 2-pt jump shot from 16 ft,2,8
11,1,9:27.0,Z. Randolph makes 2-pt layup from 2 ft,,4,8
12,1,9:19.0,,Personal foul by M. Conley (drawn by T. Parker),4,8
13,1,9:10.0,,T. Splitter misses 2-pt jump shot from 5 ft,4,8
14,1,9:09.0,,Offensive rebound by T. Duncan,4,8
15,1,9:09.0,,T. Duncan makes 2-pt tip-in at rim,4,10
16,1,8:49.0,Personal foul by T. Duncan (drawn by M. Gasol),,4,10
17,1,8:42.0,M. Gasol misses 2-pt jump shot from 15 ft,,4,10
18,1,8:40.0,,Defensive rebound by T. Splitter,4,10
19,1,8:34.0,,D. Green misses 3-pt jump shot from 25 ft,4,10
20,1,8:33.0,Defensive rebound by Z. Randolph,,4,10
21,1,8:19.0,Turnover by Z. Randolph (lost ball; steal by T. Splitter),,4,10
22,1,8:13.0,,D. Green makes 2-pt layup from 1 ft (assist by T. Splitter),4,12
23,1,8:07.0,C. Lee misses 2-pt jump shot from 6 ft (block by D. Green),,4,12
24,1,8:06.0,Offensive rebound by Team,,4,12
25,1,7:59.0,M. Gasol misses 2-pt jump shot from 10 ft,,4,12
26,1,7:58.0,,Defensive rebound by K. Leonard,4,12
27,1,7:51.0,,T. Duncan makes 2-pt dunk at rim (assist by K. Leonard),4,14
28,1,7:42.0,Memphis full timeout,,4,14
29,1,7:32.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),,6,14
30,1,7:23.0,,Turnover by K. Leonard (lost ball; steal by V. Carter),6,14
