,QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,Z. Randolph makes 2-pt jump shot from 17 ft (assist by J. Green),0,2
1,1,11:18.0,G. Vásquez misses 3-pt jump shot from 25 ft,,0,2
2,1,11:17.0,Offensive rebound by J. Valančiūnas,,0,2
3,1,11:13.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,2,2
4,1,10:51.0,,Z. Randolph makes 2-pt layup from 2 ft (assist by T. Allen),2,4
5,1,10:37.0,Turnover by A. Johnson (3 sec),,2,4
6,1,10:26.0,,J. Green misses 2-pt jump shot from 20 ft,2,4
7,1,10:24.0,Defensive rebound by J. Valančiūnas,,2,4
8,1,10:05.0,J. Valančiūnas misses 2-pt jump shot from 8 ft,,2,4
9,1,10:03.0,,Defensive rebound by Z. Randolph,2,4
10,1,9:58.0,,J. Green makes 2-pt layup at rim,2,6
11,1,9:48.0,K. Lowry misses 3-pt jump shot from 25 ft,,2,6
12,1,9:47.0,,Defensive rebound by M. Conley,2,6
13,1,9:25.0,,T. Allen misses 2-pt layup at rim,2,6
14,1,9:24.0,,Offensive rebound by Team,2,6
15,1,9:02.0,,Turnover by M. Gasol (lost ball; steal by G. Vásquez),2,6
16,1,8:56.0,J. Valančiūnas makes 2-pt layup at rim (assist by G. Vásquez),,4,6
17,1,8:43.0,,Personal foul by G. Vásquez (drawn by M. Conley),4,6
18,1,8:35.0,,M. Gasol misses 2-pt jump shot from 6 ft,4,6
19,1,8:32.0,Defensive rebound by K. Lowry,,4,6
20,1,8:17.0,A. Johnson misses 2-pt jump shot from 9 ft,,4,6
21,1,8:14.0,,Defensive rebound by T. Allen,4,6
22,1,8:14.0,,Turnover by T. Allen (lost ball; steal by G. Vásquez),4,6
23,1,8:10.0,J. Valančiūnas makes 2-pt dunk at rim (assist by G. Vásquez),,6,6
24,1,7:47.0,,Z. Randolph makes 2-pt jump shot from 15 ft,6,8
25,1,7:31.0,D. DeRozan misses 2-pt jump shot from 17 ft,,6,8
26,1,7:30.0,,Defensive rebound by M. Gasol,6,8
27,1,7:22.0,,M. Conley makes 2-pt layup at rim,6,10
28,1,6:53.0,D. DeRozan misses 2-pt jump shot from 16 ft,,6,10
29,1,6:52.0,,Defensive rebound by Z. Randolph,6,10
30,1,6:36.0,,M. Gasol makes 2-pt hook shot from 6 ft,6,12
31,1,6:28.0,Toronto full timeout,,6,12
32,1,6:17.0,G. Vásquez misses 3-pt jump shot from 25 ft,,6,12
33,1,6:16.0,,Defensive rebound by M. Conley,6,12
34,1,6:01.0,,Personal foul by G. Vásquez (drawn by T. Allen),6,12
35,1,5:59.0,,Offensive foul by M. Gasol (drawn by A. Johnson),6,12
36,1,5:59.0,,Turnover by M. Gasol (offensive foul),6,12
37,1,5:59.0,T. Ross enters the game for G. Vásquez,,6,12
38,1,5:47.0,D. DeRozan misses 2-pt jump shot from 21 ft,,6,12
39,1,5:45.0,,Defensive rebound by Z. Randolph,6,12
40,1,5:37.0,,Z. Randolph misses 2-pt layup at rim,6,12
41,1,5:36.0,Defensive rebound by A. Johnson,,6,12
42,1,5:31.0,Personal foul by T. Allen (drawn by K. Lowry),,6,12
43,1,5:26.0,K. Lowry misses 2-pt jump shot from 22 ft,,6,12
44,1,5:24.0,,Defensive rebound by Z. Randolph,6,12
45,1,5:00.0,,Z. Randolph misses 2-pt jump shot from 20 ft,6,12
46,1,5:00.0,Defensive rebound by K. Lowry,,6,12
47,1,4:45.0,Turnover by J. Valančiūnas (traveling),,6,12
48,1,4:33.0,,J. Green misses 2-pt jump shot from 17 ft,6,12
49,1,4:32.0,Defensive rebound by J. Valančiūnas,,6,12
50,1,4:16.0,Turnover by K. Lowry (traveling),,6,12
51,1,4:16.0,,C. Lee enters the game for T. Allen,6,12
52,1,3:56.0,,Personal foul by J. Valančiūnas (drawn by Z. Randolph),6,12
53,1,3:51.0,,C. Lee misses 3-pt jump shot from 25 ft,6,12
54,1,3:50.0,Defensive rebound by D. DeRozan,,6,12
55,1,3:39.0,Shooting foul by Z. Randolph (drawn by K. Lowry),,6,12
56,1,3:39.0,K. Lowry misses free throw 1 of 2,,6,12
57,1,3:39.0,Offensive rebound by Team,,6,12
58,1,3:39.0,,K. Koufos enters the game for M. Gasol,6,12
59,1,3:39.0,P. Patterson enters the game for J. Valančiūnas,,6,12
60,1,3:39.0,K. Lowry misses free throw 2 of 2,,6,12
61,1,3:38.0,Offensive rebound by P. Patterson,,6,12
62,1,3:31.0,A. Johnson misses 2-pt layup from 1 ft,,6,12
63,1,3:29.0,Offensive rebound by A. Johnson,,6,12
64,1,3:27.0,Turnover by A. Johnson (bad pass),,6,12
65,1,3:27.0,Toronto full timeout,,6,12
66,1,3:27.0,L. Williams enters the game for K. Lowry,,6,12
67,1,3:12.0,,Z. Randolph misses 2-pt layup from 1 ft (block by A. Johnson),6,12
68,1,3:10.0,Defensive rebound by D. DeRozan,,6,12
69,1,3:07.0,A. Johnson makes 2-pt dunk at rim (assist by L. Williams),,8,12
70,1,2:54.0,,Personal foul by A. Johnson (drawn by C. Lee),8,12
71,1,2:54.0,,Memphis full timeout,8,12
72,1,2:40.0,,M. Conley misses 2-pt jump shot from 9 ft,8,12
73,1,2:37.0,Defensive rebound by T. Ross,,8,12
74,1,2:18.0,D. DeRozan misses 2-pt jump shot from 16 ft,,8,12
75,1,2:16.0,,Defensive rebound by Z. Randolph,8,12
