,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:40.0,J. Richardson makes 2-pt jump shot from 12 ft,,2,0
1,1,11:19.0,,N. Vučević misses 2-pt jump shot from 14 ft,2,0
2,1,11:17.0,Defensive rebound by I. Canaan,,2,0
3,1,11:10.0,I. Canaan makes 3-pt jump shot from 25 ft,,5,0
4,1,10:54.0,,N. Vučević makes 2-pt layup from 1 ft,5,2
5,1,10:40.0,Turnover by J. Richardson (lost ball; steal by V. Oladipo),,5,2
6,1,10:35.0,,E. Payton makes 2-pt layup at rim,5,4
7,1,10:23.0,N. Noel misses 2-pt jump shot from 13 ft,,5,4
8,1,10:21.0,,Defensive rebound by E. Payton,5,4
9,1,10:03.0,,N. Vučević makes 2-pt dunk at rim (assist by T. Harris),5,6
10,1,9:40.0,Turnover by H. Sims (bad pass; steal by N. Vučević),,5,6
11,1,9:31.0,,N. Vučević misses 2-pt jump shot from 18 ft,5,6
12,1,9:30.0,Defensive rebound by N. Noel,,5,6
13,1,9:17.0,R. Covington misses 3-pt jump shot from 24 ft,,5,6
14,1,9:16.0,Offensive rebound by J. Richardson,,5,6
15,1,9:11.0,J. Richardson misses 3-pt jump shot from 24 ft,,5,6
16,1,9:09.0,,Defensive rebound by N. Vučević,5,6
17,1,8:55.0,,Turnover by N. Vučević (lost ball; steal by R. Covington),5,6
18,1,8:50.0,J. Richardson misses 2-pt layup at rim,,5,6
19,1,8:50.0,,Defensive rebound by Team,5,6
20,1,8:50.0,Loose ball foul by R. Covington (drawn by C. Frye),,5,6
21,1,8:36.0,,C. Frye makes 2-pt jump shot from 23 ft (assist by E. Payton),5,8
22,1,8:14.0,Shooting foul by T. Harris (drawn by H. Sims),,5,8
23,1,8:14.0,H. Sims makes free throw 1 of 2,,6,8
24,1,8:14.0,H. Sims makes free throw 2 of 2,,7,8
25,1,7:53.0,,V. Oladipo misses 2-pt jump shot from 21 ft,7,8
26,1,7:52.0,Defensive rebound by H. Sims,,7,8
27,1,7:32.0,H. Sims makes 2-pt hook shot from 9 ft,,9,8
28,1,7:15.0,,C. Frye makes 2-pt jump shot from 16 ft,9,10
29,1,7:02.0,Turnover by H. Sims (bad pass),,9,10
30,1,6:47.0,,N. Vučević makes 2-pt layup from 1 ft (assist by V. Oladipo),9,12
31,1,6:27.0,H. Sims makes 2-pt dunk at rim (assist by N. Noel),,11,12
32,1,6:14.0,,Personal foul by H. Sims (drawn by C. Frye),11,12
33,1,6:05.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Payton),11,15
34,1,6:02.0,Philadelphia full timeout,,11,15
35,1,5:42.0,R. Covington makes 3-pt jump shot from 22 ft (assist by I. Canaan),,14,15
36,1,5:28.0,,T. Harris misses 3-pt jump shot from 23 ft,14,15
37,1,5:27.0,Defensive rebound by J. Richardson,,14,15
38,1,5:20.0,Turnover by N. Noel (bad pass; steal by N. Vučević),,14,15
39,1,5:14.0,J. Grant enters the game for J. Richardson,,14,15
40,1,5:06.0,,T. Harris misses 2-pt jump shot from 11 ft,14,15
41,1,5:04.0,,Offensive rebound by N. Vučević,14,15
42,1,5:04.0,,N. Vučević misses 2-pt tip-in from 2 ft,14,15
43,1,5:02.0,Defensive rebound by H. Sims,,14,15
44,1,4:49.0,R. Covington misses 3-pt jump shot from 23 ft,,14,15
45,1,4:47.0,Offensive rebound by H. Sims,,14,15
46,1,4:31.0,N. Noel makes 2-pt jump shot from 6 ft (assist by R. Covington),,16,15
47,1,4:18.0,,N. Vučević misses 2-pt layup at rim (block by N. Noel),16,15
48,1,4:18.0,,Offensive rebound by Team,16,15
49,1,4:18.0,F. Aldemir enters the game for H. Sims,,16,15
50,1,4:18.0,,E. Fournier enters the game for T. Harris,16,15
51,1,4:18.0,T. Frazier enters the game for I. Canaan,,16,15
52,1,4:16.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by E. Fournier),16,18
53,1,3:52.0,Turnover by R. Covington (traveling),,16,18
54,1,3:39.0,,E. Fournier misses 3-pt jump shot from 24 ft,16,18
55,1,3:38.0,Defensive rebound by R. Covington,,16,18
56,1,3:26.0,R. Covington makes 2-pt jump shot from 14 ft,,18,18
57,1,3:11.0,,Personal foul by R. Covington (drawn by E. Fournier),18,18
58,1,3:11.0,J. Sampson enters the game for R. Covington,,18,18
59,1,3:04.0,,N. Vučević makes 2-pt hook shot from 7 ft,18,20
60,1,2:55.0,,Violation by E. Payton (kicked ball),18,20
61,1,2:55.0,,Orlando full timeout,18,20
62,1,2:55.0,,L. Ridnour enters the game for E. Payton,18,20
63,1,2:47.0,Personal foul by E. Fournier (drawn by F. Aldemir),,18,20
64,1,2:38.0,Shooting foul by L. Ridnour (drawn by N. Noel),,18,20
65,1,2:38.0,N. Noel misses free throw 1 of 2,,18,20
66,1,2:38.0,Offensive rebound by Team,,18,20
67,1,2:38.0,N. Noel makes free throw 2 of 2,,19,20
68,1,2:19.0,,C. Frye makes 2-pt jump shot from 22 ft (assist by V. Oladipo),19,22
69,1,2:00.0,Personal foul by C. Frye (drawn by N. Noel),,19,22
70,1,2:00.0,,A. Nicholson enters the game for C. Frye,19,22
