,QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,K. Thompson misses 2-pt jump shot from 17 ft,0,0
1,1,11:45.0,Defensive rebound by T. Chandler,,0,0
2,1,11:28.0,M. Ellis misses 3-pt jump shot from 26 ft,,0,0
3,1,11:27.0,Offensive rebound by T. Chandler,,0,0
4,1,11:23.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,0,0
5,1,11:21.0,,Defensive rebound by A. Bogut,0,0
6,1,11:10.0,,D. Green misses 3-pt jump shot from 27 ft,0,0
7,1,11:09.0,Defensive rebound by T. Chandler,,0,0
8,1,10:54.0,C. Parsons makes 2-pt jump shot from 8 ft (assist by J. Barea),,2,0
9,1,10:29.0,,K. Thompson misses 2-pt jump shot from 9 ft,2,0
10,1,10:27.0,Defensive rebound by T. Chandler,,2,0
11,1,10:06.0,J. Barea misses 2-pt jump shot from 8 ft,,2,0
12,1,10:03.0,Offensive rebound by T. Chandler,,2,0
13,1,10:03.0,T. Chandler makes 2-pt tip-in at rim,,4,0
14,1,9:57.0,,S. Curry misses 3-pt jump shot from 27 ft,4,0
15,1,9:55.0,Defensive rebound by T. Chandler,,4,0
16,1,9:44.0,D. Nowitzki makes 2-pt jump shot from 11 ft,,6,0
17,1,9:25.0,,Turnover by K. Thompson (bad pass),6,0
18,1,9:10.0,Shooting foul by S. Curry (drawn by J. Barea),,6,0
19,1,9:10.0,J. Barea makes free throw 1 of 2,,7,0
20,1,9:10.0,J. Barea makes free throw 2 of 2,,8,0
21,1,8:55.0,,K. Thompson misses 2-pt layup from 2 ft,8,0
22,1,8:54.0,,Offensive rebound by A. Bogut,8,0
23,1,8:54.0,,A. Bogut makes 2-pt layup from 1 ft,8,2
24,1,8:39.0,C. Parsons makes 2-pt layup from 2 ft (assist by D. Nowitzki),,10,2
25,1,8:32.0,,Golden State full timeout,10,2
26,1,8:26.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by A. Bogut),10,4
27,1,8:04.0,Shooting foul by H. Barnes (drawn by C. Parsons),,10,4
28,1,8:04.0,C. Parsons makes free throw 1 of 2,,11,4
29,1,8:04.0,C. Parsons makes free throw 2 of 2,,12,4
30,1,7:53.0,,Turnover by K. Thompson (bad pass),12,4
31,1,7:45.0,J. Barea makes 3-pt jump shot from 25 ft,,15,4
32,1,7:34.0,,Turnover by S. Curry (bad pass; steal by C. Parsons),15,4
33,1,7:27.0,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),,17,4
34,1,7:06.0,,H. Barnes misses 2-pt jump shot from 11 ft,17,4
35,1,7:04.0,Defensive rebound by T. Chandler,,17,4
36,1,6:51.0,C. Parsons misses 2-pt jump shot from 13 ft,,17,4
37,1,6:49.0,,Defensive rebound by A. Bogut,17,4
38,1,6:46.0,,Personal foul by J. Barea (drawn by S. Curry),17,4
39,1,6:46.0,A. Aminu enters the game for D. Nowitzki,,17,4
40,1,6:40.0,,Turnover by K. Thompson (bad pass; steal by A. Aminu),17,4
41,1,6:34.0,M. Ellis makes 2-pt layup from 2 ft (assist by J. Barea),,19,4
42,1,6:23.0,,D. Green misses 2-pt layup from 1 ft,19,4
43,1,6:22.0,Defensive rebound by A. Aminu,,19,4
44,1,6:11.0,J. Barea makes 2-pt jump shot from 16 ft,,21,4
45,1,6:05.0,,Golden State full timeout,21,4
46,1,6:05.0,,A. Iguodala enters the game for H. Barnes,21,4
47,1,6:05.0,,D. Lee enters the game for A. Bogut,21,4
48,1,5:58.0,,S. Curry misses 2-pt jump shot from 3 ft (block by A. Aminu),21,4
49,1,5:56.0,Defensive rebound by C. Parsons,,21,4
50,1,5:54.0,Shooting foul by D. Lee (drawn by C. Parsons),,21,4
51,1,5:54.0,C. Parsons misses free throw 1 of 2,,21,4
52,1,5:54.0,Offensive rebound by Team,,21,4
53,1,5:54.0,C. Parsons makes free throw 2 of 2,,22,4
54,1,5:42.0,,Turnover by S. Curry (bad pass; steal by C. Parsons),22,4
55,1,5:39.0,C. Parsons makes 2-pt dunk at rim,,24,4
56,1,5:25.0,,S. Curry misses 3-pt jump shot from 26 ft,24,4
57,1,5:24.0,Defensive rebound by T. Chandler,,24,4
58,1,5:14.0,J. Barea misses 2-pt jump shot from 8 ft,,24,4
59,1,5:12.0,,Defensive rebound by D. Lee,24,4
60,1,5:07.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),24,7
61,1,4:48.0,M. Ellis makes 2-pt jump shot from 14 ft,,26,7
62,1,4:40.0,,S. Curry makes 3-pt jump shot from 26 ft,26,10
63,1,4:33.0,Dallas full timeout,,26,10
64,1,4:33.0,D. Harris enters the game for T. Chandler,,26,10
65,1,4:33.0,D. Nowitzki enters the game for J. Barea,,26,10
66,1,4:33.0,,H. Barnes enters the game for D. Green,26,10
67,1,4:22.0,A. Aminu makes 2-pt layup from 2 ft (assist by M. Ellis),,28,10
68,1,4:11.0,,S. Curry makes 2-pt jump shot from 17 ft,28,12
69,1,3:56.0,M. Ellis makes 2-pt jump shot from 10 ft,,30,12
70,1,3:26.0,,S. Curry misses 2-pt jump shot from 22 ft,30,12
71,1,3:25.0,,Offensive rebound by A. Iguodala,30,12
72,1,3:21.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),30,15
73,1,3:04.0,,L. Barbosa enters the game for K. Thompson,30,15
74,1,2:58.0,A. Aminu makes 2-pt dunk at rim (assist by C. Parsons),,32,15
75,1,2:38.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Lee),32,18
76,1,2:29.0,M. Ellis makes 2-pt layup from 2 ft,,34,18
77,1,2:18.0,,D. Lee misses 2-pt jump shot from 18 ft,34,18
78,1,2:17.0,Defensive rebound by C. Parsons,,34,18
79,1,2:03.0,D. Harris misses 3-pt jump shot from 26 ft,,34,18
80,1,2:02.0,Offensive rebound by C. Parsons,,34,18
81,1,1:59.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,34,18
82,1,1:58.0,Offensive rebound by D. Harris,,34,18
83,1,1:49.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Harris),,37,18
84,1,1:38.0,J. Barea enters the game for M. Ellis,,37,18
85,1,1:38.0,C. Villanueva enters the game for C. Parsons,,37,18
86,1,1:36.0,,L. Barbosa misses 2-pt jump shot from 11 ft,37,18
87,1,1:35.0,Defensive rebound by Team,,37,18
88,1,1:23.0,C. Villanueva makes 3-pt jump shot from 25 ft (assist by D. Harris),,40,18
89,1,1:10.0,R. Jefferson enters the game for D. Nowitzki,,40,18
90,1,1:00.0,,L. Barbosa makes 3-pt jump shot from 23 ft (assist by A. Iguodala),40,21
91,1,0:48.0,A. Aminu misses 2-pt layup from 2 ft,,40,21
92,1,0:46.0,,Defensive rebound by S. Curry,40,21
93,1,0:36.0,,H. Barnes makes 2-pt dunk at rim (assist by D. Lee),40,23
94,1,0:22.0,A. Aminu makes 2-pt dunk at rim (assist by J. Barea),,42,23
95,1,0:05.0,,Shooting block foul by A. Aminu (drawn by D. Lee),42,23
96,1,0:05.0,,D. Lee makes free throw 1 of 2,42,24
97,1,0:05.0,,D. Lee makes free throw 2 of 2,42,25
