,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,G. Temple misses 3-pt jump shot from 23 ft,,0,0
1,1,11:33.0,Offensive rebound by G. Temple,,0,0
2,1,11:26.0,N. Hilário misses 2-pt jump shot from 13 ft,,0,0
3,1,11:24.0,,Defensive rebound by N. Noel,0,0
4,1,11:03.0,,L. Mbah a Moute makes 2-pt jump shot from 19 ft (assist by I. Canaan),0,2
5,1,10:48.0,Turnover by G. Temple (bad pass; steal by L. Mbah a Moute),,0,2
6,1,10:44.0,,I. Canaan makes 2-pt layup at rim,0,4
7,1,10:44.0,,Shooting foul by J. Wall (drawn by I. Canaan),0,4
8,1,10:44.0,,I. Canaan makes free throw 1 of 1,0,5
9,1,10:32.0,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),,2,5
10,1,10:10.0,,Personal foul by N. Hilário (drawn by L. Mbah a Moute),2,5
11,1,10:02.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by L. Mbah a Moute),2,8
12,1,9:47.0,N. Hilário makes 2-pt dunk at rim (assist by O. Porter),,4,8
13,1,9:18.0,,R. Covington makes 2-pt jump shot from 5 ft (assist by L. Mbah a Moute),4,10
14,1,9:13.0,J. Wall misses 2-pt jump shot from 16 ft,,4,10
15,1,9:09.0,,Defensive rebound by N. Noel,4,10
16,1,8:59.0,,I. Canaan makes 3-pt jump shot from 23 ft,4,13
17,1,8:53.0,Washington full timeout,,4,13
18,1,8:44.0,O. Porter makes 2-pt jump shot from 18 ft (assist by N. Hilário),,6,13
19,1,8:36.0,,N. Noel misses 2-pt jump shot from 16 ft,6,13
20,1,8:34.0,Defensive rebound by O. Porter,,6,13
21,1,8:25.0,Turnover by J. Wall (bad pass; steal by R. Covington),,6,13
22,1,8:15.0,,Turnover by R. Covington (palming),6,13
23,1,7:58.0,J. Wall misses 2-pt jump shot from 20 ft,,6,13
24,1,7:56.0,,Defensive rebound by L. Mbah a Moute,6,13
25,1,7:51.0,,R. Covington misses 3-pt jump shot from 26 ft,6,13
26,1,7:49.0,Defensive rebound by G. Temple,,6,13
27,1,7:40.0,N. Hilário misses 2-pt jump shot from 6 ft (block by N. Noel),,6,13
28,1,7:39.0,Offensive rebound by Team,,6,13
29,1,7:28.0,N. Hilário makes 2-pt jump shot from 14 ft (assist by O. Porter),,8,13
30,1,7:05.0,,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by N. Noel),8,16
31,1,6:51.0,N. Hilário makes 2-pt jump shot from 19 ft (assist by G. Temple),,10,16
32,1,6:30.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by N. Noel),10,19
33,1,6:11.0,O. Porter misses 2-pt layup from 2 ft,,10,19
34,1,6:08.0,Offensive rebound by O. Porter,,10,19
35,1,6:08.0,O. Porter misses 2-pt tip-in at rim,,10,19
36,1,6:07.0,,Defensive rebound by R. Covington,10,19
37,1,6:02.0,,I. Canaan misses 3-pt jump shot from 25 ft,10,19
38,1,6:00.0,Defensive rebound by M. Gortat,,10,19
39,1,5:54.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,12,19
40,1,5:54.0,,Philadelphia full timeout,12,19
41,1,5:54.0,,H. Thompson enters the game for J. Richardson,12,19
42,1,5:39.0,,Personal foul by N. Hilário (drawn by L. Mbah a Moute),12,19
43,1,5:39.0,D. Gooden enters the game for N. Hilário,,12,19
44,1,5:33.0,,Shooting foul by M. Gortat (drawn by L. Mbah a Moute),12,19
45,1,5:33.0,,L. Mbah a Moute misses free throw 1 of 2,12,19
46,1,5:33.0,,Offensive rebound by Team,12,19
47,1,5:33.0,,L. Mbah a Moute misses free throw 2 of 2,12,19
48,1,5:32.0,,Offensive rebound by R. Covington,12,19
49,1,5:12.0,,I. Canaan misses 3-pt jump shot from 25 ft,12,19
50,1,5:10.0,Defensive rebound by G. Temple,,12,19
51,1,5:00.0,J. Wall makes 2-pt jump shot from 20 ft,,14,19
52,1,4:49.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,14,19
53,1,4:48.0,,Offensive rebound by I. Canaan,14,19
54,1,4:45.0,,Turnover by L. Mbah a Moute (bad pass),14,19
55,1,4:45.0,,T. Robinson enters the game for L. Mbah a Moute,14,19
56,1,4:34.0,J. Wall makes 2-pt jump shot from 12 ft,,16,19
57,1,4:25.0,,I. Canaan makes 2-pt layup from 1 ft (assist by N. Noel),16,21
58,1,4:17.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,19,21
59,1,4:13.0,,Shooting foul by O. Porter (drawn by R. Covington),19,21
60,1,4:13.0,,R. Covington makes free throw 1 of 2,19,22
61,1,4:13.0,,I. Smith enters the game for I. Canaan,19,22
62,1,4:13.0,R. Butler enters the game for G. Temple,,19,22
63,1,4:13.0,,R. Covington makes free throw 2 of 2,19,23
64,1,4:00.0,J. Wall misses 2-pt layup from 1 ft,,19,23
65,1,3:57.0,Offensive rebound by D. Gooden,,19,23
66,1,3:57.0,D. Gooden misses 2-pt tip-in from 1 ft,,19,23
67,1,3:57.0,Offensive rebound by Team,,19,23
68,1,3:57.0,,J. Grant enters the game for R. Covington,19,23
69,1,3:44.0,D. Gooden misses 2-pt jump shot from 20 ft,,19,23
70,1,3:44.0,,Defensive rebound by Team,19,23
71,1,3:26.0,,Turnover by J. Grant (bad pass; steal by J. Wall),19,23
72,1,3:20.0,J. Wall makes 2-pt layup from 1 ft,,21,23
73,1,3:04.0,,H. Thompson misses 2-pt layup from 1 ft,21,23
74,1,3:02.0,Defensive rebound by D. Gooden,,21,23
75,1,2:54.0,R. Butler misses 3-pt jump shot from 25 ft,,21,23
76,1,2:52.0,,Defensive rebound by T. Robinson,21,23
77,1,2:42.0,,T. Robinson makes 2-pt jump shot from 19 ft (assist by H. Thompson),21,25
78,1,2:30.0,Shooting foul by T. Robinson (drawn by R. Butler),,21,25
79,1,2:30.0,R. Butler makes free throw 1 of 2,,22,25
80,1,2:30.0,,J. McGee enters the game for N. Noel,22,25
81,1,2:30.0,R. Sessions enters the game for J. Wall,,22,25
82,1,2:30.0,M. Webster enters the game for O. Porter,,22,25
83,1,2:30.0,R. Butler makes free throw 2 of 2,,23,25
84,1,2:14.0,,Shooting foul by D. Gooden (drawn by J. Grant),23,25
85,1,2:14.0,,J. Grant misses free throw 1 of 2,23,25
86,1,2:14.0,,Offensive rebound by Team,23,25
87,1,2:14.0,,J. Grant makes free throw 2 of 2,23,26
88,1,1:52.0,R. Sessions misses 2-pt jump shot from 4 ft,,23,26
89,1,1:51.0,,Defensive rebound by J. McGee,23,26
90,1,1:41.0,,T. Robinson misses 2-pt jump shot from 20 ft,23,26
91,1,1:40.0,Defensive rebound by M. Gortat,,23,26
92,1,1:33.0,D. Gooden misses 2-pt jump shot from 18 ft,,23,26
93,1,1:31.0,,Defensive rebound by I. Smith,23,26
94,1,1:24.0,,J. Grant misses 3-pt jump shot from 23 ft,23,26
95,1,1:22.0,Defensive rebound by D. Gooden,,23,26
96,1,1:16.0,M. Gortat makes 2-pt layup from 1 ft (assist by R. Sessions),,25,26
97,1,0:59.0,,I. Smith misses 2-pt jump shot from 3 ft (block by M. Gortat),25,26
98,1,0:58.0,,Offensive rebound by Team,25,26
99,1,0:58.0,K. Séraphin enters the game for M. Gortat,,25,26
100,1,0:50.0,,H. Thompson makes 2-pt jump shot from 14 ft (assist by I. Smith),25,28
101,1,0:38.0,Turnover by K. Séraphin (lost ball),,25,28
102,1,0:30.0,,I. Smith misses 2-pt jump shot from 9 ft,25,28
103,1,0:29.0,Defensive rebound by K. Séraphin,,25,28
104,1,0:04.0,R. Sessions misses 2-pt jump shot from 14 ft,,25,28
105,1,0:03.0,,Defensive rebound by J. Grant,25,28
106,1,0:00.0,,J. Grant misses 3-pt jump shot from 37 ft,25,28
107,1,0:00.0,,Offensive rebound by Team,25,28
108,2,11:47.0,,H. Thompson misses 2-pt jump shot from 3 ft,25,28
109,2,11:46.0,,Offensive rebound by T. Robinson,25,28
110,2,11:46.0,,T. Robinson misses 2-pt dunk at rim,25,28
111,2,11:45.0,Defensive rebound by R. Sessions,,25,28
112,2,11:40.0,R. Sessions misses 2-pt jump shot from 3 ft,,25,28
113,2,11:38.0,,Defensive rebound by I. Smith,25,28
114,2,11:32.0,,Turnover by I. Smith (bad pass),25,28
115,2,11:15.0,K. Séraphin misses 2-pt hook shot from 7 ft,,25,28
116,2,11:13.0,,Defensive rebound by H. Thompson,25,28
117,2,10:57.0,,I. Smith misses 2-pt jump shot from 15 ft,25,28
118,2,10:56.0,,Offensive rebound by T. Robinson,25,28
119,2,10:54.0,,T. Robinson misses 2-pt jump shot from 4 ft,25,28
120,2,10:53.0,Defensive rebound by M. Webster,,25,28
121,2,10:50.0,R. Sessions makes 2-pt layup from 2 ft,,27,28
122,2,10:50.0,Shooting foul by H. Thompson (drawn by R. Sessions),,27,28
123,2,10:50.0,R. Sessions makes free throw 1 of 1,,28,28
124,2,10:31.0,,J. Grant misses 2-pt jump shot from 16 ft,28,28
125,2,10:29.0,Defensive rebound by R. Sessions,,28,28
126,2,10:19.0,R. Sessions makes 2-pt layup at rim (assist by R. Butler),,30,28
127,2,10:16.0,,Philadelphia full timeout,30,28
128,2,10:16.0,,H. Sims enters the game for T. Robinson,30,28
129,2,10:12.0,,J. Richardson enters the game for J. McGee,30,28
130,2,9:58.0,,Turnover by J. Grant (bad pass),30,28
131,2,9:51.0,R. Butler misses 2-pt jump shot from 15 ft,,30,28
