,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
0,1,11:43.0,,L. Aldridge misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by K. Love,,0,0
2,1,11:25.0,Turnover by K. Love (lost ball; steal by R. Lopez),,0,0
3,1,11:05.0,,R. Lopez makes 2-pt hook shot from 5 ft,0,2
4,1,10:46.0,L. James makes 2-pt dunk at rim,,2,2
5,1,10:46.0,Shooting foul by N. Batum (drawn by L. James),,2,2
6,1,10:46.0,L. James makes free throw 1 of 1,,3,2
7,1,10:31.0,,R. Lopez misses 2-pt hook shot from 5 ft,3,2
8,1,10:30.0,,Offensive rebound by W. Matthews,3,2
9,1,10:30.0,,W. Matthews makes 2-pt tip-in at rim,3,4
10,1,10:20.0,Personal foul by D. Lillard (drawn by A. Varejão),,3,4
11,1,10:17.0,Turnover by D. Waiters (lost ball),,3,4
12,1,10:04.0,,W. Matthews makes 2-pt layup at rim (assist by N. Batum),3,6
13,1,10:04.0,,Shooting foul by D. Waiters (drawn by W. Matthews),3,6
14,1,10:04.0,,W. Matthews misses free throw 1 of 1,3,6
15,1,10:03.0,Defensive rebound by K. Love,,3,6
16,1,9:43.0,K. Love makes 2-pt layup at rim (assist by A. Varejão),,5,6
17,1,9:31.0,,R. Lopez makes 2-pt jump shot from 12 ft (assist by D. Lillard),5,8
18,1,9:14.0,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),,8,8
19,1,9:01.0,,N. Batum makes 2-pt layup from 1 ft (assist by D. Lillard),8,10
20,1,8:42.0,K. Irving makes 3-pt jump shot from 24 ft,,11,10
21,1,8:18.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by W. Matthews),11,12
22,1,8:07.0,A. Varejão makes 2-pt jump shot from 16 ft (assist by K. Irving),,13,12
23,1,7:53.0,,R. Lopez makes 2-pt jump shot from 16 ft (assist by D. Lillard),13,14
24,1,7:40.0,A. Varejão makes 2-pt jump shot from 18 ft (assist by L. James),,15,14
25,1,7:24.0,,R. Lopez misses 2-pt layup from 1 ft,15,14
26,1,7:23.0,,Offensive rebound by R. Lopez,15,14
27,1,7:23.0,,R. Lopez misses 2-pt tip-in from 1 ft,15,14
28,1,7:21.0,Defensive rebound by K. Love,,15,14
29,1,7:16.0,Shooting foul by W. Matthews (drawn by A. Varejão),,15,14
30,1,7:16.0,A. Varejão makes free throw 1 of 2,,16,14
31,1,7:16.0,A. Varejão misses free throw 2 of 2,,16,14
32,1,7:14.0,,Defensive rebound by L. Aldridge,16,14
33,1,6:56.0,,L. Aldridge misses 2-pt jump shot from 19 ft,16,14
34,1,6:54.0,,Offensive rebound by R. Lopez,16,14
35,1,6:50.0,,D. Lillard misses 3-pt jump shot from 24 ft,16,14
36,1,6:48.0,,Offensive rebound by L. Aldridge,16,14
37,1,6:48.0,,L. Aldridge makes 2-pt tip-in from 1 ft,16,16
38,1,6:39.0,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),,19,16
39,1,6:25.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by R. Lopez),19,19
40,1,6:09.0,A. Varejão makes 2-pt layup from 2 ft (assist by K. Irving),,21,19
41,1,5:57.0,,Turnover by W. Matthews (dbl dribble),21,19
42,1,5:57.0,,Portland full timeout,21,19
43,1,5:37.0,L. James makes 3-pt jump shot from 24 ft,,24,19
44,1,5:20.0,,Shooting foul by A. Varejão (drawn by N. Batum),24,19
45,1,5:20.0,,N. Batum makes free throw 1 of 2,24,20
46,1,5:20.0,M. Miller enters the game for D. Waiters,,24,20
47,1,5:20.0,,N. Batum misses free throw 2 of 2,24,20
48,1,5:19.0,Defensive rebound by K. Love,,24,20
49,1,4:55.0,L. James makes 3-pt jump shot from 28 ft (assist by K. Love),,27,20
50,1,4:36.0,,L. Aldridge misses 2-pt jump shot from 20 ft,27,20
51,1,4:34.0,,Offensive rebound by D. Lillard,27,20
52,1,4:30.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by N. Batum),27,23
53,1,4:15.0,K. Irving misses 2-pt jump shot from 9 ft,,27,23
54,1,4:14.0,,Defensive rebound by N. Batum,27,23
55,1,4:03.0,,R. Lopez makes 2-pt jump shot from 16 ft (assist by N. Batum),27,25
56,1,3:43.0,Turnover by A. Varejão (lost ball; steal by D. Lillard),,27,25
57,1,3:38.0,,N. Batum makes 2-pt dunk at rim (assist by D. Lillard),27,27
58,1,3:30.0,Cleveland full timeout,,27,27
59,1,3:30.0,,S. Blake enters the game for W. Matthews,27,27
60,1,3:30.0,,C. Kaman enters the game for R. Lopez,27,27
61,1,3:30.0,T. Thompson enters the game for A. Varejão,,27,27
62,1,3:14.0,T. Thompson misses 2-pt hook shot from 5 ft,,27,27
63,1,3:13.0,,Defensive rebound by C. Kaman,27,27
64,1,3:03.0,,Shooting foul by K. Irving (drawn by D. Lillard),27,27
65,1,3:03.0,,D. Lillard makes free throw 1 of 2,27,28
66,1,3:03.0,,D. Lillard makes free throw 2 of 2,27,29
67,1,2:46.0,K. Irving misses 2-pt jump shot from 6 ft,,27,29
68,1,2:46.0,,Defensive rebound by C. Kaman,27,29
69,1,2:44.0,,Turnover by C. Kaman (bad pass; steal by L. James),27,29
70,1,2:43.0,Shooting foul by C. Kaman (drawn by T. Thompson),,27,29
71,1,2:43.0,T. Thompson misses free throw 1 of 2,,27,29
72,1,2:43.0,Offensive rebound by Team,,27,29
73,1,2:43.0,T. Thompson makes free throw 2 of 2,,28,29
74,1,2:27.0,,N. Batum misses 3-pt jump shot from 24 ft,28,29
75,1,2:26.0,Defensive rebound by K. Love,,28,29
76,1,2:17.0,L. James misses 2-pt layup from 2 ft,,28,29
77,1,2:16.0,,Defensive rebound by N. Batum,28,29
78,1,1:58.0,,W. Barton enters the game for D. Lillard,28,29
79,1,1:52.0,,W. Barton misses 3-pt jump shot from 22 ft,28,29
80,1,1:52.0,,Offensive rebound by Team,28,29
81,1,1:52.0,,Turnover by Team (shot clock),28,29
82,1,1:52.0,M. Dellavedova enters the game for K. Irving,,28,29
83,1,1:41.0,L. James misses 2-pt layup from 1 ft,,28,29
84,1,1:39.0,Offensive rebound by T. Thompson,,28,29
85,1,1:39.0,T. Thompson misses 2-pt tip-in from 1 ft,,28,29
86,1,1:38.0,Offensive rebound by T. Thompson,,28,29
87,1,1:38.0,T. Thompson makes 2-pt tip-in from 1 ft,,30,29
88,1,1:19.0,,L. Aldridge makes 2-pt jump shot from 4 ft,30,31
89,1,1:05.0,M. Dellavedova misses 3-pt jump shot from 23 ft,,30,31
90,1,1:05.0,,Defensive rebound by N. Batum,30,31
91,1,0:51.0,,L. Aldridge misses 2-pt jump shot from 16 ft,30,31
92,1,0:50.0,Defensive rebound by M. Miller,,30,31
93,1,0:40.0,S. Marion enters the game for L. James,,30,31
94,1,0:28.0,K. Love misses 2-pt jump shot from 20 ft,,30,31
95,1,0:27.0,Offensive rebound by M. Miller,,30,31
96,1,0:27.0,M. Miller makes 2-pt layup at rim,,32,31
97,1,0:06.0,,C. Kaman misses 2-pt jump shot from 15 ft,32,31
98,1,0:06.0,Defensive rebound by K. Love,,32,31
99,1,0:00.0,M. Dellavedova makes 2-pt jump shot from 10 ft,,34,31
100,2,11:36.0,A. Varejão misses 3-pt jump shot from 24 ft,,34,31
101,2,11:35.0,,Defensive rebound by S. Blake,34,31
102,2,11:28.0,,Turnover by S. Blake (bad pass; steal by S. Marion),34,31
103,2,11:14.0,T. Thompson misses 2-pt hook shot from 3 ft,,34,31
104,2,11:14.0,,Defensive rebound by T. Robinson,34,31
105,2,11:09.0,,Turnover by S. Blake (bad pass),34,31
106,2,11:03.0,Turnover by T. Thompson (traveling),,34,31
107,2,11:03.0,D. Waiters enters the game for M. Miller,,34,31
108,2,10:48.0,,C. Kaman misses 2-pt jump shot from 5 ft,34,31
109,2,10:45.0,,Offensive rebound by T. Robinson,34,31
110,2,10:45.0,,Portland full timeout,34,31
111,2,10:33.0,,S. Blake misses 3-pt jump shot from 25 ft,34,31
112,2,10:33.0,Defensive rebound by Team,,34,31
113,2,10:33.0,,Loose ball foul by T. Robinson (drawn by A. Varejão),34,31
114,2,10:13.0,T. Thompson misses 2-pt hook shot from 9 ft,,34,31
115,2,10:13.0,,Defensive rebound by T. Robinson,34,31
116,2,10:01.0,,Turnover by C. Kaman (bad pass; steal by D. Waiters),34,31
117,2,9:52.0,D. Waiters misses 2-pt jump shot from 21 ft,,34,31
118,2,9:51.0,,Defensive rebound by C. Kaman,34,31
119,2,9:30.0,,C. Kaman makes 2-pt hook shot from 3 ft (assist by S. Blake),34,33
120,2,9:16.0,M. Dellavedova misses 2-pt jump shot from 5 ft,,34,33
121,2,9:16.0,,Defensive rebound by T. Robinson,34,33
122,2,9:05.0,,W. Matthews misses 3-pt jump shot from 24 ft,34,33
123,2,9:05.0,Defensive rebound by M. Dellavedova,,34,33
124,2,8:57.0,D. Waiters misses 2-pt layup from 1 ft,,34,33
125,2,8:56.0,,Defensive rebound by T. Robinson,34,33
126,2,8:54.0,,Personal foul by M. Dellavedova (drawn by S. Blake),34,33
127,2,8:54.0,K. Irving enters the game for M. Dellavedova,,34,33
128,2,8:38.0,,T. Robinson misses 2-pt layup from 2 ft,34,33
129,2,8:36.0,Defensive rebound by T. Thompson,,34,33
130,2,8:26.0,K. Irving misses 2-pt jump shot from 3 ft,,34,33
131,2,8:25.0,,Defensive rebound by C. Kaman,34,33
132,2,8:20.0,,Shooting foul by D. Waiters (drawn by W. Barton),34,33
133,2,8:20.0,,W. Barton misses free throw 1 of 2,34,33
134,2,8:20.0,,Offensive rebound by Team,34,33
135,2,8:20.0,,W. Barton misses free throw 2 of 2,34,33
136,2,8:19.0,Defensive rebound by T. Thompson,,34,33
137,2,8:00.0,Turnover by A. Varejão (bad pass; steal by W. Barton),,34,33
138,2,7:55.0,,W. Barton makes 2-pt layup at rim,34,35
139,2,7:37.0,S. Marion makes 3-pt jump shot from 22 ft (assist by K. Irving),,37,35
140,2,7:17.0,,W. Barton misses 2-pt jump shot from 8 ft,37,35
141,2,7:16.0,,Offensive rebound by C. Kaman,37,35
142,2,7:16.0,,C. Kaman makes 2-pt layup at rim,37,37
143,2,7:07.0,Personal foul by S. Blake (drawn by K. Irving),,37,37
144,2,7:07.0,,D. Lillard enters the game for W. Barton,37,37
145,2,7:07.0,,R. Lopez enters the game for C. Kaman,37,37
146,2,7:07.0,K. Love enters the game for T. Thompson,,37,37
147,2,7:07.0,L. James enters the game for D. Waiters,,37,37
148,2,6:58.0,L. James misses 3-pt jump shot from 24 ft,,37,37
149,2,6:57.0,Offensive rebound by S. Marion,,37,37
150,2,6:39.0,L. James makes 2-pt jump shot from 9 ft,,39,37
151,2,6:22.0,,W. Matthews misses 3-pt jump shot from 24 ft,39,37
152,2,6:20.0,Defensive rebound by L. James,,39,37
153,2,6:18.0,S. Marion makes 2-pt layup at rim (assist by L. James),,41,37
154,2,6:03.0,,Shooting foul by K. Love (drawn by D. Lillard),41,37
155,2,6:03.0,,D. Lillard makes free throw 1 of 2,41,38
156,2,6:03.0,,N. Batum enters the game for S. Blake,41,38
157,2,6:03.0,,L. Aldridge enters the game for T. Robinson,41,38
158,2,6:03.0,,D. Lillard makes free throw 2 of 2,41,39
159,2,5:46.0,K. Love makes 2-pt hook shot from 3 ft (assist by L. James),,43,39
160,2,5:46.0,Shooting foul by L. Aldridge (drawn by K. Love),,43,39
161,2,5:46.0,Official timeout,,43,39
162,2,5:46.0,T. Thompson enters the game for A. Varejão,,43,39
163,2,5:46.0,K. Love makes free throw 1 of 1,,44,39
164,2,5:26.0,,R. Lopez makes 2-pt hook shot from 7 ft,44,41
165,2,5:05.0,K. Love misses 3-pt jump shot from 22 ft,,44,41
166,2,5:05.0,,Defensive rebound by N. Batum,44,41
167,2,4:52.0,,Turnover by W. Matthews (bad pass),44,41
168,2,4:31.0,T. Thompson misses 2-pt jump shot from 7 ft,,44,41
169,2,4:30.0,,Defensive rebound by D. Lillard,44,41
170,2,4:15.0,,W. Matthews makes 3-pt jump shot from 22 ft (assist by L. Aldridge),44,44
171,2,3:51.0,K. Irving misses 3-pt jump shot from 25 ft,,44,44
172,2,3:49.0,,Defensive rebound by R. Lopez,44,44
173,2,3:37.0,,Shooting foul by K. Love (drawn by R. Lopez),44,44
174,2,3:37.0,,R. Lopez misses free throw 1 of 2,44,44
175,2,3:37.0,,Offensive rebound by Team,44,44
