,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
0,1,11:42.0,B. McLemore misses 3-pt jump shot from 23 ft,,0,0
1,1,11:40.0,Offensive rebound by R. Evans,,0,0
2,1,11:26.0,R. Gay makes 2-pt jump shot from 18 ft (assist by B. McLemore),,2,0
3,1,11:11.0,,Personal foul by R. Evans (drawn by E. Davis),2,0
4,1,11:00.0,,W. Johnson misses 3-pt jump shot from 25 ft,2,0
5,1,10:58.0,Defensive rebound by B. McLemore,,2,0
6,1,10:50.0,D. Collison makes 2-pt layup from 1 ft (assist by B. McLemore),,4,0
7,1,10:37.0,,K. Bryant misses 2-pt jump shot from 22 ft,4,0
8,1,10:36.0,Defensive rebound by R. Evans,,4,0
9,1,10:23.0,D. Collison misses 2-pt jump shot from 10 ft (block by W. Johnson),,4,0
10,1,10:22.0,,Defensive rebound by R. Price,4,0
11,1,10:13.0,,W. Johnson misses 2-pt jump shot from 15 ft,4,0
12,1,10:09.0,Defensive rebound by Team,,4,0
13,1,9:56.0,R. Gay misses 2-pt jump shot from 15 ft,,4,0
14,1,9:54.0,Offensive rebound by J. Thompson,,4,0
15,1,9:53.0,Shooting foul by J. Hill (drawn by J. Thompson),,4,0
16,1,9:53.0,J. Thompson makes free throw 1 of 2,,5,0
17,1,9:53.0,J. Thompson makes free throw 2 of 2,,6,0
18,1,9:38.0,,K. Bryant makes 2-pt jump shot from 21 ft (assist by J. Hill),6,2
19,1,9:25.0,B. McLemore misses 2-pt layup from 1 ft,,6,2
20,1,9:19.0,,Defensive rebound by J. Hill,6,2
21,1,9:06.0,,K. Bryant misses 3-pt jump shot from 24 ft,6,2
22,1,9:05.0,,Offensive rebound by Team,6,2
23,1,9:05.0,Violation by R. Gay (kicked ball),,6,2
24,1,9:00.0,,R. Price misses 2-pt jump shot from 21 ft,6,2
25,1,8:59.0,Defensive rebound by J. Thompson,,6,2
26,1,8:49.0,J. Thompson misses 2-pt jump shot from 6 ft,,6,2
27,1,8:47.0,,Defensive rebound by J. Hill,6,2
28,1,8:37.0,,E. Davis makes 2-pt hook shot from 2 ft (assist by R. Price),6,4
29,1,8:24.0,Turnover by J. Thompson (bad pass; steal by J. Hill),,6,4
30,1,8:16.0,,J. Hill makes 2-pt dunk at rim (assist by E. Davis),6,6
31,1,7:54.0,J. Thompson misses 2-pt jump shot from 13 ft,,6,6
32,1,7:53.0,,Defensive rebound by E. Davis,6,6
33,1,7:34.0,,R. Price misses 3-pt jump shot from 24 ft,6,6
34,1,7:33.0,Defensive rebound by D. Collison,,6,6
35,1,7:19.0,Shooting foul by R. Price (drawn by B. McLemore),,6,6
36,1,7:19.0,B. McLemore makes free throw 1 of 2,,7,6
37,1,7:19.0,B. McLemore makes free throw 2 of 2,,8,6
38,1,7:08.0,,W. Johnson misses 2-pt jump shot from 17 ft,8,6
39,1,7:07.0,Defensive rebound by J. Thompson,,8,6
40,1,6:57.0,Shooting foul by J. Hill (drawn by J. Thompson),,8,6
41,1,6:57.0,J. Thompson makes free throw 1 of 2,,9,6
42,1,6:57.0,J. Thompson misses free throw 2 of 2,,9,6
43,1,6:56.0,,Defensive rebound by E. Davis,9,6
44,1,6:41.0,,W. Johnson makes 2-pt jump shot from 17 ft (assist by E. Davis),9,8
45,1,6:28.0,R. Gay misses 2-pt jump shot from 14 ft (block by W. Johnson),,9,8
46,1,6:27.0,,Defensive rebound by E. Davis,9,8
47,1,6:27.0,,Personal foul by R. Gay (drawn by W. Johnson),9,8
48,1,6:10.0,,K. Bryant makes 2-pt jump shot from 14 ft (assist by W. Johnson),9,10
49,1,5:48.0,D. Collison makes 2-pt jump shot from 21 ft,,11,10
50,1,5:24.0,,K. Bryant misses 2-pt jump shot from 8 ft,11,10
51,1,5:22.0,,Offensive rebound by K. Bryant,11,10
52,1,5:19.0,,K. Bryant misses 2-pt jump shot from 9 ft,11,10
53,1,5:19.0,,Offensive rebound by Team,11,10
54,1,5:19.0,Loose ball foul by J. Thompson (drawn by J. Hill),,11,10
55,1,5:19.0,,LA Lakers full timeout,11,10
56,1,5:19.0,,C. Boozer enters the game for J. Hill,11,10
57,1,5:16.0,,K. Bryant misses 2-pt layup from 1 ft,11,10
58,1,5:13.0,Defensive rebound by R. Evans,,11,10
59,1,5:08.0,Turnover by B. McLemore (traveling),,11,10
60,1,4:59.0,,K. Bryant misses 2-pt jump shot from 14 ft,11,10
61,1,4:58.0,Defensive rebound by J. Thompson,,11,10
62,1,4:44.0,R. Gay makes 2-pt jump shot from 13 ft,,13,10
63,1,4:34.0,,E. Davis makes 2-pt dunk at rim (assist by R. Price),13,12
64,1,4:10.0,R. Gay makes 3-pt jump shot from 24 ft (assist by J. Thompson),,16,12
65,1,3:52.0,,R. Price misses 3-pt jump shot from 25 ft,16,12
66,1,3:50.0,Defensive rebound by R. Gay,,16,12
67,1,3:35.0,D. Collison makes 2-pt layup from 2 ft (assist by J. Thompson),,18,12
68,1,3:19.0,,R. Price misses 3-pt jump shot from 24 ft,18,12
69,1,3:18.0,,Offensive rebound by E. Davis,18,12
70,1,3:17.0,,Shooting foul by R. Gay (drawn by E. Davis),18,12
71,1,3:17.0,,E. Davis misses free throw 1 of 2,18,12
72,1,3:17.0,,Offensive rebound by Team,18,12
73,1,3:17.0,,J. Lin enters the game for R. Price,18,12
74,1,3:17.0,,N. Young enters the game for W. Johnson,18,12
75,1,3:17.0,D. Williams enters the game for R. Gay,,18,12
76,1,3:17.0,,E. Davis misses free throw 2 of 2,18,12
77,1,3:16.0,Defensive rebound by D. Williams,,18,12
78,1,2:59.0,D. Collison makes 2-pt jump shot from 15 ft,,20,12
79,1,2:51.0,,K. Bryant makes 2-pt jump shot from 3 ft (assist by J. Lin),20,14
80,1,2:51.0,,Shooting foul by B. McLemore (drawn by K. Bryant),20,14
81,1,2:51.0,Sacramento full timeout,,20,14
82,1,2:51.0,,R. Sacre enters the game for E. Davis,20,14
83,1,2:51.0,,K. Bryant makes free throw 1 of 1,20,15
84,1,2:42.0,D. Williams misses 3-pt jump shot from 24 ft,,20,15
85,1,2:42.0,,Defensive rebound by Team,20,15
86,1,2:42.0,C. Landry enters the game for R. Evans,,20,15
87,1,2:31.0,,K. Bryant misses 3-pt jump shot from 23 ft,20,15
88,1,2:29.0,Defensive rebound by C. Landry,,20,15
