,QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
0,1,11:40.0,,A. Drummond misses 2-pt hook shot from 5 ft,0,0
1,1,11:38.0,Defensive rebound by C. Bosh,,0,0
2,1,11:22.0,H. Whiteside misses 2-pt jump shot from 18 ft,,0,0
3,1,11:21.0,,Defensive rebound by G. Monroe,0,0
4,1,11:14.0,,Shooting foul by H. Whiteside (drawn by D. Augustin),0,0
5,1,11:14.0,,D. Augustin makes free throw 1 of 2,0,1
6,1,11:14.0,,D. Augustin makes free throw 2 of 2,0,2
7,1,11:03.0,L. Deng misses 2-pt jump shot from 13 ft,,0,2
8,1,11:03.0,Offensive rebound by H. Whiteside,,0,2
9,1,11:02.0,H. Whiteside misses 2-pt tip-in from 1 ft,,0,2
10,1,11:01.0,Offensive rebound by H. Whiteside,,0,2
11,1,10:58.0,H. Whiteside makes 2-pt layup at rim,,2,2
12,1,10:35.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,2,2
13,1,10:34.0,Defensive rebound by H. Whiteside,,2,2
14,1,10:24.0,C. Bosh makes 2-pt jump shot from 12 ft (assist by S. Napier),,4,2
15,1,10:04.0,,K. Singler makes 2-pt jump shot from 18 ft (assist by K. Caldwell-Pope),4,4
16,1,9:35.0,C. Bosh makes 2-pt jump shot from 16 ft (assist by M. Chalmers),,6,4
17,1,9:04.0,,D. Augustin misses 3-pt jump shot from 25 ft,6,4
18,1,9:03.0,Defensive rebound by L. Deng,,6,4
19,1,8:51.0,Turnover by L. Deng (bad pass; steal by K. Caldwell-Pope),,6,4
20,1,8:40.0,,G. Monroe misses 2-pt hook shot from 6 ft,6,4
21,1,8:38.0,,Offensive rebound by A. Drummond,6,4
22,1,8:37.0,,A. Drummond misses 2-pt layup at rim,6,4
23,1,8:36.0,,Offensive rebound by A. Drummond,6,4
24,1,8:36.0,,A. Drummond makes 2-pt tip-in at rim,6,6
25,1,8:19.0,Personal foul by K. Singler (drawn by C. Bosh),,6,6
26,1,8:06.0,H. Whiteside makes 2-pt layup at rim,,8,6
27,1,7:54.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by D. Augustin),8,8
28,1,7:33.0,M. Chalmers misses 3-pt jump shot from 25 ft,,8,8
29,1,7:32.0,,Defensive rebound by A. Drummond,8,8
30,1,7:22.0,,D. Augustin misses 2-pt jump shot from 17 ft,8,8
31,1,7:21.0,Defensive rebound by H. Whiteside,,8,8
32,1,7:10.0,C. Bosh makes 3-pt jump shot from 22 ft (assist by S. Napier),,11,8
33,1,6:59.0,,Detroit full timeout,11,8
34,1,6:45.0,,G. Monroe misses 2-pt layup from 1 ft (block by H. Whiteside),11,8
35,1,6:44.0,Defensive rebound by C. Bosh,,11,8
36,1,6:31.0,C. Bosh misses 2-pt jump shot from 17 ft,,11,8
37,1,6:30.0,,Defensive rebound by D. Augustin,11,8
38,1,6:28.0,,Personal foul by S. Napier (drawn by D. Augustin),11,8
39,1,6:16.0,,G. Monroe misses 2-pt layup at rim (block by H. Whiteside),11,8
40,1,6:14.0,Defensive rebound by S. Napier,,11,8
41,1,5:54.0,L. Deng misses 3-pt jump shot from 23 ft,,11,8
42,1,5:53.0,Offensive rebound by H. Whiteside,,11,8
43,1,5:49.0,H. Whiteside misses 2-pt layup from 3 ft (block by A. Drummond),,11,8
44,1,5:48.0,,Defensive rebound by G. Monroe,11,8
45,1,5:43.0,,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by D. Augustin),11,11
46,1,5:21.0,H. Whiteside misses 2-pt layup from 2 ft (block by G. Monroe),,11,11
47,1,5:19.0,,Defensive rebound by G. Monroe,11,11
48,1,5:14.0,J. Ennis enters the game for L. Deng,,11,11
49,1,5:07.0,,Shooting foul by H. Whiteside (drawn by K. Caldwell-Pope),11,11
50,1,5:07.0,,K. Caldwell-Pope misses free throw 1 of 2,11,11
51,1,5:07.0,,Offensive rebound by Team,11,11
52,1,5:07.0,C. Andersen enters the game for H. Whiteside,,11,11
53,1,5:07.0,,K. Caldwell-Pope misses free throw 2 of 2,11,11
54,1,5:06.0,Defensive rebound by C. Andersen,,11,11
55,1,5:03.0,Miami full timeout,,11,11
56,1,4:51.0,C. Bosh misses 2-pt jump shot from 16 ft,,11,11
57,1,4:50.0,Offensive rebound by C. Andersen,,11,11
58,1,4:45.0,C. Bosh misses 2-pt jump shot from 14 ft,,11,11
59,1,4:44.0,,Defensive rebound by G. Monroe,11,11
60,1,4:30.0,,G. Monroe makes 2-pt layup at rim (assist by D. Augustin),11,13
61,1,4:12.0,C. Bosh misses 2-pt jump shot from 17 ft,,11,13
62,1,4:12.0,,Defensive rebound by K. Singler,11,13
63,1,4:06.0,,D. Augustin misses 2-pt jump shot from 4 ft (block by C. Andersen),11,13
64,1,4:04.0,,Offensive rebound by K. Caldwell-Pope,11,13
65,1,4:03.0,,K. Caldwell-Pope makes 2-pt layup at rim,11,15
66,1,3:47.0,C. Bosh misses 2-pt jump shot from 8 ft,,11,15
67,1,3:44.0,,Defensive rebound by A. Drummond,11,15
68,1,3:41.0,,D. Augustin makes 2-pt layup at rim,11,17
69,1,3:16.0,Turnover by J. Ennis (lost ball; steal by D. Augustin),,11,17
70,1,3:13.0,,Turnover by G. Monroe (bad pass),11,17
71,1,3:13.0,T. Johnson enters the game for S. Napier,,11,17
72,1,3:13.0,N. Cole enters the game for M. Chalmers,,11,17
73,1,2:56.0,Turnover by C. Bosh (lost ball; steal by G. Monroe),,11,17
74,1,2:51.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by D. Augustin),11,19
75,1,2:51.0,Miami full timeout,,11,19
76,1,2:51.0,,J. Meeks enters the game for G. Monroe,11,19
77,1,2:51.0,,A. Tolliver enters the game for K. Caldwell-Pope,11,19
78,1,2:51.0,D. Granger enters the game for C. Bosh,,11,19
79,1,2:41.0,Shooting foul by A. Tolliver (drawn by T. Johnson),,11,19
80,1,2:41.0,T. Johnson misses free throw 1 of 2,,11,19
81,1,2:41.0,Offensive rebound by Team,,11,19
82,1,2:41.0,T. Johnson makes free throw 2 of 2,,12,19
83,1,2:28.0,,A. Drummond makes 2-pt layup at rim (assist by K. Singler),12,21
84,1,2:07.0,C. Andersen misses 2-pt jump shot from 4 ft,,12,21
85,1,2:06.0,,Defensive rebound by A. Drummond,12,21
86,1,2:02.0,,Shooting foul by J. Ennis (drawn by A. Drummond),12,21
87,1,2:02.0,,A. Drummond makes free throw 1 of 2,12,22
88,1,2:02.0,,A. Drummond makes free throw 2 of 2,12,23
89,1,1:48.0,N. Cole misses 2-pt jump shot from 18 ft,,12,23
90,1,1:47.0,,Defensive rebound by D. Augustin,12,23
91,1,1:43.0,,Shooting foul by C. Andersen (drawn by D. Augustin),12,23
92,1,1:43.0,,D. Augustin makes free throw 1 of 2,12,24
93,1,1:43.0,,D. Augustin makes free throw 2 of 2,12,25
94,1,1:29.0,T. Johnson misses 2-pt jump shot from 6 ft,,12,25
95,1,1:26.0,,Defensive rebound by A. Tolliver,12,25
96,1,1:21.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by D. Augustin),12,28
97,1,1:00.0,J. Ennis misses 3-pt jump shot from 23 ft,,12,28
98,1,1:00.0,,Defensive rebound by A. Drummond,12,28
99,1,0:45.0,,K. Singler misses 2-pt jump shot from 10 ft,12,28
100,1,0:43.0,,Offensive rebound by A. Drummond,12,28
101,1,0:40.0,,D. Augustin makes 2-pt layup at rim (assist by A. Drummond),12,30
102,1,0:40.0,,Shooting foul by D. Granger (drawn by D. Augustin),12,30
103,1,0:40.0,,D. Augustin makes free throw 1 of 1,12,31
104,1,0:25.0,D. Granger misses 3-pt jump shot from 25 ft,,12,31
105,1,0:24.0,,Defensive rebound by A. Drummond,12,31
106,1,0:00.0,,D. Augustin misses 2-pt layup from 1 ft,12,31
107,1,0:00.0,,Offensive rebound by A. Drummond,12,31
108,1,0:00.0,,A. Drummond makes 2-pt tip-in at rim,12,33
109,2,11:35.0,C. Bosh makes 2-pt jump shot from 9 ft,,14,33
110,2,11:15.0,,J. Meeks misses 2-pt jump shot from 15 ft,14,33
111,2,11:14.0,Defensive rebound by L. Deng,,14,33
112,2,11:06.0,C. Andersen makes 2-pt layup at rim (assist by N. Cole),,16,33
113,2,10:53.0,,J. Meeks misses 3-pt jump shot from 26 ft,16,33
114,2,10:52.0,Defensive rebound by Team,,16,33
115,2,10:38.0,C. Bosh misses 3-pt jump shot from 26 ft,,16,33
116,2,10:37.0,,Defensive rebound by Team,16,33
117,2,10:18.0,,A. Tolliver misses 2-pt layup at rim,16,33
118,2,10:17.0,Defensive rebound by C. Andersen,,16,33
119,2,10:12.0,Personal foul by C. Butler (drawn by L. Deng),,16,33
120,2,10:00.0,L. Deng makes 2-pt jump shot from 17 ft (assist by N. Cole),,18,33
121,2,9:41.0,,C. Butler makes 2-pt jump shot from 17 ft (assist by J. Meeks),18,35
122,2,9:25.0,C. Bosh makes 3-pt jump shot from 24 ft (assist by N. Cole),,21,35
123,2,9:01.0,,G. Monroe misses 2-pt layup from 1 ft,21,35
124,2,9:00.0,Defensive rebound by L. Deng,,21,35
125,2,8:46.0,C. Andersen misses 2-pt layup at rim,,21,35
126,2,8:45.0,,Defensive rebound by J. Meeks,21,35
127,2,8:38.0,,J. Meeks misses 3-pt jump shot from 26 ft,21,35
128,2,8:37.0,Defensive rebound by C. Andersen,,21,35
129,2,8:32.0,Shooting foul by S. Dinwiddie (drawn by L. Deng),,21,35
130,2,8:32.0,Official timeout,,21,35
131,2,8:32.0,L. Deng makes free throw 1 of 2,,22,35
132,2,8:32.0,L. Deng makes free throw 2 of 2,,23,35
133,2,8:23.0,,G. Monroe makes 2-pt dunk at rim (assist by S. Dinwiddie),23,37
134,2,8:08.0,Shooting foul by G. Monroe (drawn by C. Andersen),,23,37
135,2,8:08.0,C. Andersen makes free throw 1 of 2,,24,37
136,2,8:08.0,C. Andersen misses free throw 2 of 2,,24,37
137,2,8:08.0,,Defensive rebound by G. Monroe,24,37
138,2,7:44.0,,G. Monroe misses 2-pt hook shot from 7 ft,24,37
139,2,7:42.0,Defensive rebound by L. Deng,,24,37
140,2,7:29.0,C. Andersen makes 2-pt dunk at rim (assist by N. Cole),,26,37
141,2,7:13.0,,Turnover by A. Tolliver (bad pass; steal by C. Bosh),26,37
142,2,7:06.0,C. Andersen makes 2-pt layup at rim (assist by L. Deng),,28,37
143,2,7:01.0,,Detroit full timeout,28,37
144,2,7:01.0,,D. Augustin enters the game for S. Dinwiddie,28,37
145,2,6:51.0,,J. Meeks makes 2-pt jump shot from 20 ft (assist by G. Monroe),28,39
146,2,6:35.0,T. Johnson makes 2-pt layup from 1 ft,,30,39
147,2,6:10.0,,Shooting foul by T. Johnson (drawn by J. Meeks),30,39
148,2,6:10.0,,J. Meeks makes free throw 1 of 2,30,40
149,2,6:10.0,,J. Meeks makes free throw 2 of 2,30,41
150,2,5:56.0,N. Cole misses 2-pt jump shot from 5 ft,,30,41
151,2,5:54.0,Offensive rebound by L. Deng,,30,41
152,2,5:54.0,L. Deng misses 2-pt layup at rim,,30,41
153,2,5:53.0,,Defensive rebound by G. Monroe,30,41
154,2,5:48.0,,A. Tolliver misses 3-pt jump shot from 25 ft,30,41
155,2,5:47.0,Defensive rebound by T. Johnson,,30,41
156,2,5:43.0,C. Andersen makes 2-pt dunk at rim (assist by L. Deng),,32,41
157,2,5:25.0,,J. Meeks misses 2-pt jump shot from 12 ft,32,41
158,2,5:24.0,,Offensive rebound by G. Monroe,32,41
159,2,5:24.0,,G. Monroe makes 2-pt tip-in at rim,32,43
160,2,5:24.0,Miami full timeout,,32,43
161,2,5:24.0,,A. Drummond enters the game for A. Tolliver,32,43
162,2,5:24.0,H. Whiteside enters the game for C. Andersen,,32,43
163,2,5:24.0,M. Chalmers enters the game for T. Johnson,,32,43
164,2,5:11.0,C. Bosh misses 2-pt jump shot from 14 ft,,32,43
165,2,5:10.0,Offensive rebound by Team,,32,43
166,2,5:10.0,U. Haslem enters the game for C. Bosh,,32,43
167,2,4:59.0,L. Deng makes 2-pt jump shot from 6 ft,,34,43
168,2,4:59.0,Shooting foul by C. Butler (drawn by L. Deng),,34,43
169,2,4:59.0,L. Deng makes free throw 1 of 1,,35,43
170,2,4:46.0,,J. Meeks misses 2-pt jump shot from 15 ft,35,43
171,2,4:45.0,Defensive rebound by H. Whiteside,,35,43
172,2,4:23.0,Turnover by L. Deng (bad pass; steal by J. Meeks),,35,43
