,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,OKLAHOMA CITY_ACTION,LA CLIPPERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,R. Westbrook misses 2-pt jump shot from 15 ft,0,0
1,1,11:44.0,Defensive rebound by C. Paul,,0,0
2,1,11:40.0,Personal foul by S. Ibaka (drawn by D. Jordan),,0,0
3,1,11:28.0,S. Hawes misses 3-pt jump shot from 25 ft,,0,0
4,1,11:27.0,,Defensive rebound by A. Roberson,0,0
5,1,11:06.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
6,1,11:06.0,,Shooting foul by S. Hawes (drawn by S. Adams),0,2
7,1,11:06.0,,S. Adams misses free throw 1 of 1,0,2
8,1,11:04.0,Defensive rebound by D. Jordan,,0,2
9,1,10:50.0,A. Rivers misses 3-pt jump shot from 25 ft,,0,2
10,1,10:49.0,,Defensive rebound by K. Durant,0,2
11,1,10:43.0,,Shooting foul by A. Rivers (drawn by S. Ibaka),0,2
12,1,10:43.0,,S. Ibaka makes free throw 1 of 2,0,3
13,1,10:43.0,,S. Ibaka makes free throw 2 of 2,0,4
14,1,10:24.0,M. Barnes makes 3-pt jump shot from 24 ft (assist by C. Paul),,3,4
15,1,10:02.0,,Turnover by K. Durant (bad pass; steal by C. Paul),3,4
16,1,9:58.0,C. Paul misses 3-pt jump shot from 24 ft,,3,4
17,1,9:57.0,,Defensive rebound by R. Westbrook,3,4
18,1,9:49.0,,S. Ibaka misses 3-pt jump shot from 25 ft,3,4
19,1,9:48.0,Defensive rebound by Team,,3,4
20,1,9:37.0,M. Barnes misses 3-pt jump shot from 24 ft,,3,4
21,1,9:36.0,,Defensive rebound by S. Ibaka,3,4
22,1,9:30.0,,R. Westbrook misses 2-pt jump shot from 15 ft,3,4
23,1,9:28.0,,Offensive rebound by A. Roberson,3,4
24,1,9:16.0,,A. Roberson misses 2-pt layup from 1 ft,3,4
25,1,9:15.0,,Offensive rebound by A. Roberson,3,4
26,1,9:14.0,,A. Roberson misses 2-pt layup from 1 ft (block by D. Jordan),3,4
27,1,9:14.0,,Offensive rebound by S. Ibaka,3,4
28,1,9:14.0,,Shooting foul by D. Jordan (drawn by S. Ibaka),3,4
29,1,9:14.0,,S. Ibaka makes free throw 1 of 3,3,5
30,1,9:14.0,,S. Ibaka makes free throw 2 of 3,3,6
31,1,9:14.0,,S. Ibaka makes free throw 3 of 3,3,7
32,1,8:55.0,S. Hawes misses 2-pt hook shot from 3 ft,,3,7
33,1,8:54.0,,Defensive rebound by R. Westbrook,3,7
34,1,8:37.0,,Turnover by R. Westbrook (bad pass; steal by A. Rivers),3,7
35,1,8:31.0,M. Barnes misses 2-pt layup from 2 ft (block by S. Adams),,3,7
36,1,8:30.0,,Defensive rebound by S. Adams,3,7
37,1,8:11.0,,S. Ibaka misses 2-pt layup from 2 ft,3,7
38,1,8:09.0,Defensive rebound by D. Jordan,,3,7
39,1,7:55.0,C. Paul makes 2-pt jump shot from 12 ft,,5,7
40,1,7:41.0,,S. Ibaka misses 2-pt jump shot from 18 ft,5,7
41,1,7:41.0,Defensive rebound by C. Paul,,5,7
42,1,7:36.0,D. Jordan misses 2-pt layup from 2 ft (block by S. Ibaka),,5,7
43,1,7:34.0,,Defensive rebound by A. Roberson,5,7
44,1,7:28.0,,R. Westbrook misses 2-pt layup at rim,5,7
45,1,7:27.0,Defensive rebound by M. Barnes,,5,7
46,1,7:19.0,Turnover by A. Rivers (bad pass),,5,7
47,1,7:17.0,,Oklahoma City full timeout,5,7
48,1,7:14.0,,K. Durant makes 3-pt jump shot from 24 ft (assist by S. Adams),5,10
49,1,6:46.0,S. Hawes makes 2-pt jump shot from 3 ft (assist by C. Paul),,7,10
50,1,6:26.0,,R. Westbrook misses 2-pt layup from 1 ft,7,10
51,1,6:25.0,,Offensive rebound by S. Adams,7,10
