,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
60,1,3:56.0,,N. Batum misses 3-pt jump shot from 24 ft,14,22
61,1,3:55.0,Defensive rebound by M. Conley,,14,22
62,1,3:50.0,Shooting foul by N. Batum (drawn by M. Gasol),,14,22
63,1,3:50.0,M. Gasol makes free throw 1 of 2,,15,22
64,1,3:50.0,V. Carter enters the game for T. Allen,,15,22
65,1,3:50.0,M. Gasol makes free throw 2 of 2,,16,22
66,1,3:34.0,,L. Aldridge makes 2-pt jump shot from 12 ft,16,24
67,1,3:19.0,V. Carter misses 2-pt layup at rim,,16,24
68,1,3:17.0,,Defensive rebound by C. Kaman,16,24
69,1,3:01.0,,D. Lillard misses 3-pt jump shot from 24 ft,16,24
70,1,3:00.0,Defensive rebound by M. Gasol,,16,24
71,1,2:56.0,M. Conley makes 2-pt layup from 2 ft (assist by M. Gasol),,18,24
72,1,2:56.0,,Portland full timeout,18,24
73,1,2:56.0,,A. Crabbe enters the game for N. Batum,18,24
74,1,2:56.0,,W. Matthews enters the game for D. Lillard,18,24
75,1,2:38.0,,L. Aldridge misses 2-pt jump shot from 19 ft,18,24
76,1,2:37.0,,Offensive rebound by C. Kaman,18,24
77,1,2:28.0,,C. Kaman misses 2-pt jump shot from 12 ft,18,24
78,1,2:27.0,Defensive rebound by Z. Randolph,,18,24
79,1,2:12.0,M. Conley misses 3-pt jump shot from 24 ft,,18,24
80,1,2:12.0,,Defensive rebound by L. Aldridge,18,24
81,1,1:59.0,,W. Matthews misses 2-pt jump shot from 10 ft,18,24
82,1,1:59.0,,Offensive rebound by L. Aldridge,18,24
83,1,1:57.0,,L. Aldridge misses 2-pt layup from 1 ft,18,24
84,1,1:55.0,,Offensive rebound by L. Aldridge,18,24
85,1,1:55.0,,L. Aldridge misses 2-pt tip-in from 1 ft,18,24
86,1,1:54.0,,Offensive rebound by W. Matthews,18,24
87,1,1:49.0,,A. Crabbe misses 3-pt jump shot from 23 ft,18,24
88,1,1:48.0,Defensive rebound by Z. Randolph,,18,24
89,1,1:32.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by C. Lee),,20,24
90,1,1:14.0,K. Koufos enters the game for Z. Randolph,,20,24
91,1,1:05.0,,Turnover by Team (shot clock),20,24
92,1,0:55.0,C. Lee makes 2-pt jump shot from 18 ft (assist by M. Gasol),,22,24
93,1,0:34.0,,W. Matthews misses 3-pt jump shot from 23 ft,22,24
94,1,0:34.0,Defensive rebound by K. Koufos,,22,24
95,1,0:30.0,Shooting foul by A. Crabbe (drawn by C. Lee),,22,24
96,1,0:30.0,C. Lee misses free throw 1 of 2,,22,24
97,1,0:30.0,Offensive rebound by Team,,22,24
98,1,0:30.0,C. Lee makes free throw 2 of 2,,23,24
99,1,0:11.0,,L. Aldridge misses 2-pt jump shot from 6 ft,23,24
100,1,0:10.0,,Offensive rebound by C. Kaman,23,24
101,1,0:09.0,,Shooting foul by K. Koufos (drawn by C. Kaman),23,24
102,1,0:09.0,,C. Kaman misses free throw 1 of 2,23,24
103,1,0:09.0,,Offensive rebound by Team,23,24
104,1,0:09.0,,J. Freeland enters the game for L. Aldridge,23,24
105,1,0:09.0,,C. Kaman makes free throw 2 of 2,23,25
106,2,11:44.0,V. Carter misses 3-pt jump shot from 24 ft,,23,25
107,2,11:44.0,,Defensive rebound by J. Freeland,23,25
108,2,11:26.0,,C. Kaman misses 2-pt jump shot from 15 ft,23,25
109,2,11:26.0,Defensive rebound by B. Udrih,,23,25
110,2,11:19.0,B. Udrih makes 2-pt jump shot from 16 ft,,25,25
111,2,10:59.0,,C. Kaman makes 2-pt jump shot from 18 ft (assist by W. Matthews),25,27
112,2,10:44.0,Def 3 sec tech foul by C. Kaman,,25,27
113,2,10:44.0,B. Udrih misses technical free throw,,25,27
114,2,10:44.0,Offensive rebound by Team,,25,27
115,2,10:44.0,J. Leuer enters the game for M. Gasol,,25,27
116,2,10:31.0,V. Carter misses 2-pt jump shot from 17 ft,,25,27
117,2,10:31.0,,Defensive rebound by C. Kaman,25,27
118,2,10:28.0,,Turnover by C. Kaman (bad pass; steal by V. Carter),25,27
119,2,10:25.0,V. Carter misses 2-pt layup from 1 ft,,25,27
120,2,10:24.0,,Defensive rebound by C. Kaman,25,27
121,2,10:19.0,,Turnover by A. Crabbe (bad pass; steal by B. Udrih),25,27
122,2,10:10.0,Q. Pondexter makes 3-pt jump shot from 23 ft (assist by B. Udrih),,28,27
123,2,9:46.0,,W. Matthews makes 3-pt jump shot from 24 ft,28,30
124,2,9:32.0,B. Udrih makes 2-pt jump shot from 14 ft,,30,30
125,2,9:29.0,,Technical foul by S. Blake,30,30
