,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:49.0,Cleveland full timeout,,0,0
1,1,11:30.0,J. Smith makes 2-pt jump shot from 21 ft,,2,0
2,1,11:15.0,,Turnover by J. Johnson (bad pass),2,0
3,1,11:11.0,Personal foul by J. Johnson (drawn by L. James),,2,0
4,1,10:58.0,T. Mozgov misses 2-pt hook shot from 6 ft,,2,0
5,1,10:57.0,,Defensive rebound by M. Brown,2,0
6,1,10:48.0,,M. Plumlee misses 2-pt layup from 1 ft,2,0
7,1,10:47.0,Defensive rebound by T. Mozgov,,2,0
8,1,10:39.0,K. Love makes 3-pt jump shot from 23 ft (assist by K. Irving),,5,0
9,1,10:24.0,,Turnover by B. Lopez (lost ball; steal by L. James),5,0
10,1,10:18.0,L. James misses 2-pt layup from 1 ft,,5,0
11,1,10:16.0,,Defensive rebound by D. Williams,5,0
12,1,10:11.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Johnson),5,2
13,1,10:06.0,L. James makes 2-pt layup from 1 ft,,7,2
14,1,10:06.0,Shooting foul by M. Brown (drawn by L. James),,7,2
15,1,10:06.0,L. James misses free throw 1 of 1,,7,2
16,1,10:05.0,,Defensive rebound by M. Plumlee,7,2
17,1,9:50.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Williams),7,5
18,1,9:35.0,K. Irving misses 2-pt jump shot from 13 ft,,7,5
19,1,9:34.0,,Defensive rebound by Team,7,5
20,1,9:25.0,,D. Williams misses 3-pt jump shot from 24 ft,7,5
21,1,9:24.0,,Offensive rebound by M. Plumlee,7,5
22,1,9:15.0,,M. Brown misses 3-pt jump shot from 25 ft,7,5
23,1,9:14.0,Defensive rebound by K. Irving,,7,5
24,1,9:05.0,L. James makes 2-pt jump shot from 22 ft,,9,5
25,1,8:56.0,,Turnover by D. Williams (bad pass),9,5
26,1,8:39.0,K. Irving makes 2-pt jump shot from 17 ft,,11,5
27,1,8:29.0,,Brooklyn full timeout,11,5
28,1,8:16.0,,M. Brown misses 2-pt layup from 2 ft,11,5
29,1,8:15.0,,Offensive rebound by B. Lopez,11,5
30,1,8:14.0,,B. Lopez makes 2-pt tip-in from 1 ft,11,7
31,1,7:58.0,K. Love misses 2-pt jump shot from 16 ft,,11,7
32,1,7:56.0,,Defensive rebound by M. Brown,11,7
33,1,7:48.0,,Turnover by D. Williams (bad pass; steal by L. James),11,7
34,1,7:42.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,13,7
35,1,7:19.0,,B. Lopez misses 2-pt hook shot from 6 ft,13,7
36,1,7:17.0,,Offensive rebound by Team,13,7
37,1,7:06.0,,J. Johnson makes 2-pt jump shot from 5 ft,13,9
38,1,6:55.0,L. James misses 3-pt jump shot from 24 ft,,13,9
39,1,6:54.0,,Defensive rebound by M. Plumlee,13,9
40,1,6:45.0,,B. Lopez misses 2-pt jump shot from 21 ft,13,9
41,1,6:44.0,Defensive rebound by L. James,,13,9
42,1,6:33.0,K. Love makes 2-pt hook shot from 5 ft (assist by K. Irving),,15,9
43,1,6:09.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by J. Johnson),15,12
44,1,5:54.0,K. Irving makes 2-pt jump shot from 14 ft,,17,12
45,1,5:44.0,,Personal foul by J. Smith (drawn by B. Lopez),17,12
46,1,5:35.0,,D. Williams misses 2-pt jump shot from 15 ft,17,12
47,1,5:34.0,Defensive rebound by J. Smith,,17,12
48,1,5:29.0,Turnover by J. Smith (bad pass; steal by D. Williams),,17,12
49,1,5:17.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Williams),17,15
50,1,5:08.0,Shooting foul by M. Plumlee (drawn by K. Love),,17,15
51,1,5:08.0,K. Love makes free throw 1 of 2,,18,15
52,1,5:08.0,K. Perkins enters the game for T. Mozgov,,18,15
53,1,5:08.0,K. Love makes free throw 2 of 2,,19,15
54,1,4:56.0,,B. Lopez makes 2-pt jump shot from 7 ft (assist by J. Johnson),19,17
55,1,4:43.0,K. Love misses 2-pt hook shot from 7 ft,,19,17
56,1,4:42.0,,Defensive rebound by M. Plumlee,19,17
57,1,4:31.0,,Turnover by B. Lopez (bad pass; steal by L. James),19,17
58,1,4:28.0,Offensive foul by L. James (drawn by D. Williams),,19,17
59,1,4:28.0,Turnover by L. James (offensive foul),,19,17
60,1,4:28.0,,B. Bogdanović enters the game for M. Brown,19,17
61,1,4:28.0,I. Shumpert enters the game for L. James,,19,17
62,1,4:19.0,,B. Lopez misses 2-pt jump shot from 12 ft,19,17
63,1,4:18.0,Defensive rebound by I. Shumpert,,19,17
