,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,,D. Green misses 2-pt jump shot from 16 ft,0,0
1,1,11:40.0,,Offensive rebound by T. Duncan,0,0
2,1,11:26.0,,T. Parker makes 2-pt jump shot from 14 ft,0,2
3,1,11:03.0,T. Jones misses 2-pt jump shot from 6 ft (block by D. Green),,0,2
4,1,11:02.0,,Defensive rebound by A. Baynes,0,2
5,1,10:54.0,,T. Parker makes 2-pt jump shot from 6 ft,0,4
6,1,10:41.0,T. Ariza misses 2-pt jump shot from 18 ft,,0,4
7,1,10:38.0,Offensive rebound by D. Howard,,0,4
8,1,10:38.0,D. Howard misses 2-pt layup from 2 ft (block by T. Duncan),,0,4
9,1,10:36.0,Offensive rebound by D. Howard,,0,4
10,1,10:34.0,Turnover by D. Howard (lost ball; steal by K. Leonard),,0,4
11,1,10:26.0,,D. Green misses 3-pt jump shot from 23 ft,0,4
12,1,10:25.0,Defensive rebound by D. Howard,,0,4
13,1,10:21.0,Shooting foul by K. Leonard (drawn by J. Harden),,0,4
14,1,10:21.0,J. Harden makes free throw 1 of 2,,1,4
15,1,10:21.0,J. Harden makes free throw 2 of 2,,2,4
16,1,10:03.0,,K. Leonard misses 2-pt jump shot from 10 ft,2,4
17,1,10:02.0,Defensive rebound by D. Howard,,2,4
18,1,9:55.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,5,4
19,1,9:39.0,,T. Parker misses 2-pt jump shot from 18 ft,5,4
20,1,9:38.0,Defensive rebound by D. Howard,,5,4
21,1,9:32.0,T. Ariza misses 2-pt layup from 2 ft (block by T. Duncan),,5,4
22,1,9:30.0,,Defensive rebound by T. Duncan,5,4
23,1,9:20.0,,D. Green misses 2-pt jump shot from 18 ft,5,4
24,1,9:19.0,Defensive rebound by Team,,5,4
25,1,9:08.0,T. Jones makes 2-pt layup from 1 ft (assist by J. Harden),,7,4
26,1,8:50.0,,Turnover by K. Leonard (bad pass; steal by T. Ariza),7,4
27,1,8:46.0,Shooting foul by D. Green (drawn by J. Harden),,7,4
28,1,8:46.0,J. Harden makes free throw 1 of 2,,8,4
29,1,8:46.0,,San Antonio full timeout,8,4
30,1,8:46.0,J. Harden makes free throw 2 of 2,,9,4
31,1,8:35.0,,Personal foul by D. Howard (drawn by T. Duncan),9,4
32,1,8:29.0,,Shooting foul by J. Terry (drawn by T. Parker),9,4
33,1,8:29.0,,T. Parker misses free throw 1 of 2,9,4
34,1,8:29.0,,Offensive rebound by Team,9,4
35,1,8:29.0,,T. Parker makes free throw 2 of 2,9,5
36,1,8:13.0,D. Howard makes 2-pt hook shot from 6 ft (assist by J. Terry),,11,5
37,1,8:00.0,,T. Parker makes 2-pt jump shot from 7 ft (assist by T. Duncan),11,7
38,1,7:47.0,J. Terry makes 2-pt jump shot from 12 ft (assist by D. Howard),,13,7
39,1,7:35.0,,T. Parker makes 2-pt jump shot from 3 ft,13,9
40,1,7:35.0,,Shooting foul by J. Terry (drawn by T. Parker),13,9
41,1,7:35.0,P. Prigioni enters the game for J. Terry,,13,9
42,1,7:35.0,,T. Parker misses free throw 1 of 1,13,9
43,1,7:33.0,,Offensive rebound by D. Green,13,9
44,1,7:20.0,Violation by D. Howard (def goaltending),,13,9
45,1,7:20.0,,D. Green makes 2-pt jump shot from 4 ft (assist by T. Parker),13,11
