,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DETROIT_ACTION,PHILADELPHIA_SCORE,DETROIT_SCORE
0,1,11:43.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,2,0
1,1,11:27.0,,K. Singler makes 3-pt jump shot from 23 ft (assist by B. Jennings),2,3
2,1,11:12.0,Turnover by M. Carter-Williams (bad pass),,2,3
3,1,10:59.0,,Shooting foul by H. Thompson (drawn by K. Caldwell-Pope),2,3
4,1,10:59.0,,K. Caldwell-Pope makes free throw 1 of 2,2,4
5,1,10:59.0,,K. Caldwell-Pope makes free throw 2 of 2,2,5
6,1,10:41.0,H. Thompson makes 3-pt jump shot from 26 ft (assist by L. Mbah a Moute),,5,5
7,1,10:26.0,,K. Singler makes 2-pt jump shot from 8 ft,5,7
8,1,10:11.0,L. Mbah a Moute misses 3-pt jump shot from 27 ft,,5,7
9,1,10:10.0,Offensive rebound by N. Noel,,5,7
10,1,10:00.0,Turnover by N. Noel (lost ball; steal by J. Smith),,5,7
11,1,9:55.0,,A. Drummond makes 2-pt dunk at rim (assist by J. Smith),5,9
12,1,9:30.0,M. Carter-Williams makes 2-pt jump shot from 5 ft,,7,9
13,1,9:18.0,,Turnover by J. Smith (bad pass; steal by N. Noel),7,9
14,1,9:01.0,H. Thompson makes 3-pt jump shot from 25 ft (assist by N. Noel),,10,9
15,1,8:45.0,,J. Smith makes 2-pt layup from 1 ft (assist by B. Jennings),10,11
16,1,8:18.0,H. Sims makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),,13,11
17,1,8:01.0,,A. Drummond misses 2-pt dunk at rim,13,11
18,1,8:00.0,Defensive rebound by M. Carter-Williams,,13,11
19,1,7:52.0,H. Sims misses 3-pt jump shot from 25 ft,,13,11
20,1,7:51.0,,Defensive rebound by K. Caldwell-Pope,13,11
21,1,7:42.0,,B. Jennings misses 3-pt jump shot from 23 ft,13,11
22,1,7:41.0,Defensive rebound by N. Noel,,13,11
23,1,7:37.0,Personal foul by B. Jennings (drawn by M. Carter-Williams),,13,11
24,1,7:27.0,H. Sims misses 2-pt jump shot from 14 ft,,13,11
25,1,7:26.0,,Defensive rebound by K. Caldwell-Pope,13,11
26,1,7:23.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,13,11
27,1,7:22.0,,Offensive rebound by A. Drummond,13,11
28,1,7:21.0,,A. Drummond misses 2-pt tip-in from 1 ft,13,11
29,1,7:20.0,Defensive rebound by M. Carter-Williams,,13,11
30,1,7:13.0,Turnover by H. Thompson (bad pass),,13,11
31,1,6:53.0,,B. Jennings misses 2-pt jump shot from 16 ft,13,11
32,1,6:52.0,Defensive rebound by H. Sims,,13,11
33,1,6:46.0,Philadelphia full timeout,,13,11
34,1,6:46.0,J. Grant enters the game for N. Noel,,13,11
35,1,6:34.0,J. Grant misses 3-pt jump shot from 26 ft,,13,11
36,1,6:33.0,,Defensive rebound by B. Jennings,13,11
37,1,6:24.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,13,11
38,1,6:23.0,Defensive rebound by L. Mbah a Moute,,13,11
39,1,6:14.0,H. Thompson makes 2-pt dunk at rim (assist by H. Sims),,15,11
40,1,5:56.0,,J. Smith misses 2-pt hook shot from 4 ft,15,11
41,1,5:55.0,Defensive rebound by M. Carter-Williams,,15,11
42,1,5:45.0,H. Sims misses 2-pt hook shot from 6 ft,,15,11
43,1,5:44.0,,Defensive rebound by A. Drummond,15,11
44,1,5:38.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Jennings),15,13
45,1,5:38.0,,Shooting foul by M. Carter-Williams (drawn by K. Caldwell-Pope),15,13
46,1,5:38.0,,G. Monroe enters the game for A. Drummond,15,13
47,1,5:38.0,R. Covington enters the game for L. Mbah a Moute,,15,13
48,1,5:38.0,K. McDaniels enters the game for H. Thompson,,15,13
49,1,5:38.0,B. Davies enters the game for H. Sims,,15,13
50,1,5:38.0,,K. Caldwell-Pope misses free throw 1 of 1,15,13
51,1,5:37.0,Defensive rebound by B. Davies,,15,13
52,1,5:26.0,M. Carter-Williams misses 2-pt jump shot from 4 ft,,15,13
53,1,5:24.0,Offensive rebound by M. Carter-Williams,,15,13
54,1,5:24.0,M. Carter-Williams makes 2-pt layup from 1 ft,,17,13
55,1,5:12.0,,K. Singler misses 2-pt layup at rim (block by K. McDaniels),17,13
56,1,5:11.0,Defensive rebound by B. Davies,,17,13
57,1,5:02.0,Turnover by J. Grant (traveling),,17,13
58,1,4:45.0,,G. Monroe makes 2-pt layup from 1 ft (assist by K. Singler),17,15
59,1,4:45.0,,Shooting foul by B. Davies (drawn by G. Monroe),17,15
60,1,4:45.0,,G. Monroe misses free throw 1 of 1,17,15
61,1,4:45.0,Defensive rebound by B. Davies,,17,15
62,1,4:29.0,K. McDaniels misses 2-pt hook shot from 5 ft,,17,15
63,1,4:28.0,Offensive rebound by K. McDaniels,,17,15
64,1,4:27.0,Shooting foul by G. Monroe (drawn by J. Grant),,17,15
65,1,4:27.0,J. Grant makes free throw 1 of 2,,18,15
66,1,4:27.0,J. Grant makes free throw 2 of 2,,19,15
67,1,4:16.0,,Shooting foul by K. McDaniels (drawn by G. Monroe),19,15
68,1,4:16.0,,G. Monroe makes free throw 1 of 2,19,16
69,1,4:16.0,,G. Monroe makes free throw 2 of 2,19,17
70,1,4:03.0,R. Covington makes 2-pt layup at rim (assist by M. Carter-Williams),,21,17
71,1,3:45.0,,K. Singler makes 3-pt jump shot from 26 ft (assist by J. Smith),21,20
72,1,3:30.0,Turnover by M. Carter-Williams (bad pass; steal by G. Monroe),,21,20
73,1,3:25.0,,Turnover by J. Smith (bad pass),21,20
74,1,3:11.0,R. Covington misses 2-pt jump shot from 8 ft,,21,20
75,1,3:11.0,,Defensive rebound by Team,21,20
76,1,3:03.0,,Turnover by G. Monroe (lost ball; steal by B. Davies),21,20
77,1,3:03.0,Personal foul by G. Monroe (drawn by K. McDaniels),,21,20
78,1,3:03.0,J. Sampson enters the game for M. Carter-Williams,,21,20
79,1,2:51.0,Turnover by K. McDaniels (lost ball; steal by K. Caldwell-Pope),,21,20
80,1,2:32.0,,B. Jennings misses 3-pt jump shot from 26 ft,21,20
81,1,2:31.0,,Offensive rebound by K. Singler,21,20
82,1,2:26.0,,Shooting foul by B. Davies (drawn by G. Monroe),21,20
