,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:36.0,T. Duncan makes 2-pt jump shot from 18 ft,,2,0
1,1,11:11.0,,M. Morris misses 2-pt jump shot from 9 ft,2,0
2,1,11:10.0,Defensive rebound by T. Splitter,,2,0
3,1,11:01.0,T. Parker misses 2-pt jump shot from 9 ft,,2,0
4,1,11:00.0,,Defensive rebound by M. Morris,2,0
5,1,10:54.0,,B. Knight misses 2-pt jump shot from 19 ft,2,0
6,1,10:53.0,Defensive rebound by K. Leonard,,2,0
7,1,10:45.0,D. Green makes 2-pt jump shot from 18 ft,,4,0
8,1,10:23.0,,M. Morris misses 2-pt layup from 2 ft,4,0
9,1,10:22.0,Defensive rebound by T. Duncan,,4,0
10,1,10:08.0,K. Leonard misses 2-pt jump shot from 12 ft,,4,0
11,1,10:07.0,,Defensive rebound by A. Len,4,0
12,1,9:59.0,,E. Bledsoe misses 2-pt jump shot from 21 ft,4,0
13,1,9:58.0,Defensive rebound by T. Duncan,,4,0
14,1,9:44.0,T. Splitter makes 2-pt layup from 1 ft (assist by D. Green),,6,0
15,1,9:44.0,Shooting foul by P. Tucker (drawn by T. Splitter),,6,0
16,1,9:44.0,T. Splitter misses free throw 1 of 1,,6,0
17,1,9:43.0,Offensive rebound by T. Splitter,,6,0
18,1,9:27.0,T. Splitter makes 2-pt hook shot from 7 ft,,8,0
19,1,9:03.0,,A. Len misses 2-pt layup from 1 ft (block by T. Duncan),8,0
20,1,9:02.0,Offensive rebound by T. Duncan,,8,0
21,1,8:41.0,T. Parker misses 2-pt jump shot from 20 ft,,8,0
22,1,8:40.0,,Defensive rebound by P. Tucker,8,0
23,1,8:28.0,,Shooting foul by K. Leonard (drawn by E. Bledsoe),8,0
24,1,8:28.0,,E. Bledsoe makes free throw 1 of 2,8,1
25,1,8:28.0,,E. Bledsoe makes free throw 2 of 2,8,2
26,1,8:09.0,T. Duncan misses 2-pt jump shot from 17 ft,,8,2
27,1,8:06.0,,Defensive rebound by P. Tucker,8,2
28,1,8:01.0,,M. Morris makes 2-pt layup from 2 ft,8,4
29,1,8:01.0,,Shooting foul by T. Splitter (drawn by M. Morris),8,4
30,1,8:01.0,,M. Morris makes free throw 1 of 1,8,5
31,1,7:50.0,T. Parker misses 2-pt jump shot from 17 ft,,8,5
32,1,7:49.0,,Defensive rebound by P. Tucker,8,5
33,1,7:33.0,,Turnover by A. Len (bad pass; steal by K. Leonard),8,5
34,1,7:29.0,Shooting foul by A. Len (drawn by D. Green),,8,5
35,1,7:29.0,D. Green makes free throw 1 of 2,,9,5
36,1,7:29.0,D. Green makes free throw 2 of 2,,10,5
37,1,7:12.0,,E. Bledsoe makes 2-pt layup from 2 ft,10,7
38,1,6:50.0,T. Duncan misses 2-pt jump shot from 19 ft,,10,7
39,1,6:49.0,,Defensive rebound by P. Tucker,10,7
40,1,6:42.0,,B. Knight misses 2-pt jump shot from 19 ft,10,7
41,1,6:41.0,Defensive rebound by D. Green,,10,7
42,1,6:25.0,K. Leonard makes 2-pt jump shot from 13 ft,,12,7
43,1,6:05.0,,P. Tucker misses 2-pt jump shot from 5 ft (block by D. Green),12,7
44,1,6:04.0,,Offensive rebound by Team,12,7
45,1,6:04.0,M. Ginóbili enters the game for D. Green,,12,7
46,1,5:59.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,12,7
47,1,5:58.0,Defensive rebound by K. Leonard,,12,7
48,1,5:52.0,T. Splitter makes 2-pt layup from 1 ft (assist by M. Ginóbili),,14,7
49,1,5:44.0,,Phoenix full timeout,14,7
50,1,5:44.0,,G. Green enters the game for M. Morris,14,7
51,1,5:44.0,,B. Wright enters the game for B. Knight,14,7
52,1,5:37.0,,A. Len misses 2-pt jump shot from 15 ft,14,7
53,1,5:36.0,Defensive rebound by T. Duncan,,14,7
54,1,5:29.0,T. Parker misses 2-pt jump shot from 19 ft,,14,7
55,1,5:28.0,,Defensive rebound by A. Len,14,7
56,1,5:13.0,,Turnover by G. Green (bad pass),14,7
57,1,5:13.0,B. Diaw enters the game for T. Splitter,,14,7
58,1,4:57.0,K. Leonard makes 2-pt jump shot from 8 ft,,16,7
59,1,4:43.0,,B. Wright misses 2-pt jump shot from 4 ft,16,7
60,1,4:42.0,Defensive rebound by M. Ginóbili,,16,7
61,1,4:42.0,Personal foul by A. Len (drawn by M. Ginóbili),,16,7
62,1,4:42.0,P. Mills enters the game for T. Parker,,16,7
63,1,4:42.0,A. Baynes enters the game for T. Duncan,,16,7
64,1,4:42.0,,M. Morris enters the game for A. Len,16,7
65,1,4:31.0,Personal foul by M. Morris (drawn by A. Baynes),,16,7
66,1,4:23.0,A. Baynes makes 2-pt hook shot from 3 ft (assist by M. Ginóbili),,18,7
67,1,3:59.0,,M. Morris makes 2-pt jump shot from 11 ft,18,9
68,1,3:39.0,B. Diaw makes 2-pt layup from 2 ft (assist by A. Baynes),,20,9
69,1,3:19.0,,E. Bledsoe makes 2-pt jump shot from 21 ft,20,11
70,1,3:17.0,,Violation by Team (delay of game),20,11
71,1,3:04.0,Offensive foul by A. Baynes (drawn by E. Bledsoe),,20,11
72,1,3:04.0,Turnover by A. Baynes (offensive foul),,20,11
73,1,3:04.0,M. Belinelli enters the game for K. Leonard,,20,11
74,1,3:04.0,,B. Knight enters the game for E. Bledsoe,20,11
75,1,2:49.0,,B. Wright misses 2-pt jump shot from 7 ft,20,11
76,1,2:48.0,,Offensive rebound by P. Tucker,20,11
77,1,2:44.0,,P. Tucker misses 2-pt hook shot from 5 ft,20,11
78,1,2:43.0,,Offensive rebound by B. Wright,20,11
