,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:48.0,Turnover by T. Zeller (bad pass; steal by J. Smith),,0,0
1,1,11:40.0,,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),0,3
2,1,11:26.0,Shooting foul by K. Love (drawn by T. Zeller),,0,3
3,1,11:26.0,T. Zeller makes free throw 1 of 2,,1,3
4,1,11:26.0,T. Zeller misses free throw 2 of 2,,1,3
5,1,11:24.0,,Defensive rebound by K. Love,1,3
6,1,11:05.0,,T. Mozgov makes 2-pt layup at rim (assist by K. Irving),1,5
7,1,10:48.0,E. Turner makes 2-pt jump shot from 15 ft (assist by B. Bass),,3,5
8,1,10:27.0,,J. Smith misses 3-pt jump shot from 26 ft,3,5
9,1,10:26.0,Defensive rebound by B. Bass,,3,5
10,1,10:19.0,,Violation by J. Smith (kicked ball),3,5
11,1,10:06.0,T. Zeller makes 2-pt dunk at rim (assist by M. Smart),,5,5
12,1,9:50.0,,Offensive foul by T. Mozgov (drawn by T. Zeller),5,5
13,1,9:50.0,,Turnover by T. Mozgov (offensive foul),5,5
14,1,9:40.0,E. Turner misses 3-pt jump shot from 26 ft,,5,5
15,1,9:37.0,Offensive rebound by A. Bradley,,5,5
16,1,9:37.0,A. Bradley misses 2-pt layup from 2 ft,,5,5
17,1,9:34.0,,Defensive rebound by J. Smith,5,5
18,1,9:22.0,,Turnover by L. James (bad pass; steal by A. Bradley),5,5
19,1,9:16.0,E. Turner misses 2-pt layup from 3 ft (block by T. Mozgov),,5,5
20,1,9:12.0,Offensive rebound by T. Zeller,,5,5
21,1,9:12.0,T. Zeller makes 2-pt hook shot from 4 ft,,7,5
22,1,8:55.0,,L. James makes 3-pt jump shot from 26 ft (assist by K. Irving),7,8
23,1,8:37.0,A. Bradley misses 2-pt jump shot from 3 ft (block by T. Mozgov),,7,8
24,1,8:35.0,,Defensive rebound by J. Smith,7,8
25,1,8:35.0,,T. Mozgov misses 2-pt layup from 3 ft,7,8
26,1,8:25.0,,Offensive rebound by Team,7,8
