,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),0,2
1,1,11:25.0,O. Mayo misses 2-pt jump shot from 12 ft,,0,2
2,1,11:24.0,,Defensive rebound by M. Barnes,0,2
3,1,11:14.0,,Turnover by M. Barnes (bad pass; steal by G. Antetokounmpo),0,2
4,1,11:10.0,G. Antetokounmpo makes 2-pt layup at rim (assist by O. Mayo),,2,2
5,1,10:45.0,,J. Redick misses 3-pt jump shot from 25 ft,2,2
6,1,10:44.0,,Offensive rebound by D. Jordan,2,2
7,1,10:36.0,,Turnover by C. Paul (lost ball),2,2
8,1,10:18.0,J. O'Bryant makes 2-pt layup at rim,,4,2
9,1,10:09.0,,C. Paul makes 3-pt jump shot from 25 ft,4,5
10,1,9:51.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,4,5
11,1,9:49.0,,Defensive rebound by B. Griffin,4,5
12,1,9:42.0,,Shooting foul by J. O'Bryant (drawn by B. Griffin),4,5
13,1,9:42.0,,B. Griffin makes free throw 1 of 2,4,6
14,1,9:42.0,,B. Griffin makes free throw 2 of 2,4,7
15,1,9:25.0,J. O'Bryant misses 2-pt jump shot from 17 ft,,4,7
16,1,9:24.0,,Defensive rebound by D. Jordan,4,7
17,1,9:05.0,,B. Griffin misses 2-pt hook shot from 2 ft,4,7
18,1,9:02.0,,Offensive rebound by D. Jordan,4,7
19,1,9:02.0,,D. Jordan misses 2-pt tip-in at rim,4,7
20,1,9:00.0,,Offensive rebound by M. Barnes,4,7
21,1,9:00.0,,B. Griffin makes 2-pt layup at rim (assist by M. Barnes),4,9
22,1,9:00.0,,Shooting foul by J. O'Bryant (drawn by B. Griffin),4,9
23,1,9:00.0,J. Dudley enters the game for J. O'Bryant,,4,9
24,1,9:00.0,,B. Griffin misses free throw 1 of 1,4,9
25,1,8:49.0,Defensive rebound by G. Antetokounmpo,,4,9
26,1,8:44.0,Turnover by O. Mayo (bad pass; steal by B. Griffin),,4,9
27,1,8:40.0,,B. Griffin misses 2-pt layup from 1 ft,4,9
28,1,8:37.0,Defensive rebound by B. Knight,,4,9
29,1,8:30.0,J. Dudley makes 3-pt jump shot from 23 ft (assist by B. Knight),,7,9
30,1,8:20.0,,Shooting foul by L. Sanders (drawn by D. Jordan),7,9
31,1,8:20.0,,D. Jordan misses free throw 1 of 2,7,9
32,1,8:20.0,,Offensive rebound by Team,7,9
33,1,8:20.0,,D. Jordan misses free throw 2 of 2,7,9
34,1,8:19.0,Defensive rebound by G. Antetokounmpo,,7,9
35,1,8:03.0,Turnover by J. Dudley (bad pass; steal by D. Jordan),,7,9
36,1,7:56.0,,M. Barnes misses 3-pt jump shot from 23 ft,7,9
37,1,7:54.0,Defensive rebound by B. Knight,,7,9
38,1,7:49.0,Turnover by B. Knight (lost ball; steal by C. Paul),,7,9
39,1,7:42.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by M. Barnes),7,12
40,1,7:25.0,L. Sanders makes 2-pt layup from 1 ft (assist by B. Knight),,9,12
41,1,7:08.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),9,15
42,1,6:53.0,L. Sanders makes 2-pt dunk at rim (assist by J. Dudley),,11,15
43,1,6:53.0,,Violation by B. Griffin (def goaltending),11,15
44,1,6:43.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by C. Paul),11,17
45,1,6:27.0,Turnover by B. Knight (bad pass; steal by J. Redick),,11,17
46,1,6:15.0,,Turnover by J. Redick (bad pass; steal by G. Antetokounmpo),11,17
47,1,6:10.0,Personal foul by B. Griffin (drawn by J. Dudley),,11,17
48,1,6:02.0,,LA Clippers full timeout,11,17
49,1,5:52.0,J. Dudley makes 2-pt jump shot from 22 ft (assist by G. Antetokounmpo),,13,17
50,1,5:39.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),13,20
51,1,5:25.0,O. Mayo misses 2-pt jump shot from 18 ft,,13,20
52,1,5:23.0,Offensive rebound by L. Sanders,,13,20
53,1,5:21.0,,Offensive charge foul by J. Dudley (drawn by J. Redick),13,20
54,1,5:21.0,Turnover by J. Dudley (offensive foul),,13,20
55,1,5:16.0,,C. Paul misses 2-pt jump shot from 20 ft,13,20
56,1,5:14.0,Defensive rebound by O. Mayo,,13,20
57,1,5:02.0,Shooting foul by D. Jordan (drawn by G. Antetokounmpo),,13,20
