,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),0,2
1,1,11:35.0,A. Wiggins makes 2-pt dunk at rim (assist by Z. LaVine),,2,2
2,1,11:16.0,,M. Speights makes 2-pt jump shot from 17 ft (assist by K. Thompson),2,4
3,1,10:52.0,S. Muhammad makes 3-pt jump shot from 25 ft (assist by T. Young),,5,4
4,1,10:42.0,,M. Speights misses 2-pt jump shot from 18 ft,5,4
5,1,10:41.0,Defensive rebound by T. Young,,5,4
6,1,10:30.0,T. Young makes 2-pt jump shot from 17 ft (assist by Z. LaVine),,7,4
7,1,10:16.0,,K. Thompson misses 3-pt jump shot from 25 ft,7,4
8,1,10:14.0,Defensive rebound by T. Young,,7,4
9,1,10:11.0,Turnover by T. Young (lost ball),,7,4
10,1,9:58.0,,M. Speights makes 2-pt dunk at rim (assist by K. Thompson),7,6
11,1,9:41.0,A. Wiggins misses 3-pt jump shot from 26 ft,,7,6
12,1,9:40.0,,Defensive rebound by S. Curry,7,6
13,1,9:37.0,Violation by A. Wiggins (kicked ball),,7,6
14,1,9:26.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by M. Speights),7,8
15,1,9:10.0,Turnover by A. Wiggins (lost ball; steal by S. Curry),,7,8
16,1,9:05.0,,K. Thompson misses 3-pt jump shot from 26 ft,7,8
17,1,9:02.0,Defensive rebound by S. Muhammad,,7,8
18,1,8:49.0,A. Wiggins makes 2-pt jump shot from 10 ft (assist by Z. LaVine),,9,8
19,1,8:39.0,,S. Curry misses 3-pt jump shot from 26 ft,9,8
20,1,8:39.0,Defensive rebound by S. Muhammad,,9,8
21,1,8:29.0,Turnover by G. Dieng (lost ball; steal by H. Barnes),,9,8
22,1,8:21.0,,M. Speights makes 2-pt hook shot from 5 ft (assist by S. Curry),9,10
23,1,8:00.0,G. Dieng makes 2-pt jump shot from 13 ft (assist by A. Wiggins),,11,10
24,1,7:51.0,,S. Curry misses 2-pt jump shot from 16 ft,11,10
25,1,7:50.0,Defensive rebound by S. Muhammad,,11,10
26,1,7:42.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by Z. LaVine),,13,10
27,1,7:23.0,,Turnover by D. Green (bad pass; steal by T. Young),13,10
28,1,7:14.0,Z. LaVine misses 3-pt jump shot from 23 ft,,13,10
29,1,7:13.0,,Defensive rebound by K. Thompson,13,10
30,1,7:11.0,,Turnover by K. Thompson (traveling),13,10
31,1,7:03.0,T. Young makes 2-pt jump shot from 7 ft (assist by Z. LaVine),,15,10
32,1,6:45.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),15,13
33,1,6:26.0,Z. LaVine misses 2-pt layup from 1 ft,,15,13
34,1,6:25.0,Offensive rebound by G. Dieng,,15,13
35,1,6:24.0,Turnover by G. Dieng (bad pass; steal by K. Thompson),,15,13
36,1,6:19.0,,K. Thompson misses 2-pt jump shot from 3 ft (block by T. Young),15,13
37,1,6:18.0,,Offensive rebound by M. Speights,15,13
38,1,6:18.0,,M. Speights makes 2-pt dunk at rim,15,15
39,1,6:18.0,Minnesota full timeout,,15,15
40,1,6:18.0,,D. Lee enters the game for H. Barnes,15,15
41,1,6:18.0,,A. Iguodala enters the game for M. Speights,15,15
42,1,6:07.0,Turnover by Z. LaVine (bad pass; steal by A. Iguodala),,15,15
43,1,5:50.0,,D. Lee makes 2-pt layup from 1 ft (assist by D. Green),15,17
44,1,5:32.0,Shooting foul by K. Thompson (drawn by A. Wiggins),,15,17
45,1,5:32.0,A. Wiggins makes free throw 1 of 2,,16,17
46,1,5:32.0,M. Williams enters the game for Z. LaVine,,16,17
47,1,5:32.0,A. Wiggins misses free throw 2 of 2,,16,17
48,1,5:31.0,,Defensive rebound by D. Green,16,17
49,1,5:19.0,,D. Lee makes 2-pt dunk at rim (assist by S. Curry),16,19
50,1,4:58.0,Shooting foul by D. Lee (drawn by G. Dieng),,16,19
51,1,4:58.0,G. Dieng misses free throw 1 of 2,,16,19
52,1,4:58.0,Offensive rebound by Team,,16,19
53,1,4:58.0,G. Dieng makes free throw 2 of 2,,17,19
54,1,4:42.0,,K. Thompson misses 3-pt jump shot from 25 ft,17,19
55,1,4:41.0,Defensive rebound by G. Dieng,,17,19
56,1,4:31.0,M. Williams makes 2-pt jump shot from 19 ft,,19,19
57,1,4:18.0,,D. Green misses 2-pt jump shot from 3 ft (block by G. Dieng),19,19
58,1,4:17.0,,Offensive rebound by D. Lee,19,19
59,1,4:17.0,,Shooting foul by T. Young (drawn by D. Lee),19,19
60,1,4:17.0,,D. Lee makes free throw 1 of 2,19,20
61,1,4:17.0,,S. Livingston enters the game for K. Thompson,19,20
62,1,4:17.0,Violation by G. Dieng (lane),,19,20
63,1,4:17.0,,D. Lee makes free throw 2 of 2,19,21
64,1,4:03.0,Turnover by S. Muhammad (bad pass; steal by D. Green),,19,21
65,1,3:57.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),19,23
66,1,3:41.0,S. Muhammad misses 2-pt jump shot from 17 ft,,19,23
67,1,3:40.0,Offensive rebound by A. Wiggins,,19,23
68,1,3:39.0,A. Wiggins misses 2-pt layup from 2 ft (block by D. Lee),,19,23
69,1,3:37.0,,Defensive rebound by D. Green,19,23
70,1,3:31.0,,Turnover by A. Iguodala (bad pass; steal by M. Williams),19,23
71,1,3:24.0,Shooting foul by D. Green (drawn by A. Wiggins),,19,23
72,1,3:24.0,A. Wiggins misses free throw 1 of 2,,19,23
73,1,3:24.0,Offensive rebound by Team,,19,23
74,1,3:24.0,C. Budinger enters the game for S. Muhammad,,19,23
75,1,3:24.0,A. Wiggins makes free throw 2 of 2,,20,23
76,1,3:13.0,,S. Curry makes 2-pt jump shot from 17 ft (assist by A. Iguodala),20,25
77,1,2:55.0,,Violation by S. Curry (kicked ball),20,25
78,1,2:55.0,,Golden State full timeout,20,25
79,1,2:49.0,M. Williams misses 2-pt jump shot from 18 ft,,20,25
80,1,2:48.0,,Defensive rebound by D. Green,20,25
81,1,2:39.0,,D. Lee makes 2-pt dunk at rim (assist by S. Livingston),20,27
82,1,2:10.0,,Shooting foul by A. Wiggins (drawn by S. Livingston),20,27
83,1,2:10.0,,S. Livingston misses free throw 1 of 2,20,27
84,1,2:10.0,,Offensive rebound by Team,20,27
85,1,2:10.0,,S. Livingston makes free throw 2 of 2,20,28
86,1,2:01.0,Turnover by T. Young (lost ball; steal by D. Green),,20,28
87,1,1:52.0,,Turnover by S. Curry (back court),20,28
88,1,1:52.0,R. Hummel enters the game for T. Young,,20,28
89,1,1:52.0,,H. Barnes enters the game for D. Green,20,28
90,1,1:42.0,C. Budinger makes 3-pt jump shot from 23 ft (assist by R. Hummel),,23,28
91,1,1:28.0,,H. Barnes misses 2-pt jump shot from 16 ft,23,28
92,1,1:27.0,Defensive rebound by G. Dieng,,23,28
93,1,1:14.0,C. Budinger misses 2-pt jump shot from 16 ft,,23,28
94,1,1:13.0,,Defensive rebound by H. Barnes,23,28
95,1,1:04.0,,D. Lee misses 2-pt jump shot from 2 ft (block by C. Budinger),23,28
96,1,1:03.0,,Offensive rebound by D. Lee,23,28
97,1,1:03.0,,D. Lee misses 2-pt layup from 2 ft,23,28
98,1,1:03.0,Defensive rebound by Team,,23,28
99,1,0:52.0,M. Williams misses 3-pt jump shot from 26 ft,,23,28
100,1,0:51.0,,Defensive rebound by A. Iguodala,23,28
101,1,0:47.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),23,31
102,1,0:33.0,G. Dieng misses 2-pt jump shot from 9 ft,,23,31
