,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
0,1,11:41.0,T. Young misses 2-pt jump shot from 16 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Payne,0,0
2,1,11:18.0,,A. Payne misses 2-pt layup from 2 ft,0,0
3,1,11:17.0,Defensive rebound by B. Lopez,,0,0
4,1,11:04.0,D. Williams misses 3-pt jump shot from 24 ft,,0,0
5,1,11:03.0,Offensive rebound by M. Brown,,0,0
6,1,10:43.0,T. Young misses 2-pt jump shot from 19 ft,,0,0
7,1,10:42.0,,Defensive rebound by A. Payne,0,0
8,1,10:37.0,,Turnover by K. Martin (step out of bounds),0,0
9,1,10:24.0,Shooting foul by A. Payne (drawn by D. Williams),,0,0
10,1,10:24.0,D. Williams makes free throw 1 of 2,,1,0
11,1,10:24.0,D. Williams makes free throw 2 of 2,,2,0
12,1,10:02.0,,K. Martin misses 2-pt jump shot from 15 ft,2,0
13,1,10:01.0,Defensive rebound by J. Johnson,,2,0
14,1,9:47.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by D. Williams),,5,0
15,1,9:33.0,,A. Wiggins makes 2-pt jump shot from 22 ft (assist by K. Martin),5,2
16,1,9:16.0,J. Johnson misses 3-pt jump shot from 24 ft,,5,2
17,1,9:14.0,Offensive rebound by B. Lopez,,5,2
18,1,9:07.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),,7,2
19,1,8:52.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by K. Martin),7,4
20,1,8:30.0,M. Brown makes 2-pt layup at rim,,9,4
21,1,8:06.0,,A. Wiggins misses 3-pt jump shot from 25 ft,9,4
22,1,8:05.0,Defensive rebound by Team,,9,4
23,1,7:53.0,J. Johnson misses 2-pt jump shot from 6 ft,,9,4
24,1,7:52.0,Offensive rebound by B. Lopez,,9,4
25,1,7:42.0,M. Brown misses 2-pt dunk at rim,,9,4
26,1,7:40.0,,Defensive rebound by Z. LaVine,9,4
27,1,7:34.0,,Turnover by Z. LaVine (bad pass; steal by M. Brown),9,4
28,1,7:22.0,T. Young makes 2-pt dunk at rim (assist by J. Johnson),,11,4
29,1,7:21.0,,Minnesota full timeout,11,4
30,1,7:08.0,,Shooting foul by T. Young (drawn by A. Wiggins),11,4
31,1,7:08.0,,A. Wiggins misses free throw 1 of 2,11,4
32,1,7:08.0,,Offensive rebound by Team,11,4
33,1,7:08.0,,A. Wiggins makes free throw 2 of 2,11,5
34,1,6:52.0,T. Young makes 2-pt jump shot from 4 ft (assist by J. Johnson),,13,5
35,1,6:38.0,,K. Martin makes 2-pt jump shot from 6 ft (assist by Z. LaVine),13,7
36,1,6:26.0,D. Williams makes 2-pt jump shot from 18 ft,,15,7
37,1,6:07.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by G. Dieng),15,10
