,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:31.0,,J. Barea makes 2-pt jump shot from 20 ft (assist by T. Chandler),0,2
1,1,11:09.0,N. Peković misses 2-pt jump shot from 11 ft,,0,2
2,1,11:08.0,,Defensive rebound by D. Nowitzki,0,2
3,1,10:53.0,,J. Barea misses 2-pt jump shot from 10 ft,0,2
4,1,10:52.0,Defensive rebound by T. Young,,0,2
5,1,10:44.0,R. Rubio misses 2-pt jump shot from 21 ft,,0,2
6,1,10:43.0,,Defensive rebound by C. Parsons,0,2
7,1,10:23.0,,C. Parsons makes 2-pt layup at rim (assist by T. Chandler),0,4
8,1,10:01.0,Offensive foul by N. Peković (drawn by J. Barea),,0,4
9,1,10:01.0,Turnover by N. Peković (offensive foul),,0,4
10,1,9:49.0,,J. Barea misses 2-pt layup from 1 ft,0,4
11,1,9:48.0,,Offensive rebound by T. Chandler,0,4
12,1,9:37.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by M. Ellis),0,6
13,1,9:21.0,Turnover by N. Peković (bad pass; steal by M. Ellis),,0,6
14,1,9:17.0,,J. Barea misses 2-pt layup from 1 ft (block by A. Wiggins),0,6
15,1,9:15.0,Defensive rebound by K. Martin,,0,6
16,1,9:10.0,T. Young misses 2-pt layup from 2 ft (block by T. Chandler),,0,6
17,1,9:08.0,,Defensive rebound by T. Chandler,0,6
18,1,9:04.0,,Shooting block foul by K. Martin (drawn by M. Ellis),0,6
19,1,9:04.0,,M. Ellis makes free throw 1 of 2,0,7
20,1,9:04.0,,M. Ellis makes free throw 2 of 2,0,8
21,1,8:48.0,A. Wiggins misses 2-pt jump shot from 14 ft,,0,8
22,1,8:47.0,Offensive rebound by N. Peković,,0,8
23,1,8:47.0,N. Peković misses 2-pt tip-in from 1 ft,,0,8
24,1,8:46.0,,Defensive rebound by T. Chandler,0,8
25,1,8:38.0,,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by J. Barea),0,10
26,1,8:36.0,Minnesota full timeout,,0,10
27,1,8:23.0,K. Martin misses 2-pt jump shot from 18 ft,,0,10
28,1,8:22.0,,Defensive rebound by T. Chandler,0,10
29,1,8:10.0,,M. Ellis misses 2-pt jump shot from 16 ft,0,10
30,1,8:08.0,Defensive rebound by Team,,0,10
31,1,7:51.0,R. Rubio makes 2-pt jump shot from 21 ft,,2,10
32,1,7:38.0,,J. Barea misses 3-pt jump shot from 23 ft,2,10
33,1,7:37.0,Defensive rebound by K. Martin,,2,10
34,1,7:29.0,R. Rubio misses 3-pt jump shot from 22 ft,,2,10
35,1,7:28.0,,Defensive rebound by T. Chandler,2,10
36,1,7:20.0,,C. Parsons makes 2-pt layup from 1 ft,2,12
37,1,7:05.0,T. Young makes 2-pt layup from 1 ft (assist by R. Rubio),,4,12
38,1,6:49.0,,Shooting block foul by N. Peković (drawn by T. Chandler),4,12
39,1,6:49.0,,T. Chandler makes free throw 1 of 2,4,13
40,1,6:49.0,,D. Harris enters the game for J. Barea,4,13
41,1,6:49.0,,A. Aminu enters the game for D. Nowitzki,4,13
42,1,6:49.0,G. Dieng enters the game for N. Peković,,4,13
43,1,6:49.0,,T. Chandler makes free throw 2 of 2,4,14
44,1,6:39.0,R. Rubio makes 2-pt layup from 1 ft,,6,14
