,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
0,1,11:40.0,,J. Butler makes 3-pt jump shot from 23 ft,0,3
1,1,11:18.0,J. Richardson misses 2-pt jump shot from 17 ft,,0,3
2,1,11:16.0,Offensive rebound by F. Aldemir,,0,3
3,1,11:11.0,R. Covington misses 3-pt jump shot from 25 ft,,0,3
4,1,11:10.0,,Defensive rebound by P. Gasol,0,3
5,1,11:04.0,,D. Rose misses 2-pt jump shot from 21 ft,0,3
6,1,11:03.0,Defensive rebound by J. Richardson,,0,3
7,1,10:53.0,J. Sampson makes 2-pt jump shot from 5 ft,,2,3
8,1,10:38.0,,P. Gasol makes 2-pt dunk at rim (assist by J. Noah),2,5
9,1,10:19.0,J. Grant misses 3-pt jump shot from 22 ft,,2,5
10,1,10:18.0,Offensive rebound by F. Aldemir,,2,5
11,1,10:14.0,J. Grant misses 2-pt layup from 1 ft (block by J. Noah),,2,5
12,1,10:12.0,Offensive rebound by F. Aldemir,,2,5
13,1,10:11.0,F. Aldemir misses 2-pt layup from 2 ft,,2,5
14,1,10:10.0,,Defensive rebound by P. Gasol,2,5
15,1,9:55.0,,P. Gasol misses 3-pt jump shot from 22 ft,2,5
16,1,9:54.0,Defensive rebound by J. Sampson,,2,5
17,1,9:41.0,R. Covington misses 3-pt jump shot from 24 ft,,2,5
18,1,9:39.0,,Defensive rebound by M. Dunleavy,2,5
19,1,9:30.0,,D. Rose misses 3-pt jump shot from 24 ft,2,5
20,1,9:29.0,Defensive rebound by Team,,2,5
21,1,9:15.0,R. Covington makes 2-pt layup from 2 ft,,4,5
22,1,9:08.0,,D. Rose misses 2-pt layup from 2 ft,4,5
23,1,9:07.0,Defensive rebound by J. Richardson,,4,5
24,1,8:56.0,J. Sampson makes 2-pt layup from 1 ft,,6,5
25,1,8:40.0,,Shooting foul by J. Grant (drawn by M. Dunleavy),6,5
26,1,8:40.0,,M. Dunleavy misses free throw 1 of 2,6,5
27,1,8:40.0,,Offensive rebound by Team,6,5
28,1,8:40.0,,M. Dunleavy makes free throw 2 of 2,6,6
29,1,8:29.0,Turnover by J. Grant (bad pass; steal by M. Dunleavy),,6,6
30,1,8:28.0,,Shooting foul by R. Covington (drawn by J. Butler),6,6
31,1,8:28.0,,J. Butler makes free throw 1 of 2,6,7
32,1,8:28.0,,J. Butler misses free throw 2 of 2,6,7
33,1,8:25.0,Defensive rebound by F. Aldemir,,6,7
34,1,8:16.0,J. Grant makes 3-pt jump shot from 25 ft (assist by J. Sampson),,9,7
35,1,8:04.0,,Turnover by J. Noah (bad pass; steal by F. Aldemir),9,7
36,1,7:52.0,Turnover by J. Grant (traveling),,9,7
37,1,7:32.0,,Shooting foul by J. Richardson (drawn by P. Gasol),9,7
38,1,7:32.0,,P. Gasol makes free throw 1 of 2,9,8
39,1,7:32.0,,P. Gasol makes free throw 2 of 2,9,9
40,1,7:14.0,J. Sampson misses 3-pt jump shot from 25 ft,,9,9
41,1,7:13.0,,Defensive rebound by D. Rose,9,9
42,1,7:10.0,,J. Butler misses 2-pt layup from 2 ft,9,9
43,1,7:09.0,Defensive rebound by J. Sampson,,9,9
44,1,7:02.0,Turnover by J. Richardson (bad pass; steal by J. Butler),,9,9
45,1,7:00.0,,Shooting foul by J. Grant (drawn by J. Butler),9,9
46,1,7:00.0,,J. Butler makes free throw 1 of 2,9,10
47,1,7:00.0,T. Robinson enters the game for J. Grant,,9,10
