,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:41.0,M. Morris misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by K. Bryant,0,0
2,1,11:26.0,,Turnover by J. Hill (bad pass; steal by P. Tucker),0,0
3,1,11:18.0,A. Len makes 2-pt hook shot from 4 ft,,2,0
4,1,10:56.0,,R. Price makes 3-pt jump shot from 25 ft (assist by E. Davis),2,3
5,1,10:41.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,2,3
6,1,10:40.0,Offensive rebound by A. Len,,2,3
7,1,10:32.0,Turnover by G. Dragić (bad pass; steal by J. Hill),,2,3
8,1,10:13.0,,J. Hill misses 2-pt hook shot from 8 ft,2,3
9,1,10:10.0,Defensive rebound by A. Len,,2,3
10,1,10:05.0,Shooting foul by K. Bryant (drawn by M. Morris),,2,3
11,1,10:05.0,M. Morris misses free throw 1 of 2,,2,3
12,1,10:05.0,Offensive rebound by Team,,2,3
13,1,10:05.0,M. Morris makes free throw 2 of 2,,3,3
14,1,9:55.0,,J. Hill makes 2-pt hook shot from 5 ft (assist by W. Johnson),3,5
15,1,9:44.0,G. Dragić misses 3-pt jump shot from 25 ft,,3,5
16,1,9:43.0,,Defensive rebound by E. Davis,3,5
17,1,9:33.0,,J. Hill makes 2-pt layup from 2 ft (assist by R. Price),3,7
18,1,9:22.0,E. Bledsoe misses 2-pt layup from 1 ft (block by E. Davis),,3,7
19,1,9:20.0,Offensive rebound by E. Bledsoe,,3,7
20,1,9:13.0,A. Len makes 2-pt layup from 1 ft,,5,7
21,1,8:57.0,,R. Price makes 2-pt layup from 1 ft (assist by K. Bryant),5,9
22,1,8:49.0,G. Dragić misses 2-pt layup from 1 ft,,5,9
23,1,8:48.0,,Defensive rebound by K. Bryant,5,9
24,1,8:41.0,,J. Hill misses 2-pt jump shot from 19 ft,5,9
25,1,8:40.0,Defensive rebound by E. Bledsoe,,5,9
26,1,8:34.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,5,9
27,1,8:32.0,,Defensive rebound by W. Johnson,5,9
28,1,8:27.0,Violation by M. Morris (kicked ball),,5,9
29,1,8:23.0,,W. Johnson misses 3-pt jump shot from 25 ft,5,9
30,1,8:22.0,Defensive rebound by E. Bledsoe,,5,9
31,1,8:20.0,Turnover by E. Bledsoe (bad pass),,5,9
32,1,8:03.0,,J. Hill misses 2-pt hook shot from 5 ft,5,9
33,1,8:01.0,Defensive rebound by M. Morris,,5,9
34,1,7:55.0,P. Tucker misses 2-pt jump shot from 13 ft,,5,9
35,1,7:52.0,,Defensive rebound by E. Davis,5,9
36,1,7:45.0,,R. Price makes 3-pt jump shot from 28 ft (assist by K. Bryant),5,12
37,1,7:24.0,M. Morris makes 2-pt layup from 1 ft (assist by E. Bledsoe),,7,12
38,1,7:12.0,,W. Johnson misses 3-pt jump shot from 23 ft,7,12
39,1,7:11.0,Defensive rebound by A. Len,,7,12
40,1,7:05.0,P. Tucker makes 2-pt layup from 1 ft,,9,12
41,1,6:41.0,,J. Hill misses 2-pt hook shot from 11 ft,9,12
42,1,6:39.0,Defensive rebound by A. Len,,9,12
43,1,6:26.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by M. Morris),,12,12
44,1,6:03.0,,J. Hill misses 2-pt jump shot from 19 ft,12,12
45,1,6:02.0,,Offensive rebound by E. Davis,12,12
46,1,6:01.0,,E. Davis makes 2-pt layup at rim,12,14
47,1,6:01.0,,Shooting foul by M. Morris (drawn by E. Davis),12,14
48,1,6:01.0,,E. Davis misses free throw 1 of 1,12,14
49,1,6:00.0,Defensive rebound by G. Dragić,,12,14
50,1,5:38.0,P. Tucker makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),,14,14
51,1,5:13.0,,E. Davis makes 2-pt layup from 2 ft (assist by J. Hill),14,16
52,1,5:00.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,14,16
53,1,4:59.0,,Defensive rebound by K. Bryant,14,16
54,1,4:51.0,,W. Johnson makes 2-pt jump shot from 6 ft (assist by R. Price),14,18
55,1,4:51.0,,Shooting foul by G. Dragić (drawn by W. Johnson),14,18
56,1,4:51.0,,LA Lakers full timeout,14,18
57,1,4:51.0,,W. Johnson makes free throw 1 of 1,14,19
58,1,4:33.0,P. Tucker makes 2-pt jump shot from 15 ft (assist by A. Len),,16,19
59,1,4:20.0,,Turnover by E. Davis (lost ball; steal by M. Morris),16,19
60,1,4:16.0,G. Dragić misses 2-pt layup from 1 ft (block by W. Johnson),,16,19
61,1,4:16.0,Offensive rebound by Team,,16,19
62,1,4:16.0,,C. Boozer enters the game for J. Hill,16,19
63,1,4:16.0,M. Plumlee enters the game for A. Len,,16,19
64,1,4:16.0,I. Thomas enters the game for E. Bledsoe,,16,19
65,1,4:13.0,G. Dragić makes 2-pt jump shot from 17 ft (assist by P. Tucker),,18,19
66,1,3:52.0,,J. Lin enters the game for R. Price,18,19
67,1,3:49.0,,C. Boozer misses 2-pt jump shot from 15 ft,18,19
68,1,3:48.0,Defensive rebound by P. Tucker,,18,19
69,1,3:32.0,M. Morris misses 3-pt jump shot from 23 ft,,18,19
70,1,3:31.0,,Defensive rebound by W. Johnson,18,19
71,1,3:24.0,Violation by M. Plumlee (kicked ball),,18,19
72,1,3:17.0,,Turnover by K. Bryant (lost ball; steal by I. Thomas),18,19
73,1,3:14.0,Turnover by M. Morris (bad pass; steal by K. Bryant),,18,19
74,1,3:09.0,,C. Boozer makes 2-pt jump shot from 18 ft (assist by E. Davis),18,21
75,1,2:53.0,G. Dragić misses 2-pt layup from 1 ft (block by E. Davis),,18,21
76,1,2:51.0,,Defensive rebound by E. Davis,18,21
77,1,2:47.0,,Turnover by J. Lin (lost ball; steal by I. Thomas),18,21
78,1,2:43.0,G. Dragić makes 2-pt layup from 2 ft (assist by I. Thomas),,20,21
79,1,2:28.0,,K. Bryant makes 2-pt jump shot from 12 ft,20,23
80,1,2:11.0,P. Tucker misses 3-pt jump shot from 23 ft,,20,23
81,1,2:10.0,,Defensive rebound by E. Davis,20,23
82,1,1:59.0,,E. Davis misses 2-pt dunk at rim (block by M. Plumlee),20,23
83,1,1:57.0,Defensive rebound by I. Thomas,,20,23
84,1,1:52.0,P. Tucker makes 2-pt layup from 2 ft,,22,23
85,1,1:33.0,,C. Boozer makes 2-pt jump shot from 16 ft (assist by K. Bryant),22,25
86,1,1:21.0,I. Thomas misses 2-pt jump shot from 14 ft,,22,25
