,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,,K. Leonard makes 2-pt jump shot from 18 ft,0,2
1,1,11:19.0,D. Cousins misses 2-pt jump shot from 11 ft,,0,2
2,1,11:18.0,Offensive rebound by D. Cousins,,0,2
3,1,11:14.0,Turnover by D. Cousins (bad pass; steal by T. Parker),,0,2
4,1,10:56.0,,K. Leonard makes 2-pt jump shot from 12 ft,0,4
5,1,10:31.0,D. Cousins misses 2-pt jump shot from 15 ft,,0,4
6,1,10:30.0,Offensive rebound by Team,,0,4
7,1,10:30.0,Turnover by Team (shot clock),,0,4
8,1,10:16.0,,T. Duncan makes 2-pt jump shot from 18 ft (assist by T. Parker),0,6
9,1,10:01.0,D. Cousins makes 2-pt jump shot from 7 ft (assist by B. McLemore),,2,6
10,1,9:48.0,,T. Parker misses 2-pt layup from 2 ft (block by R. McCallum),2,6
11,1,9:46.0,Defensive rebound by R. McCallum,,2,6
12,1,9:33.0,Turnover by R. Gay (lost ball; steal by K. Leonard),,2,6
13,1,9:26.0,,T. Parker misses 2-pt jump shot from 8 ft,2,6
14,1,9:25.0,,Offensive rebound by Team,2,6
15,1,9:25.0,Loose ball foul by D. Cousins (drawn by T. Splitter),,2,6
16,1,9:18.0,,K. Leonard makes 3-pt jump shot from 22 ft (assist by T. Duncan),2,9
17,1,9:06.0,R. Gay misses 2-pt jump shot from 16 ft,,2,9
18,1,9:05.0,,Defensive rebound by T. Splitter,2,9
19,1,8:58.0,,D. Green misses 3-pt jump shot from 23 ft,2,9
20,1,8:56.0,Defensive rebound by R. McCallum,,2,9
21,1,8:45.0,D. Cousins misses 2-pt dunk at rim (block by T. Splitter),,2,9
22,1,8:42.0,,Defensive rebound by T. Duncan,2,9
23,1,8:37.0,,T. Parker makes 2-pt layup from 1 ft,2,11
24,1,8:31.0,Sacramento full timeout,,2,11
25,1,8:20.0,B. McLemore misses 2-pt layup from 1 ft,,2,11
26,1,8:19.0,Offensive rebound by B. McLemore,,2,11
27,1,8:17.0,D. Cousins makes 2-pt jump shot from 16 ft (assist by R. McCallum),,4,11
28,1,8:17.0,Shooting foul by T. Duncan (drawn by D. Cousins),,4,11
29,1,8:17.0,D. Cousins makes free throw 1 of 1,,5,11
30,1,7:58.0,,Turnover by D. Green (bad pass; steal by D. Cousins),5,11
31,1,7:47.0,R. Gay misses 2-pt jump shot from 3 ft,,5,11
32,1,7:46.0,Offensive rebound by J. Thompson,,5,11
33,1,7:46.0,J. Thompson misses 2-pt layup from 2 ft,,5,11
34,1,7:45.0,Offensive rebound by R. Gay,,5,11
35,1,7:44.0,R. Gay makes 2-pt tip-in from 3 ft,,7,11
36,1,7:30.0,,T. Duncan misses 2-pt jump shot from 18 ft,7,11
37,1,7:29.0,Defensive rebound by D. Cousins,,7,11
38,1,7:19.0,Turnover by D. Cousins (lost ball; steal by T. Splitter),,7,11
39,1,7:11.0,,D. Green misses 3-pt jump shot from 23 ft,7,11
40,1,7:10.0,Defensive rebound by J. Thompson,,7,11
41,1,7:03.0,R. McCallum makes 2-pt layup at rim,,9,11
42,1,6:49.0,,T. Parker makes 2-pt jump shot from 14 ft,9,13
43,1,6:34.0,J. Thompson makes 2-pt jump shot from 20 ft (assist by R. McCallum),,11,13
44,1,6:12.0,,K. Leonard makes 2-pt jump shot from 18 ft,11,15
45,1,5:59.0,D. Cousins misses 2-pt layup from 1 ft (block by T. Duncan),,11,15
46,1,5:58.0,,Defensive rebound by T. Splitter,11,15
47,1,5:50.0,,T. Parker misses 2-pt jump shot from 19 ft,11,15
48,1,5:49.0,,Offensive rebound by T. Duncan,11,15
49,1,5:45.0,,D. Green misses 2-pt layup at rim,11,15
50,1,5:44.0,Defensive rebound by R. Gay,,11,15
51,1,5:30.0,J. Thompson misses 2-pt jump shot from 5 ft,,11,15
52,1,5:29.0,Offensive rebound by R. McCallum,,11,15
53,1,5:27.0,R. McCallum misses 2-pt jump shot from 13 ft,,11,15
54,1,5:26.0,Offensive rebound by Team,,11,15
55,1,5:26.0,,P. Mills enters the game for T. Parker,11,15
56,1,5:26.0,,M. Ginóbili enters the game for D. Green,11,15
57,1,5:26.0,,Violation by M. Ginóbili (kicked ball),11,15
58,1,5:26.0,,B. Diaw enters the game for T. Duncan,11,15
59,1,5:16.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by R. Gay),,14,15
60,1,4:56.0,,M. Ginóbili makes 3-pt jump shot from 22 ft (assist by T. Splitter),14,18
61,1,4:37.0,R. Gay misses 2-pt jump shot from 5 ft,,14,18
62,1,4:36.0,Offensive rebound by Team,,14,18
63,1,4:36.0,D. Williams enters the game for J. Thompson,,14,18
64,1,4:23.0,D. Cousins makes 2-pt layup from 1 ft (assist by R. Gay),,16,18
65,1,4:14.0,,Turnover by K. Leonard (bad pass; steal by R. McCallum),16,18
66,1,4:09.0,R. McCallum makes 2-pt layup at rim,,18,18
67,1,4:09.0,Shooting foul by M. Ginóbili (drawn by R. McCallum),,18,18
68,1,4:09.0,,A. Baynes enters the game for T. Splitter,18,18
69,1,4:09.0,,San Antonio full timeout,18,18
70,1,4:09.0,R. McCallum misses free throw 1 of 1,,18,18
71,1,4:08.0,,Defensive rebound by P. Mills,18,18
72,1,3:46.0,,Turnover by B. Diaw (bad pass; steal by D. Cousins),18,18
73,1,3:43.0,Turnover by D. Cousins (bad pass; steal by M. Ginóbili),,18,18
