,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
0,1,11:44.0,,M. Ellis makes 2-pt jump shot from 8 ft (assist by D. Nowitzki),0,2
1,1,11:22.0,J. Redick misses 3-pt jump shot from 24 ft,,0,2
2,1,11:21.0,,Defensive rebound by T. Chandler,0,2
3,1,11:07.0,,M. Ellis misses 2-pt jump shot from 13 ft,0,2
4,1,11:06.0,,Offensive rebound by T. Chandler,0,2
5,1,11:03.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by T. Chandler),0,5
6,1,10:33.0,D. Jordan makes 3-pt jump shot from 26 ft,,3,5
7,1,10:15.0,,M. Ellis makes 2-pt jump shot from 10 ft,3,7
8,1,10:02.0,M. Barnes misses 3-pt jump shot from 25 ft,,3,7
9,1,10:01.0,Offensive rebound by D. Jordan,,3,7
10,1,10:01.0,,Loose ball foul by T. Chandler (drawn by D. Jordan),3,7
11,1,9:51.0,S. Hawes misses 2-pt hook shot from 9 ft,,3,7
12,1,9:48.0,,Defensive rebound by R. Rondo,3,7
13,1,9:40.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,3,7
14,1,9:39.0,Defensive rebound by M. Barnes,,3,7
15,1,9:37.0,Turnover by M. Barnes (bad pass; steal by C. Parsons),,3,7
16,1,9:32.0,,Turnover by R. Rondo (bad pass; steal by C. Paul),3,7
17,1,9:23.0,S. Hawes misses 3-pt jump shot from 25 ft,,3,7
18,1,9:21.0,,Defensive rebound by C. Parsons,3,7
19,1,9:01.0,,T. Chandler misses 2-pt jump shot from 18 ft,3,7
20,1,9:00.0,Defensive rebound by D. Jordan,,3,7
21,1,8:47.0,Offensive foul by M. Barnes (drawn by C. Parsons),,3,7
22,1,8:47.0,Turnover by M. Barnes (offensive foul),,3,7
23,1,8:39.0,,Turnover by M. Ellis (bad pass),3,7
24,1,8:29.0,C. Paul makes 2-pt jump shot from 3 ft,,5,7
25,1,8:12.0,,C. Parsons makes 3-pt jump shot from 23 ft (assist by R. Rondo),5,10
26,1,7:55.0,S. Hawes misses 3-pt jump shot from 25 ft,,5,10
27,1,7:54.0,,Defensive rebound by T. Chandler,5,10
28,1,7:45.0,,Personal foul by S. Hawes (drawn by R. Rondo),5,10
29,1,7:38.0,,M. Ellis misses 2-pt jump shot from 19 ft,5,10
30,1,7:36.0,Defensive rebound by D. Jordan,,5,10
31,1,7:23.0,C. Paul makes 2-pt jump shot from 18 ft,,7,10
32,1,7:04.0,,Turnover by M. Ellis (bad pass; steal by C. Paul),7,10
33,1,6:59.0,M. Barnes makes 2-pt dunk at rim (assist by C. Paul),,9,10
34,1,6:57.0,,Dallas full timeout,9,10
35,1,6:42.0,,T. Chandler makes 2-pt layup from 1 ft (assist by C. Parsons),9,12
36,1,6:26.0,Personal foul by R. Rondo (drawn by C. Paul),,9,12
37,1,6:26.0,,C. Villanueva enters the game for D. Nowitzki,9,12
38,1,6:14.0,J. Redick makes 3-pt jump shot from 23 ft (assist by S. Hawes),,12,12
39,1,5:56.0,,M. Ellis misses 2-pt jump shot from 16 ft,12,12
40,1,5:54.0,Defensive rebound by M. Barnes,,12,12
41,1,5:46.0,C. Paul misses 2-pt jump shot from 15 ft,,12,12
42,1,5:44.0,,Defensive rebound by C. Villanueva,12,12
43,1,5:36.0,,C. Villanueva misses 3-pt jump shot from 24 ft,12,12
44,1,5:34.0,Defensive rebound by M. Barnes,,12,12
45,1,5:30.0,S. Hawes makes 2-pt dunk at rim (assist by M. Barnes),,14,12
46,1,5:14.0,,R. Rondo misses 2-pt jump shot from 18 ft,14,12
47,1,5:13.0,Defensive rebound by S. Hawes,,14,12
48,1,5:06.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,16,12
49,1,4:43.0,,C. Villanueva makes 2-pt jump shot from 21 ft (assist by M. Ellis),16,14
50,1,4:22.0,Shooting foul by M. Ellis (drawn by J. Redick),,16,14
51,1,4:22.0,J. Redick makes free throw 1 of 3,,17,14
52,1,4:22.0,J. Redick makes free throw 2 of 3,,18,14
53,1,4:22.0,,D. Harris enters the game for R. Rondo,18,14
54,1,4:22.0,,A. Stoudemire enters the game for T. Chandler,18,14
55,1,4:22.0,J. Redick makes free throw 3 of 3,,19,14
56,1,4:08.0,,C. Villanueva misses 3-pt jump shot from 22 ft,19,14
57,1,4:06.0,,Offensive rebound by A. Stoudemire,19,14
58,1,4:06.0,,A. Stoudemire misses 2-pt tip-in at rim,19,14
59,1,4:05.0,,Offensive rebound by A. Stoudemire,19,14
60,1,4:03.0,,Shooting foul by J. Redick (drawn by A. Stoudemire),19,14
61,1,4:03.0,,A. Stoudemire misses free throw 1 of 2,19,14
62,1,4:03.0,,Offensive rebound by Team,19,14
63,1,4:03.0,,A. Stoudemire misses free throw 2 of 2,19,14
64,1,4:03.0,Defensive rebound by M. Barnes,,19,14
65,1,3:51.0,Shooting foul by A. Stoudemire (drawn by D. Jordan),,19,14
66,1,3:51.0,D. Jordan misses free throw 1 of 2,,19,14
67,1,3:51.0,Offensive rebound by Team,,19,14
