,QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
0,1,11:46.0,,Shooting foul by M. Plumlee (drawn by J. Valančiūnas),0,0
1,1,11:46.0,,J. Valančiūnas makes free throw 1 of 2,0,1
2,1,11:46.0,,J. Valančiūnas makes free throw 2 of 2,0,2
3,1,11:32.0,M. Morris makes 2-pt jump shot from 16 ft (assist by G. Dragić),,2,2
4,1,11:16.0,,Turnover by J. Valančiūnas (traveling),2,2
5,1,10:53.0,G. Dragić misses 2-pt jump shot from 4 ft,,2,2
6,1,10:50.0,Offensive rebound by M. Plumlee,,2,2
7,1,10:47.0,M. Plumlee makes 2-pt tip-in at rim,,4,2
8,1,10:36.0,,T. Ross misses 2-pt jump shot from 6 ft,4,2
9,1,10:36.0,,Offensive rebound by Team,4,2
10,1,10:36.0,Loose ball foul by M. Plumlee (drawn by J. Valančiūnas),,4,2
11,1,10:36.0,A. Len enters the game for M. Plumlee,,4,2
12,1,10:25.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by K. Lowry),4,4
13,1,10:06.0,M. Morris makes 3-pt jump shot from 22 ft (assist by M. Morris),,7,4
14,1,9:54.0,,D. DeRozan makes 2-pt layup from 1 ft,7,6
15,1,9:44.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,7,6
16,1,9:43.0,,Defensive rebound by A. Johnson,7,6
17,1,9:28.0,Violation by M. Morris (kicked ball),,7,6
18,1,9:20.0,,D. DeRozan misses 2-pt jump shot from 14 ft,7,6
19,1,9:19.0,,Offensive rebound by Team,7,6
20,1,9:14.0,,A. Johnson misses 2-pt jump shot from 18 ft,7,6
21,1,9:13.0,,Offensive rebound by J. Valančiūnas,7,6
22,1,9:10.0,,J. Valančiūnas makes 2-pt layup from 2 ft,7,8
23,1,9:01.0,E. Bledsoe misses 2-pt layup from 1 ft,,7,8
24,1,8:59.0,,Defensive rebound by J. Valančiūnas,7,8
25,1,8:42.0,,T. Ross misses 3-pt jump shot from 24 ft,7,8
26,1,8:41.0,Defensive rebound by M. Morris,,7,8
27,1,8:34.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Dragić),,10,8
28,1,8:15.0,,D. DeRozan misses 2-pt jump shot from 17 ft,10,8
29,1,8:14.0,Defensive rebound by E. Bledsoe,,10,8
30,1,8:07.0,M. Morris misses 2-pt jump shot from 16 ft,,10,8
31,1,8:06.0,Offensive rebound by E. Bledsoe,,10,8
32,1,7:57.0,G. Dragić misses 2-pt jump shot from 13 ft,,10,8
33,1,7:56.0,,Defensive rebound by D. DeRozan,10,8
34,1,7:50.0,,T. Ross misses 2-pt jump shot from 9 ft,10,8
35,1,7:48.0,Defensive rebound by M. Morris,,10,8
36,1,7:46.0,Personal foul by T. Ross (drawn by M. Morris),,10,8
37,1,7:40.0,M. Morris misses 2-pt layup from 2 ft (block by J. Valančiūnas),,10,8
38,1,7:37.0,,Defensive rebound by D. DeRozan,10,8
39,1,7:31.0,,T. Ross misses 3-pt jump shot from 23 ft,10,8
40,1,7:30.0,Defensive rebound by E. Bledsoe,,10,8
41,1,7:29.0,Personal foul by D. DeRozan (drawn by E. Bledsoe),,10,8
42,1,7:24.0,Personal foul by A. Johnson (drawn by M. Morris),,10,8
43,1,7:18.0,A. Len makes 2-pt dunk at rim (assist by G. Dragić),,12,8
44,1,6:58.0,,J. Valančiūnas makes 2-pt dunk at rim,12,10
45,1,6:34.0,M. Morris makes 2-pt layup from 1 ft,,14,10
