,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,Turnover by M. Carter-Williams (bad pass; steal by L. Galloway),0,0
1,1,11:39.0,J. Calderón misses 2-pt layup from 2 ft (block by R. Covington),,0,0
2,1,11:37.0,Offensive rebound by L. Galloway,,0,0
3,1,11:37.0,L. Galloway misses 2-pt tip-in from 1 ft,,0,0
4,1,11:36.0,Offensive rebound by L. Amundson,,0,0
5,1,11:36.0,L. Amundson misses 2-pt tip-in at rim (block by F. Aldemir),,0,0
6,1,11:36.0,Offensive rebound by Team,,0,0
7,1,11:35.0,J. Calderón makes 2-pt jump shot from 8 ft (assist by C. Anthony),,2,0
8,1,11:26.0,,R. Covington misses 3-pt jump shot from 25 ft,2,0
9,1,11:24.0,Defensive rebound by J. Smith,,2,0
10,1,11:07.0,Turnover by J. Calderón (bad pass; steal by R. Covington),,2,0
11,1,10:55.0,,K. McDaniels misses 3-pt jump shot from 25 ft,2,0
12,1,10:54.0,Defensive rebound by L. Galloway,,2,0
13,1,10:48.0,L. Galloway misses 2-pt layup from 1 ft,,2,0
14,1,10:46.0,,Defensive rebound by F. Aldemir,2,0
15,1,10:40.0,,M. Carter-Williams makes 2-pt jump shot from 17 ft,2,2
16,1,10:20.0,L. Galloway misses 2-pt jump shot from 15 ft,,2,2
17,1,10:19.0,,Defensive rebound by F. Aldemir,2,2
18,1,9:54.0,,R. Covington misses 3-pt jump shot from 25 ft,2,2
19,1,9:54.0,,Offensive rebound by Team,2,2
20,1,9:54.0,Loose ball foul by L. Amundson (drawn by H. Sims),,2,2
21,1,9:44.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by R. Covington),2,4
22,1,9:20.0,Turnover by L. Amundson (offensive goaltending),,2,4
23,1,9:10.0,,M. Carter-Williams misses 2-pt jump shot from 17 ft,2,4
24,1,9:08.0,Defensive rebound by L. Amundson,,2,4
25,1,8:49.0,Personal foul by F. Aldemir (drawn by J. Smith),,2,4
26,1,8:42.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by J. Smith),,5,4
27,1,8:21.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,5,4
28,1,8:19.0,Defensive rebound by L. Galloway,,5,4
29,1,8:09.0,C. Anthony misses 2-pt layup from 1 ft,,5,4
