,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,Personal block foul by Z. Randolph (drawn by E. İlyasova),0,0
1,1,11:32.0,,B. Knight makes 3-pt jump shot from 23 ft (assist by J. Parker),0,3
2,1,11:15.0,Turnover by T. Allen (bad pass; steal by L. Sanders),,0,3
3,1,11:05.0,,J. Parker makes 2-pt jump shot from 14 ft (assist by B. Knight),0,5
4,1,10:41.0,C. Lee misses 2-pt jump shot from 19 ft,,0,5
5,1,10:40.0,,Defensive rebound by E. İlyasova,0,5
6,1,10:32.0,,L. Sanders misses 2-pt hook shot at rim,0,5
7,1,10:31.0,,Offensive rebound by L. Sanders,0,5
8,1,10:31.0,,L. Sanders makes 2-pt tip-in at rim,0,7
9,1,10:31.0,Memphis full timeout,,0,7
10,1,10:12.0,Turnover by C. Lee (bad pass; steal by L. Sanders),,0,7
11,1,10:08.0,,J. Parker misses 2-pt layup at rim,0,7
12,1,10:06.0,Defensive rebound by C. Lee,,0,7
13,1,10:00.0,T. Allen misses 2-pt layup from 1 ft (block by J. Parker),,0,7
14,1,9:57.0,Offensive rebound by Team,,0,7
15,1,9:42.0,M. Gasol makes 2-pt jump shot from 4 ft (assist by C. Lee),,2,7
16,1,9:15.0,,E. İlyasova misses 2-pt layup from 1 ft,2,7
17,1,9:15.0,,Offensive rebound by Team,2,7
18,1,9:15.0,,Turnover by Team (shot clock),2,7
19,1,9:00.0,T. Allen misses 2-pt layup from 1 ft,,2,7
20,1,8:58.0,,Defensive rebound by E. İlyasova,2,7
21,1,8:50.0,,Turnover by B. Knight (bad pass; steal by M. Conley),2,7
22,1,8:46.0,C. Lee makes 2-pt layup at rim (assist by M. Conley),,4,7
23,1,8:32.0,,E. İlyasova makes 2-pt jump shot from 20 ft (assist by B. Knight),4,9
24,1,8:20.0,Shooting block foul by E. İlyasova (drawn by Z. Randolph),,4,9
25,1,8:20.0,Z. Randolph makes free throw 1 of 2,,5,9
26,1,8:20.0,Z. Randolph makes free throw 2 of 2,,6,9
27,1,7:58.0,,J. Parker makes 3-pt jump shot from 23 ft (assist by B. Knight),6,12
28,1,7:49.0,T. Allen misses 2-pt jump shot from 4 ft (block by L. Sanders),,6,12
29,1,7:47.0,,Defensive rebound by L. Sanders,6,12
30,1,7:43.0,,Turnover by L. Sanders (offensive goaltending),6,12
31,1,7:31.0,Personal foul by L. Sanders (drawn by M. Gasol),,6,12
32,1,7:31.0,T. Prince enters the game for T. Allen,,6,12
33,1,7:22.0,Def 3 sec tech foul by J. Parker,,6,12
34,1,7:22.0,C. Lee makes technical free throw,,7,12
35,1,7:14.0,T. Prince makes 2-pt jump shot from 18 ft (assist by M. Conley),,9,12
36,1,7:01.0,,B. Knight makes 2-pt jump shot from 18 ft,9,14
37,1,6:55.0,Shooting block foul by L. Sanders (drawn by T. Prince),,9,14
38,1,6:55.0,T. Prince makes free throw 1 of 2,,10,14
39,1,6:55.0,,Z. Pachulia enters the game for L. Sanders,10,14
40,1,6:55.0,,G. Antetokounmpo enters the game for J. Parker,10,14
41,1,6:55.0,T. Prince makes free throw 2 of 2,,11,14
