,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
0,1,11:44.0,K. Durant misses 3-pt jump shot from 26 ft,,0,0
1,1,11:44.0,,Defensive rebound by B. Beal,0,0
2,1,11:25.0,,N. Hilário makes 2-pt jump shot from 18 ft (assist by J. Wall),0,2
3,1,11:06.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,2,2
4,1,10:54.0,,B. Beal misses 2-pt jump shot from 21 ft,2,2
5,1,10:53.0,Defensive rebound by S. Adams,,2,2
6,1,10:45.0,R. Westbrook makes 2-pt jump shot from 5 ft,,4,2
7,1,10:35.0,,P. Pierce misses 3-pt jump shot from 26 ft,4,2
8,1,10:34.0,Defensive rebound by A. Roberson,,4,2
9,1,10:26.0,R. Westbrook misses 2-pt layup from 2 ft,,4,2
10,1,10:25.0,,Defensive rebound by N. Hilário,4,2
11,1,10:15.0,,P. Pierce makes 2-pt dunk at rim (assist by N. Hilário),4,4
12,1,9:57.0,Turnover by K. Durant (lost ball; steal by P. Pierce),,4,4
13,1,9:49.0,,N. Hilário misses 2-pt jump shot from 15 ft,4,4
14,1,9:48.0,Defensive rebound by S. Ibaka,,4,4
15,1,9:36.0,S. Ibaka misses 3-pt jump shot from 26 ft,,4,4
16,1,9:35.0,,Defensive rebound by J. Wall,4,4
17,1,9:19.0,,N. Hilário makes 2-pt layup from 2 ft,4,6
18,1,9:19.0,,Shooting foul by S. Ibaka (drawn by N. Hilário),4,6
19,1,9:19.0,,N. Hilário makes free throw 1 of 1,4,7
20,1,9:10.0,Shooting foul by N. Hilário (drawn by K. Durant),,4,7
21,1,9:10.0,K. Durant makes free throw 1 of 2,,5,7
22,1,9:10.0,K. Durant makes free throw 2 of 2,,6,7
23,1,8:52.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),6,9
24,1,8:34.0,Turnover by S. Ibaka (lost ball; steal by J. Wall),,6,9
25,1,8:22.0,,B. Beal misses 3-pt jump shot from 26 ft,6,9
26,1,8:21.0,,Offensive rebound by B. Beal,6,9
27,1,8:19.0,,Turnover by B. Beal (bad pass),6,9
28,1,8:11.0,R. Westbrook misses 2-pt layup from 2 ft,,6,9
29,1,8:10.0,,Defensive rebound by P. Pierce,6,9
30,1,7:54.0,,P. Pierce misses 3-pt jump shot from 25 ft,6,9
31,1,7:53.0,Defensive rebound by K. Durant,,6,9
32,1,7:42.0,K. Durant misses 2-pt layup from 1 ft,,6,9
33,1,7:41.0,,Defensive rebound by P. Pierce,6,9
34,1,7:36.0,,B. Beal makes 2-pt jump shot from 3 ft (assist by P. Pierce),6,11
35,1,7:21.0,Personal foul by J. Wall (drawn by S. Adams),,6,11
36,1,7:08.0,S. Ibaka makes 2-pt jump shot from 10 ft (assist by S. Adams),,8,11
37,1,6:45.0,,Shooting foul by A. Roberson (drawn by N. Hilário),8,11
38,1,6:45.0,,N. Hilário makes free throw 1 of 2,8,12
39,1,6:45.0,,N. Hilário makes free throw 2 of 2,8,13
40,1,6:31.0,R. Westbrook misses 3-pt jump shot from 26 ft,,8,13
41,1,6:30.0,,Defensive rebound by N. Hilário,8,13
42,1,6:21.0,,P. Pierce misses 2-pt jump shot from 3 ft,8,13
43,1,6:20.0,Defensive rebound by A. Roberson,,8,13
44,1,6:15.0,K. Durant makes 2-pt layup from 2 ft,,10,13
45,1,6:15.0,Shooting foul by N. Hilário (drawn by K. Durant),,10,13
46,1,6:15.0,,K. Humphries enters the game for N. Hilário,10,13
47,1,6:15.0,K. Durant makes free throw 1 of 1,,11,13
48,1,6:01.0,,J. Wall misses 2-pt jump shot from 19 ft,11,13
49,1,6:00.0,Defensive rebound by S. Adams,,11,13
50,1,5:55.0,Shooting block foul by B. Beal (drawn by R. Westbrook),,11,13
51,1,5:55.0,,Washington full timeout,11,13
52,1,5:55.0,A. Morrow enters the game for K. Durant,,11,13
53,1,5:55.0,R. Westbrook makes free throw 1 of 2,,12,13
54,1,5:55.0,R. Westbrook makes free throw 2 of 2,,13,13
55,1,5:32.0,,Shooting foul by A. Morrow (drawn by P. Pierce),13,13
