,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,K. Durant misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,Defensive rebound by B. Beal,,0,0
2,1,11:35.0,M. Gortat makes 2-pt hook shot from 5 ft (assist by P. Pierce),,2,0
3,1,11:20.0,,R. Westbrook makes 2-pt jump shot from 15 ft,2,2
4,1,11:03.0,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),,4,2
5,1,10:43.0,,R. Westbrook misses 2-pt jump shot from 15 ft,4,2
6,1,10:43.0,Defensive rebound by B. Beal,,4,2
7,1,10:33.0,N. Hilário misses 2-pt jump shot from 16 ft,,4,2
8,1,10:32.0,Offensive rebound by Team,,4,2
9,1,10:32.0,,Loose ball foul by S. Ibaka (drawn by M. Gortat),4,2
10,1,10:18.0,Turnover by P. Pierce (lost ball; steal by R. Westbrook),,4,2
11,1,10:14.0,,R. Westbrook makes 2-pt layup at rim,4,4
12,1,9:54.0,N. Hilário misses 2-pt layup at rim,,4,4
13,1,9:53.0,,Defensive rebound by S. Adams,4,4
14,1,9:44.0,,K. Durant makes 2-pt jump shot from 9 ft,4,6
15,1,9:19.0,M. Gortat misses 2-pt hook shot from 8 ft,,4,6
16,1,9:18.0,,Defensive rebound by R. Westbrook,4,6
17,1,9:05.0,,K. Durant makes 3-pt jump shot from 24 ft (assist by S. Ibaka),4,9
18,1,9:04.0,Personal foul by S. Adams (drawn by N. Hilário),,4,9
19,1,9:04.0,Technical foul by N. Hilário,,4,9
20,1,9:04.0,,K. Durant makes technical free throw,4,10
21,1,8:40.0,P. Pierce makes 2-pt jump shot from 16 ft,,6,10
22,1,8:20.0,,S. Ibaka misses 3-pt jump shot from 24 ft,6,10
23,1,8:19.0,Defensive rebound by P. Pierce,,6,10
24,1,8:13.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,9,10
25,1,7:56.0,,R. Westbrook misses 2-pt jump shot from 14 ft,9,10
26,1,7:55.0,Defensive rebound by J. Wall,,9,10
27,1,7:51.0,Personal block foul by R. Westbrook (drawn by J. Wall),,9,10
28,1,7:51.0,,K. Perkins enters the game for S. Adams,9,10
29,1,7:45.0,Personal foul by A. Roberson (drawn by N. Hilário),,9,10
30,1,7:40.0,N. Hilário makes 2-pt jump shot from 13 ft (assist by B. Beal),,11,10
31,1,7:23.0,,Shooting foul by P. Pierce (drawn by K. Durant),11,10
32,1,7:23.0,,K. Durant makes 2-pt layup from 1 ft,11,12
33,1,7:23.0,,K. Durant makes free throw 1 of 1,11,13
34,1,7:10.0,Shooting foul by K. Durant (drawn by P. Pierce),,11,13
35,1,7:10.0,P. Pierce makes free throw 1 of 2,,12,13
36,1,7:10.0,P. Pierce makes free throw 2 of 2,,13,13
37,1,7:00.0,,Personal foul by J. Wall (drawn by R. Westbrook),13,13
38,1,6:53.0,,Turnover by A. Roberson (bad pass; steal by M. Gortat),13,13
39,1,6:45.0,J. Wall misses 2-pt jump shot from 13 ft,,13,13
40,1,6:45.0,Offensive rebound by M. Gortat,,13,13
41,1,6:31.0,P. Pierce misses 3-pt jump shot from 24 ft,,13,13
42,1,6:28.0,,Defensive rebound by Team,13,13
43,1,6:07.0,,R. Westbrook misses 2-pt jump shot from 17 ft,13,13
44,1,6:06.0,,Offensive rebound by A. Roberson,13,13
45,1,5:55.0,,Shooting foul by B. Beal (drawn by R. Westbrook),13,13
46,1,5:55.0,,Oklahoma City full timeout,13,13
47,1,5:55.0,,R. Westbrook makes free throw 1 of 2,13,14
48,1,5:55.0,,R. Westbrook makes free throw 2 of 2,13,15
49,1,5:39.0,B. Beal misses 2-pt jump shot from 19 ft,,13,15
50,1,5:38.0,,Defensive rebound by K. Perkins,13,15
51,1,5:33.0,,R. Westbrook makes 2-pt layup from 2 ft,13,17
52,1,5:21.0,B. Beal makes 2-pt layup from 1 ft,,15,17
53,1,4:55.0,,Turnover by S. Ibaka (lost ball),15,17
54,1,4:37.0,P. Pierce misses 2-pt layup at rim,,15,17
55,1,4:36.0,,Defensive rebound by A. Roberson,15,17
56,1,4:29.0,,S. Ibaka misses 2-pt jump shot from 15 ft,15,17
57,1,4:28.0,Defensive rebound by B. Beal,,15,17
58,1,4:17.0,N. Hilário makes 2-pt jump shot from 14 ft (assist by B. Beal),,17,17
