,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
31,1,7:34.0,Defensive rebound by T. Zeller,,8,6
32,1,7:25.0,A. Bradley misses 2-pt jump shot from 19 ft,,8,6
33,1,7:24.0,,Defensive rebound by C. Miles,8,6
34,1,7:10.0,,Shooting foul by T. Zeller (drawn by R. Hibbert),8,6
35,1,7:10.0,,R. Hibbert makes free throw 1 of 2,8,7
36,1,7:10.0,,R. Hibbert misses free throw 2 of 2,8,7
37,1,7:10.0,Defensive rebound by E. Turner,,8,7
38,1,6:54.0,M. Smart misses 2-pt jump shot from 15 ft,,8,7
39,1,6:53.0,,Defensive rebound by D. West,8,7
40,1,6:36.0,,R. Hibbert makes 2-pt hook shot from 12 ft,8,9
41,1,6:22.0,M. Smart misses 2-pt layup from 2 ft (block by R. Hibbert),,8,9
42,1,6:21.0,,Defensive rebound by R. Hibbert,8,9
43,1,6:05.0,,S. Hill misses 3-pt jump shot from 24 ft,8,9
44,1,6:04.0,Defensive rebound by B. Bass,,8,9
45,1,5:51.0,M. Smart misses 3-pt jump shot from 25 ft,,8,9
46,1,5:50.0,,Defensive rebound by R. Hibbert,8,9
47,1,5:43.0,,Indiana full timeout,8,9
48,1,5:43.0,J. Crowder enters the game for T. Zeller,,8,9
49,1,5:43.0,K. Olynyk enters the game for M. Smart,,8,9
50,1,5:31.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by D. West),8,12
51,1,5:13.0,K. Olynyk misses 3-pt jump shot from 26 ft,,8,12
52,1,5:12.0,,Defensive rebound by C. Miles,8,12
53,1,5:04.0,,Personal foul by K. Olynyk (drawn by D. West),8,12
54,1,4:54.0,,R. Hibbert misses 2-pt hook shot from 9 ft,8,12
55,1,4:53.0,Defensive rebound by A. Bradley,,8,12
56,1,4:37.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by B. Bass),,11,12
57,1,4:15.0,,D. West misses 2-pt jump shot from 18 ft,11,12
58,1,4:14.0,Defensive rebound by E. Turner,,11,12
59,1,4:10.0,K. Olynyk makes 2-pt layup at rim (assist by E. Turner),,13,12
60,1,3:55.0,,D. West makes 2-pt jump shot from 17 ft (assist by C. Miles),13,14
61,1,3:38.0,E. Turner misses 2-pt layup at rim,,13,14
62,1,3:37.0,,Defensive rebound by S. Hill,13,14
