,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
330,4,11:11.0,T. Sefolosha makes 2-pt layup at rim (assist by S. Mack),,70,66
331,4,10:54.0,,Shooting foul by M. Scott (drawn by J. Dudley),70,66
332,4,10:54.0,,J. Dudley makes free throw 1 of 3,70,67
333,4,10:54.0,,J. Dudley makes free throw 2 of 3,70,68
334,4,10:54.0,,J. Dudley misses free throw 3 of 3,70,68
335,4,10:53.0,Defensive rebound by T. Sefolosha,,70,68
336,4,10:32.0,S. Mack misses 2-pt layup from 3 ft (block by J. Bayless),,70,68
337,4,10:32.0,Offensive rebound by Team,,70,68
338,4,10:30.0,M. Scott misses 2-pt jump shot from 16 ft,,70,68
339,4,10:29.0,,Defensive rebound by J. Bayless,70,68
340,4,10:05.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by O. Mayo),70,71
341,4,9:47.0,A. Horford misses 2-pt hook shot from 4 ft (block by J. Henson),,70,71
342,4,9:47.0,,Defensive rebound by O. Mayo,70,71
343,4,9:47.0,,Personal foul by A. Horford (drawn by O. Mayo),70,71
344,4,9:25.0,,J. Bayless misses 3-pt jump shot from 26 ft,70,71
345,4,9:24.0,Defensive rebound by S. Mack,,70,71
346,4,9:08.0,A. Horford makes 2-pt jump shot from 18 ft (assist by S. Mack),,72,71
347,4,8:44.0,,K. Middleton makes 2-pt jump shot from 16 ft,72,73
348,4,8:28.0,Turnover by S. Mack (bad pass; steal by K. Middleton),,72,73
349,4,8:25.0,,Turnover by K. Middleton (lost ball),72,73
350,4,8:25.0,Official timeout,,72,73
351,4,8:25.0,J. Teague enters the game for T. Sefolosha,,72,73
352,4,8:25.0,P. Millsap enters the game for M. Scott,,72,73
353,4,8:25.0,K. Korver enters the game for S. Mack,,72,73
354,4,8:25.0,,Z. Pachulia enters the game for J. Henson,72,73
355,4,8:04.0,A. Horford makes 2-pt layup at rim (assist by J. Teague),,74,73
356,4,7:44.0,,J. Dudley misses 2-pt jump shot from 16 ft,74,73
357,4,7:42.0,Defensive rebound by D. Carroll,,74,73
358,4,7:24.0,P. Millsap misses 2-pt layup from 1 ft (block by O. Mayo),,74,73
359,4,7:21.0,,Defensive rebound by Z. Pachulia,74,73
360,4,7:14.0,,J. Bayless misses 3-pt jump shot from 23 ft,74,73
361,4,7:13.0,Defensive rebound by J. Teague,,74,73
