,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,A. Davis misses 2-pt jump shot from 19 ft,0,0
1,1,11:44.0,Defensive rebound by W. Matthews,,0,0
2,1,11:27.0,W. Matthews misses 3-pt jump shot from 25 ft,,0,0
3,1,11:26.0,,Defensive rebound by Ö. Aşık,0,0
4,1,11:11.0,,J. Holiday misses 2-pt jump shot from 15 ft,0,0
5,1,11:09.0,,Offensive rebound by J. Holiday,0,0
6,1,10:59.0,,Turnover by T. Evans (lost ball; steal by L. Aldridge),0,0
7,1,10:50.0,L. Aldridge makes 2-pt jump shot from 15 ft,,2,0
8,1,10:50.0,Shooting foul by A. Davis (drawn by L. Aldridge),,2,0
9,1,10:50.0,L. Aldridge makes free throw 1 of 1,,3,0
10,1,10:35.0,,A. Davis misses 2-pt jump shot from 13 ft,3,0
11,1,10:33.0,Defensive rebound by L. Aldridge,,3,0
12,1,10:23.0,N. Batum misses 2-pt jump shot from 21 ft,,3,0
13,1,10:22.0,,Defensive rebound by Ö. Aşık,3,0
14,1,10:12.0,,A. Davis misses 2-pt jump shot from 9 ft (block by L. Aldridge),3,0
15,1,10:10.0,Defensive rebound by W. Matthews,,3,0
16,1,10:04.0,Turnover by W. Matthews (bad pass; steal by T. Evans),,3,0
17,1,9:59.0,,Ö. Aşık makes 2-pt dunk at rim (assist by J. Holiday),3,2
18,1,9:28.0,L. Aldridge makes 2-pt jump shot from 18 ft,,5,2
19,1,9:18.0,,T. Evans misses 2-pt jump shot from 6 ft,5,2
20,1,9:17.0,Defensive rebound by L. Aldridge,,5,2
21,1,9:05.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),,8,2
22,1,8:55.0,,Personal foul by D. Lillard (drawn by J. Holiday),8,2
23,1,8:46.0,,A. Davis makes 2-pt jump shot from 3 ft (assist by J. Holiday),8,4
24,1,8:30.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Lillard),,10,4
25,1,8:27.0,,Turnover by Ö. Aşık (inbound),10,4
26,1,8:24.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by N. Batum),,12,4
27,1,8:15.0,,J. Holiday misses 3-pt jump shot from 25 ft,12,4
28,1,8:13.0,,Offensive rebound by A. Davis,12,4
29,1,8:12.0,Loose ball foul by J. Freeland (drawn by A. Davis),,12,4
30,1,8:01.0,,Turnover by A. Davis (traveling),12,4
31,1,7:46.0,D. Lillard makes 2-pt jump shot from 17 ft (assist by N. Batum),,14,4
32,1,7:21.0,,A. Davis misses 2-pt jump shot from 11 ft,14,4
33,1,7:20.0,,Offensive rebound by T. Evans,14,4
34,1,7:19.0,,Turnover by Team (shot clock),14,4
35,1,7:00.0,L. Aldridge misses 2-pt jump shot from 18 ft (block by A. Davis),,14,4
36,1,6:59.0,,Defensive rebound by A. Davis,14,4
37,1,6:52.0,,T. Evans misses 2-pt layup from 2 ft (block by J. Freeland),14,4
38,1,6:50.0,Defensive rebound by D. Lillard,,14,4
39,1,6:37.0,D. Lillard misses 2-pt layup from 2 ft,,14,4
40,1,6:35.0,,Defensive rebound by A. Davis,14,4
41,1,6:30.0,,T. Evans makes 2-pt layup from 1 ft (assist by A. Davis),14,6
42,1,6:04.0,N. Batum misses 3-pt jump shot from 24 ft,,14,6
43,1,6:03.0,,Defensive rebound by Ö. Aşık,14,6
44,1,5:56.0,,Turnover by T. Evans (bad pass; steal by N. Batum),14,6
45,1,5:49.0,W. Matthews misses 3-pt jump shot from 25 ft,,14,6
46,1,5:48.0,Offensive rebound by Team,,14,6
47,1,5:48.0,,New Orleans full timeout,14,6
48,1,5:48.0,S. Blake enters the game for W. Matthews,,14,6
49,1,5:42.0,D. Lillard makes 2-pt layup from 2 ft,,16,6
50,1,5:27.0,,J. Holiday makes 2-pt jump shot from 12 ft,16,8
51,1,5:06.0,J. Freeland makes 2-pt jump shot from 12 ft,,18,8
