,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
0,1,11:43.0,Turnover by M. Gasol (bad pass; steal by A. Horford),,0,0
1,1,11:28.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),0,3
2,1,11:09.0,M. Gasol misses 2-pt jump shot from 20 ft,,0,3
3,1,11:08.0,,Defensive rebound by D. Carroll,0,3
4,1,10:46.0,,K. Korver makes 2-pt jump shot from 19 ft (assist by P. Millsap),0,5
5,1,10:30.0,Turnover by T. Allen (bad pass; steal by J. Teague),,0,5
6,1,10:25.0,,J. Teague makes 2-pt layup at rim,0,7
7,1,10:09.0,Turnover by C. Lee (lost ball; steal by D. Carroll),,0,7
8,1,9:56.0,,A. Horford misses 2-pt jump shot from 17 ft,0,7
9,1,9:54.0,,Offensive rebound by D. Carroll,0,7
10,1,9:41.0,,Turnover by P. Millsap (bad pass; steal by T. Allen),0,7
11,1,9:36.0,C. Lee makes 2-pt jump shot from 16 ft (assist by M. Conley),,2,7
12,1,9:10.0,,D. Carroll misses 3-pt jump shot from 25 ft,2,7
13,1,9:09.0,Defensive rebound by M. Gasol,,2,7
14,1,8:59.0,C. Lee misses 2-pt jump shot from 18 ft,,2,7
15,1,8:57.0,,Defensive rebound by P. Millsap,2,7
16,1,8:51.0,,Turnover by P. Millsap (bad pass; steal by C. Lee),2,7
17,1,8:47.0,T. Allen makes 2-pt layup from 2 ft (assist by C. Lee),,4,7
18,1,8:23.0,,P. Millsap misses 2-pt layup from 1 ft,4,7
19,1,8:21.0,Defensive rebound by M. Gasol,,4,7
20,1,8:15.0,M. Conley makes 2-pt layup from 1 ft,,6,7
21,1,7:48.0,,A. Horford misses 2-pt jump shot from 18 ft,6,7
22,1,7:47.0,Defensive rebound by M. Conley,,6,7
23,1,7:34.0,M. Gasol makes 2-pt jump shot from 11 ft,,8,7
24,1,7:33.0,,Atlanta full timeout,8,7
25,1,7:33.0,J. Leuer enters the game for J. Stokes,,8,7
26,1,7:20.0,,Personal foul by J. Leuer (drawn by K. Korver),8,7
27,1,7:14.0,,Turnover by J. Teague (bad pass),8,7
28,1,6:57.0,M. Conley misses 2-pt jump shot from 11 ft,,8,7
29,1,6:56.0,,Defensive rebound by A. Horford,8,7
30,1,6:33.0,,J. Teague makes 3-pt jump shot from 22 ft (assist by A. Horford),8,10
31,1,6:11.0,Turnover by J. Leuer (bad pass; steal by D. Carroll),,8,10
32,1,6:05.0,,Turnover by D. Carroll (bad pass; steal by M. Gasol),8,10
33,1,6:00.0,T. Allen misses 2-pt layup from 1 ft,,8,10
34,1,5:58.0,Offensive rebound by C. Lee,,8,10
35,1,5:58.0,C. Lee misses 2-pt layup from 3 ft,,8,10
36,1,5:57.0,Offensive rebound by T. Allen,,8,10
37,1,5:54.0,M. Conley makes 2-pt layup from 3 ft (assist by T. Allen),,10,10
38,1,5:37.0,,Shooting foul by J. Leuer (drawn by P. Millsap),10,10
39,1,5:37.0,,P. Millsap makes free throw 1 of 2,10,11
40,1,5:37.0,T. Prince enters the game for J. Leuer,,10,11
41,1,5:37.0,,P. Antić enters the game for A. Horford,10,11
42,1,5:37.0,,T. Sefolosha enters the game for K. Korver,10,11
43,1,5:37.0,,P. Millsap makes free throw 2 of 2,10,12
44,1,5:19.0,T. Allen makes 2-pt jump shot from 18 ft (assist by C. Lee),,12,12
45,1,4:53.0,,Turnover by Team (shot clock),12,12
46,1,4:46.0,M. Conley makes 3-pt jump shot from 24 ft,,15,12
47,1,4:36.0,,J. Teague makes 2-pt layup from 1 ft,15,14
48,1,4:22.0,T. Prince misses 2-pt jump shot from 20 ft,,15,14
49,1,4:21.0,Offensive rebound by M. Conley,,15,14
50,1,4:19.0,Turnover by M. Conley (lost ball),,15,14
51,1,4:10.0,,Turnover by J. Teague (bad pass; steal by M. Conley),15,14
52,1,4:10.0,Personal foul by P. Millsap (drawn by M. Conley),,15,14
53,1,3:49.0,M. Gasol misses 2-pt jump shot from 19 ft,,15,14
54,1,3:47.0,Offensive rebound by M. Conley,,15,14
55,1,3:36.0,M. Gasol makes 2-pt hook shot from 6 ft (assist by C. Lee),,17,14
56,1,3:19.0,,P. Antić misses 3-pt jump shot from 25 ft,17,14
57,1,3:18.0,,Offensive rebound by P. Millsap,17,14
58,1,3:12.0,,Offensive foul by P. Antić (drawn by M. Conley),17,14
59,1,3:12.0,,Turnover by P. Antić (offensive foul),17,14
60,1,3:12.0,Memphis full timeout,,17,14
61,1,3:12.0,,D. Schröder enters the game for J. Teague,17,14
62,1,3:12.0,V. Carter enters the game for T. Allen,,17,14
63,1,2:59.0,T. Prince makes 2-pt jump shot from 14 ft (assist by M. Conley),,19,14
64,1,2:42.0,,T. Sefolosha makes 2-pt jump shot from 18 ft (assist by P. Millsap),19,16
65,1,2:28.0,Turnover by C. Lee (bad pass; steal by T. Sefolosha),,19,16
66,1,2:24.0,,D. Carroll makes 2-pt dunk at rim (assist by T. Sefolosha),19,18
67,1,2:13.0,Technical foul by V. Carter,,19,18
68,1,2:13.0,,T. Sefolosha misses technical free throw,19,18
69,1,2:13.0,Offensive rebound by Team,,19,18
70,1,2:13.0,K. Koufos enters the game for M. Gasol,,19,18
71,1,2:03.0,Turnover by V. Carter (lost ball; steal by T. Sefolosha),,19,18
72,1,1:58.0,,T. Sefolosha misses 2-pt layup from 1 ft,19,18
73,1,1:57.0,,Offensive rebound by D. Schröder,19,18
74,1,1:51.0,,Turnover by P. Antić (offensive foul),19,18
75,1,1:51.0,Offensive charge foul by P. Antić (drawn by C. Lee),,19,18
76,1,1:51.0,,A. Horford enters the game for P. Antić,19,18
77,1,1:41.0,,K. Korver enters the game for D. Carroll,19,18
78,1,1:41.0,,M. Scott enters the game for P. Millsap,19,18
79,1,1:32.0,M. Conley misses 2-pt jump shot from 19 ft,,19,18
80,1,1:29.0,,Defensive rebound by T. Sefolosha,19,18
81,1,1:18.0,,D. Schröder makes 2-pt jump shot from 6 ft,19,20
82,1,1:05.0,V. Carter misses 3-pt jump shot from 24 ft,,19,20
83,1,1:03.0,,Defensive rebound by M. Scott,19,20
84,1,0:56.0,,Turnover by D. Schröder (lost ball; steal by M. Conley),19,20
85,1,0:44.0,T. Prince misses 2-pt jump shot from 18 ft,,19,20
86,1,0:43.0,,Defensive rebound by Team,19,20
87,1,0:43.0,Loose ball foul by K. Koufos (drawn by A. Horford),,19,20
88,1,0:43.0,B. Udrih enters the game for M. Conley,,19,20
