,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
0,1,11:37.0,A. Davis misses 2-pt jump shot from 17 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Teague,0,0
2,1,11:18.0,,A. Horford misses 2-pt jump shot from 20 ft,0,0
3,1,11:17.0,Defensive rebound by T. Evans,,0,0
4,1,10:58.0,A. Rivers misses 2-pt jump shot from 15 ft,,0,0
5,1,10:57.0,,Defensive rebound by P. Millsap,0,0
6,1,10:46.0,,A. Horford misses 2-pt hook shot from 6 ft,0,0
7,1,10:44.0,Defensive rebound by Ö. Aşık,,0,0
8,1,10:28.0,A. Davis makes 2-pt jump shot from 18 ft (assist by A. Rivers),,2,0
9,1,10:04.0,,P. Millsap misses 2-pt jump shot from 18 ft,2,0
10,1,10:03.0,,Offensive rebound by A. Horford,2,0
11,1,9:56.0,,Turnover by D. Carroll (bad pass; steal by A. Davis),2,0
12,1,9:43.0,A. Rivers misses 2-pt layup from 3 ft,,2,0
13,1,9:42.0,,Defensive rebound by A. Horford,2,0
14,1,9:28.0,,J. Teague makes 2-pt layup from 3 ft (assist by A. Horford),2,2
15,1,9:06.0,J. Holiday makes 2-pt layup from 2 ft,,4,2
16,1,8:40.0,,A. Horford misses 2-pt jump shot from 17 ft,4,2
17,1,8:39.0,Defensive rebound by A. Davis,,4,2
18,1,8:25.0,J. Holiday misses 3-pt jump shot from 24 ft,,4,2
19,1,8:24.0,,Defensive rebound by P. Millsap,4,2
20,1,8:11.0,,D. Carroll makes 2-pt layup from 2 ft,4,4
21,1,7:56.0,Turnover by T. Evans (bad pass; steal by P. Millsap),,4,4
22,1,7:50.0,,P. Millsap misses 3-pt jump shot from 25 ft,4,4
23,1,7:49.0,Defensive rebound by A. Davis,,4,4
24,1,7:32.0,Ö. Aşık makes 2-pt layup from 1 ft (assist by T. Evans),,6,4
25,1,7:13.0,,J. Teague makes 2-pt layup from 1 ft (assist by K. Korver),6,6
26,1,6:56.0,A. Rivers misses 2-pt layup from 1 ft,,6,6
27,1,6:55.0,,Defensive rebound by A. Horford,6,6
28,1,6:47.0,,Turnover by A. Horford (bad pass),6,6
29,1,6:25.0,T. Evans makes 2-pt layup from 1 ft,,8,6
30,1,6:15.0,,Personal foul by T. Evans (drawn by P. Millsap),8,6
31,1,6:10.0,,K. Korver makes 2-pt jump shot from 18 ft (assist by J. Teague),8,8
32,1,5:47.0,A. Rivers misses 2-pt layup from 2 ft,,8,8
33,1,5:45.0,,Defensive rebound by P. Millsap,8,8
34,1,5:31.0,,J. Teague makes 2-pt jump shot from 8 ft (assist by A. Horford),8,10
35,1,5:09.0,Shooting foul by P. Millsap (drawn by A. Davis),,8,10
36,1,5:09.0,,Atlanta full timeout,8,10
37,1,5:09.0,A. Davis makes free throw 1 of 2,,9,10
38,1,5:09.0,A. Davis makes free throw 2 of 2,,10,10
39,1,4:54.0,,J. Teague makes 2-pt layup from 1 ft,10,12
40,1,4:36.0,Turnover by Ö. Aşık (3 sec),,10,12
41,1,4:36.0,,S. Mack enters the game for K. Korver,10,12
42,1,4:20.0,Violation by Ö. Aşık (kicked ball),,10,12
43,1,4:20.0,,P. Antić enters the game for P. Millsap,10,12
44,1,4:20.0,J. Salmons enters the game for J. Holiday,,10,12
45,1,4:15.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by S. Mack),10,14
46,1,3:54.0,A. Rivers misses 3-pt jump shot from 22 ft,,10,14
47,1,3:54.0,,Defensive rebound by Team,10,14
48,1,3:54.0,R. Anderson enters the game for Ö. Aşık,,10,14
49,1,3:39.0,,A. Horford misses 2-pt jump shot from 19 ft,10,14
50,1,3:37.0,,Offensive rebound by A. Horford,10,14
51,1,3:27.0,,D. Carroll misses 2-pt layup from 2 ft,10,14
52,1,3:25.0,,Offensive rebound by S. Mack,10,14
53,1,3:25.0,,S. Mack makes 2-pt layup at rim,10,16
54,1,3:04.0,Def 3 sec tech foul by J. Teague,,10,16
55,1,3:04.0,A. Davis makes technical free throw,,11,16
56,1,3:04.0,L. Babbitt enters the game for A. Rivers,,11,16
57,1,3:04.0,,M. Scott enters the game for A. Horford,11,16
58,1,2:52.0,A. Davis misses 2-pt jump shot from 8 ft,,11,16
