,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,,Personal foul by M. Morris (drawn by H. Barnes),0,0
1,1,11:36.0,,Turnover by S. Curry (bad pass),0,0
2,1,11:11.0,M. Morris makes 2-pt jump shot from 14 ft,,2,0
3,1,11:01.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Lee),2,3
4,1,10:51.0,M. Morris makes 2-pt jump shot from 12 ft (assist by P. Tucker),,4,3
5,1,10:29.0,,K. Thompson misses 2-pt jump shot from 11 ft,4,3
6,1,10:28.0,,Offensive rebound by Team,4,3
7,1,10:26.0,,K. Thompson misses 3-pt jump shot from 26 ft,4,3
8,1,10:24.0,Defensive rebound by B. Wright,,4,3
9,1,10:18.0,B. Wright misses 2-pt layup from 2 ft,,4,3
10,1,10:14.0,Offensive rebound by B. Wright,,4,3
11,1,10:11.0,B. Wright misses 2-pt layup from 2 ft (block by A. Bogut),,4,3
12,1,10:09.0,,Defensive rebound by A. Bogut,4,3
13,1,10:05.0,,Shooting foul by M. Morris (drawn by D. Lee),4,3
14,1,10:05.0,,D. Lee makes free throw 1 of 2,4,4
15,1,10:05.0,,D. Lee misses free throw 2 of 2,4,4
16,1,10:03.0,Defensive rebound by M. Morris,,4,4
17,1,9:49.0,Turnover by B. Wright (back court),,4,4
18,1,9:34.0,,K. Thompson misses 2-pt jump shot from 13 ft,4,4
19,1,9:33.0,Defensive rebound by B. Wright,,4,4
20,1,9:27.0,P. Tucker makes 2-pt jump shot from 9 ft (assist by E. Bledsoe),,6,4
21,1,9:13.0,,Turnover by S. Curry (bad pass),6,4
22,1,8:52.0,M. Morris misses 2-pt jump shot from 21 ft,,6,4
23,1,8:51.0,,Defensive rebound by D. Lee,6,4
24,1,8:44.0,,S. Curry misses 2-pt jump shot from 9 ft,6,4
25,1,8:43.0,Defensive rebound by M. Morris,,6,4
26,1,8:27.0,E. Bledsoe misses 2-pt jump shot from 12 ft,,6,4
27,1,8:26.0,,Defensive rebound by D. Lee,6,4
28,1,8:21.0,,S. Curry misses 3-pt jump shot from 24 ft,6,4
29,1,8:20.0,Defensive rebound by B. Wright,,6,4
30,1,8:06.0,M. Morris misses 2-pt jump shot from 3 ft,,6,4
31,1,8:05.0,Offensive rebound by B. Wright,,6,4
32,1,8:04.0,B. Wright misses 2-pt layup from 2 ft (block by A. Bogut),,6,4
33,1,8:02.0,,Defensive rebound by H. Barnes,6,4
34,1,7:54.0,,S. Curry misses 3-pt jump shot from 25 ft,6,4
35,1,7:53.0,Defensive rebound by E. Bledsoe,,6,4
36,1,7:49.0,Phoenix full timeout,,6,4
37,1,7:39.0,M. Morris makes 2-pt jump shot from 16 ft (assist by M. Morris),,8,4
38,1,7:24.0,,H. Barnes misses 3-pt jump shot from 25 ft,8,4
39,1,7:23.0,,Offensive rebound by S. Curry,8,4
40,1,7:18.0,,D. Lee misses 2-pt jump shot from 4 ft (block by B. Wright),8,4
41,1,7:16.0,Defensive rebound by M. Morris,,8,4
42,1,7:13.0,M. Morris makes 2-pt layup from 1 ft (assist by M. Morris),,10,4
43,1,6:59.0,,A. Bogut makes 2-pt layup from 2 ft (assist by H. Barnes),10,6
44,1,6:55.0,Turnover by M. Morris (bad pass),,10,6
45,1,6:55.0,T. Warren enters the game for M. Morris,,10,6
46,1,6:51.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),10,8
47,1,6:27.0,P. Tucker misses 2-pt jump shot from 15 ft,,10,8
48,1,6:26.0,,Defensive rebound by A. Bogut,10,8
49,1,6:21.0,,D. Lee makes 2-pt layup from 1 ft (assist by A. Bogut),10,10
50,1,6:03.0,E. Bledsoe misses 2-pt jump shot from 7 ft,,10,10
51,1,6:02.0,,Defensive rebound by A. Bogut,10,10
52,1,5:50.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by A. Bogut),10,12
53,1,5:30.0,Shooting foul by A. Bogut (drawn by B. Wright),,10,12
54,1,5:30.0,B. Wright misses free throw 1 of 2,,10,12
55,1,5:30.0,Offensive rebound by Team,,10,12
56,1,5:30.0,B. Wright makes free throw 2 of 2,,11,12
57,1,5:15.0,,A. Bogut makes 2-pt hook shot from 9 ft (assist by K. Thompson),11,14
58,1,4:51.0,B. Wright misses 2-pt hook shot from 5 ft,,11,14
59,1,4:50.0,,Defensive rebound by Team,11,14
60,1,4:38.0,,H. Barnes misses 3-pt jump shot from 22 ft,11,14
61,1,4:36.0,,Offensive rebound by A. Bogut,11,14
62,1,4:33.0,,S. Curry misses 2-pt layup from 2 ft,11,14
63,1,4:31.0,,Offensive rebound by A. Bogut,11,14
64,1,4:31.0,,A. Bogut makes 2-pt tip-in at rim,11,16
65,1,4:18.0,B. Wright makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),,13,16
66,1,4:06.0,,H. Barnes misses 2-pt hook shot from 6 ft,13,16
67,1,4:05.0,,Offensive rebound by D. Lee,13,16
68,1,4:05.0,,D. Lee makes 2-pt dunk at rim,13,18
69,1,3:47.0,Personal foul by K. Thompson (drawn by P. Tucker),,13,18
70,1,3:47.0,,A. Iguodala enters the game for H. Barnes,13,18
71,1,3:47.0,,L. Barbosa enters the game for K. Thompson,13,18
72,1,3:47.0,R. Bullock enters the game for P. Tucker,,13,18
73,1,3:36.0,T. Warren makes 2-pt dunk at rim (assist by E. Bledsoe),,15,18
74,1,3:18.0,,L. Barbosa misses 2-pt jump shot from 10 ft (block by E. Bledsoe),15,18
75,1,3:16.0,Defensive rebound by M. Morris,,15,18
76,1,3:11.0,Turnover by M. Morris (lost ball; steal by L. Barbosa),,15,18
77,1,3:06.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by L. Barbosa),15,21
78,1,2:51.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by R. Bullock),,18,21
79,1,2:33.0,,Turnover by S. Curry (lost ball),18,21
80,1,2:33.0,,Golden State full timeout,18,21
81,1,2:33.0,M. Morris enters the game for M. Morris,,18,21
82,1,2:33.0,,M. Speights enters the game for A. Bogut,18,21
83,1,2:13.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,18,21
