,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:39.0,,A. Brooks makes 2-pt jump shot from 6 ft,0,2
1,1,11:20.0,A. Bargnani misses 3-pt jump shot from 24 ft,,0,2
2,1,11:19.0,,Defensive rebound by P. Gasol,0,2
3,1,11:02.0,,P. Gasol makes 2-pt layup from 1 ft (assist by J. Noah),0,4
4,1,10:45.0,L. Thomas makes 3-pt jump shot from 22 ft (assist by S. Larkin),,3,4
5,1,10:29.0,,J. Noah misses 2-pt jump shot from 7 ft (block by L. Amundson),3,4
6,1,10:27.0,Defensive rebound by L. Galloway,,3,4
7,1,10:10.0,L. Galloway makes 2-pt jump shot from 4 ft,,5,4
8,1,9:52.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by A. Brooks),5,6
9,1,9:33.0,Turnover by A. Bargnani (bad pass; steal by J. Butler),,5,6
10,1,9:29.0,,J. Butler makes 2-pt layup from 2 ft,5,8
11,1,9:13.0,A. Bargnani makes 2-pt jump shot from 19 ft (assist by L. Thomas),,7,8
12,1,8:47.0,,A. Brooks makes 3-pt jump shot from 25 ft,7,11
13,1,8:27.0,L. Galloway makes 2-pt jump shot from 14 ft,,9,11
14,1,8:07.0,,J. Noah misses 2-pt dunk at rim (block by L. Amundson),9,11
15,1,8:06.0,,Offensive rebound by M. Dunleavy,9,11
16,1,8:03.0,,J. Noah makes 2-pt layup from 2 ft (assist by A. Brooks),9,13
17,1,7:46.0,L. Galloway misses 3-pt jump shot from 25 ft,,9,13
18,1,7:45.0,,Defensive rebound by P. Gasol,9,13
19,1,7:28.0,,Shooting foul by L. Amundson (drawn by P. Gasol),9,13
20,1,7:28.0,,P. Gasol makes 2-pt hook shot from 5 ft (assist by J. Butler),9,15
21,1,7:28.0,,P. Gasol misses free throw 1 of 1,9,15
22,1,7:26.0,Defensive rebound by L. Galloway,,9,15
23,1,7:15.0,A. Bargnani misses 2-pt layup from 3 ft,,9,15
24,1,7:14.0,,Defensive rebound by M. Dunleavy,9,15
25,1,7:04.0,,J. Butler makes 2-pt jump shot from 8 ft (assist by P. Gasol),9,17
26,1,6:56.0,New York full timeout,,9,17
27,1,6:39.0,L. Amundson misses 2-pt layup from 2 ft (block by J. Noah),,9,17
28,1,6:37.0,Offensive rebound by A. Bargnani,,9,17
29,1,6:36.0,A. Bargnani misses 2-pt jump shot from 4 ft,,9,17
30,1,6:35.0,,Defensive rebound by J. Noah,9,17
31,1,6:13.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,9,17
32,1,6:12.0,Defensive rebound by A. Bargnani,,9,17
33,1,6:03.0,L. Thomas misses 2-pt jump shot from 15 ft,,9,17
34,1,6:02.0,Offensive rebound by L. Amundson,,9,17
35,1,5:59.0,L. Thomas misses 2-pt jump shot from 18 ft,,9,17
36,1,5:58.0,,Defensive rebound by J. Noah,9,17
37,1,5:52.0,,Shooting foul by L. Galloway (drawn by J. Butler),9,17
38,1,5:52.0,,J. Butler makes free throw 1 of 2,9,18
39,1,5:52.0,C. Aldrich enters the game for L. Amundson,,9,18
40,1,5:52.0,R. Ledo enters the game for L. Galloway,,9,18
41,1,5:52.0,,J. Butler makes free throw 2 of 2,9,19
42,1,5:37.0,A. Bargnani misses 2-pt jump shot from 16 ft,,9,19
43,1,5:36.0,,Defensive rebound by M. Dunleavy,9,19
44,1,5:28.0,,A. Brooks misses 3-pt jump shot from 24 ft,9,19
45,1,5:27.0,Defensive rebound by A. Bargnani,,9,19
46,1,5:13.0,L. Thomas makes 2-pt jump shot from 17 ft (assist by C. Aldrich),,11,19
47,1,4:56.0,,P. Gasol misses 2-pt jump shot from 17 ft,11,19
48,1,4:55.0,Defensive rebound by C. Aldrich,,11,19
49,1,4:46.0,S. Larkin misses 3-pt jump shot from 25 ft,,11,19
50,1,4:45.0,,Defensive rebound by P. Gasol,11,19
51,1,4:29.0,,M. Dunleavy misses 2-pt jump shot from 6 ft,11,19
52,1,4:27.0,,Offensive rebound by P. Gasol,11,19
53,1,4:27.0,,P. Gasol misses 2-pt tip-in from 1 ft,11,19
54,1,4:26.0,Defensive rebound by C. Aldrich,,11,19
55,1,4:14.0,R. Ledo misses 2-pt layup from 1 ft,,11,19
56,1,4:13.0,Offensive rebound by C. Aldrich,,11,19
57,1,4:12.0,C. Aldrich makes 2-pt layup from 2 ft,,13,19
58,1,3:56.0,,Personal foul by L. Thomas (drawn by J. Butler),13,19
59,1,3:56.0,J. Smith enters the game for A. Bargnani,,13,19
60,1,3:56.0,,T. Gibson enters the game for J. Noah,13,19
61,1,3:56.0,C. Early enters the game for L. Thomas,,13,19
62,1,3:50.0,,P. Gasol makes 2-pt layup from 1 ft (assist by A. Brooks),13,21
63,1,3:23.0,S. Larkin misses 2-pt jump shot from 18 ft,,13,21
64,1,3:22.0,,Defensive rebound by P. Gasol,13,21
65,1,3:10.0,,P. Gasol makes 2-pt jump shot from 14 ft (assist by A. Brooks),13,23
66,1,2:53.0,J. Smith misses 2-pt jump shot from 13 ft,,13,23
67,1,2:52.0,,Defensive rebound by J. Butler,13,23
68,1,2:42.0,,Chicago full timeout,13,23
69,1,2:42.0,,K. Hinrich enters the game for A. Brooks,13,23
70,1,2:41.0,,Personal foul by C. Early (drawn by J. Butler),13,23
71,1,2:33.0,,M. Dunleavy makes 2-pt jump shot from 18 ft (assist by K. Hinrich),13,25
72,1,2:19.0,S. Larkin makes 2-pt jump shot from 19 ft (assist by C. Early),,15,25
73,1,2:01.0,,N. Mirotić enters the game for M. Dunleavy,15,25
74,1,2:00.0,,Personal foul by C. Aldrich (drawn by P. Gasol),15,25
75,1,2:00.0,,P. Gasol makes free throw 1 of 2,15,26
76,1,2:00.0,,P. Gasol misses free throw 2 of 2,15,26
77,1,1:59.0,Defensive rebound by R. Ledo,,15,26
78,1,1:43.0,Personal foul by N. Mirotić (drawn by C. Early),,15,26
79,1,1:36.0,R. Ledo misses 3-pt jump shot from 24 ft,,15,26
80,1,1:33.0,,Defensive rebound by T. Gibson,15,26
81,1,1:26.0,,K. Hinrich misses 3-pt jump shot from 24 ft,15,26
82,1,1:24.0,,Offensive rebound by T. Gibson,15,26
83,1,1:24.0,,T. Gibson makes 2-pt tip-in from 1 ft,15,28
84,1,1:05.0,J. Smith misses 2-pt jump shot from 19 ft,,15,28
85,1,1:04.0,,Defensive rebound by P. Gasol,15,28
86,1,0:54.0,,Turnover by P. Gasol (bad pass; steal by C. Early),15,28
87,1,0:32.0,J. Smith misses 2-pt layup from 2 ft,,15,28
88,1,0:31.0,Offensive rebound by R. Ledo,,15,28
89,1,0:31.0,R. Ledo misses 2-pt dunk at rim,,15,28
90,1,0:30.0,,Defensive rebound by J. Butler,15,28
91,1,0:16.0,,Turnover by P. Gasol (lost ball; steal by C. Early),15,28
92,1,0:12.0,C. Early makes 2-pt layup at rim,,17,28
93,1,0:00.0,,N. Mirotić misses 3-pt jump shot from 22 ft,17,28
94,1,0:00.0,,Offensive rebound by Team,17,28
95,2,11:38.0,C. Early misses 3-pt jump shot from 25 ft,,17,28
96,2,11:36.0,,Defensive rebound by J. Noah,17,28
97,2,11:28.0,,Turnover by J. Noah (bad pass),17,28
98,2,11:13.0,C. Aldrich misses 2-pt hook shot from 5 ft,,17,28
99,2,11:13.0,Offensive rebound by Team,,17,28
100,2,11:13.0,,Loose ball foul by T. Snell (drawn by J. Smith),17,28
101,2,11:04.0,C. Aldrich makes 2-pt hook shot from 6 ft (assist by J. Smith),,19,28
102,2,10:52.0,,Personal foul by R. Ledo (drawn by T. Gibson),19,28
