,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,M. Gortat misses 2-pt jump shot from 5 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Jefferson,0,0
2,1,11:27.0,,A. Jefferson misses 2-pt jump shot from 8 ft (block by M. Gortat),0,0
3,1,11:25.0,Defensive rebound by M. Gortat,,0,0
4,1,11:22.0,Shooting foul by M. Kidd-Gilchrist (drawn by P. Pierce),,0,0
5,1,11:22.0,P. Pierce makes 2-pt layup from 1 ft (assist by J. Wall),,2,0
6,1,11:22.0,P. Pierce makes free throw 1 of 1,,3,0
7,1,11:02.0,,G. Henderson makes 2-pt jump shot from 18 ft,3,2
8,1,10:49.0,P. Pierce misses 2-pt jump shot from 16 ft,,3,2
9,1,10:47.0,,Defensive rebound by A. Jefferson,3,2
10,1,10:39.0,,G. Henderson makes 2-pt jump shot from 12 ft,3,4
11,1,10:15.0,M. Gortat misses 2-pt jump shot from 4 ft (block by C. Zeller),,3,4
12,1,10:13.0,,Defensive rebound by G. Henderson,3,4
13,1,10:09.0,,Shooting foul by P. Pierce (drawn by M. Kidd-Gilchrist),3,4
14,1,10:09.0,,M. Kidd-Gilchrist makes free throw 1 of 2,3,5
15,1,10:09.0,,M. Kidd-Gilchrist makes free throw 2 of 2,3,6
16,1,9:55.0,P. Pierce makes 3-pt jump shot from 25 ft (assist by J. Wall),,6,6
17,1,9:37.0,,G. Henderson makes 2-pt jump shot from 18 ft (assist by M. Kidd-Gilchrist),6,8
18,1,9:27.0,B. Beal misses 2-pt layup from 1 ft (block by G. Henderson),,6,8
19,1,9:24.0,Offensive rebound by N. Hilário,,6,8
20,1,9:21.0,Shooting foul by B. Roberts (drawn by J. Wall),,6,8
21,1,9:21.0,J. Wall makes free throw 1 of 2,,7,8
22,1,9:21.0,J. Wall makes free throw 2 of 2,,8,8
23,1,9:07.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 14 ft (assist by B. Roberts),8,10
24,1,8:51.0,B. Beal misses 2-pt jump shot from 17 ft,,8,10
25,1,8:50.0,,Defensive rebound by M. Kidd-Gilchrist,8,10
26,1,8:41.0,,B. Roberts misses 3-pt jump shot from 25 ft,8,10
27,1,8:40.0,Defensive rebound by N. Hilário,,8,10
28,1,8:27.0,N. Hilário makes 2-pt layup from 2 ft,,10,10
29,1,8:10.0,,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Wall),10,10
30,1,7:59.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Wall),,12,10
31,1,7:41.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by C. Zeller),12,12
32,1,7:27.0,Turnover by M. Gortat (lost ball; steal by A. Jefferson),,12,12
33,1,7:17.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,12,12
34,1,7:14.0,,Offensive rebound by A. Jefferson,12,12
35,1,7:08.0,,A. Jefferson misses 2-pt jump shot from 15 ft,12,12
36,1,7:07.0,Defensive rebound by J. Wall,,12,12
37,1,6:57.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,14,12
38,1,6:53.0,,Charlotte full timeout,14,12
39,1,6:40.0,,B. Roberts misses 2-pt layup from 2 ft (block by N. Hilário),14,12
40,1,6:40.0,,Offensive rebound by Team,14,12
41,1,6:40.0,,G. Henderson makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),14,14
42,1,6:40.0,,Shooting foul by M. Gortat (drawn by G. Henderson),14,14
43,1,6:40.0,,G. Henderson makes free throw 1 of 1,14,15
44,1,6:19.0,Shooting foul by M. Kidd-Gilchrist (drawn by P. Pierce),,14,15
45,1,6:19.0,P. Pierce makes free throw 1 of 2,,15,15
46,1,6:19.0,,L. Stephenson enters the game for M. Kidd-Gilchrist,15,15
47,1,6:19.0,P. Pierce makes free throw 2 of 2,,16,15
48,1,6:01.0,,G. Henderson makes 2-pt jump shot from 16 ft,16,17
49,1,5:49.0,N. Hilário misses 2-pt jump shot from 17 ft,,16,17
50,1,5:47.0,,Defensive rebound by A. Jefferson,16,17
51,1,5:33.0,,G. Henderson makes 2-pt jump shot from 13 ft,16,19
52,1,5:20.0,B. Beal misses 2-pt jump shot from 17 ft,,16,19
53,1,5:18.0,Offensive rebound by M. Gortat,,16,19
54,1,5:18.0,Shooting foul by L. Stephenson (drawn by M. Gortat),,16,19
55,1,5:18.0,M. Gortat makes free throw 1 of 2,,17,19
56,1,5:18.0,M. Gortat makes free throw 2 of 2,,18,19
57,1,5:00.0,,A. Jefferson misses 2-pt jump shot from 7 ft,18,19
58,1,4:58.0,Defensive rebound by M. Gortat,,18,19
59,1,4:52.0,J. Wall makes 2-pt layup from 1 ft,,20,19
60,1,4:36.0,,G. Henderson misses 2-pt jump shot from 19 ft,20,19
61,1,4:35.0,Defensive rebound by B. Beal,,20,19
62,1,4:25.0,M. Gortat misses 2-pt jump shot from 15 ft,,20,19
63,1,4:23.0,Offensive rebound by B. Beal,,20,19
64,1,4:23.0,Shooting foul by C. Zeller (drawn by B. Beal),,20,19
65,1,4:23.0,B. Beal makes free throw 1 of 2,,21,19
66,1,4:23.0,G. Temple enters the game for N. Hilário,,21,19
67,1,4:23.0,K. Humphries enters the game for J. Wall,,21,19
68,1,4:23.0,,M. Williams enters the game for C. Zeller,21,19
69,1,4:23.0,,J. Maxiell enters the game for A. Jefferson,21,19
70,1,4:23.0,B. Beal misses free throw 2 of 2,,21,19
71,1,4:20.0,,Defensive rebound by J. Maxiell,21,19
72,1,4:11.0,,Personal foul by G. Temple (drawn by B. Roberts),21,19
73,1,4:06.0,,Turnover by L. Stephenson (lost ball; steal by G. Temple),21,19
74,1,3:52.0,G. Temple misses 3-pt jump shot from 23 ft,,21,19
75,1,3:50.0,,Defensive rebound by J. Maxiell,21,19
76,1,3:40.0,,B. Roberts misses 3-pt jump shot from 24 ft,21,19
77,1,3:39.0,Defensive rebound by B. Beal,,21,19
78,1,3:33.0,Shooting foul by J. Maxiell (drawn by M. Gortat),,21,19
79,1,3:33.0,M. Gortat makes free throw 1 of 2,,22,19
80,1,3:33.0,M. Gortat makes free throw 2 of 2,,23,19
81,1,3:21.0,,J. Maxiell makes 2-pt layup from 1 ft (assist by B. Roberts),23,21
82,1,3:06.0,K. Humphries misses 2-pt layup from 1 ft,,23,21
83,1,3:04.0,,Defensive rebound by M. Williams,23,21
84,1,2:59.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by B. Roberts),23,24
85,1,2:42.0,B. Beal misses 2-pt jump shot from 11 ft (block by M. Williams),,23,24
86,1,2:41.0,,Defensive rebound by M. Williams,23,24
87,1,2:24.0,,L. Stephenson misses 2-pt jump shot from 19 ft,23,24
88,1,2:24.0,,Offensive rebound by Team,23,24
89,1,2:24.0,Loose ball foul by M. Gortat (drawn by J. Maxiell),,23,24
90,1,2:24.0,Washington full timeout,,23,24
91,1,2:24.0,,G. Neal enters the game for G. Henderson,23,24
92,1,2:24.0,D. Blair enters the game for M. Gortat,,23,24
93,1,2:12.0,,Shooting foul by D. Blair (drawn by J. Maxiell),23,24
94,1,2:12.0,,J. Maxiell makes free throw 1 of 2,23,25
95,1,2:12.0,,J. Maxiell makes free throw 2 of 2,23,26
96,1,1:57.0,B. Beal misses 2-pt jump shot from 5 ft (block by J. Maxiell),,23,26
97,1,1:55.0,,Defensive rebound by J. Maxiell,23,26
98,1,1:42.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by G. Neal),23,29
99,1,1:25.0,P. Pierce makes 2-pt jump shot from 6 ft,,25,29
100,1,1:13.0,,L. Stephenson makes 3-pt jump shot from 26 ft,25,32
101,1,1:03.0,P. Pierce misses 2-pt layup from 1 ft,,25,32
102,1,1:03.0,Offensive rebound by Team,,25,32
103,1,1:03.0,O. Porter enters the game for B. Beal,,25,32
104,1,1:03.0,R. Butler enters the game for P. Pierce,,25,32
105,1,0:49.0,G. Temple makes 3-pt jump shot from 25 ft,,28,32
106,1,0:41.0,,Turnover by M. Williams (offensive foul),28,32
107,1,0:41.0,,Offensive foul by M. Williams (drawn by G. Temple),28,32
108,1,0:28.0,G. Temple misses 2-pt layup from 2 ft (block by J. Maxiell),,28,32
109,1,0:26.0,,Defensive rebound by M. Williams,28,32
110,1,0:08.0,,B. Roberts misses 3-pt jump shot from 25 ft,28,32
111,1,0:06.0,,Offensive rebound by J. Maxiell,28,32
112,1,0:06.0,,Shooting foul by K. Humphries (drawn by J. Maxiell),28,32
113,1,0:06.0,,J. Maxiell makes free throw 1 of 2,28,33
114,1,0:06.0,J. Wall enters the game for G. Temple,,28,33
115,1,0:06.0,,J. Maxiell makes free throw 2 of 2,28,34
116,1,0:00.0,J. Wall makes 2-pt layup from 1 ft,,30,34
117,2,11:43.0,,G. Neal misses 3-pt jump shot from 26 ft,30,34
118,2,11:41.0,,Offensive rebound by J. Maxiell,30,34
119,2,11:37.0,,J. Maxiell makes 2-pt layup from 1 ft,30,36
120,2,11:24.0,K. Humphries misses 2-pt jump shot from 18 ft,,30,36
121,2,11:21.0,Offensive rebound by D. Blair,,30,36
122,2,11:21.0,D. Blair makes 2-pt layup at rim,,32,36
123,2,11:05.0,,J. Maxiell makes 2-pt jump shot from 10 ft (assist by L. Stephenson),32,38
124,2,10:47.0,R. Butler misses 2-pt jump shot from 16 ft,,32,38
125,2,10:46.0,,Defensive rebound by L. Stephenson,32,38
126,2,10:39.0,,J. Maxiell misses 2-pt jump shot from 5 ft,32,38
127,2,10:38.0,Defensive rebound by J. Wall,,32,38
128,2,10:27.0,J. Wall misses 2-pt layup from 2 ft,,32,38
129,2,10:26.0,,Defensive rebound by M. Kidd-Gilchrist,32,38
130,2,10:22.0,,Shooting foul by O. Porter (drawn by M. Kidd-Gilchrist),32,38
131,2,10:22.0,,M. Kidd-Gilchrist misses free throw 1 of 2,32,38
132,2,10:22.0,,Offensive rebound by Team,32,38
133,2,10:22.0,,M. Kidd-Gilchrist makes free throw 2 of 2,32,39
134,2,10:09.0,D. Blair misses 2-pt layup from 2 ft,,32,39
135,2,10:07.0,Offensive rebound by D. Blair,,32,39
136,2,10:07.0,D. Blair makes 2-pt layup from 1 ft,,34,39
137,2,9:46.0,,M. Williams misses 3-pt jump shot from 25 ft,34,39
138,2,9:45.0,Defensive rebound by J. Wall,,34,39
139,2,9:37.0,R. Butler makes 3-pt jump shot from 23 ft (assist by O. Porter),,37,39
140,2,9:20.0,,L. Stephenson misses 3-pt jump shot from 27 ft,37,39
141,2,9:19.0,Defensive rebound by D. Blair,,37,39
142,2,9:09.0,Turnover by J. Wall (palming),,37,39
143,2,8:46.0,,L. Stephenson misses 3-pt jump shot from 25 ft,37,39
144,2,8:45.0,Defensive rebound by K. Humphries,,37,39
145,2,8:35.0,J. Wall makes 2-pt jump shot from 17 ft,,39,39
146,2,8:12.0,,M. Williams misses 3-pt jump shot from 22 ft,39,39
147,2,8:10.0,Defensive rebound by R. Butler,,39,39
148,2,8:05.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,41,39
149,2,7:57.0,,Charlotte full timeout,41,39
150,2,7:57.0,,C. Zeller enters the game for M. Williams,41,39
151,2,7:42.0,,L. Stephenson misses 3-pt jump shot from 25 ft,41,39
152,2,7:40.0,Defensive rebound by D. Blair,,41,39
153,2,7:38.0,Turnover by D. Blair (bad pass),,41,39
154,2,7:29.0,,Turnover by G. Neal (lost ball),41,39
155,2,7:19.0,D. Blair misses 2-pt layup from 2 ft (block by J. Maxiell),,41,39
156,2,7:19.0,Offensive rebound by Team,,41,39
157,2,7:19.0,,A. Jefferson enters the game for J. Maxiell,41,39
158,2,7:10.0,K. Humphries misses 2-pt layup from 1 ft (block by A. Jefferson),,41,39
159,2,7:09.0,Offensive rebound by O. Porter,,41,39
160,2,7:09.0,O. Porter makes 2-pt tip-in at rim,,43,39
161,2,6:50.0,,Turnover by C. Zeller (offensive foul),43,39
162,2,6:50.0,Offensive charge foul by C. Zeller (drawn by D. Blair),,43,39
163,2,6:50.0,M. Gortat enters the game for D. Blair,,43,39
164,2,6:50.0,,G. Henderson enters the game for M. Kidd-Gilchrist,43,39
165,2,6:35.0,R. Butler makes 2-pt jump shot from 20 ft (assist by J. Wall),,45,39
