,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,0,0
1,1,11:39.0,,Defensive rebound by R. Gay,0,0
2,1,11:21.0,,Turnover by D. Collison (bad pass; steal by O. Mayo),0,0
3,1,11:18.0,O. Mayo makes 2-pt layup at rim,,2,0
4,1,11:09.0,,J. Thompson misses 2-pt layup from 2 ft,2,0
5,1,11:09.0,Defensive rebound by Z. Pachulia,,2,0
6,1,11:02.0,B. Knight misses 2-pt jump shot from 18 ft,,2,0
7,1,11:01.0,,Defensive rebound by B. McLemore,2,0
8,1,10:51.0,,B. McLemore makes 2-pt layup from 1 ft (assist by R. Gay),2,2
9,1,10:38.0,O. Mayo makes 2-pt dunk at rim (assist by Z. Pachulia),,4,2
10,1,10:17.0,,D. Cousins makes 2-pt jump shot from 13 ft (assist by B. McLemore),4,4
11,1,10:03.0,J. O'Bryant misses 2-pt jump shot from 16 ft,,4,4
12,1,10:02.0,,Defensive rebound by D. Collison,4,4
13,1,9:49.0,,Def 3 sec tech foul by G. Antetokounmpo,4,4
14,1,9:49.0,,D. Collison makes technical free throw,4,5
15,1,9:42.0,,D. Collison makes 2-pt jump shot from 13 ft,4,7
16,1,9:32.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,4,7
17,1,9:31.0,,Defensive rebound by R. Gay,4,7
18,1,9:30.0,Violation by Z. Pachulia (kicked ball),,4,7
19,1,9:25.0,,D. Cousins makes 2-pt layup from 1 ft (assist by D. Collison),4,9
20,1,9:15.0,Turnover by B. Knight (bad pass; steal by D. Collison),,4,9
21,1,9:09.0,,B. McLemore makes 2-pt dunk at rim (assist by R. Gay),4,11
22,1,8:58.0,Offensive foul by J. O'Bryant (drawn by B. McLemore),,4,11
23,1,8:58.0,Turnover by J. O'Bryant (offensive foul),,4,11
24,1,8:44.0,,B. McLemore makes 3-pt jump shot from 22 ft (assist by D. Cousins),4,14
25,1,8:39.0,Milwaukee full timeout,,4,14
26,1,8:31.0,Personal foul by D. Cousins (drawn by O. Mayo),,4,14
