,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
0,1,11:43.0,A. Davis misses 2-pt jump shot from 17 ft,,0,0
1,1,11:42.0,,Defensive rebound by R. Lopez,0,0
2,1,11:27.0,,R. Lopez makes 2-pt hook shot from 7 ft,0,2
3,1,11:05.0,T. Evans makes 2-pt layup from 2 ft (assist by A. Davis),,2,2
4,1,10:40.0,,L. Aldridge misses 2-pt jump shot from 10 ft,2,2
5,1,10:38.0,Defensive rebound by Ö. Aşık,,2,2
6,1,10:32.0,Personal foul by A. Afflalo (drawn by T. Evans),,2,2
7,1,10:19.0,A. Davis misses 2-pt hook shot from 5 ft,,2,2
8,1,10:18.0,,Defensive rebound by N. Batum,2,2
9,1,10:11.0,,Turnover by N. Batum (lost ball),2,2
10,1,10:00.0,Ö. Aşık misses 2-pt layup from 2 ft (block by R. Lopez),,2,2
11,1,10:00.0,Offensive rebound by Team,,2,2
12,1,9:52.0,Ö. Aşık makes 2-pt layup from 1 ft (assist by T. Evans),,4,2
13,1,9:35.0,,N. Batum misses 2-pt jump shot from 16 ft,4,2
14,1,9:34.0,Defensive rebound by Ö. Aşık,,4,2
15,1,9:18.0,Q. Pondexter makes 3-pt jump shot from 25 ft (assist by T. Evans),,7,2
16,1,9:02.0,,D. Lillard misses 3-pt jump shot from 29 ft,7,2
17,1,9:01.0,Defensive rebound by A. Davis,,7,2
18,1,8:55.0,T. Evans makes 2-pt layup from 1 ft,,9,2
19,1,8:33.0,,L. Aldridge makes 2-pt layup from 2 ft,9,4
20,1,8:19.0,E. Gordon makes 2-pt jump shot from 9 ft (assist by T. Evans),,11,4
21,1,7:52.0,,L. Aldridge misses 2-pt jump shot from 13 ft (block by A. Davis),11,4
22,1,7:51.0,Defensive rebound by Q. Pondexter,,11,4
23,1,7:45.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by Q. Pondexter),,14,4
24,1,7:44.0,,Portland full timeout,14,4
25,1,7:32.0,,D. Lillard misses 2-pt layup at rim,14,4
26,1,7:31.0,,Offensive rebound by R. Lopez,14,4
27,1,7:31.0,,Shooting foul by Ö. Aşık (drawn by R. Lopez),14,4
28,1,7:31.0,,R. Lopez makes free throw 1 of 2,14,5
29,1,7:31.0,,R. Lopez makes free throw 2 of 2,14,6
30,1,7:16.0,T. Evans makes 2-pt jump shot from 16 ft,,16,6
31,1,7:11.0,,Turnover by D. Lillard (bad pass; steal by A. Davis),16,6
32,1,6:51.0,T. Evans misses 2-pt jump shot from 17 ft,,16,6
33,1,6:50.0,,Defensive rebound by R. Lopez,16,6
34,1,6:38.0,,A. Afflalo misses 2-pt jump shot from 19 ft,16,6
35,1,6:37.0,Defensive rebound by Q. Pondexter,,16,6
36,1,6:25.0,A. Davis misses 2-pt jump shot from 20 ft,,16,6
37,1,6:24.0,,Defensive rebound by D. Lillard,16,6
38,1,6:13.0,,Turnover by A. Afflalo (bad pass; steal by T. Evans),16,6
39,1,5:57.0,Q. Pondexter misses 2-pt jump shot from 3 ft,,16,6
40,1,5:56.0,,Defensive rebound by R. Lopez,16,6
41,1,5:51.0,,Personal foul by E. Gordon (drawn by D. Lillard),16,6
42,1,5:51.0,,C. Kaman enters the game for R. Lopez,16,6
43,1,5:51.0,,C. McCollum enters the game for A. Afflalo,16,6
44,1,5:45.0,,Turnover by D. Lillard (bad pass; steal by A. Davis),16,6
45,1,5:39.0,Q. Pondexter misses 3-pt jump shot from 25 ft,,16,6
46,1,5:37.0,,Defensive rebound by C. Kaman,16,6
47,1,5:22.0,,C. Kaman makes 2-pt layup from 1 ft (assist by N. Batum),16,8
48,1,5:05.0,Personal foul by D. Lillard (drawn by T. Evans),,16,8
49,1,4:59.0,T. Evans misses 2-pt layup from 2 ft,,16,8
50,1,4:58.0,,Defensive rebound by C. Kaman,16,8
51,1,4:53.0,,D. Lillard makes 2-pt jump shot from 15 ft,16,10
52,1,4:52.0,New Orleans full timeout,,16,10
53,1,4:37.0,A. Davis misses 2-pt jump shot from 11 ft,,16,10
54,1,4:35.0,,Defensive rebound by C. Kaman,16,10
55,1,4:14.0,,D. Lillard misses 2-pt jump shot from 14 ft,16,10
56,1,4:13.0,,Offensive rebound by Team,16,10
57,1,4:13.0,A. Ajinça enters the game for Ö. Aşık,,16,10
58,1,4:13.0,D. Cunningham enters the game for Q. Pondexter,,16,10
59,1,4:11.0,,Shooting foul by A. Davis (drawn by L. Aldridge),16,10
60,1,4:11.0,,L. Aldridge makes free throw 1 of 2,16,11
61,1,4:11.0,,L. Aldridge misses free throw 2 of 2,16,11
62,1,4:10.0,Defensive rebound by A. Davis,,16,11
63,1,3:53.0,A. Davis misses 2-pt jump shot from 17 ft,,16,11
64,1,3:52.0,,Defensive rebound by L. Aldridge,16,11
65,1,3:38.0,,Turnover by D. Lillard (bad pass; steal by T. Evans),16,11
66,1,3:34.0,T. Evans misses 2-pt layup from 1 ft,,16,11
67,1,3:34.0,Offensive rebound by A. Davis,,16,11
68,1,3:34.0,Shooting foul by C. McCollum (drawn by A. Davis),,16,11
69,1,3:34.0,A. Davis makes free throw 1 of 2,,17,11
70,1,3:34.0,N. Cole enters the game for E. Gordon,,17,11
71,1,3:34.0,A. Davis makes free throw 2 of 2,,18,11
72,1,3:15.0,,C. McCollum makes 2-pt layup from 1 ft,18,13
73,1,2:58.0,A. Ajinça makes 2-pt jump shot from 7 ft,,20,13
74,1,2:39.0,,Shooting foul by T. Evans (drawn by C. McCollum),20,13
75,1,2:39.0,,C. McCollum makes free throw 1 of 2,20,14
76,1,2:39.0,R. Anderson enters the game for A. Davis,,20,14
77,1,2:39.0,,S. Blake enters the game for D. Lillard,20,14
78,1,2:39.0,,A. Afflalo enters the game for N. Batum,20,14
79,1,2:39.0,,C. McCollum misses free throw 2 of 2,20,14
80,1,2:38.0,Defensive rebound by R. Anderson,,20,14
81,1,2:21.0,Personal foul by C. McCollum (drawn by T. Evans),,20,14
82,1,2:08.0,Turnover by R. Anderson (dbl dribble),,20,14
83,1,1:54.0,,L. Aldridge misses 2-pt hook shot from 4 ft,20,14
84,1,1:51.0,,Offensive rebound by C. Kaman,20,14
85,1,1:51.0,,C. Kaman misses 2-pt tip-in from 1 ft,20,14
86,1,1:49.0,Defensive rebound by T. Evans,,20,14
87,1,1:44.0,T. Evans makes 2-pt layup from 1 ft,,22,14
88,1,1:33.0,,Shooting foul by R. Anderson (drawn by L. Aldridge),22,14
89,1,1:33.0,,L. Aldridge makes free throw 1 of 2,22,15
90,1,1:33.0,,L. Aldridge makes free throw 2 of 2,22,16
91,1,1:19.0,R. Anderson misses 2-pt jump shot from 19 ft,,22,16
92,1,1:16.0,,Defensive rebound by S. Blake,22,16
93,1,1:02.0,,L. Aldridge makes 2-pt jump shot from 9 ft,22,18
94,1,0:44.0,N. Cole misses 2-pt jump shot from 19 ft,,22,18
95,1,0:42.0,,Defensive rebound by C. Kaman,22,18
96,1,0:35.0,,C. McCollum makes 2-pt jump shot from 6 ft,22,20
97,1,0:12.0,T. Evans makes 2-pt layup from 1 ft,,24,20
98,1,0:00.0,,L. Aldridge misses 3-pt jump shot from 25 ft,24,20
99,1,0:00.0,,Offensive rebound by C. Kaman,24,20
100,1,0:00.0,,C. Kaman makes 2-pt layup at rim,24,22
101,2,11:45.0,,R. Lopez makes 2-pt jump shot from 7 ft (assist by S. Blake),24,24
102,2,11:26.0,R. Anderson misses 3-pt jump shot from 25 ft,,24,24
103,2,11:25.0,,Defensive rebound by R. Lopez,24,24
104,2,11:15.0,,S. Blake makes 2-pt layup from 1 ft,24,26
105,2,10:57.0,N. Cole makes 2-pt jump shot from 11 ft (assist by R. Anderson),,26,26
106,2,10:42.0,,A. Afflalo makes 2-pt jump shot from 6 ft (assist by S. Blake),26,28
107,2,10:18.0,N. Cole makes 2-pt jump shot from 11 ft,,28,28
108,2,10:01.0,,Personal foul by A. Ajinça (drawn by R. Lopez),28,28
109,2,9:55.0,,C. McCollum makes 2-pt layup from 1 ft,28,30
110,2,9:38.0,A. Ajinça misses 2-pt jump shot from 16 ft,,28,30
111,2,9:37.0,,Defensive rebound by A. Afflalo,28,30
112,2,9:31.0,,S. Blake misses 3-pt jump shot from 25 ft,28,30
113,2,9:29.0,,Offensive rebound by S. Blake,28,30
114,2,9:20.0,,S. Blake makes 3-pt jump shot from 23 ft (assist by M. Leonard),28,33
115,2,8:59.0,R. Anderson misses 2-pt jump shot from 15 ft,,28,33
116,2,8:56.0,,Defensive rebound by R. Lopez,28,33
117,2,8:54.0,Official timeout,,28,33
118,2,8:54.0,Ö. Aşık enters the game for A. Ajinça,,28,33
119,2,8:54.0,Q. Pondexter enters the game for D. Cunningham,,28,33
120,2,8:47.0,,S. Blake makes 3-pt jump shot from 26 ft (assist by A. Afflalo),28,36
121,2,8:33.0,N. Cole misses 2-pt jump shot from 18 ft,,28,36
122,2,8:32.0,,Defensive rebound by S. Blake,28,36
123,2,8:29.0,,Turnover by S. Blake (bad pass; steal by T. Douglas),28,36
124,2,8:14.0,N. Cole makes 2-pt jump shot from 19 ft,,30,36
125,2,8:01.0,,Personal foul by Q. Pondexter (drawn by S. Blake),30,36
126,2,8:01.0,,N. Batum enters the game for A. Afflalo,30,36
127,2,8:01.0,A. Davis enters the game for R. Anderson,,30,36
128,2,8:01.0,E. Gordon enters the game for T. Douglas,,30,36
129,2,7:54.0,,C. McCollum misses 3-pt jump shot from 25 ft,30,36
130,2,7:54.0,Defensive rebound by Team,,30,36
131,2,7:41.0,Q. Pondexter misses 3-pt jump shot from 22 ft,,30,36
132,2,7:40.0,,Defensive rebound by M. Leonard,30,36
133,2,7:19.0,,S. Blake misses 2-pt jump shot from 21 ft,30,36
134,2,7:18.0,,Offensive rebound by R. Lopez,30,36
135,2,7:06.0,,Shooting foul by Q. Pondexter (drawn by N. Batum),30,36
136,2,7:06.0,,N. Batum makes free throw 1 of 2,30,37
137,2,7:06.0,,D. Lillard enters the game for S. Blake,30,37
138,2,7:06.0,,N. Batum makes free throw 2 of 2,30,38
139,2,6:54.0,A. Davis makes 2-pt jump shot from 16 ft (assist by E. Gordon),,32,38
140,2,6:39.0,,Personal foul by Ö. Aşık (drawn by R. Lopez),32,38
141,2,6:39.0,T. Evans enters the game for Q. Pondexter,,32,38
142,2,6:24.0,,M. Leonard misses 2-pt hook shot from 6 ft,32,38
143,2,6:24.0,,Offensive rebound by Team,32,38
144,2,6:24.0,,Turnover by Team (shot clock),32,38
145,2,6:08.0,A. Davis misses 2-pt hook shot from 3 ft,,32,38
146,2,6:06.0,,Defensive rebound by M. Leonard,32,38
147,2,5:55.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),32,41
148,2,5:34.0,A. Davis makes 2-pt jump shot from 15 ft (assist by N. Cole),,34,41
149,2,5:08.0,,D. Lillard misses 2-pt jump shot from 10 ft,34,41
150,2,5:07.0,Defensive rebound by T. Evans,,34,41
151,2,5:02.0,T. Evans makes 2-pt layup from 1 ft,,36,41
152,2,5:02.0,,Portland full timeout,36,41
153,2,5:02.0,,C. Kaman enters the game for R. Lopez,36,41
154,2,5:02.0,,L. Aldridge enters the game for M. Leonard,36,41
155,2,4:40.0,,C. McCollum misses 2-pt layup from 2 ft (block by A. Davis),36,41
156,2,4:38.0,Defensive rebound by N. Cole,,36,41
157,2,4:37.0,Turnover by N. Cole (bad pass; steal by C. Kaman),,36,41
158,2,4:37.0,,Shooting foul by Ö. Aşık (drawn by C. Kaman),36,41
159,2,4:37.0,,C. Kaman makes free throw 1 of 2,36,42
160,2,4:37.0,R. Anderson enters the game for Ö. Aşık,,36,42
161,2,4:37.0,,C. Kaman makes free throw 2 of 2,36,43
162,2,4:25.0,Turnover by A. Davis (lost ball),,36,43
163,2,4:09.0,,C. Kaman makes 2-pt jump shot from 10 ft,36,45
164,2,3:48.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by T. Evans),,39,45
165,2,3:27.0,,L. Aldridge makes 2-pt dunk at rim (assist by C. McCollum),39,47
166,2,3:16.0,N. Cole makes 2-pt jump shot from 12 ft,,41,47
167,2,2:57.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by C. Kaman),41,50
168,2,2:38.0,N. Cole misses 2-pt jump shot from 22 ft,,41,50
169,2,2:37.0,,Defensive rebound by C. McCollum,41,50
170,2,2:30.0,New Orleans full timeout,,41,50
171,2,2:30.0,D. Cunningham enters the game for N. Cole,,41,50
172,2,2:30.0,,A. Afflalo enters the game for C. McCollum,41,50
173,2,2:19.0,,L. Aldridge misses 2-pt hook shot from 2 ft,41,50
174,2,2:17.0,Defensive rebound by T. Evans,,41,50
175,2,2:02.0,E. Gordon misses 2-pt jump shot from 5 ft,,41,50
176,2,2:01.0,,Defensive rebound by L. Aldridge,41,50
177,2,1:52.0,,C. Kaman misses 2-pt layup from 2 ft,41,50
178,2,1:50.0,,Offensive rebound by L. Aldridge,41,50
179,2,1:50.0,,L. Aldridge misses 2-pt tip-in at rim,41,50
180,2,1:48.0,,Offensive rebound by C. Kaman,41,50
181,2,1:44.0,,A. Afflalo misses 2-pt jump shot from 19 ft,41,50
182,2,1:43.0,,Offensive rebound by L. Aldridge,41,50
