,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,Turnover by Ö. Aşık (bad pass; steal by G. Antetokounmpo),,0,0
1,1,11:29.0,,Z. Pachulia makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo),0,2
2,1,11:09.0,T. Evans makes 3-pt jump shot from 23 ft (assist by A. Davis),,3,2
3,1,10:53.0,,E. İlyasova misses 3-pt jump shot from 25 ft,3,2
4,1,10:52.0,Defensive rebound by E. Gordon,,3,2
5,1,10:38.0,A. Davis makes 2-pt dunk at rim (assist by Ö. Aşık),,5,2
6,1,10:22.0,,M. Carter-Williams makes 2-pt jump shot from 16 ft (assist by K. Middleton),5,4
7,1,10:05.0,Turnover by A. Davis (step out of bounds),,5,4
8,1,9:53.0,,Turnover by K. Middleton (bad pass; steal by E. Gordon),5,4
9,1,9:49.0,E. Gordon makes 2-pt layup at rim (assist by T. Evans),,7,4
10,1,9:40.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by M. Carter-Williams),7,6
11,1,9:25.0,Turnover by T. Evans (bad pass; steal by Z. Pachulia),,7,6
12,1,9:22.0,,E. İlyasova misses 2-pt layup at rim (block by A. Davis),7,6
13,1,9:22.0,,Offensive rebound by Team,7,6
14,1,9:14.0,,M. Carter-Williams misses 2-pt jump shot from 4 ft,7,6
15,1,9:13.0,Defensive rebound by A. Davis,,7,6
16,1,9:07.0,Turnover by E. Gordon (lost ball; steal by M. Carter-Williams),,7,6
17,1,9:01.0,,K. Middleton makes 2-pt layup at rim (assist by G. Antetokounmpo),7,8
18,1,9:01.0,New Orleans full timeout,,7,8
19,1,8:48.0,Ö. Aşık makes 2-pt layup at rim,,9,8
20,1,8:29.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),9,10
21,1,8:06.0,A. Davis makes 2-pt jump shot from 12 ft,,11,10
22,1,7:43.0,,E. İlyasova misses 3-pt jump shot from 25 ft,11,10
23,1,7:43.0,Defensive rebound by Team,,11,10
24,1,7:35.0,Personal foul by E. İlyasova (drawn by A. Davis),,11,10
25,1,7:32.0,,Violation by Z. Pachulia (kicked ball),11,10
26,1,7:25.0,E. Gordon makes 2-pt jump shot from 16 ft (assist by Ö. Aşık),,13,10
27,1,7:00.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),13,13
28,1,6:44.0,T. Evans misses 2-pt layup at rim,,13,13
29,1,6:43.0,,Defensive rebound by Z. Pachulia,13,13
30,1,6:18.0,,E. İlyasova makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),13,15
31,1,6:10.0,Personal foul by E. İlyasova (drawn by A. Davis),,13,15
32,1,6:03.0,A. Davis misses 2-pt jump shot from 18 ft,,13,15
33,1,6:02.0,Offensive rebound by Ö. Aşık,,13,15
34,1,6:01.0,Ö. Aşık misses 2-pt layup at rim (block by G. Antetokounmpo),,13,15
35,1,5:58.0,,Defensive rebound by Z. Pachulia,13,15
36,1,5:56.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Carter-Williams),13,17
37,1,5:35.0,E. Gordon misses 2-pt jump shot from 20 ft,,13,17
38,1,5:34.0,,Defensive rebound by G. Antetokounmpo,13,17
39,1,5:15.0,,M. Carter-Williams makes 2-pt jump shot from 16 ft,13,19
40,1,4:57.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),,16,19
41,1,4:43.0,,E. İlyasova misses 2-pt layup at rim (block by T. Evans),16,19
42,1,4:41.0,,Offensive rebound by E. İlyasova,16,19
43,1,4:38.0,,Z. Pachulia misses 2-pt jump shot from 13 ft,16,19
