,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
0,1,11:38.0,,G. Hayward makes 2-pt jump shot from 4 ft,0,2
1,1,11:20.0,M. Plumlee makes 2-pt hook shot at rim (assist by J. Jack),,2,2
2,1,11:05.0,,D. Favors misses 2-pt layup from 1 ft,2,2
3,1,11:04.0,Defensive rebound by B. Bogdanović,,2,2
4,1,10:45.0,J. Jack makes 3-pt jump shot from 25 ft (assist by J. Johnson),,5,2
5,1,10:28.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by D. Exum),5,5
6,1,10:06.0,J. Johnson misses 2-pt jump shot from 15 ft,,5,5
7,1,10:04.0,Offensive rebound by K. Garnett,,5,5
8,1,9:50.0,Shooting foul by J. Ingles (drawn by B. Bogdanović),,5,5
9,1,9:50.0,B. Bogdanović makes free throw 1 of 2,,6,5
10,1,9:50.0,B. Bogdanović makes free throw 2 of 2,,7,5
11,1,9:31.0,,G. Hayward makes 2-pt jump shot from 10 ft,7,7
12,1,9:10.0,B. Bogdanović misses 2-pt jump shot from 3 ft,,7,7
13,1,9:09.0,,Defensive rebound by D. Favors,7,7
14,1,8:57.0,,E. Freedom makes 2-pt jump shot from 19 ft (assist by J. Ingles),7,9
15,1,8:45.0,J. Jack misses 2-pt jump shot from 14 ft,,7,9
16,1,8:44.0,,Defensive rebound by D. Exum,7,9
17,1,8:29.0,,J. Ingles misses 3-pt jump shot from 23 ft,7,9
18,1,8:28.0,Defensive rebound by B. Bogdanović,,7,9
19,1,8:20.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,9,9
20,1,8:07.0,,Turnover by G. Hayward (bad pass; steal by M. Plumlee),9,9
21,1,8:02.0,M. Plumlee misses 2-pt jump shot from 5 ft,,9,9
22,1,8:01.0,,Defensive rebound by G. Hayward,9,9
23,1,7:55.0,,G. Hayward makes 2-pt jump shot from 18 ft,9,11
24,1,7:33.0,Turnover by J. Johnson (bad pass; steal by E. Freedom),,9,11
25,1,7:29.0,,E. Freedom makes 2-pt dunk at rim,9,13
26,1,7:11.0,K. Garnett misses 2-pt jump shot from 16 ft,,9,13
27,1,7:10.0,,Defensive rebound by E. Freedom,9,13
28,1,6:53.0,,E. Freedom misses 2-pt jump shot from 17 ft,9,13
29,1,6:52.0,Defensive rebound by M. Plumlee,,9,13
30,1,6:43.0,K. Garnett misses 2-pt jump shot from 9 ft,,9,13
31,1,6:41.0,,Defensive rebound by J. Ingles,9,13
32,1,6:37.0,,Personal foul by J. Johnson (drawn by G. Hayward),9,13
33,1,6:37.0,,Utah full timeout,9,13
34,1,6:26.0,,D. Exum makes 2-pt jump shot from 20 ft,9,15
35,1,6:10.0,K. Garnett makes 2-pt jump shot from 19 ft,,11,15
36,1,5:50.0,,Turnover by G. Hayward (bad pass; steal by M. Plumlee),11,15
37,1,5:37.0,J. Johnson misses 2-pt jump shot from 22 ft,,11,15
38,1,5:34.0,Offensive rebound by M. Plumlee,,11,15
39,1,5:18.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by J. Jack),,13,15
40,1,4:55.0,,D. Exum makes 2-pt layup from 3 ft,13,17
41,1,4:45.0,B. Lopez enters the game for M. Plumlee,,13,17
42,1,4:45.0,,T. Booker enters the game for E. Freedom,13,17
43,1,4:34.0,J. Jack misses 3-pt jump shot from 24 ft,,13,17
44,1,4:33.0,,Defensive rebound by Team,13,17
45,1,4:15.0,,Turnover by G. Hayward (bad pass),13,17
46,1,4:15.0,A. Anderson enters the game for J. Johnson,,13,17
47,1,3:55.0,K. Garnett misses 2-pt layup from 2 ft,,13,17
48,1,3:54.0,,Defensive rebound by T. Booker,13,17
49,1,3:47.0,,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Ingles),13,20
50,1,3:27.0,J. Jack makes 2-pt layup from 3 ft,,15,20
51,1,3:21.0,,Turnover by D. Exum (bad pass; steal by K. Garnett),15,20
52,1,3:09.0,Def 3 sec tech foul by T. Booker,,15,20
53,1,3:09.0,J. Jack makes technical free throw,,16,20
54,1,3:09.0,C. Jefferson enters the game for K. Garnett,,16,20
55,1,3:09.0,,T. Burke enters the game for D. Exum,16,20
56,1,3:09.0,,R. Gobert enters the game for D. Favors,16,20
57,1,2:57.0,B. Lopez makes 2-pt jump shot from 12 ft,,18,20
58,1,2:31.0,,T. Booker misses 2-pt jump shot from 8 ft,18,20
59,1,2:30.0,Defensive rebound by Team,,18,20
60,1,2:30.0,Brooklyn full timeout,,18,20
61,1,2:30.0,,E. Millsap enters the game for J. Ingles,18,20
62,1,2:15.0,C. Jefferson misses 2-pt jump shot from 5 ft (block by T. Booker),,18,20
63,1,2:12.0,,Defensive rebound by E. Millsap,18,20
64,1,2:09.0,,E. Millsap makes 2-pt layup at rim,18,22
65,1,1:57.0,B. Lopez misses 2-pt jump shot from 17 ft,,18,22
66,1,1:54.0,,Defensive rebound by R. Gobert,18,22
67,1,1:49.0,,Shooting foul by C. Jefferson (drawn by G. Hayward),18,22
68,1,1:49.0,,G. Hayward misses free throw 1 of 2,18,22
69,1,1:49.0,,Offensive rebound by Team,18,22
70,1,1:49.0,,G. Hayward makes free throw 2 of 2,18,23
71,1,1:34.0,B. Bogdanović misses 2-pt jump shot from 13 ft (block by T. Booker),,18,23
72,1,1:32.0,,Defensive rebound by T. Booker,18,23
73,1,1:22.0,,Offensive foul by R. Gobert (drawn by B. Lopez),18,23
74,1,1:22.0,,Turnover by R. Gobert (offensive foul),18,23
75,1,1:06.0,A. Anderson misses 2-pt jump shot from 18 ft,,18,23
76,1,1:05.0,,Defensive rebound by R. Gobert,18,23
77,1,0:55.0,,Turnover by R. Gobert (lost ball; steal by J. Jack),18,23
78,1,0:49.0,Shooting foul by T. Booker (drawn by J. Jack),,18,23
79,1,0:49.0,J. Jack misses free throw 1 of 2,,18,23
80,1,0:49.0,Offensive rebound by Team,,18,23
81,1,0:49.0,J. Jack makes free throw 2 of 2,,19,23
82,1,0:31.0,,G. Hayward misses 2-pt layup from 1 ft,19,23
83,1,0:31.0,,Offensive rebound by R. Gobert,19,23
84,1,0:31.0,,R. Gobert makes 2-pt dunk at rim,19,25
85,1,0:15.0,J. Jack makes 2-pt jump shot from 8 ft,,21,25
