,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,Turnover by M. Barnes (bad pass),0,0
1,1,11:42.0,J. Noah misses 2-pt jump shot from 7 ft,,0,0
2,1,11:41.0,,Defensive rebound by M. Barnes,0,0
3,1,11:26.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by C. Paul),0,2
4,1,11:06.0,T. Gibson makes 2-pt jump shot from 18 ft (assist by K. Hinrich),,2,2
5,1,10:46.0,,J. Redick misses 2-pt jump shot from 22 ft,2,2
6,1,10:45.0,Defensive rebound by J. Noah,,2,2
7,1,10:39.0,Turnover by K. Hinrich (bad pass; steal by C. Paul),,2,2
8,1,10:29.0,,M. Barnes misses 3-pt jump shot from 24 ft,2,2
9,1,10:28.0,Defensive rebound by J. Noah,,2,2
10,1,10:16.0,J. Butler makes 2-pt jump shot from 19 ft (assist by J. Noah),,4,2
11,1,10:09.0,,Personal foul by M. Dunleavy (drawn by J. Redick),4,2
12,1,9:57.0,,B. Griffin makes 2-pt jump shot from 17 ft (assist by C. Paul),4,4
13,1,9:43.0,J. Butler misses 2-pt jump shot from 14 ft,,4,4
14,1,9:41.0,,Defensive rebound by B. Griffin,4,4
15,1,9:30.0,,J. Redick misses 2-pt jump shot from 8 ft (block by T. Gibson),4,4
16,1,9:28.0,Defensive rebound by J. Noah,,4,4
17,1,9:23.0,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by J. Butler),,7,4
18,1,9:09.0,,J. Redick misses 2-pt jump shot from 20 ft,7,4
19,1,9:07.0,Defensive rebound by J. Noah,,7,4
20,1,9:02.0,M. Dunleavy misses 3-pt jump shot from 26 ft,,7,4
21,1,9:00.0,Offensive rebound by J. Noah,,7,4
22,1,8:56.0,Shooting foul by M. Barnes (drawn by M. Dunleavy),,7,4
23,1,8:56.0,M. Dunleavy makes free throw 1 of 2,,8,4
24,1,8:56.0,M. Dunleavy makes free throw 2 of 2,,9,4
25,1,8:43.0,,Personal foul by J. Noah (drawn by B. Griffin),9,4
26,1,8:36.0,,B. Griffin makes 2-pt jump shot from 17 ft,9,6
27,1,8:18.0,Turnover by M. Dunleavy (bad pass),,9,6
28,1,8:10.0,Violation by K. Hinrich (kicked ball),,9,6
29,1,7:59.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),9,8
30,1,7:40.0,T. Gibson misses 2-pt jump shot from 16 ft,,9,8
31,1,7:38.0,,Defensive rebound by B. Griffin,9,8
32,1,7:20.0,,Shooting foul by T. Gibson (drawn by B. Griffin),9,8
33,1,7:20.0,,B. Griffin makes free throw 1 of 2,9,9
34,1,7:20.0,,B. Griffin makes free throw 2 of 2,9,10
35,1,7:05.0,K. Hinrich misses 2-pt jump shot from 21 ft,,9,10
36,1,7:03.0,Offensive rebound by M. Dunleavy,,9,10
37,1,7:00.0,K. Hinrich misses 3-pt jump shot from 30 ft,,9,10
38,1,6:58.0,,Defensive rebound by B. Griffin,9,10
