,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,A. Davis makes 2-pt dunk at rim (assist by T. Evans),0,2
1,1,11:29.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by T. Chandler),,2,2
2,1,11:11.0,,J. Holiday misses 2-pt jump shot from 21 ft,2,2
3,1,11:10.0,Defensive rebound by C. Parsons,,2,2
4,1,11:02.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,2,2
5,1,10:56.0,Offensive rebound by T. Chandler,,2,2
6,1,10:53.0,M. Ellis misses 2-pt jump shot from 2 ft,,2,2
7,1,10:52.0,Offensive rebound by M. Ellis,,2,2
8,1,10:52.0,M. Ellis misses 2-pt tip-in from 2 ft,,2,2
9,1,10:51.0,Offensive rebound by M. Ellis,,2,2
10,1,10:51.0,M. Ellis makes 2-pt layup from 2 ft,,4,2
11,1,10:32.0,,T. Evans misses 2-pt jump shot from 20 ft,4,2
12,1,10:31.0,,Offensive rebound by Ö. Aşık,4,2
13,1,10:22.0,,J. Holiday misses 3-pt jump shot from 23 ft,4,2
14,1,10:21.0,Defensive rebound by D. Nowitzki,,4,2
15,1,10:12.0,C. Parsons makes 2-pt jump shot from 11 ft,,6,2
16,1,9:52.0,,A. Davis misses 2-pt jump shot from 9 ft,6,2
17,1,9:51.0,Defensive rebound by C. Parsons,,6,2
18,1,9:43.0,C. Parsons makes 2-pt layup from 2 ft,,8,2
19,1,9:17.0,,E. Gordon misses 2-pt jump shot from 7 ft,8,2
20,1,9:16.0,Defensive rebound by J. Nelson,,8,2
21,1,9:11.0,Shooting foul by Ö. Aşık (drawn by T. Chandler),,8,2
22,1,9:11.0,T. Chandler misses free throw 1 of 2,,8,2
23,1,9:11.0,Offensive rebound by Team,,8,2
24,1,9:11.0,T. Chandler makes free throw 2 of 2,,9,2
25,1,9:02.0,,J. Holiday makes 2-pt layup from 2 ft,9,4
26,1,8:54.0,Turnover by M. Ellis (bad pass),,9,4
27,1,8:42.0,,E. Gordon misses 2-pt jump shot from 3 ft (block by T. Chandler),9,4
28,1,8:41.0,Defensive rebound by J. Nelson,,9,4
29,1,8:26.0,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),,11,4
30,1,8:19.0,,T. Evans misses 2-pt layup from 2 ft (block by D. Nowitzki),11,4
31,1,8:19.0,,Offensive rebound by Team,11,4
32,1,8:13.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by J. Holiday),11,6
33,1,8:03.0,J. Nelson misses 2-pt layup from 2 ft,,11,6
34,1,8:02.0,,Defensive rebound by Ö. Aşık,11,6
35,1,7:58.0,,Personal foul by T. Chandler (drawn by A. Davis),11,6
36,1,7:51.0,,Ö. Aşık misses 2-pt layup from 2 ft,11,6
37,1,7:49.0,Defensive rebound by M. Ellis,,11,6
38,1,7:42.0,M. Ellis misses 2-pt jump shot from 20 ft,,11,6
39,1,7:41.0,,Defensive rebound by Ö. Aşık,11,6
40,1,7:31.0,,E. Gordon misses 2-pt jump shot from 20 ft,11,6
41,1,7:30.0,Defensive rebound by T. Chandler,,11,6
42,1,7:20.0,J. Nelson misses 3-pt jump shot from 23 ft,,11,6
43,1,7:18.0,,Defensive rebound by T. Evans,11,6
44,1,7:16.0,,Personal foul by M. Ellis (drawn by T. Evans),11,6
45,1,7:16.0,,New Orleans full timeout,11,6
