,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:41.0,,C. Boozer misses 2-pt jump shot from 11 ft,0,0
1,1,11:39.0,,Offensive rebound by J. Hill,0,0
2,1,11:39.0,,J. Hill misses 2-pt tip-in from 1 ft,0,0
3,1,11:36.0,Defensive rebound by D. Jordan,,0,0
4,1,11:21.0,B. Griffin misses 2-pt jump shot from 16 ft,,0,0
5,1,11:17.0,,Defensive rebound by W. Johnson,0,0
6,1,11:09.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by C. Boozer),0,3
7,1,10:55.0,Personal foul by J. Hill (drawn by B. Griffin),,0,3
8,1,10:49.0,C. Paul makes 2-pt jump shot from 7 ft (assist by B. Griffin),,2,3
9,1,10:36.0,,W. Johnson misses 2-pt jump shot from 17 ft,2,3
10,1,10:35.0,Defensive rebound by Team,,2,3
11,1,10:27.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,4,3
12,1,10:18.0,,Turnover by J. Lin (bad pass; steal by C. Paul),4,3
13,1,10:12.0,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),,6,3
14,1,9:58.0,,Personal foul by C. Paul (drawn by W. Johnson),6,3
15,1,9:51.0,,Shooting foul by M. Barnes (drawn by K. Bryant),6,3
16,1,9:51.0,,K. Bryant misses free throw 1 of 2,6,3
17,1,9:51.0,,Offensive rebound by Team,6,3
18,1,9:51.0,,K. Bryant makes free throw 2 of 2,6,4
19,1,9:37.0,J. Redick misses 3-pt jump shot from 24 ft,,6,4
20,1,9:36.0,,Defensive rebound by W. Johnson,6,4
21,1,9:21.0,,J. Lin misses 3-pt jump shot from 24 ft,6,4
22,1,9:20.0,Defensive rebound by B. Griffin,,6,4
23,1,9:12.0,M. Barnes makes 3-pt jump shot from 23 ft (assist by J. Redick),,9,4
24,1,9:00.0,,Turnover by K. Bryant (bad pass),9,4
25,1,8:49.0,M. Barnes misses 3-pt jump shot from 23 ft,,9,4
26,1,8:48.0,Offensive rebound by D. Jordan,,9,4
