,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Beverley),,3,0
1,1,11:16.0,,H. Barnes misses 3-pt jump shot from 25 ft,3,0
2,1,11:15.0,Defensive rebound by D. Howard,,3,0
3,1,11:13.0,,Violation by K. Thompson (kicked ball),3,0
4,1,11:07.0,D. Motiejūnas misses 2-pt hook shot from 5 ft,,3,0
5,1,11:06.0,,Defensive rebound by H. Barnes,3,0
6,1,10:49.0,,K. Thompson misses 2-pt jump shot from 6 ft,3,0
7,1,10:48.0,Defensive rebound by D. Howard,,3,0
8,1,10:44.0,T. Ariza misses 2-pt layup from 1 ft (block by A. Bogut),,3,0
9,1,10:42.0,Offensive rebound by D. Motiejūnas,,3,0
10,1,10:38.0,T. Ariza misses 3-pt jump shot from 23 ft,,3,0
11,1,10:36.0,,Defensive rebound by A. Bogut,3,0
12,1,10:32.0,,Shooting foul by T. Ariza (drawn by K. Thompson),3,0
13,1,10:32.0,,K. Thompson makes free throw 1 of 2,3,1
14,1,10:32.0,,K. Thompson makes free throw 2 of 2,3,2
15,1,10:14.0,D. Howard misses 2-pt layup from 1 ft (block by A. Bogut),,3,2
16,1,10:12.0,,Defensive rebound by A. Bogut,3,2
17,1,10:07.0,,Shooting foul by D. Motiejūnas (drawn by D. Green),3,2
18,1,10:07.0,,D. Green misses free throw 1 of 2,3,2
19,1,10:07.0,,Offensive rebound by Team,3,2
20,1,10:07.0,,D. Green makes free throw 2 of 2,3,3
21,1,9:52.0,Shooting foul by K. Thompson (drawn by J. Harden),,3,3
22,1,9:52.0,J. Harden makes free throw 1 of 3,,4,3
23,1,9:52.0,J. Harden makes free throw 2 of 3,,5,3
24,1,9:52.0,J. Harden makes free throw 3 of 3,,6,3
25,1,9:36.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),6,6
26,1,9:21.0,J. Harden misses 2-pt jump shot from 15 ft,,6,6
27,1,9:19.0,,Defensive rebound by H. Barnes,6,6
28,1,9:13.0,,S. Curry makes 2-pt jump shot from 20 ft,6,8
29,1,8:50.0,D. Motiejūnas misses 2-pt hook shot from 8 ft,,6,8
30,1,8:50.0,,Defensive rebound by S. Curry,6,8
31,1,8:44.0,,S. Curry makes 3-pt jump shot from 23 ft,6,11
32,1,8:21.0,Shooting foul by H. Barnes (drawn by J. Harden),,6,11
33,1,8:21.0,J. Harden makes free throw 1 of 3,,7,11
34,1,8:21.0,J. Harden makes free throw 2 of 3,,8,11
35,1,8:21.0,J. Harden makes free throw 3 of 3,,9,11
36,1,8:02.0,,Shooting foul by D. Howard (drawn by H. Barnes),9,11
37,1,8:02.0,,H. Barnes makes 2-pt layup from 1 ft (assist by S. Curry),9,13
38,1,8:02.0,,H. Barnes makes free throw 1 of 1,9,14
39,1,7:38.0,Turnover by Team (shot clock),,9,14
40,1,7:29.0,,D. Green misses 2-pt jump shot from 6 ft,9,14
41,1,7:28.0,,Offensive rebound by D. Green,9,14
42,1,7:26.0,,D. Green makes 2-pt layup at rim,9,16
43,1,7:07.0,P. Beverley makes 2-pt layup from 1 ft (assist by J. Harden),,11,16
44,1,6:56.0,,D. Green misses 3-pt jump shot from 26 ft,11,16
45,1,6:55.0,,Offensive rebound by K. Thompson,11,16
46,1,6:52.0,,K. Thompson makes 2-pt jump shot from 15 ft,11,18
47,1,6:45.0,Houston full timeout,,11,18
48,1,6:33.0,Turnover by P. Beverley (lost ball; steal by S. Curry),,11,18
49,1,6:28.0,,K. Thompson misses 3-pt jump shot from 25 ft,11,18
50,1,6:27.0,,Offensive rebound by H. Barnes,11,18
51,1,6:25.0,,H. Barnes makes 2-pt dunk at rim,11,20
52,1,6:10.0,D. Motiejūnas makes 2-pt jump shot from 6 ft (assist by P. Beverley),,13,20
53,1,6:09.0,Technical foul by D. Howard,,13,20
54,1,6:09.0,,S. Curry makes technical free throw,13,21
55,1,5:57.0,,Offensive foul by A. Bogut (drawn by J. Harden),13,21
56,1,5:57.0,,Turnover by A. Bogut (offensive foul),13,21
57,1,5:46.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,16,21
58,1,5:37.0,,D. Green makes 2-pt jump shot from 15 ft,16,23
59,1,5:23.0,P. Beverley misses 3-pt jump shot from 25 ft,,16,23
60,1,5:21.0,,Defensive rebound by D. Green,16,23
61,1,5:16.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Green),16,26
62,1,5:03.0,D. Howard misses 2-pt layup from 1 ft (block by A. Bogut),,16,26
63,1,5:01.0,Offensive rebound by D. Howard,,16,26
64,1,5:00.0,D. Howard misses 2-pt layup from 2 ft (block by A. Bogut),,16,26
65,1,4:59.0,Offensive rebound by P. Beverley,,16,26
66,1,4:53.0,J. Harden misses 3-pt jump shot from 23 ft,,16,26
67,1,4:52.0,Offensive rebound by D. Motiejūnas,,16,26
68,1,4:48.0,D. Howard makes 2-pt layup at rim (assist by J. Harden),,18,26
69,1,4:46.0,Violation by Team (delay of game),,18,26
70,1,4:34.0,,K. Thompson misses 3-pt jump shot from 25 ft,18,26
71,1,4:33.0,,Offensive rebound by A. Bogut,18,26
72,1,4:29.0,,A. Bogut misses 2-pt tip-in at rim,18,26
73,1,4:29.0,Defensive rebound by D. Howard,,18,26
74,1,4:22.0,T. Ariza misses 2-pt layup from 1 ft,,18,26
75,1,4:20.0,,Defensive rebound by A. Bogut,18,26
76,1,4:16.0,,Personal foul by P. Beverley (drawn by H. Barnes),18,26
77,1,4:16.0,,Golden State full timeout,18,26
78,1,4:16.0,J. Smith enters the game for D. Motiejūnas,,18,26
79,1,4:16.0,,A. Iguodala enters the game for H. Barnes,18,26
80,1,4:16.0,,J. Holiday enters the game for K. Thompson,18,26
81,1,4:03.0,,J. Holiday misses 3-pt jump shot from 23 ft,18,26
82,1,4:01.0,,Offensive rebound by S. Curry,18,26
83,1,3:59.0,,S. Curry makes 2-pt layup from 1 ft,18,28
84,1,3:52.0,J. Harden misses 2-pt jump shot from 13 ft,,18,28
85,1,3:52.0,,Defensive rebound by Team,18,28
86,1,3:52.0,Loose ball foul by D. Howard (drawn by A. Bogut),,18,28
87,1,3:52.0,D. Motiejūnas enters the game for D. Howard,,18,28
88,1,3:39.0,,S. Curry makes 2-pt layup from 1 ft,18,30
89,1,3:34.0,,M. Speights enters the game for A. Bogut,18,30
90,1,3:20.0,J. Harden makes 2-pt layup from 3 ft,,20,30
91,1,3:06.0,,S. Curry misses 3-pt jump shot from 27 ft,20,30
92,1,3:05.0,Defensive rebound by T. Ariza,,20,30
93,1,2:57.0,Personal foul by S. Curry (drawn by D. Motiejūnas),,20,30
