,QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
0,1,11:43.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by B. Jennings),0,2
1,1,11:22.0,R. Hibbert makes 2-pt hook shot from 6 ft (assist by R. Stuckey),,2,2
2,1,11:08.0,,Turnover by K. Singler (bad pass; steal by D. West),2,2
3,1,11:00.0,Shooting foul by A. Drummond (drawn by R. Hibbert),,2,2
4,1,11:00.0,R. Hibbert makes free throw 1 of 2,,3,2
5,1,11:00.0,R. Hibbert makes free throw 2 of 2,,4,2
6,1,10:44.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,4,2
7,1,10:43.0,Defensive rebound by S. Hill,,4,2
8,1,10:31.0,R. Hibbert misses 2-pt jump shot from 21 ft,,4,2
9,1,10:30.0,,Defensive rebound by G. Monroe,4,2
10,1,10:14.0,,Personal foul by R. Stuckey (drawn by K. Caldwell-Pope),4,2
11,1,10:05.0,,Turnover by G. Monroe (traveling),4,2
12,1,9:50.0,D. West misses 2-pt jump shot from 20 ft,,4,2
13,1,9:49.0,,Defensive rebound by K. Singler,4,2
14,1,9:41.0,,K. Singler misses 3-pt jump shot from 26 ft,4,2
15,1,9:40.0,,Offensive rebound by A. Drummond,4,2
16,1,9:36.0,,A. Drummond misses 2-pt layup at rim,4,2
17,1,9:35.0,Defensive rebound by R. Hibbert,,4,2
18,1,9:29.0,R. Hibbert misses 2-pt jump shot from 3 ft,,4,2
19,1,9:28.0,Offensive rebound by S. Hill,,4,2
20,1,9:25.0,S. Hill misses 2-pt tip-in at rim,,4,2
21,1,9:24.0,,Defensive rebound by K. Singler,4,2
22,1,9:13.0,,G. Monroe makes 2-pt hook shot from 6 ft,4,4
23,1,8:56.0,Turnover by C. Watson (bad pass; steal by G. Monroe),,4,4
24,1,8:49.0,,K. Singler misses 2-pt layup at rim,4,4
25,1,8:48.0,Defensive rebound by R. Hibbert,,4,4
26,1,8:40.0,C. Watson makes 3-pt jump shot from 22 ft (assist by R. Stuckey),,7,4
27,1,8:29.0,,B. Jennings makes 2-pt jump shot from 18 ft,7,6
28,1,8:12.0,Shooting foul by K. Singler (drawn by S. Hill),,7,6
29,1,8:12.0,S. Hill makes free throw 1 of 2,,8,6
30,1,8:12.0,S. Hill makes free throw 2 of 2,,9,6
31,1,7:59.0,,Shooting foul by R. Hibbert (drawn by A. Drummond),9,6
32,1,7:59.0,,A. Drummond misses free throw 1 of 2,9,6
33,1,7:59.0,,Offensive rebound by Team,9,6
34,1,7:59.0,,A. Drummond misses free throw 2 of 2,9,6
35,1,7:58.0,Defensive rebound by D. West,,9,6
36,1,7:41.0,D. West misses 2-pt jump shot from 14 ft,,9,6
37,1,7:40.0,,Defensive rebound by A. Drummond,9,6
38,1,7:29.0,,B. Jennings misses 2-pt jump shot from 16 ft,9,6
39,1,7:28.0,Defensive rebound by C. Watson,,9,6
40,1,7:12.0,R. Hibbert makes 2-pt hook shot from 5 ft (assist by D. West),,11,6
41,1,6:55.0,,K. Singler makes 3-pt jump shot from 22 ft (assist by K. Caldwell-Pope),11,9
42,1,6:36.0,R. Hibbert makes 2-pt hook shot from 6 ft (assist by R. Stuckey),,13,9
43,1,6:22.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by B. Jennings),13,12
44,1,6:22.0,,Shooting foul by R. Stuckey (drawn by K. Caldwell-Pope),13,12
45,1,6:22.0,C. Miles enters the game for R. Stuckey,,13,12
46,1,6:22.0,,K. Caldwell-Pope makes free throw 1 of 1,13,13
47,1,6:12.0,D. West makes 2-pt jump shot from 19 ft (assist by C. Watson),,15,13
48,1,5:54.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by K. Singler),15,15
49,1,5:44.0,Turnover by D. West (bad pass; steal by A. Drummond),,15,15
50,1,5:39.0,,B. Jennings makes 2-pt layup at rim,15,17
51,1,5:32.0,Turnover by D. West (bad pass; steal by B. Jennings),,15,17
52,1,5:26.0,,K. Singler misses 3-pt jump shot from 27 ft,15,17
53,1,5:25.0,Defensive rebound by C. Miles,,15,17
54,1,5:19.0,Indiana full timeout,,15,17
55,1,5:19.0,L. Allen enters the game for R. Hibbert,,15,17
56,1,5:07.0,Turnover by D. West (lost ball; steal by G. Monroe),,15,17
57,1,5:02.0,,B. Jennings makes 3-pt jump shot from 26 ft,15,20
58,1,4:47.0,Personal foul by B. Jennings (drawn by C. Watson),,15,20
59,1,4:41.0,S. Hill makes 2-pt dunk at rim (assist by L. Allen),,17,20
60,1,4:31.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,17,22
61,1,4:16.0,C. Watson misses 2-pt jump shot from 13 ft,,17,22
62,1,4:15.0,Offensive rebound by D. West,,17,22
63,1,4:09.0,S. Hill misses 3-pt jump shot from 26 ft,,17,22
64,1,4:08.0,,Defensive rebound by G. Monroe,17,22
65,1,4:01.0,,A. Drummond makes 2-pt dunk at rim (assist by B. Jennings),17,24
66,1,3:47.0,Personal foul by G. Monroe (drawn by D. West),,17,24
67,1,3:47.0,G. Hill enters the game for C. Watson,,17,24
68,1,3:47.0,,J. Jerebko enters the game for A. Drummond,17,24
69,1,3:30.0,L. Allen makes 2-pt jump shot from 18 ft (assist by S. Hill),,19,24
70,1,3:15.0,,B. Jennings misses 3-pt jump shot from 26 ft,19,24
71,1,3:14.0,Defensive rebound by D. West,,19,24
72,1,3:09.0,Turnover by L. Allen (bad pass; steal by B. Jennings),,19,24
73,1,3:00.0,,K. Singler misses 2-pt layup from 1 ft (block by L. Allen),19,24
74,1,2:59.0,,Offensive rebound by K. Singler,19,24
75,1,2:50.0,,G. Monroe makes 2-pt jump shot from 16 ft (assist by B. Jennings),19,26
76,1,2:32.0,G. Hill misses 2-pt jump shot from 18 ft,,19,26
77,1,2:31.0,Offensive rebound by D. West,,19,26
78,1,2:19.0,Turnover by L. Allen (3 sec),,19,26
79,1,2:19.0,,Detroit full timeout,19,26
80,1,2:19.0,,C. Butler enters the game for K. Singler,19,26
81,1,2:19.0,,D. Augustin enters the game for B. Jennings,19,26
82,1,2:06.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by D. Augustin),19,29
83,1,1:43.0,G. Hill misses 3-pt jump shot from 23 ft,,19,29
84,1,1:42.0,Offensive rebound by D. West,,19,29
85,1,1:39.0,D. West makes 2-pt jump shot from 16 ft,,21,29
86,1,1:25.0,,G. Monroe makes 2-pt layup at rim (assist by C. Butler),21,31
87,1,1:11.0,D. West misses 2-pt jump shot from 17 ft,,21,31
88,1,1:10.0,,Defensive rebound by J. Jerebko,21,31
89,1,0:59.0,,C. Butler misses 3-pt jump shot from 25 ft,21,31
90,1,0:57.0,Defensive rebound by D. West,,21,31
91,1,0:46.0,L. Allen makes 2-pt hook shot from 5 ft (assist by D. West),,23,31
92,1,0:34.0,,Shooting foul by L. Allen (drawn by G. Monroe),23,31
93,1,0:34.0,,G. Monroe misses free throw 1 of 2,23,31
94,1,0:34.0,,Offensive rebound by Team,23,31
95,1,0:34.0,L. Scola enters the game for D. West,,23,31
96,1,0:34.0,,G. Monroe makes free throw 2 of 2,23,32
97,1,0:22.0,L. Scola misses 2-pt jump shot from 20 ft,,23,32
98,1,0:20.0,Offensive rebound by G. Hill,,23,32
99,1,0:02.0,C. Miles makes 3-pt jump shot from 27 ft (assist by G. Hill),,26,32
100,2,11:50.0,Personal foul by J. Jerebko (drawn by R. Stuckey),,26,32
101,2,11:47.0,C. Miles misses 2-pt jump shot from 19 ft,,26,32
102,2,11:46.0,,Defensive rebound by A. Drummond,26,32
103,2,11:27.0,,C. Butler misses 2-pt jump shot from 17 ft,26,32
104,2,11:26.0,Defensive rebound by C. Miles,,26,32
105,2,11:15.0,G. Hill makes 2-pt layup at rim,,28,32
106,2,11:01.0,,A. Drummond misses 2-pt hook shot from 5 ft,28,32
107,2,10:59.0,Defensive rebound by L. Allen,,28,32
108,2,10:43.0,C. Miles misses 3-pt jump shot from 23 ft,,28,32
109,2,10:41.0,,Defensive rebound by J. Jerebko,28,32
110,2,10:27.0,,J. Meeks makes 2-pt jump shot from 11 ft (assist by J. Jerebko),28,34
111,2,10:01.0,G. Hill makes 3-pt jump shot from 22 ft (assist by C. Miles),,31,34
112,2,9:49.0,,J. Meeks makes 2-pt layup at rim,31,36
113,2,9:40.0,L. Scola makes 2-pt layup at rim,,33,36
114,2,9:26.0,,J. Meeks misses 2-pt jump shot from 16 ft,33,36
115,2,9:25.0,Defensive rebound by R. Stuckey,,33,36
116,2,9:13.0,Turnover by L. Scola (lost ball; steal by A. Drummond),,33,36
117,2,9:07.0,,Turnover by A. Drummond (offensive goaltending),33,36
118,2,8:46.0,R. Stuckey misses 2-pt jump shot from 17 ft,,33,36
119,2,8:45.0,,Defensive rebound by A. Drummond,33,36
120,2,8:39.0,Offensive charge foul by A. Drummond (drawn by L. Scola),,33,36
121,2,8:39.0,,Turnover by A. Drummond (offensive foul),33,36
122,2,8:39.0,Official timeout,,33,36
123,2,8:23.0,L. Allen makes 2-pt dunk at rim (assist by L. Scola),,35,36
124,2,8:06.0,,A. Drummond makes 2-pt dunk at rim (assist by D. Augustin),35,38
125,2,7:44.0,R. Stuckey makes 2-pt layup at rim,,37,38
126,2,7:32.0,,J. Meeks misses 3-pt jump shot from 26 ft,37,38
127,2,7:31.0,Defensive rebound by R. Stuckey,,37,38
128,2,7:22.0,G. Hill misses 3-pt jump shot from 25 ft,,37,38
129,2,7:21.0,,Defensive rebound by C. Butler,37,38
130,2,7:13.0,,Personal foul by L. Scola (drawn by D. Augustin),37,38
131,2,7:05.0,,J. Meeks makes 2-pt jump shot from 8 ft (assist by D. Augustin),37,40
132,2,6:43.0,L. Scola misses 2-pt jump shot from 4 ft,,37,40
133,2,6:42.0,,Defensive rebound by J. Jerebko,37,40
134,2,6:32.0,,C. Butler misses 3-pt jump shot from 25 ft,37,40
135,2,6:31.0,,Offensive rebound by D. Augustin,37,40
136,2,6:24.0,,J. Jerebko misses 3-pt jump shot from 23 ft,37,40
137,2,6:23.0,,Offensive rebound by A. Drummond,37,40
138,2,6:20.0,,A. Drummond makes 2-pt layup at rim,37,42
139,2,6:20.0,Indiana full timeout,,37,42
140,2,6:20.0,R. Hibbert enters the game for C. Miles,,37,42
141,2,6:20.0,C. Watson enters the game for L. Allen,,37,42
142,2,6:20.0,,K. Caldwell-Pope enters the game for C. Butler,37,42
143,2,6:14.0,Turnover by C. Watson (bad pass; steal by A. Drummond),,37,42
144,2,6:10.0,,A. Drummond misses 2-pt layup from 4 ft,37,42
145,2,6:09.0,Defensive rebound by L. Scola,,37,42
146,2,6:01.0,Shooting foul by K. Caldwell-Pope (drawn by R. Hibbert),,37,42
147,2,6:01.0,R. Hibbert makes free throw 1 of 2,,38,42
148,2,6:01.0,R. Hibbert makes free throw 2 of 2,,39,42
149,2,5:39.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,39,42
