,QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
0,1,11:43.0,T. Mozgov makes 2-pt layup from 1 ft (assist by T. Lawson),,2,0
1,1,11:19.0,,L. Scola makes 2-pt jump shot from 4 ft,2,2
2,1,11:05.0,A. Afflalo misses 3-pt jump shot from 25 ft,,2,2
3,1,11:04.0,Offensive rebound by K. Faried,,2,2
4,1,10:54.0,K. Faried makes 2-pt dunk at rim (assist by T. Lawson),,4,2
5,1,10:35.0,,Shooting foul by T. Mozgov (drawn by R. Hibbert),4,2
6,1,10:35.0,,R. Hibbert makes free throw 1 of 2,4,3
7,1,10:35.0,,R. Hibbert makes free throw 2 of 2,4,4
8,1,10:21.0,W. Chandler misses 3-pt jump shot from 24 ft,,4,4
9,1,10:19.0,,Defensive rebound by S. Hill,4,4
10,1,10:07.0,,R. Hibbert makes 2-pt hook shot from 6 ft,4,6
11,1,10:00.0,Shooting foul by L. Scola (drawn by K. Faried),,4,6
12,1,10:00.0,K. Faried misses free throw 1 of 2,,4,6
13,1,10:00.0,Offensive rebound by Team,,4,6
14,1,10:00.0,K. Faried misses free throw 2 of 2,,4,6
15,1,9:59.0,,Defensive rebound by R. Hibbert,4,6
16,1,9:49.0,,C. Copeland misses 2-pt layup from 2 ft (block by W. Chandler),4,6
17,1,9:49.0,,Offensive rebound by Team,4,6
18,1,9:46.0,,S. Hill misses 2-pt jump shot from 18 ft,4,6
19,1,9:45.0,Defensive rebound by W. Chandler,,4,6
20,1,9:29.0,K. Faried makes 2-pt hook shot from 7 ft,,6,6
21,1,9:15.0,,Turnover by S. Hill (step out of bounds),6,6
22,1,9:06.0,T. Lawson misses 2-pt jump shot from 16 ft,,6,6
23,1,9:04.0,Offensive rebound by T. Mozgov,,6,6
24,1,9:00.0,T. Lawson misses 2-pt jump shot from 5 ft (block by R. Hibbert),,6,6
25,1,9:00.0,Offensive rebound by Team,,6,6
26,1,8:58.0,T. Mozgov misses 2-pt jump shot from 17 ft,,6,6
27,1,8:56.0,,Defensive rebound by C. Copeland,6,6
28,1,8:46.0,,S. Hill makes 2-pt layup at rim,6,8
29,1,8:36.0,Personal foul by S. Hill (drawn by A. Afflalo),,6,8
30,1,8:32.0,Personal foul by D. Sloan (drawn by T. Lawson),,6,8
31,1,8:26.0,A. Afflalo misses 3-pt jump shot from 23 ft,,6,8
32,1,8:25.0,,Defensive rebound by C. Copeland,6,8
33,1,8:19.0,Violation by T. Lawson (kicked ball),,6,8
34,1,8:14.0,,S. Hill misses 2-pt layup at rim (block by T. Mozgov),6,8
35,1,8:14.0,Defensive rebound by Team,,6,8
36,1,7:58.0,K. Faried makes 2-pt hook shot from 4 ft,,8,8
37,1,7:38.0,,S. Hill makes 2-pt layup at rim (assist by R. Hibbert),8,10
38,1,7:27.0,Turnover by T. Lawson (bad pass; steal by D. Sloan),,8,10
39,1,7:22.0,,C. Copeland misses 3-pt jump shot from 26 ft,8,10
40,1,7:21.0,Defensive rebound by T. Lawson,,8,10
41,1,7:13.0,,Offensive charge foul by K. Faried (drawn by L. Scola),8,10
42,1,7:13.0,Turnover by K. Faried (offensive foul),,8,10
43,1,7:01.0,,D. Sloan makes 3-pt jump shot from 26 ft (assist by S. Hill),8,13
44,1,6:47.0,T. Mozgov misses 2-pt layup at rim,,8,13
45,1,6:46.0,,Defensive rebound by R. Hibbert,8,13
46,1,6:32.0,,S. Hill makes 2-pt layup from 2 ft,8,15
47,1,6:24.0,Denver full timeout,,8,15
48,1,6:09.0,W. Chandler makes 2-pt jump shot from 13 ft,,10,15
49,1,5:56.0,,Shooting foul by T. Lawson (drawn by L. Scola),10,15
50,1,5:56.0,,L. Scola misses free throw 1 of 2,10,15
51,1,5:56.0,,Offensive rebound by Team,10,15
52,1,5:56.0,,L. Scola misses free throw 2 of 2,10,15
53,1,5:56.0,Defensive rebound by K. Faried,,10,15
54,1,5:42.0,A. Afflalo makes 3-pt jump shot from 23 ft (assist by T. Lawson),,13,15
55,1,5:14.0,,L. Scola makes 2-pt layup at rim,13,17
56,1,5:01.0,Shooting foul by C. Copeland (drawn by T. Mozgov),,13,17
57,1,5:01.0,T. Mozgov misses free throw 1 of 2,,13,17
58,1,5:01.0,Offensive rebound by Team,,13,17
59,1,5:01.0,T. Mozgov misses free throw 2 of 2,,13,17
60,1,4:59.0,,Defensive rebound by Team,13,17
61,1,4:51.0,,Personal foul by T. Mozgov (drawn by R. Hibbert),13,17
62,1,4:51.0,J. McGee enters the game for T. Mozgov,,13,17
63,1,4:41.0,,R. Hibbert misses 2-pt jump shot from 7 ft,13,17
64,1,4:41.0,Defensive rebound by J. McGee,,13,17
65,1,4:41.0,Personal foul by L. Scola (drawn by J. McGee),,13,17
66,1,4:41.0,J. McGee makes free throw 1 of 2,,14,17
67,1,4:41.0,,L. Allen enters the game for L. Scola,14,17
68,1,4:41.0,G. Harris enters the game for A. Afflalo,,14,17
69,1,4:41.0,J. McGee misses free throw 2 of 2,,14,17
70,1,4:41.0,,Defensive rebound by R. Hibbert,14,17
71,1,4:24.0,,Personal foul by K. Faried (drawn by L. Allen),14,17
72,1,4:24.0,D. Arthur enters the game for K. Faried,,14,17
73,1,4:16.0,,R. Hibbert misses 2-pt jump shot from 17 ft,14,17
74,1,4:15.0,Defensive rebound by T. Lawson,,14,17
75,1,4:07.0,,C. Miles enters the game for S. Hill,14,17
76,1,3:57.0,D. Arthur misses 2-pt jump shot from 20 ft,,14,17
77,1,3:56.0,,Defensive rebound by C. Copeland,14,17
78,1,3:49.0,,D. Sloan makes 2-pt layup from 2 ft,14,19
79,1,3:40.0,D. Arthur makes 2-pt jump shot from 20 ft (assist by T. Lawson),,16,19
80,1,3:31.0,,D. Sloan makes 3-pt jump shot from 24 ft,16,22
81,1,3:20.0,T. Lawson makes 2-pt layup from 1 ft,,18,22
82,1,3:05.0,,L. Allen makes 2-pt jump shot from 7 ft (assist by D. Sloan),18,24
83,1,3:05.0,,Loose ball foul by R. Hibbert (drawn by J. McGee),18,24
84,1,3:05.0,J. McGee makes free throw 1 of 2,,19,24
85,1,3:05.0,J. McGee makes free throw 2 of 2,,20,24
