,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
0,1,11:44.0,Turnover by J. Harden (traveling),,0,0
1,1,11:32.0,,K. Love misses 2-pt jump shot from 13 ft,0,0
2,1,11:29.0,Defensive rebound by P. Beverley,,0,0
3,1,11:21.0,T. Ariza misses 2-pt layup from 2 ft (block by M. Miller),,0,0
4,1,11:21.0,Offensive rebound by Team,,0,0
5,1,11:18.0,P. Beverley makes 2-pt layup at rim (assist by T. Ariza),,2,0
6,1,10:58.0,,K. Love misses 3-pt jump shot from 25 ft,2,0
7,1,10:57.0,Defensive rebound by D. Howard,,2,0
8,1,10:42.0,T. Ariza makes 2-pt jump shot from 18 ft (assist by J. Harden),,4,0
9,1,10:28.0,,K. Irving makes 2-pt jump shot from 17 ft,4,2
10,1,10:07.0,D. Motiejūnas misses 2-pt hook shot from 10 ft,,4,2
11,1,10:04.0,,Defensive rebound by K. Love,4,2
12,1,9:57.0,,K. Love misses 2-pt jump shot from 9 ft (block by D. Howard),4,2
13,1,9:57.0,,Offensive rebound by Team,4,2
14,1,9:50.0,,T. Thompson misses 2-pt jump shot from 1 ft,4,2
15,1,9:50.0,,Offensive rebound by T. Thompson,4,2
16,1,9:50.0,,T. Thompson misses 2-pt tip-in from 1 ft,4,2
17,1,9:50.0,Defensive rebound by Team,,4,2
18,1,9:50.0,,Loose ball foul by T. Thompson (drawn by D. Howard),4,2
19,1,9:41.0,Personal foul by M. Miller (drawn by D. Howard),,4,2
20,1,9:32.0,Turnover by D. Howard (step out of bounds),,4,2
21,1,9:15.0,,Shooting foul by P. Beverley (drawn by K. Irving),4,2
22,1,9:15.0,,K. Irving makes free throw 1 of 2,4,3
23,1,9:15.0,,K. Irving makes free throw 2 of 2,4,4
24,1,9:05.0,D. Howard makes 2-pt dunk at rim (assist by P. Beverley),,6,4
25,1,8:46.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by K. Love),6,7
26,1,8:37.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),,9,7
27,1,8:21.0,,Turnover by K. Irving (bad pass; steal by T. Ariza),9,7
28,1,8:12.0,J. Harden misses 3-pt jump shot from 24 ft,,9,7
29,1,8:10.0,,Defensive rebound by M. Miller,9,7
30,1,7:48.0,,M. Miller makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),9,10
31,1,7:36.0,T. Ariza misses 3-pt jump shot from 24 ft,,9,10
32,1,7:35.0,,Defensive rebound by K. Love,9,10
33,1,7:21.0,,K. Irving misses 2-pt layup at rim,9,10
34,1,7:20.0,,Offensive rebound by T. Thompson,9,10
35,1,7:20.0,,T. Thompson misses 2-pt tip-in from 1 ft,9,10
36,1,7:19.0,Defensive rebound by Team,,9,10
37,1,7:19.0,Personal foul by T. Thompson (drawn by D. Motiejūnas),,9,10
38,1,7:17.0,,B. Haywood enters the game for T. Thompson,9,10
39,1,7:06.0,P. Beverley misses 3-pt jump shot from 23 ft,,9,10
40,1,7:05.0,,Defensive rebound by K. Love,9,10
41,1,6:55.0,,M. Dellavedova misses 2-pt jump shot from 7 ft,9,10
42,1,6:53.0,,Offensive rebound by B. Haywood,9,10
43,1,6:53.0,,B. Haywood makes 2-pt tip-in at rim,9,12
44,1,6:33.0,D. Howard misses 2-pt layup at rim,,9,12
45,1,6:32.0,,Defensive rebound by M. Dellavedova,9,12
46,1,6:20.0,,K. Irving makes 3-pt jump shot from 22 ft (assist by M. Miller),9,15
47,1,5:56.0,Turnover by D. Motiejūnas (bad pass; steal by M. Miller),,9,15
48,1,5:48.0,,Cleveland full timeout,9,15
49,1,5:48.0,,J. Smith enters the game for M. Dellavedova,9,15
50,1,5:36.0,,Turnover by K. Irving (lost ball; steal by T. Ariza),9,15
51,1,5:28.0,Turnover by J. Harden (lost ball; steal by J. Smith),,9,15
52,1,5:22.0,,Turnover by M. Miller (bad pass; steal by T. Ariza),9,15
53,1,5:12.0,D. Motiejūnas misses 2-pt jump shot from 5 ft (block by B. Haywood),,9,15
54,1,5:12.0,Offensive rebound by Team,,9,15
55,1,5:09.0,P. Beverley misses 2-pt jump shot from 16 ft,,9,15
56,1,5:08.0,Offensive rebound by P. Beverley,,9,15
57,1,4:59.0,J. Harden misses 2-pt layup from 1 ft,,9,15
58,1,4:58.0,,Defensive rebound by Team,9,15
59,1,4:35.0,,Turnover by B. Haywood (bad pass),9,15
60,1,4:35.0,J. Smith enters the game for T. Ariza,,9,15
61,1,4:35.0,C. Brewer enters the game for D. Howard,,9,15
62,1,4:25.0,J. Smith makes 2-pt jump shot from 20 ft (assist by J. Harden),,11,15
63,1,4:13.0,,Turnover by K. Irving (bad pass; steal by C. Brewer),11,15
64,1,4:09.0,C. Brewer makes 2-pt layup from 1 ft,,13,15
65,1,3:54.0,,J. Smith misses 3-pt jump shot from 25 ft,13,15
66,1,3:53.0,Defensive rebound by J. Harden,,13,15
67,1,3:50.0,Shooting foul by M. Miller (drawn by J. Harden),,13,15
68,1,3:50.0,J. Harden makes free throw 1 of 2,,14,15
69,1,3:50.0,,S. Marion enters the game for M. Miller,14,15
70,1,3:50.0,J. Harden makes free throw 2 of 2,,15,15
71,1,3:25.0,,J. Smith misses 2-pt jump shot from 21 ft,15,15
72,1,3:24.0,Defensive rebound by Team,,15,15
73,1,3:16.0,D. Motiejūnas makes 2-pt jump shot from 4 ft (assist by J. Harden),,17,15
74,1,2:57.0,,S. Marion misses 3-pt jump shot from 24 ft,17,15
75,1,2:55.0,Defensive rebound by P. Beverley,,17,15
76,1,2:44.0,Houston full timeout,,17,15
77,1,2:44.0,J. Terry enters the game for P. Beverley,,17,15
78,1,2:44.0,,M. Dellavedova enters the game for K. Irving,17,15
79,1,2:44.0,,J. Harris enters the game for B. Haywood,17,15
80,1,2:38.0,J. Harden makes 3-pt jump shot from 23 ft (assist by C. Brewer),,20,15
81,1,2:21.0,,Turnover by J. Harris (lost ball; steal by J. Harden),20,15
82,1,2:17.0,Turnover by J. Harden (bad pass; steal by J. Harris),,20,15
83,1,2:14.0,,Personal foul by D. Motiejūnas (drawn by S. Marion),20,15
84,1,2:14.0,K. Papanikolaou enters the game for D. Motiejūnas,,20,15
85,1,2:02.0,,Personal foul by C. Brewer (drawn by K. Love),20,15
86,1,1:55.0,,K. Love misses 2-pt jump shot from 14 ft,20,15
87,1,1:54.0,Defensive rebound by J. Harden,,20,15
88,1,1:48.0,J. Harden misses 2-pt layup at rim,,20,15
89,1,1:46.0,,Defensive rebound by K. Love,20,15
90,1,1:37.0,,J. Harris makes 3-pt jump shot from 23 ft (assist by S. Marion),20,18
91,1,1:24.0,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),,23,18
92,1,1:10.0,,Shooting foul by J. Smith (drawn by K. Love),23,18
93,1,1:10.0,,K. Love makes free throw 1 of 2,23,19
94,1,1:10.0,T. Ariza enters the game for J. Harden,,23,19
95,1,1:10.0,,K. Love makes free throw 2 of 2,23,20
96,1,1:00.0,J. Smith makes 2-pt layup from 1 ft (assist by J. Terry),,25,20
97,1,0:45.0,,K. Love misses 2-pt hook shot from 7 ft,25,20
98,1,0:41.0,Defensive rebound by T. Ariza,,25,20
99,1,0:34.0,Shooting foul by K. Love (drawn by J. Smith),,25,20
100,1,0:34.0,J. Smith makes free throw 1 of 2,,26,20
101,1,0:34.0,,J. Jones enters the game for K. Love,26,20
102,1,0:34.0,J. Smith misses free throw 2 of 2,,26,20
103,1,0:33.0,,Defensive rebound by S. Marion,26,20
104,1,0:15.0,,J. Jones makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),26,23
105,1,0:05.0,J. Smith misses 2-pt jump shot from 20 ft,,26,23
106,1,0:04.0,,Defensive rebound by J. Harris,26,23
107,1,0:00.0,,J. Smith misses 3-pt jump shot from 40 ft,26,23
108,1,0:00.0,,Offensive rebound by Team,26,23
109,2,11:42.0,,S. Marion misses 2-pt layup from 1 ft,26,23
110,2,11:39.0,,Offensive rebound by S. Marion,26,23
111,2,11:36.0,,S. Marion misses 2-pt jump shot from 4 ft,26,23
112,2,11:35.0,Defensive rebound by J. Smith,,26,23
113,2,11:29.0,C. Brewer misses 3-pt jump shot from 25 ft,,26,23
114,2,11:27.0,,Defensive rebound by J. Jones,26,23
115,2,11:18.0,,J. Jones misses 3-pt jump shot from 28 ft,26,23
116,2,11:17.0,Defensive rebound by J. Terry,,26,23
117,2,11:01.0,J. Smith makes 2-pt layup at rim,,28,23
118,2,10:40.0,,Turnover by S. Marion (lost ball; steal by J. Terry),28,23
119,2,10:29.0,Turnover by J. Terry (bad pass),,28,23
120,2,10:29.0,,K. Irving enters the game for J. Harris,28,23
121,2,10:10.0,,K. Irving makes 2-pt jump shot from 14 ft,28,25
122,2,9:55.0,C. Brewer makes 2-pt layup at rim,,30,25
123,2,9:37.0,,K. Irving makes 2-pt jump shot from 18 ft,30,27
124,2,9:21.0,K. Papanikolaou makes 3-pt jump shot from 24 ft (assist by C. Brewer),,33,27
125,2,9:08.0,,J. Jones misses 3-pt jump shot from 23 ft (block by J. Smith),33,27
126,2,9:08.0,,Offensive rebound by J. Jones,33,27
127,2,9:05.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,33,27
128,2,9:04.0,,Offensive rebound by S. Marion,33,27
129,2,9:04.0,,S. Marion misses 2-pt tip-in at rim,33,27
130,2,9:03.0,,Offensive rebound by K. Irving,33,27
131,2,9:01.0,,S. Marion makes 2-pt dunk at rim (assist by K. Irving),33,29
132,2,8:47.0,T. Ariza makes 2-pt layup from 1 ft,,35,29
133,2,8:37.0,,K. Irving makes 3-pt jump shot from 25 ft,35,32
134,2,8:27.0,Houston full timeout,,35,32
135,2,8:27.0,,K. Love enters the game for M. Dellavedova,35,32
136,2,8:27.0,,T. Thompson enters the game for J. Smith,35,32
137,2,8:27.0,,M. Miller enters the game for S. Marion,35,32
138,2,8:27.0,D. Howard enters the game for T. Ariza,,35,32
139,2,8:27.0,P. Beverley enters the game for J. Smith,,35,32
140,2,8:27.0,D. Motiejūnas enters the game for K. Papanikolaou,,35,32
141,2,8:12.0,Turnover by D. Howard (lost ball; steal by J. Jones),,35,32
142,2,8:00.0,,Personal foul by D. Motiejūnas (drawn by K. Irving),35,32
143,2,7:48.0,,Personal foul by D. Howard (drawn by K. Love),35,32
144,2,7:41.0,,M. Miller makes 2-pt jump shot from 8 ft,35,34
145,2,7:34.0,C. Brewer misses 2-pt jump shot from 14 ft,,35,34
146,2,7:33.0,,Defensive rebound by Team,35,34
