,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHOENIX_ACTION,PORTLAND_SCORE,PHOENIX_SCORE
0,1,11:43.0,,G. Dragić makes 2-pt layup from 1 ft (assist by M. Morris),0,2
1,1,11:27.0,N. Batum makes 2-pt layup from 1 ft,,2,2
2,1,11:14.0,,M. Morris misses 2-pt jump shot from 13 ft,2,2
3,1,11:13.0,,Offensive rebound by Team,2,2
4,1,11:11.0,,G. Dragić makes 2-pt jump shot from 15 ft (assist by P. Tucker),2,4
5,1,10:57.0,N. Batum misses 2-pt jump shot from 20 ft,,2,4
6,1,10:55.0,,Defensive rebound by E. Bledsoe,2,4
7,1,10:53.0,,Turnover by E. Bledsoe (bad pass),2,4
8,1,10:35.0,C. Kaman makes 2-pt jump shot from 15 ft (assist by N. Batum),,4,4
9,1,10:22.0,,Shooting foul by D. Lillard (drawn by E. Bledsoe),4,4
10,1,10:22.0,,E. Bledsoe makes free throw 1 of 2,4,5
11,1,10:22.0,,E. Bledsoe makes free throw 2 of 2,4,6
12,1,10:12.0,N. Batum makes 2-pt layup from 2 ft (assist by D. Lillard),,6,6
13,1,10:00.0,,M. Morris misses 3-pt jump shot from 24 ft,6,6
14,1,9:58.0,Defensive rebound by D. Lillard,,6,6
15,1,9:52.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by D. Wright),,9,6
16,1,9:25.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Dragić),9,9
17,1,9:04.0,W. Matthews makes 2-pt jump shot from 6 ft,,11,9
18,1,8:52.0,,G. Dragić misses 2-pt layup from 2 ft,11,9
19,1,8:50.0,,Offensive rebound by A. Len,11,9
20,1,8:50.0,,A. Len makes 2-pt layup from 2 ft,11,11
21,1,8:38.0,D. Lillard misses 3-pt jump shot from 24 ft,,11,11
22,1,8:36.0,,Defensive rebound by G. Dragić,11,11
23,1,8:34.0,,Shooting foul by D. Wright (drawn by M. Morris),11,11
24,1,8:34.0,,M. Morris makes free throw 1 of 2,11,12
25,1,8:34.0,,M. Morris misses free throw 2 of 2,11,12
26,1,8:33.0,,Offensive rebound by P. Tucker,11,12
27,1,8:20.0,,E. Bledsoe makes 2-pt jump shot from 7 ft,11,14
28,1,8:06.0,Turnover by D. Wright (bad pass; steal by E. Bledsoe),,11,14
29,1,8:02.0,,E. Bledsoe makes 2-pt layup at rim,11,16
30,1,7:45.0,C. Kaman makes 2-pt hook shot from 3 ft,,13,16
31,1,7:33.0,,A. Len makes 2-pt layup from 1 ft (assist by G. Dragić),13,18
32,1,7:25.0,D. Wright makes 3-pt jump shot from 24 ft (assist by N. Batum),,16,18
33,1,7:15.0,,G. Dragić misses 2-pt layup from 1 ft (block by C. Kaman),16,18
34,1,7:14.0,Defensive rebound by Team,,16,18
35,1,7:02.0,W. Matthews misses 2-pt layup from 2 ft,,16,18
36,1,6:59.0,,Defensive rebound by A. Len,16,18
37,1,6:57.0,,Turnover by G. Dragić (traveling),16,18
38,1,6:40.0,C. Kaman makes 2-pt jump shot from 15 ft (assist by D. Lillard),,18,18
39,1,6:25.0,,G. Dragić makes 2-pt jump shot from 15 ft (assist by E. Bledsoe),18,20
40,1,6:07.0,W. Matthews misses 2-pt jump shot from 12 ft,,18,20
41,1,6:05.0,Offensive rebound by C. Kaman,,18,20
42,1,6:05.0,C. Kaman makes 2-pt tip-in from 1 ft,,20,20
43,1,5:56.0,,Phoenix full timeout,20,20
44,1,5:46.0,,G. Dragić misses 2-pt jump shot from 5 ft,20,20
45,1,5:46.0,Defensive rebound by Team,,20,20
46,1,5:46.0,,Loose ball foul by A. Len (drawn by N. Batum),20,20
47,1,5:35.0,Turnover by W. Matthews (bad pass; steal by P. Tucker),,20,20
48,1,5:32.0,,P. Tucker makes 2-pt dunk at rim,20,22
49,1,5:13.0,C. Kaman makes 2-pt layup at rim (assist by D. Wright),,22,22
50,1,5:02.0,,A. Len makes 2-pt jump shot from 15 ft (assist by G. Dragić),22,24
51,1,4:52.0,N. Batum makes 3-pt jump shot from 25 ft,,25,24
52,1,4:38.0,,Turnover by G. Dragić (bad pass; steal by D. Wright),25,24
53,1,4:38.0,,Loose ball foul by M. Morris (drawn by D. Wright),25,24
54,1,4:38.0,,I. Thomas enters the game for A. Len,25,24
55,1,4:38.0,,B. Wright enters the game for G. Dragić,25,24
56,1,4:38.0,C. McCollum enters the game for D. Wright,,25,24
57,1,4:38.0,M. Leonard enters the game for C. Kaman,,25,24
58,1,4:38.0,T. Robinson enters the game for W. Matthews,,25,24
59,1,4:22.0,Turnover by D. Lillard (bad pass; steal by M. Morris),,25,24
60,1,4:11.0,,Shooting foul by C. McCollum (drawn by E. Bledsoe),25,24
61,1,4:11.0,,E. Bledsoe makes free throw 1 of 2,25,25
62,1,4:11.0,,M. Morris enters the game for P. Tucker,25,25
63,1,4:11.0,,E. Bledsoe misses free throw 2 of 2,25,25
64,1,4:10.0,Defensive rebound by M. Leonard,,25,25
65,1,3:57.0,N. Batum misses 2-pt jump shot from 14 ft,,25,25
66,1,3:54.0,,Defensive rebound by M. Morris,25,25
67,1,3:51.0,,I. Thomas misses 3-pt jump shot from 25 ft,25,25
68,1,3:48.0,Defensive rebound by N. Batum,,25,25
69,1,3:47.0,Inbound foul by M. Morris,,25,25
70,1,3:47.0,N. Batum makes free throw 1 of 2,,26,25
71,1,3:47.0,N. Batum makes free throw 2 of 2,,27,25
72,1,3:34.0,,Shooting foul by M. Leonard (drawn by E. Bledsoe),27,25
73,1,3:34.0,,E. Bledsoe makes free throw 1 of 2,27,26
74,1,3:34.0,,E. Bledsoe misses free throw 2 of 2,27,26
75,1,3:32.0,Defensive rebound by T. Robinson,,27,26
76,1,3:23.0,T. Robinson makes 2-pt layup at rim (assist by D. Lillard),,29,26
77,1,3:13.0,,M. Morris makes 2-pt jump shot from 15 ft,29,28
78,1,2:54.0,Turnover by D. Lillard (bad pass; steal by E. Bledsoe),,29,28
79,1,2:51.0,,I. Thomas makes 2-pt layup from 1 ft (assist by M. Morris),29,30
80,1,2:50.0,Portland full timeout,,29,30
81,1,2:50.0,,M. Plumlee enters the game for M. Morris,29,30
82,1,2:39.0,D. Lillard misses 2-pt layup from 2 ft,,29,30
83,1,2:38.0,Offensive rebound by Team,,29,30
84,1,2:25.0,C. McCollum misses 2-pt jump shot from 15 ft,,29,30
85,1,2:23.0,,Defensive rebound by B. Wright,29,30
