,QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,J. Parker makes 2-pt dunk at rim (assist by Z. Pachulia),0,2
1,1,11:27.0,Turnover by D. Granger (step out of bounds),,0,2
2,1,11:18.0,,B. Knight makes 2-pt jump shot from 15 ft,0,4
3,1,11:05.0,D. Wade misses 2-pt jump shot from 17 ft,,0,4
4,1,11:04.0,,Defensive rebound by G. Antetokounmpo,0,4
5,1,10:53.0,,Turnover by B. Knight (bad pass; steal by M. Chalmers),0,4
6,1,10:50.0,M. Chalmers makes 2-pt layup at rim,,2,4
7,1,10:32.0,,Z. Pachulia makes 2-pt hook shot from 4 ft,2,6
8,1,10:19.0,D. Wade misses 2-pt jump shot from 14 ft,,2,6
9,1,10:18.0,Offensive rebound by C. Bosh,,2,6
10,1,10:14.0,C. Bosh misses 3-pt jump shot from 23 ft,,2,6
11,1,10:12.0,Offensive rebound by D. Wade,,2,6
12,1,10:10.0,D. Wade makes 2-pt layup at rim,,4,6
13,1,10:04.0,,B. Knight misses 2-pt layup from 1 ft,4,6
14,1,10:02.0,Defensive rebound by M. Chalmers,,4,6
15,1,9:57.0,M. Chalmers misses 2-pt layup at rim,,4,6
16,1,9:53.0,,Defensive rebound by Z. Pachulia,4,6
17,1,9:51.0,,Turnover by B. Knight (lost ball; steal by M. Chalmers),4,6
18,1,9:50.0,Personal foul by B. Knight (drawn by M. Chalmers),,4,6
19,1,9:37.0,Turnover by D. Granger (lost ball),,4,6
20,1,9:23.0,,J. Parker misses 2-pt hook shot from 5 ft,4,6
21,1,9:21.0,,Offensive rebound by Z. Pachulia,4,6
22,1,9:14.0,,O. Mayo misses 3-pt jump shot from 26 ft,4,6
23,1,9:12.0,Defensive rebound by C. Bosh,,4,6
24,1,9:03.0,Turnover by C. Bosh (lost ball; steal by Z. Pachulia),,4,6
25,1,9:03.0,,Personal foul by D. Granger (drawn by O. Mayo),4,6
26,1,8:59.0,,Turnover by Z. Pachulia (bad pass; steal by M. Chalmers),4,6
27,1,8:55.0,D. Wade makes 2-pt dunk at rim (assist by M. Chalmers),,6,6
