,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,R. Jackson makes 2-pt jump shot from 14 ft,,2,0
1,1,11:26.0,,A. Davis makes 2-pt jump shot from 15 ft,2,2
2,1,10:59.0,R. Jackson makes 2-pt jump shot from 12 ft,,4,2
3,1,10:35.0,,Q. Pondexter misses 3-pt jump shot from 24 ft,4,2
4,1,10:32.0,Defensive rebound by G. Monroe,,4,2
5,1,10:18.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,4,2
6,1,10:17.0,,Defensive rebound by T. Evans,4,2
7,1,10:13.0,,Turnover by T. Evans (bad pass; steal by K. Caldwell-Pope),4,2
8,1,10:06.0,T. Prince misses 2-pt jump shot from 20 ft,,4,2
9,1,10:04.0,Offensive rebound by G. Monroe,,4,2
10,1,10:00.0,G. Monroe misses 2-pt layup from 1 ft,,4,2
11,1,9:59.0,,Defensive rebound by A. Davis,4,2
12,1,9:43.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),4,5
13,1,9:24.0,R. Jackson makes 2-pt jump shot from 7 ft (assist by G. Monroe),,6,5
14,1,9:06.0,,Ö. Aşık misses 2-pt layup from 1 ft (block by A. Drummond),6,5
15,1,9:03.0,Defensive rebound by G. Monroe,,6,5
16,1,9:01.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,6,5
17,1,9:00.0,Offensive rebound by A. Drummond,,6,5
18,1,9:00.0,A. Drummond misses 2-pt tip-in from 1 ft,,6,5
19,1,9:00.0,Offensive rebound by Team,,6,5
20,1,8:50.0,R. Jackson misses 2-pt jump shot from 13 ft (block by A. Davis),,6,5
21,1,8:48.0,,Defensive rebound by T. Evans,6,5
22,1,8:37.0,,A. Davis misses 2-pt jump shot from 15 ft,6,5
23,1,8:35.0,,Offensive rebound by Ö. Aşık,6,5
24,1,8:28.0,,T. Evans misses 2-pt layup from 1 ft,6,5
25,1,8:27.0,,Offensive rebound by Ö. Aşık,6,5
26,1,8:25.0,,Turnover by Q. Pondexter (bad pass; steal by R. Jackson),6,5
27,1,8:17.0,A. Drummond makes 2-pt hook shot from 11 ft (assist by R. Jackson),,8,5
28,1,7:56.0,,T. Evans misses 2-pt jump shot from 14 ft,8,5
29,1,7:55.0,Defensive rebound by A. Drummond,,8,5
30,1,7:48.0,G. Monroe makes 2-pt layup from 1 ft (assist by R. Jackson),,10,5
31,1,7:31.0,,Shooting foul by K. Caldwell-Pope (drawn by E. Gordon),10,5
32,1,7:31.0,,E. Gordon misses free throw 1 of 2,10,5
33,1,7:31.0,,Offensive rebound by Team,10,5
34,1,7:31.0,,E. Gordon makes free throw 2 of 2,10,6
35,1,7:17.0,Turnover by A. Drummond (traveling),,10,6
36,1,7:04.0,,A. Davis misses 2-pt jump shot from 15 ft,10,6
37,1,7:02.0,Defensive rebound by G. Monroe,,10,6
38,1,6:58.0,K. Caldwell-Pope makes 2-pt dunk at rim (assist by G. Monroe),,12,6
39,1,6:58.0,,New Orleans full timeout,12,6
40,1,6:40.0,,Turnover by E. Gordon (bad pass; steal by G. Monroe),12,6
41,1,6:34.0,K. Caldwell-Pope makes 2-pt dunk at rim (assist by G. Monroe),,14,6
